k	smorfs
1	2429
2	5670
3	6934
4	9553
5	10693
6	16373
7	17295
8	18694
9	20939
10	22205
11	134672
12	185004
13	278723
14	279318
15	283382
16	316068
17	316727
18	323303
19	324576
20	325668
21	353764
22	354350
23	355189
24	371125
25	372602
26	373828
27	375045
28	377500
29	379082
30	380835
31	384318
32	385421
33	387105
34	389289
35	391352
36	393494
37	394695
38	395641
39	396824
40	397776
41	398741
42	399502
43	401571
44	403357
45	405123
46	405660
47	406272
48	409449
49	410435
50	411881
51	412652
52	415080
53	419468
54	421232
55	433742
56	446145
57	449092
58	449538
59	450353
60	451232
61	451845
62	457784
63	521379
64	522466
65	523229
66	524899
67	525932
68	526578
69	527791
70	528797
71	532762
72	533623
73	534403
74	536309
75	537428
76	540742
77	541528
78	542878
79	543951
80	546127
81	548763
82	550068
83	550696
84	551524
85	560911
86	562024
87	594265
88	595348
89	596424
90	597258
91	599026
92	603953
93	604593
94	615345
95	617293
96	635254
97	635901
98	637069
99	639486
100	696382
101	697267
102	697930
103	699235
104	700434
105	712237
106	713229
107	714754
108	716182
109	716939
110	717560
111	718197
112	722051
113	723388
114	724381
115	726282
116	728074
117	730085
118	730780
119	731275
120	776214
121	778560
122	780187
123	781442
124	782121
125	782659
126	783801
127	785112
128	785807
129	786768
130	819027
131	819568
132	820751
133	821257
134	822069
135	822944
136	846849
137	869825
138	873486
139	875410
140	887487
141	888309
142	889774
143	890655
144	891916
145	893138
146	894352
147	894894
148	895741
149	896364
150	897544
151	898940
152	900073
153	901699
154	902747
155	915747
156	916614
157	917833
158	918231
159	919883
160	920686
161	922393
162	924271
163	924902
164	925501
165	926398
166	927586
167	928265
168	929217
169	930695
170	932720
171	975658
172	976607
173	977042
174	1011200
175	1011630
176	1012647
177	1013902
178	1016674
179	1017352
180	1018211
181	1019553
182	1020455
183	1022939
184	1025122
185	1232326
186	1233364
187	1234851
188	1235681
189	1236532
190	1238013
191	1238790
192	1240101
193	1241028
194	1242354
195	1243150
196	1244688
197	1245353
198	1246112
199	1247406
200	1248082
201	1248528
202	1249099
203	1250677
204	1251610
205	1252600
206	1253568
207	1254208
208	1264150
209	1264806
210	1265815
211	1266923
212	1267333
213	1268630
214	1269461
215	1270814
216	1271360
217	1271807
218	1272449
219	1273391
220	1276778
221	1278069
222	1278993
223	1279718
224	1280618
225	1281215
226	1281977
227	1282867
228	1283335
229	1285690
230	1296322
231	1296880
232	1327799
233	1328306
234	1328974
235	1330214
236	1332356
237	1334212
238	1335215
239	1351071
240	1351700
241	1384099
242	1384628
243	1396570
244	1410037
245	1410706
246	1411203
247	1411634
248	1412253
249	1413244
250	1413830
251	1414763
252	1415357
253	1415968
254	1416525
255	1417406
256	1417916
257	1418492
258	1419670
259	1420400
260	1421720
261	1422152
262	1422865
263	1457583
264	1464523
265	1465595
266	1466829
267	1469238
268	1471073
269	1472792
270	1473757
271	1474453
272	1475652
273	1476245
274	1477605
275	1479134
276	1482280
277	1483110
278	1483816
279	1485163
280	1511583
281	1512606
282	1523450
283	1524303
284	1525342
285	1536519
286	1537704
287	1553128
288	1554274
289	1554700
290	1555673
291	1557981
292	1558935
293	1560083
294	1560895
295	1561698
296	1568392
297	1569477
298	1570023
299	1570812
300	1571436
301	1578946
302	1579438
303	1580367
304	1581126
305	1582042
306	1582628
307	1605455
308	1606006
309	1606505
310	1607097
311	1607757
312	1624853
313	1625305
314	1626040
315	1635156
316	1635935
317	1636432
318	1636998
319	1637637
320	1638256
321	1639102
322	1639851
323	1640235
324	1641646
325	1642439
326	1643616
327	1648055
328	1649029
329	1649709
330	1650187
331	1654566
332	1656253
333	1656801
334	1657403
335	1658398
336	1659876
337	1663924
338	1664721
339	1667454
340	1668239
341	1668726
342	1669577
343	1670215
344	1671106
345	1672179
346	1722646
347	1723769
348	1724254
349	1725007
350	1725805
351	1726666
352	1727665
353	1728523
354	1729208
355	1729742
356	1730462
357	1734012
358	1735045
359	1735916
360	1736368
361	1748554
362	1749097
363	1749950
364	1750550
365	1751291
366	1752350
367	1752837
368	1753424
369	1754425
370	1756114
371	1772973
372	1773699
373	1774352
374	1775012
375	1775623
376	1776837
377	1777457
378	1778051
379	1778906
380	1779484
381	1780059
382	1781017
383	1781831
384	1782594
385	1783397
386	1784225
387	1785035
388	1788952
389	1826291
390	1826967
391	1832429
392	1835722
393	1836244
394	1836654
395	1837317
396	1837742
397	1838456
398	1839021
399	1839460
400	1859572
401	1859982
402	1860833
403	1861633
404	1862469
405	1863685
406	1864583
407	1865544
408	1866630
409	1867133
410	1868128
411	1868469
412	1869043
413	1869944
414	1872079
415	1873390
416	1873826
417	1874323
418	1874709
419	1875101
420	1875950
421	1876552
422	1876980
423	1877861
424	1878763
425	1880039
426	1881637
427	1882616
428	1883348
429	1884052
430	1884656
431	1885567
432	1886455
433	1887727
434	1889360
435	1889937
436	1890391
437	1891340
438	1892040
439	1892942
440	1893739
441	1894573
442	1895189
443	1896943
444	1897956
445	1899776
446	1900686
447	1901288
448	1901998
449	1902591
450	1915482
451	1917196
452	1917729
453	1918735
454	1919516
455	1919895
456	1920319
457	1921147
458	1922245
459	1922747
460	1923770
461	1924686
462	1926358
463	1926916
464	1927500
465	1927952
466	1929406
467	1930315
468	1931488
469	1932773
470	1933386
471	1933806
472	1934583
473	1935138
474	1936010
475	1936578
476	1937578
477	1938824
478	1940437
479	1940835
480	1958775
481	1959555
482	1985740
483	1986373
484	1986857
