k	smorfs
1	4482
2	16314
3	26792
4	44844
5	46970
6	48898
7	60333
8	63869
9	69793
10	70217
11	80382
12	83060
13	96609
14	100108
15	101316
16	115867
17	117341
18	120661
19	121803
20	132140
21	143239
22	146976
23	163636
24	175142
25	176133
26	185492
27	185783
28	190604
29	192385
30	197050
31	205190
32	207888
33	216977
34	217201
35	222380
36	225115
37	229879
38	239945
39	251147
40	258019
41	261996
42	264157
43	266486
44	274653
45	276691
46	282178
47	285299
48	288552
49	298210
50	301875
51	310684
52	368170
53	370611
54	387125
55	394780
56	437690
57	449972
58	455186
59	462396
60	470066
61	476901
62	486046
63	488152
64	491519
65	496662
66	497353
67	508167
68	517804
69	525634
70	525852
71	531786
72	543163
73	554681
74	608225
75	617107
76	629251
77	629819
78	643560
79	647728
80	660216
81	666086
82	666390
83	677963
84	684221
85	685701
86	698067
87	708775
88	713394
89	718023
90	732042
91	733898
92	738029
93	738766
94	747361
95	750215
96	753055
97	753656
98	756667
99	767294
100	768161
101	772690
102	774639
103	784923
104	786109
105	791305
106	795825
107	797702
108	806356
109	811458
110	814443
111	815599
112	825155
113	833111
114	846999
115	852079
116	860814
117	863760
118	875847
119	882314
120	887364
121	906600
122	911687
123	923939
124	929528
125	930848
126	944567
127	952074
128	968844
129	970685
130	972683
131	976235
132	977601
133	984398
134	990336
135	1001055
136	1002754
137	1007631
138	1007930
139	1011919
140	1041193
141	1048412
142	1053261
143	1054705
144	1055425
145	1057921
146	1063677
147	1068192
148	1069059
149	1070823
150	1083020
151	1117950
152	1123703
153	1124461
154	1129107
155	1140258
156	1146989
157	1149756
158	1157740
159	1161911
160	1163739
161	1180427
162	1218688
163	1230085
164	1252446
165	1255446
166	1257838
167	1258809
168	1262655
169	1271098
170	1271939
171	1278098
172	1278227
173	1279090
174	1281890
175	1292384
176	1323400
177	1330779
178	1335749
179	1340759
180	1346757
181	1347525
182	1350710
183	1350935
184	1354359
185	1361260
186	1361473
187	1374954
188	1375432
189	1378518
190	1379634
191	1379932
192	1405468
193	1414714
194	1417793
195	1423336
196	1433103
197	1445392
198	1460655
199	1460794
200	1461359
201	1463933
202	1464633
203	1473321
204	1475574
205	1489613
206	1497172
207	1500219
208	1501607
209	1506404
210	1515794
211	1525538
212	1537088
213	1554215
214	1555443
215	1556153
216	1557946
217	1560098
218	1562864
219	1564806
220	1578119
221	1579845
222	1580769
223	1580862
224	1581961
225	1593215
226	1598097
227	1598116
228	1614998
229	1620895
230	1627337
231	1634242
232	1635320
233	1639225
234	1641333
235	1641573
236	1641748
237	1649455
238	1653510
239	1656161
240	1662928
241	1676073
242	1677929
243	1677973
244	1680406
245	1689809
246	1690400
247	1690447
248	1691968
249	1693478
250	1697186
251	1701426
252	1705961
253	1707203
254	1712461
255	1717672
256	1718533
257	1720745
258	1727629
259	1731947
260	1734015
261	1739739
262	1740845
263	1743531
264	1750717
265	1754926
266	1757210
267	1765654
268	1779154
269	1783005
270	1788953
271	1794327
272	1796591
273	1798755
274	1798989
275	1809781
276	1813279
277	1814454
278	1820197
279	1823333
280	1865813
281	1873101
282	1873240
283	1873254
284	1876899
285	1878650
286	1893597
287	1893658
288	1896160
289	1897042
290	1897373
291	1904822
292	1905720
293	1916895
294	1923643
295	1937614
296	1944571
297	1944588
298	1944886
299	1947417
300	1958720
301	1969000
302	1971615
303	1983744
304	1988850
305	1992805
306	1997922
307	2003030
308	2004000
309	2010975
310	2012196
311	2022616
312	2027602
313	2044223
314	2046554
315	2050214
316	2054006
317	2055353
318	2061558
319	2066560
320	2077167
321	2077944
322	2108546
323	2109717
324	2117584
325	2125081
326	2125283
327	2131735
328	2139998
329	2146429
330	2146652
331	2154420
332	2156983
333	2157429
334	2158589
335	2160957
336	2163651
337	2166388
338	2172087
339	2178395
340	2181402
341	2192600
342	2194925
343	2200978
344	2202752
345	2205378
346	2215985
347	2219784
348	2250304
349	2251151
350	2258594
351	2263018
352	2265910
353	2267735
354	2271736
355	2272136
356	2291860
357	2296358
358	2297782
359	2304465
360	2316397
361	2319601
362	2323685
363	2324005
364	2349377
365	2354139
366	2354759
367	2354818
368	2359694
369	2363117
370	2375600
371	2379253
372	2380960
373	2381029
374	2386076
375	2391521
376	2392329
377	2401579
378	2406944
379	2408274
380	2409263
381	2411194
382	2419663
383	2422496
384	2431469
385	2431752
386	2434285
387	2450422
388	2455971
389	2467111
390	2474267
391	2474678
392	2485701
393	2486117
394	2496116
395	2497965
396	2498580
397	2500072
398	2504382
399	2512775
400	2517102
401	2519851
402	2522454
403	2529156
404	2534691
405	2535117
406	2538332
407	2538964
408	2539273
409	2542367
410	2550298
411	2551874
412	2555369
413	2565462
414	2574547
415	2587084
416	2588421
417	2592494
418	2593966
419	2598961
420	2605765
421	2605849
422	2611399
423	2611717
424	2613846
425	2622054
426	2624121
427	2627613
428	2627745
429	2636016
430	2640167
431	2653342
432	2653675
433	2657631
434	2659639
435	2661414
436	2661789
437	2667711
438	2672211
439	2673854
440	2677563
441	2678413
442	2683017
443	2686598
444	2687010
445	2688777
446	2699012
447	2707764
448	2715866
449	2725314
450	2725798
451	2729091
452	2731637
453	2744291
454	2745146
455	2746206
456	2750331
457	2754585
458	2754914
459	2761156
460	2761486
461	2762311
462	2773219
463	2788110
464	2795644
465	2796301
466	2799845
467	2807219
