k	smorfs
1	49
2	1141
3	6529
4	6848
5	10370
6	15878
7	17179
8	18898
9	20049
10	28500
11	30563
12	32141
13	35154
14	35464
15	87766
16	92072
17	93681
18	96069
19	98385
20	100235
21	102745
22	108701
23	123394
24	124854
25	135768
26	141147
27	143049
28	143786
29	144676
30	148022
31	149633
32	152867
33	154394
34	163323
35	167659
36	171431
37	174608
38	174724
39	177504
40	178571
41	182623
42	185010
43	187634
44	188630
45	191011
46	192767
47	193384
48	195584
49	195655
50	198705
51	199154
52	209487
53	212862
54	214521
55	216686
56	222472
57	230229
58	235098
59	237819
60	238509
61	239281
62	239543
63	240010
64	245376
65	248579
66	249429
67	250981
68	252970
69	253922
70	255193
71	256448
72	257563
73	257687
74	266943
75	314033
76	314393
77	315378
78	318225
79	319587
80	319772
81	323630
82	343769
83	349755
84	350415
85	353290
86	356712
87	357210
88	360350
89	360382
90	363149
91	365484
92	368717
93	369599
94	371906
95	372387
96	376167
97	379362
98	379820
99	381857
100	383743
101	385731
102	394642
103	407691
104	409140
105	415746
106	417688
107	417719
108	418778
109	419868
110	435193
111	435778
112	440366
113	441315
114	441528
115	441960
116	446035
117	448317
118	450763
119	452223
120	452544
121	453980
122	454911
123	455217
124	455550
125	457409
126	460075
127	461135
128	463575
129	465173
130	467668
131	468993
132	470863
133	472940
134	473580
135	475148
136	476033
137	476503
138	477765
139	477902
140	480396
141	493528
142	495791
143	498174
144	498318
145	501439
146	504826
147	505337
148	508921
149	514090
150	516353
151	518569
152	519855
153	520953
154	522032
155	533644
156	536276
157	541045
158	543870
159	544328
160	547186
161	547713
162	548483
163	549345
164	561200
165	561309
166	563320
167	568506
168	573640
169	574634
170	574953
171	576373
172	581087
173	582421
174	583244
175	586094
176	586389
177	588853
178	589428
179	598417
180	599086
181	608238
182	609562
183	611798
184	613313
185	615875
186	618041
187	618778
188	618841
189	624132
190	628092
191	630807
192	631810
193	633701
194	637489
195	637958
196	651718
197	656079
198	657772
199	658140
200	658403
201	658504
202	658769
203	660693
204	661601
205	663571
206	665950
207	673766
208	673875
209	674972
210	677084
211	677122
212	677175
213	677502
214	681425
215	681472
216	681755
217	683377
218	685982
219	686062
220	687432
221	689690
222	692407
223	699388
224	702648
225	705810
226	706746
227	707525
228	708398
229	710811
230	712167
231	713314
232	714192
233	714695
234	722809
235	724330
236	726631
237	728251
238	728766
239	729552
240	729811
241	731045
242	733376
243	734351
244	737116
245	739056
246	740467
247	740604
248	746030
249	747795
250	749467
251	749546
252	749956
253	753496
254	754008
255	754055
256	754091
257	754808
258	758590
259	772417
260	773101
261	773338
262	773672
263	777039
264	777892
265	779433
266	780138
267	806793
268	808423
269	808838
270	808852
271	816753
272	818064
273	819801
274	820296
275	820605
276	820943
277	823079
278	827409
279	835963
280	837217
281	837780
282	838995
283	840427
284	844306
285	846665
286	847410
287	853256
288	857121
289	859254
290	867905
291	867911
292	868036
293	870432
294	874065
295	876822
296	876877
297	877539
298	878049
299	899264
300	900681
301	901160
302	901382
303	903302
304	910429
305	922820
306	927452
307	927849
308	930294
309	932098
310	933934
311	935678
312	936166
313	937755
314	938469
315	941881
316	943941
317	945314
318	948283
319	954400
320	956116
321	957614
322	957912
323	960693
324	960950
325	962651
326	962871
327	965573
328	967351
329	969206
330	971880
331	973117
332	973343
333	980292
334	983756
335	984213
336	986814
337	994641
338	999835
339	1002059
340	1006240
341	1008378
342	1024413
343	1028319
344	1029270
345	1031865
346	1038971
347	1040195
348	1040886
349	1041128
350	1069181
351	1069893
352	1070729
353	1072925
354	1073847
355	1074861
356	1077686
357	1078700
358	1079192
359	1079273
360	1083281
361	1085370
362	1085914
363	1087326
364	1088933
365	1090887
366	1091511
367	1092599
368	1093370
369	1094583
370	1105769
371	1110029
372	1110636
373	1111506
374	1122245
375	1122470
376	1123021
377	1124762
378	1128410
379	1128481
380	1128834
381	1137261
382	1138463
383	1151076
384	1151179
385	1158376
386	1160703
387	1162152
388	1163358
389	1163386
390	1164646
391	1164658
392	1166141
393	1167220
394	1169165
395	1169475
396	1171561
397	1172157
398	1175461
399	1176153
400	1177819
401	1184889
402	1184906
403	1185367
404	1186330
405	1188307
406	1197013
407	1197226
408	1204072
409	1204171
410	1204427
411	1205495
412	1208009
413	1220197
414	1222276
415	1224572
416	1233484
417	1235456
418	1236523
419	1236551
420	1237690
421	1240262
422	1240621
423	1242034
424	1245694
425	1251427
426	1261837
427	1262788
428	1264227
429	1264240
430	1264257
431	1264949
432	1266932
433	1266996
434	1269016
435	1272884
436	1275070
437	1275472
