k	smorfs
1	116207
2	128455
3	248057
4	310386
5	377550
6	448607
7	544505
8	577009
9	653128
10	912453
11	990221
12	1092360
13	1227042
14	1327858
15	1394449
16	1394459
17	1427942
18	1510404
19	1837977
20	1881290
21	1959177
22	1994159
23	2068419
24	2126476
25	2221433
26	2232027
27	2281361
28	2318503
29	2382894
30	2445319
31	2486051
32	2560500
33	2609361
34	2664093
35	2718480
36	2996913
37	3000982
38	3033229
39	3058215
40	3140990
41	3206147
42	3264986
43	3305038
44	3379376
45	3450938
46	3465096
47	3503734
48	3607373
49	3666187
50	3751493
51	3794916
52	3957663
53	4204378
54	4495132
55	4680007
56	4745287
57	5017536
58	5215333
59	5271958
60	5315788
61	5331888
62	5655294
63	5719632
64	5819790
65	5842361
66	6032968
67	6176083
68	6212549
69	6283751
70	6284980
71	6316151
72	6365658
73	6443955
74	6574563
75	6720590
76	6773749
77	6804990
78	6894341
79	6939283
80	6970285
81	7045065
82	7197506
83	7237446
84	7283844
85	7330379
86	7392447
87	7470039
88	7514863
89	7715948
90	7750106
91	7819787
92	7896255
93	7935716
94	8013994
95	8082437
96	8290597
97	8342958
98	8403243
99	8467963
100	8539926
101	8589700
102	8661808
103	8731088
104	8754621
105	8795128
106	8854030
107	8868628
108	8905841
109	8948969
110	9022470
111	9076813
112	9156945
113	9180539
114	9199304
115	9236969
116	9267187
117	9310676
118	9441921
119	9506561
120	9551121
121	9612736
122	9664324
123	9718052
124	9769928
125	9857959
126	9911807
127	9956502
128	10171670
129	10202888
130	10227664
131	10269233
132	10317548
133	10357016
134	10383845
135	10434092
136	10461448
137	10582352
138	10640163
139	10895512
140	10940558
141	10997756
142	11198593
143	11231891
144	11271854
145	11316928
146	11365085
147	11499833
148	11543323
149	11611404
150	11658350
151	11695606
152	11712268
153	11721203
154	11742435
155	11788761
156	11842675
157	11899043
158	11965157
159	11985681
160	12045884
161	12092941
162	12139952
163	12186676
164	12243695
165	12248805
166	12299334
167	12332451
168	12348386
169	12406664
170	12796583
171	12859533
172	12989602
173	13022380
174	13046425
175	13111724
176	13169801
177	13341329
178	13411659
179	13446248
180	13599901
181	13623741
182	13667696
183	13804174
184	13823883
185	14036225
186	14071990
187	14117604
188	14159860
189	14281834
190	14328891
191	14355857
192	14389723
193	14422579
194	14506356
195	14539989
196	14585121
197	14649254
198	14692151
199	15046013
200	15097839
201	15133264
202	15296370
203	15312602
204	15333111
205	15361087
