k	smorfs
1	19702
2	20743
3	50045
4	50206
5	216321
6	216471
7	353449
8	371703
9	378169
10	391194
11	480266
12	1222473
13	1226650
14	1273491
15	1288032
16	1514490
17	1526541
18	1542114
19	1620130
20	2536817
21	2763028
22	2779463
23	2803694
24	2940244
25	2962700
26	3005916
27	3015482
28	3240392
29	4083918
30	4281388
31	5065070
32	5069259
33	5114986
34	5383792
35	5386958
36	5391020
37	5448644
38	5453118
39	5464221
40	5494663
41	5498683
42	5613894
43	5637229
44	5648799
45	5649089
46	5675452
47	5682090
48	5693084
49	5843893
50	6363576
51	6363804
52	6390323
53	6489604
54	6504353
55	6513476
56	6514565
57	6517170
58	6610500
59	6612619
60	6645282
61	6651368
62	6652741
63	6676518
64	6703823
65	6868071
66	6873185
67	7023097
68	7109118
69	7123411
70	7129498
71	7129926
72	7137882
73	7158048
74	7160945
75	7317791
76	7352644
77	7357163
78	7967838
79	8062311
80	8189583
81	8220206
82	8225691
83	8228714
84	8273323
85	8288472
86	8315372
87	8425955
88	9240044
89	9610712
90	9614431
91	9614859
92	10222529
93	10222901
94	10223676
95	10352703
96	10424148
97	10426163
98	10446459
99	10819600
100	10819735
101	10861940
102	10905221
103	10905806
104	11391305
105	12060220
106	12063643
107	12202932
108	12268659
109	12479846
110	12556681
111	12578236
112	12622812
113	12667446
114	12779874
115	12788766
116	12794367
117	12831256
118	12831859
119	12835118
120	12847148
121	12932417
122	13071753
123	13076632
124	13163943
125	13164027
126	13277128
127	13889977
128	13917896
129	14639543
130	14674967
131	14677513
132	14677689
133	14794570
134	14941555
135	14958779
136	15067206
137	15072648
138	15081524
139	15081618
140	15081737
141	15471549
142	15473651
143	15562164
144	15724954
145	15725240
146	15848796
147	15882320
148	15904501
149	15956941
150	15971813
151	15983887
152	16017785
153	16018037
154	16039717
155	16039856
156	16067130
157	16202171
158	16212988
159	16235417
160	16260327
161	16266423
162	16267008
163	16269432
164	17026562
165	17028759
166	17683954
167	17693457
168	17698010
169	17882869
170	17894297
171	17962878
172	17964209
173	17965386
174	17992929
175	17998954
176	18333514
177	18894728
178	18903204
179	18910527
180	19128414
181	19128468
182	19130368
183	19134064
184	19168625
185	19173762
186	19176333
187	19256163
188	19267185
189	19268225
190	19304156
191	19471047
192	20019274
193	20019873
194	20022632
195	20561960
196	20716114
197	20732265
198	20746071
199	20855667
200	20872014
201	20890248
202	20907591
203	20920793
204	20920939
205	20922408
206	21443539
207	21558885
208	21560725
209	21569261
210	21581303
211	21582464
212	21609280
213	21649070
214	21666897
215	21676214
216	21758842
217	21766643
218	21771071
219	21779564
220	22233068
221	22233167
222	22261356
223	22280222
224	22281147
225	22281962
226	22408539
227	22507083
228	22525238
229	22532914
230	22730143
231	22850379
232	22864555
233	22864875
234	22910499
235	23340907
236	23362014
237	23385236
238	23386693
239	23388749
240	23503467
241	23623366
242	23626636
243	23635178
244	23856231
245	24499473
246	24523957
247	24552406
248	24552452
249	24554864
250	24576108
251	24577556
252	24589355
253	24596081
254	24625562
255	24881105
256	25312958
257	25337442
258	25338469
259	25471164
260	25982698
261	26083958
262	26086670
263	26086714
264	26100772
265	26246239
266	26246458
267	26254152
268	26254362
269	26258412
270	26259154
271	26388142
272	26527021
273	26527119
274	26534837
275	26669530
276	26677485
277	26680575
278	26714745
279	26743025
280	26846002
281	26993179
282	26995256
283	26995420
284	27108595
285	27658890
286	27763696
287	27766497
288	27779042
289	27802348
290	27806577
291	28216801
292	28222659
293	28223326
294	28253101
295	28339451
296	28358986
297	28442817
298	28566304
299	28593439
300	28599874
301	28603727
302	28640183
303	28640300
304	28712199
305	28712250
306	28736504
307	28743780
308	28778728
309	28858440
310	28960990
311	28979447
312	28981650
313	28982799
314	29005352
315	29005559
316	29008721
317	29008775
318	29018836
319	29095660
320	29103114
321	29134604
322	29143320
323	29237611
324	29318173
325	29447672
326	29529137
327	29536438
328	29676361
329	29677692
330	29717037
331	29724454
332	29778080
333	29783020
334	29864041
335	29865514
336	29868113
337	30346959
338	30357972
339	30383246
340	30387706
341	30391248
342	30989448
343	30989486
344	31099068
345	31111115
346	31125181
347	31700962
348	31701540
349	31736838
350	31739100
351	31769764
352	31795861
353	31798624
354	31814386
355	31858751
356	31860636
357	32233299
358	32307888
359	32311759
360	32312109
361	32332962
362	32506559
363	32546341
364	32547750
365	32551549
366	32574087
367	33053592
368	33053973
369	33294644
370	33304041
371	33306610
372	33308580
373	33316401
374	33320282
375	33325737
376	33327200
377	33796486
378	33797482
379	33798806
380	33799138
381	33827986
382	33840171
383	33860734
384	33924390
385	33927004
386	33927072
387	34014642
388	34140703
389	34150387
390	34151513
391	34161651
392	34170324
393	34171255
394	34202634
395	34276296
396	34276358
397	34277772
398	34345030
399	34459572
400	34491700
401	34721649
402	34770244
403	34778877
404	35073214
405	35164839
406	35216859
407	35271002
408	35844566
409	35862804
410	35879614
411	35883561
412	35916067
413	35921735
414	35939039
415	35939107
416	36463649
417	36466326
418	36480381
419	36490726
420	36986816
421	36986998
422	36995139
423	36998527
424	36998679
425	37030718
426	37052799
427	37054675
428	37154781
429	37164963
430	37185026
431	37358477
432	37359266
433	37832721
434	37847457
435	37850263
436	37851189
437	37853957
438	37857155
439	37860358
440	38164416
441	38269217
442	38269430
443	38374042
444	38374163
445	38397527
446	38398654
447	38415054
448	38415099
449	38472569
450	38499861
451	38511553
452	38514698
453	38514766
454	38534111
455	38917237
456	39451869
