k	smorfs
1	59
2	4989
3	292673
4	321661
5	355148
6	499571
7	629996
8	801482
9	827262
10	906570
11	926083
12	949398
13	1161657
14	1181878
15	1218880
16	1227099
17	1390047
18	1472094
19	1521354
20	1539966
21	1564846
22	1627023
23	1846823
24	2559616
25	2564206
26	3000082
27	3022263
28	3185530
29	3193268
30	3358199
31	3468741
32	3495908
33	3497682
34	3526324
35	3526957
36	3980066
37	5726111
38	6388817
39	6845728
40	6876471
41	7073817
42	7112842
43	7133375
44	7294712
45	7929185
46	7931472
47	7978204
48	7980010
49	8128654
50	8167783
51	8249619
52	8290339
53	8290496
54	8293355
55	8367249
56	8406711
57	8407629
58	8423008
59	8456235
60	8459819
61	8529003
62	8691118
63	8735141
64	9340711
65	9381293
66	9382290
67	9410234
68	9425816
69	9580925
70	9585800
71	9701673
72	9701759
73	9794678
74	10088697
75	10293005
76	10296915
77	10331822
78	10392156
79	10531608
80	10542017
81	10638390
82	10639662
83	10686516
84	10964185
85	11001383
86	11127468
87	11135191
88	11137274
89	11782816
90	11827585
91	11907650
92	11911505
93	12058803
94	12083455
95	12101806
96	12135793
97	12136758
98	12145240
99	12160821
100	12168668
101	12190540
102	12532119
103	12544740
104	12733553
105	13257678
106	13316605
107	13401752
108	13411090
109	13974399
110	14007741
111	14014389
112	14020859
113	14085404
114	14096801
115	14225937
116	14519077
117	14521206
118	14522230
119	14638423
120	14755568
121	14761681
122	14804025
123	15091066
124	15091567
125	15103053
126	15480953
127	16229734
128	16242437
129	16246692
130	16996070
131	16999964
132	17093056
133	17117701
134	17138059
135	17159307
136	17343102
137	17377412
138	17379899
139	17386784
140	17924971
141	17927525
142	17929115
143	18450707
144	18513194
145	18548812
146	18610336
147	18797504
148	18872145
149	18973205
150	19004165
151	19221359
152	19341503
153	19367120
154	19469252
155	19470910
156	19471313
157	19646353
158	19946717
159	20288912
160	20354997
161	20378369
162	20506686
163	20509241
164	20510421
165	20534467
166	20534547
167	20537123
168	20675184
169	20696530
170	20947112
171	21007785
172	21039537
173	21042460
174	21267794
175	21287135
176	21294526
177	21355218
178	21379415
179	21941660
180	21965650
181	22280772
182	22593623
183	22595397
184	22784210
185	22785930
186	23217054
187	23224377
188	23255189
189	23296084
190	23298630
191	23337527
192	23873093
193	23914521
194	24296120
195	24309159
196	24313850
197	24380370
198	24386740
199	25055134
200	25071035
201	25566910
202	25587542
203	25634677
204	25641160
205	25680710
206	25697063
207	25698453
208	25781810
209	25784747
210	25801699
211	26029232
212	26434257
213	26805278
214	26810315
215	26861154
216	26865058
217	26868816
218	26969368
219	27486124
220	27503963
221	28111968
222	28169922
223	28171549
224	28264944
225	28293237
226	28364582
227	28391053
228	28435251
229	28539683
230	28541988
231	28998994
232	29437932
233	29460766
234	29489425
235	30105454
236	30131309
237	30531669
238	30673183
239	30679535
240	30860965
241	30929714
242	31014142
243	31263901
244	31432075
245	32229684
246	32237853
247	32279106
248	32286015
249	32366205
250	32366737
251	32389718
252	32416237
253	32429401
254	32429432
255	32472125
256	32481839
257	32485186
258	32513215
259	32774589
260	32984474
261	33183655
262	33244936
263	33281315
264	33413283
265	34069134
266	34095604
267	34111075
268	34159746
269	34189682
270	34262392
271	34476184
272	34878822
273	35034286
274	35087111
275	35104048
276	35181066
277	35197419
278	35226878
279	35409037
280	35425377
281	35435941
282	35603201
283	36165049
284	36181813
285	36388284
286	36575833
287	37067230
288	37084783
289	37091771
290	37255793
291	37287356
292	37292139
293	37304347
294	37361687
295	37767408
296	37807056
297	37854151
298	37860819
299	37863514
300	38129518
301	38346159
302	38354928
303	38591435
304	38703198
305	39210391
306	39227051
307	39243077
308	39255239
309	39272607
310	39358518
311	39446732
312	39851187
313	39853239
314	39875762
315	39893611
316	39901678
317	40425581
318	40448610
319	40474915
320	40844277
321	40863336
322	40863467
323	40885723
324	40907135
325	40934439
326	41136038
327	41137979
328	41606425
329	41624858
330	41958634
331	42013824
332	42031034
333	42103276
334	42348389
335	42398985
336	42417212
337	42417352
338	42429653
339	42920383
340	42930170
341	43083511
342	43099833
343	43474744
344	44167082
345	44188225
346	44280867
347	44571472
348	44638096
349	44760054
350	44822551
351	44945198
352	45044515
353	45411389
354	45411398
355	45469621
356	45482600
357	45500781
358	45502040
359	45518649
360	45521940
361	45567023
362	45639114
363	45769632
364	45795633
365	45808709
366	45813792
367	45844729
368	45847965
369	45848442
370	45970640
371	46031540
372	46040872
373	46414922
374	46416041
375	46433339
376	46475732
377	46903808
378	46903870
379	47190276
380	47324672
381	47363800
382	47414481
383	47449356
384	47499075
385	47605504
386	47882765
387	47906067
388	48257087
389	48263066
390	48287801
391	48328301
392	48384842
393	48433159
394	48535554
395	48631785
396	48661890
397	48661916
398	48739267
399	48740856
400	48754916
401	48769421
402	49064753
403	49260603
404	49723261
405	49738668
406	49787377
407	49787456
408	49790469
409	49794198
410	49799097
411	49880792
412	50169760
413	50169775
414	50179501
415	51126576
416	51129281
417	51160088
418	51521971
419	51559084
420	52935781
421	53226190
422	53504900
423	53521346
424	53564195
425	53573197
426	53936059
427	54033094
428	54193292
429	54232867
430	54267570
431	54852230
432	55593377
433	55662549
434	55814536
435	55857430
436	56242742
437	56380419
438	56382161
439	56411091
440	56413970
441	56481678
442	56531327
443	56561330
444	56561458
445	56939539
446	56953254
447	56957409
448	57185277
449	57225959
450	57343871
451	57497245
452	57524597
453	57526121
454	57553914
455	57581202
456	57585547
457	57665386
458	57836178
459	58540719
460	58549491
461	58891787
462	58995141
463	59004482
464	59017070
465	59107906
466	59175215
467	59261355
468	59261416
469	59331717
470	59361536
471	59411956
472	59412123
473	59421140
474	59660442
475	59693650
476	59772105
477	59773465
478	59806636
479	59814627
480	60313189
481	60423833
482	60502550
483	60520285
484	60523042
485	60527882
486	60571349
487	60692245
488	60797482
489	61174507
490	61177733
491	61188087
492	61503411
493	61591371
494	61656009
495	61694470
496	61700733
497	61724560
498	62018937
499	62031734
500	62047903
501	62063900
502	62127732
503	62169955
504	62200408
