k	smorfs
1	103709
2	133318
3	185471
4	410999
5	412414
6	490065
7	624222
8	677658
9	677691
10	679954
11	715905
12	736442
13	964028
14	1218457
15	1390367
16	1390575
17	1527214
18	1607759
19	1883405
20	1900004
21	1912206
22	2076340
23	2307111
24	2361328
25	2508605
26	2567112
27	2567256
28	2567259
29	2567272
30	2574816
31	2642573
32	2683982
33	2764965
34	2884824
35	2899976
36	2982840
37	3081939
38	3141022
39	3193411
40	3248187
41	3352838
42	3729345
43	3778510
44	3850555
45	3858680
46	3891891
47	3891947
48	3907188
49	3913307
50	3968293
51	4042154
52	4088902
53	4148120
54	4164154
55	4324339
56	4422365
57	4423465
58	4494239
59	4545898
60	4546565
61	4547375
62	4582943
63	4718319
64	4718451
65	4839596
66	4841427
67	4998286
68	5064693
69	5066729
70	5393436
71	5393507
72	5395260
73	5432444
74	5689629
75	5708435
76	6087558
77	6093291
78	6194833
79	6302981
80	6303064
81	6306489
82	6370792
83	6428529
84	6504055
85	6504645
86	6505464
87	6555660
88	6620211
89	6941664
90	7011303
91	7046716
92	7065048
93	7113993
94	7187378
95	7251423
96	7251489
97	7253063
98	7298319
99	7401252
100	7454692
101	7556765
102	7755773
103	7893612
104	8137882
105	8184798
106	8317767
107	8372509
108	8424713
109	8570325
110	8754159
111	8852438
112	8898593
113	8901412
114	8999598
115	9166716
116	9210634
117	9250768
118	9397963
119	9534676
120	9689072
121	9730618
122	9731500
123	9872711
124	10162582
125	10167778
126	10197905
127	10208030
128	10260453
129	10260460
130	10269522
131	10402701
132	10402731
133	10548090
134	10548204
135	10620122
136	10645242
137	10822523
138	10860932
139	10946466
140	11009648
141	11029586
142	11098212
143	11221119
144	11258503
145	11281831
146	11307905
147	11383808
148	11540718
149	11589518
150	11658608
151	11658751
152	11686994
153	11687433
154	11818169
155	11950266
156	11967977
157	11973178
158	12029409
159	12031475
160	12036333
161	12068606
162	12092126
163	12124135
164	12169451
165	12318318
166	12373975
167	12374533
168	12402296
169	12461054
170	12540094
171	12596045
172	12765164
173	12879371
174	13084095
175	13141448
176	13186510
177	13191367
178	13195356
179	13222067
180	13361437
181	13424402
182	13534801
183	13544269
184	13580713
185	13756490
186	13818438
187	14115850
188	14162574
189	14187778
190	14256320
191	14337148
192	14537930
193	14540224
194	14667172
195	14667324
196	14711801
197	14834038
198	14870543
199	14870574
200	14871400
201	14930148
202	14933824
203	15026517
204	15106626
205	15133328
206	15136404
207	15170436
208	15208332
209	15304997
210	15348122
211	15434467
212	15519806
213	16316616
214	16454223
215	16527769
216	16611029
217	16717070
218	16959247
219	17086306
220	17201678
221	17221921
222	17302297
223	17399485
224	17426847
225	17428022
226	17570565
227	17604491
228	17637627
229	17637703
230	17678598
231	17765291
232	18068545
233	18628288
234	18684926
235	18975431
236	18975960
237	19027823
238	19090999
239	19141748
240	19141749
241	19242948
242	19274250
243	19393733
244	19520649
245	19529294
246	19601420
247	19609020
248	19609054
249	19617575
250	19716240
251	19771706
252	19934096
253	20000486
254	20188753
255	20230808
256	20308081
257	20310988
258	20311093
259	20357562
260	20367362
261	20490580
262	20490601
263	20512078
264	20540251
265	20662448
266	20676141
267	20811697
268	20932189
269	21034706
270	21038700
271	21039220
272	21111755
273	21122633
274	21215458
275	21317603
276	21390485
277	21404326
278	21454392
279	21814916
280	21902954
281	21913724
282	21969200
283	22077269
284	22199509
285	22281642
286	22427842
287	22461391
288	22461522
289	22626839
290	22713145
291	22763443
292	22977541
293	23033876
294	23068643
