k	smorfs
1	40104
2	68004
3	78719
4	81322
5	118750
6	137040
7	141177
8	188404
9	214973
10	223124
11	225061
12	244208
13	298388
14	331660
15	344541
16	372586
17	387292
18	395767
19	401451
20	428407
21	442977
22	454500
23	487238
24	493951
25	505058
26	505610
27	533412
28	549857
29	559946
30	564822
31	564996
32	573853
33	575515
34	583728
35	603021
36	622104
37	635417
38	672452
39	701281
40	704586
41	725393
42	750240
43	760524
44	781210
45	789992
46	821655
47	825393
48	855757
49	855949
50	858490
51	879922
52	898234
53	903409
54	935492
55	945827
56	959299
57	968396
58	969177
59	971844
60	974571
61	994470
62	1022547
63	1043986
64	1054910
65	1103639
66	1107789
67	1111400
68	1127503
69	1136219
70	1149737
71	1160703
72	1203742
73	1207478
74	1230805
75	1239634
76	1265788
77	1296937
78	1305223
79	1338606
80	1359154
81	1379249
82	1380709
83	1404832
84	1411661
85	1419298
86	1434996
87	1478579
88	1485102
89	1540044
90	1551007
91	1578528
92	1579218
93	1592012
94	1619197
95	1654718
96	1682493
97	1702161
98	1739156
99	1761850
100	1768526
101	1773465
102	1778007
103	1784073
104	1799745
105	1823590
106	1863655
107	1865249
108	1901590
109	1948344
110	1951556
111	1956541
112	1959770
113	1961548
114	1989398
115	2068527
116	2071680
117	2076676
118	2094842
119	2106816
120	2178740
121	2193555
122	2199510
123	2233163
124	2236104
125	2259243
126	2294565
127	2318263
128	2342301
129	2344388
130	2360950
131	2377097
132	2380613
133	2390650
134	2403292
135	2412577
136	2413174
137	2415128
138	2448797
139	2450060
140	2477748
141	2510141
142	2555167
143	2566072
144	2594594
145	2620631
146	2628511
147	2642689
148	2662358
149	2667004
150	2678336
151	2686885
152	2722362
153	2725029
154	2748708
155	2757317
156	2773126
157	2773882
158	2777687
159	2782819
160	2810774
161	2830768
162	2836625
163	2839430
164	2841836
165	2863699
166	2864635
167	2866645
168	2874304
169	2876119
170	2878857
171	2880347
172	2910653
173	2927041
174	2929306
175	2936754
176	2968738
177	2973757
178	2976082
179	2995225
180	2996665
181	3010972
182	3021157
183	3022880
184	3024093
185	3024675
186	3087913
187	3098975
188	3108389
189	3142492
190	3152553
191	3157213
