k	smorfs
1	2361
2	23415
3	362356
4	610568
5	628610
6	667004
7	756188
8	788280
9	804546
10	829698
11	1423472
12	1443434
13	1446996
14	1486835
15	1603455
16	1695746
17	1757681
18	1794394
19	1863324
20	1916381
21	2028250
22	2151991
23	2345422
24	2379518
25	2484698
26	2542262
27	2625612
28	2854382
29	2943254
30	2981080
31	3084348
32	3122859
33	3173251
34	3187440
35	3223276
36	3312260
37	3315471
38	3333429
39	3413644
40	3432475
41	3526764
42	3528368
43	3597671
44	3664688
45	3809542
46	3866194
47	3903094
48	3933092
49	3952256
50	4313728
51	4356789
52	4386304
53	4441802
54	4462647
55	4549052
56	4604245
57	4650656
58	4687420
59	4766384
60	4842763
61	5013650
62	5016716
63	5092292
64	5197488
65	5226771
66	5288145
67	5347516
68	5427524
69	5623776
70	5655781
71	5673893
72	5744821
73	5769436
74	5800027
75	5803646
76	5856380
77	5935407
78	6061614
79	6084760
80	6100842
81	6114289
82	6128614
83	6195542
84	6225031
85	6252477
86	6353731
87	6393769
88	6410639
89	6443399
90	6444400
91	6526406
92	6626205
93	6671328
94	6679087
95	6697049
96	6698526
97	6766190
98	6818904
99	6832565
100	6902688
101	7030404
102	7038513
103	7070251
104	7178627
105	7524461
106	7576019
107	7653234
108	7680948
109	7714060
110	7762374
111	7807248
112	7852003
113	7881220
114	7939499
115	7999910
116	8000477
117	8043792
118	8092473
119	8114600
120	8136355
121	8149687
122	8213291
123	8250856
124	8275105
125	8322646
126	8332892
127	8510974
128	8522855
129	8623808
130	8643369
131	8709369
132	8759467
133	8790119
134	8855798
135	8856241
136	8863627
137	8884241
138	8900196
139	9014648
140	9258490
141	9328583
142	9356022
143	9508215
144	9524153
145	9570293
146	9676375
147	9701955
148	9728928
149	9759701
150	9788568
151	9823481
152	9855624
153	9912839
154	9913554
155	9931784
156	10168243
157	10234497
158	10342611
159	10354947
160	10369841
161	10412709
162	10675561
163	10718769
164	10730286
165	10754350
166	10896655
167	10920190
168	10979758
169	11091732
170	11110120
171	11128992
172	11178792
173	11302479
174	11524472
175	11569337
176	11627750
177	11673886
