k	smorfs
1	2512
2	3172
3	24492
4	112131
5	114888
6	115890
7	123782
8	125184
9	188639
10	190045
11	192434
12	195136
13	197187
14	197901
15	231205
16	232590
17	233810
18	235769
19	236560
20	261239
21	308472
22	308537
23	406751
24	407240
25	411237
26	469598
27	515483
28	533788
29	545244
30	546088
31	546455
32	548599
33	550257
34	551309
35	632222
36	633405
37	635050
38	636688
39	664208
40	673452
41	711515
42	712412
43	713195
44	714410
45	724975
46	726263
47	746241
48	747479
49	748333
50	750886
51	751209
52	786423
53	787546
54	827380
55	828043
56	839821
57	848988
58	850473
59	852260
60	853104
61	854526
62	855540
63	857375
64	858693
65	873059
66	873936
67	895433
68	897501
69	1124803
70	1125617
71	1126907
72	1128613
73	1129641
74	1130669
75	1131371
76	1136439
77	1136641
78	1142498
79	1149698
80	1150399
81	1220609
82	1266482
83	1267833
84	1268948
85	1270573
86	1303988
87	1343369
88	1357816
89	1359568
90	1361076
91	1362150
92	1392170
93	1393116
94	1406377
95	1406992
96	1408031
97	1409019
98	1409790
99	1428455
100	1460746
101	1462383
102	1490667
103	1491608
104	1493372
105	1494896
106	1496221
107	1498614
108	1499347
109	1500310
110	1514329
111	1533491
112	1555548
113	1556267
114	1557222
115	1558029
116	1559210
117	1559829
118	1560150
119	1605125
120	1607207
121	1651396
122	1652244
123	1653761
124	1675010
125	1689814
126	1785426
127	1786722
128	1794686
129	1796161
130	1797368
131	1798237
132	1820730
133	1823061
134	1824614
135	1825404
136	1826703
137	1827602
138	1827850
139	1830029
140	1851453
141	1852209
142	1852846
143	1859530
144	1862326
145	1863742
146	1866535
147	1867377
148	1868078
149	1889166
150	1892957
151	1893805
152	1918883
153	1919020
154	1939494
155	1943870
156	1951301
157	1954095
158	1983478
159	1985970
160	1986717
161	1987018
162	1995543
163	1996259
164	2002907
165	2013572
166	2016826
167	2044062
168	2054040
169	2055411
170	2055946
171	2058368
172	2059406
173	2059577
174	2061193
175	2062360
176	2063898
177	2064565
178	2065322
179	2066339
180	2066585
181	2079534
182	2080650
183	2083870
184	2134580
185	2163968
186	2164415
187	2164989
188	2204536
189	2205218
190	2208593
191	2209353
192	2210126
193	2210764
194	2212555
195	2225559
196	2226122
197	2272947
198	2276949
199	2279067
200	2280212
201	2282176
202	2283278
203	2290296
204	2302121
205	2302927
206	2312844
207	2312849
208	2314242
209	2315240
210	2315248
211	2316026
212	2317748
213	2366084
214	2366861
215	2367919
216	2369465
217	2371702
218	2401928
219	2402905
220	2403730
221	2405009
222	2432456
223	2433181
224	2445230
225	2448904
226	2459773
227	2519624
228	2550942
229	2551494
230	2551636
231	2562683
232	2570437
233	2578519
234	2618205
235	2618744
236	2619456
237	2622579
238	2624388
239	2641246
240	2641939
241	2643252
242	2660555
243	2666613
244	2668013
245	2704150
246	2704997
247	2705158
248	2705874
249	2706360
250	2722325
251	2733009
252	2733563
253	2756119
254	2783526
255	2784503
256	2789173
257	2790045
258	2790553
259	2791243
260	2791947
261	2792679
262	2792777
263	2793420
264	2798259
265	2813946
266	2815240
267	2815350
268	2815550
269	2816228
270	2817248
271	2819172
272	2820821
273	2821802
274	2822786
275	2824257
276	2824419
277	2825975
278	2826509
279	2832279
280	2839657
281	2850012
282	2850539
283	2851175
284	2876188
285	2925785
286	2926382
287	2938551
288	2939303
289	2945675
290	2947574
291	2949181
292	2950397
293	2955526
294	2956291
295	2958462
296	2959216
297	2961521
298	2962036
299	2962772
300	2966226
301	2966915
302	2973281
303	2973712
304	2974267
305	2977213
306	2978226
307	2979769
308	2981220
309	2982753
310	2989611
311	2990680
312	2991918
313	2992900
314	2993877
315	2996882
316	2997604
317	2998077
318	2999338
319	3000124
320	3000257
321	3005805
322	3006670
323	3007763
324	3008231
325	3009009
326	3010577
327	3010908
328	3011504
329	3014716
330	3053647
331	3054722
332	3056280
333	3056813
334	3063736
335	3069433
336	3071289
337	3073137
338	3074008
339	3078987
340	3081482
341	3084694
342	3085633
343	3196840
344	3197513
345	3198782
346	3199327
347	3200235
348	3391340
349	3393367
350	3397037
351	3397663
352	3404762
353	3405578
354	3406052
355	3406616
356	3407791
357	3408273
358	3415568
359	3454463
360	3456783
361	3457641
362	3486739
363	3500528
364	3512346
365	3513641
366	3514345
367	3518359
368	3533841
369	3534652
370	3534723
371	3555726
372	3556386
373	3600270
374	3600778
375	3601327
376	3775097
377	3776056
378	3776726
379	3784588
380	3784676
381	3785993
382	3800855
383	3801562
384	3802091
385	3802608
386	3807136
387	3808007
388	3808977
389	3809435
390	3810345
391	3810853
392	3811390
393	3811489
394	3812868
395	3843053
396	3863533
397	3863876
398	3864901
399	3865601
400	3872359
401	3895047
402	3895433
403	3896483
404	3897962
405	3899790
406	3910282
407	3931601
408	3936531
409	4029284
410	4029775
411	4030689
412	4031736
413	4032388
414	4033231
415	4062810
416	4081717
417	4082082
418	4082512
419	4085350
420	4121188
421	4133657
422	4134479
423	4135399
424	4135860
425	4136406
426	4185137
427	4202833
428	4203287
429	4218265
430	4219715
431	4220403
