k	smorfs
1	110926
2	117494
3	118033
4	194702
5	203733
6	204555
7	424391
8	812815
9	856976
10	857668
11	1179804
12	1214374
13	1224053
14	1280997
15	1569437
16	1572372
17	1897723
18	1909183
19	2188154
20	2188239
21	2198553
22	2364348
23	2365163
24	2373252
25	2374010
26	2379175
27	2387720
28	2393146
29	2435508
30	2526464
31	2539869
32	2540997
33	2543531
34	2580940
35	2584166
36	2625642
37	2637707
38	2645301
39	2646586
40	2649351
41	2705728
42	2745237
43	2802178
44	2807426
45	2808445
46	2864825
47	2930235
48	2944662
49	2957433
50	3324897
51	3327726
52	3351075
53	3407040
54	3416846
55	3473834
56	3613106
57	3616761
58	3620947
59	3633650
60	3731899
61	3914031
62	3980219
63	3984067
64	4113185
65	4120077
66	4122005
67	4151743
68	4153427
69	4154616
70	4157033
71	4192607
72	4195069
73	4255319
74	4284984
75	4337527
76	4343773
77	4354024
78	4357765
79	4399723
80	4409274
81	4430512
82	4435036
83	4435196
84	4453303
85	4541452
86	4551464
87	4798453
88	4977752
89	4987447
90	4994597
91	5008199
92	5014350
93	5053108
94	5102846
95	5152902
96	5153833
97	5179787
98	5232029
99	5263217
100	5322493
101	5328393
102	5427747
103	5451406
104	5458855
105	5478110
106	5503004
107	5513865
108	5526352
109	5527266
110	5590699
111	5758945
112	5811133
113	5915411
114	5942695
115	6174340
116	6174980
117	6175137
118	6199426
119	6225731
120	6246145
121	6252135
122	6275784
123	6279458
124	6280401
125	6322906
126	6626752
127	6786542
128	6787776
129	6788249
130	6790772
131	6794577
132	6846642
133	6851409
134	6870875
135	6888687
136	6924826
137	6944130
138	6951777
139	6964535
140	6974078
141	7020118
142	7022625
143	7034476
144	7408665
145	7450641
146	7468318
147	7508865
148	7536969
149	7537716
150	7545044
151	7546686
152	7548198
153	7590531
154	7593532
155	7604394
156	7640865
157	7685439
158	7688186
159	7698348
160	7699584
161	7707949
162	7710807
163	7738483
164	7738876
165	7756514
166	7761870
167	7807791
168	7809203
169	7916701
170	7940673
171	7990293
172	8212934
173	8215911
174	8219676
175	8222380
176	8226452
177	8251400
178	8312851
179	8358806
180	8360473
181	8434114
182	8556269
183	8561639
184	8562516
