k	smorfs
1	40582
2	71460
3	92191
4	95712
5	99637
6	136143
7	141728
8	144137
9	146096
10	148912
11	169271
12	178988
13	196025
14	204125
15	213273
16	236178
17	238226
18	251691
19	254569
20	267674
21	272588
22	283055
23	284438
24	287397
25	298064
26	298659
27	298873
28	334396
29	336483
30	347876
31	349501
32	370011
33	370512
34	372472
35	376015
36	388028
37	393545
38	396324
39	401441
40	402729
41	402887
42	407901
43	414088
44	429067
45	439625
46	446050
47	448374
48	449156
49	453189
50	453576
51	462055
52	462535
53	469498
54	469560
55	503403
56	537111
57	538256
58	539660
59	540558
60	541590
61	552329
62	553814
63	561352
64	602693
65	608443
66	614237
67	619814
68	621274
69	632488
70	647781
71	658405
72	658835
73	659341
74	672983
75	673813
76	678409
77	679586
78	694556
79	730972
80	755120
81	755200
82	759455
83	770192
84	773667
85	776683
86	787381
87	796194
88	822551
89	824584
90	842639
91	864425
92	868593
93	872620
94	896123
95	915102
96	916959
97	917121
98	917509
99	917933
100	936315
101	939744
102	941318
103	963386
104	964911
105	975545
106	978972
107	1000292
108	1000339
109	1040134
110	1060639
111	1095947
112	1100458
113	1131428
114	1151851
115	1156182
116	1158949
117	1161437
118	1178238
119	1178294
120	1205663
121	1208072
122	1217615
123	1219220
124	1238077
125	1239265
126	1242022
127	1242480
128	1242798
129	1275485
130	1292106
131	1296753
132	1300896
133	1302267
134	1312833
135	1312908
136	1318474
137	1321341
138	1338343
139	1342971
140	1346911
141	1349109
142	1359106
143	1375891
144	1392358
145	1418170
146	1418297
147	1422712
148	1428249
149	1440448
150	1443723
151	1452095
152	1456256
153	1457255
154	1459744
155	1462817
156	1463272
157	1465015
158	1465660
159	1467159
160	1493139
161	1509899
162	1525550
163	1532627
164	1535424
165	1537144
166	1541609
167	1575450
168	1577376
169	1580723
170	1582244
171	1584737
172	1610366
173	1612238
174	1615437
175	1632921
176	1634635
177	1636655
178	1639908
179	1642139
180	1657140
181	1679036
182	1683559
183	1683778
184	1685543
185	1687601
186	1708908
187	1711197
188	1712447
189	1724818
190	1749457
191	1772042
192	1783637
193	1787848
194	1788927
195	1789521
196	1792586
197	1800254
198	1802487
199	1802598
200	1807021
201	1808569
202	1817779
203	1817998
204	1848446
205	1851502
206	1860041
207	1866829
208	1868459
209	1892668
210	1896361
211	1903707
212	1906096
213	1928815
214	1940203
215	1974318
216	1981490
217	1985486
218	1988121
219	2012010
220	2013276
221	2040563
222	2058088
223	2058189
224	2061905
225	2067088
226	2068038
227	2070672
228	2070759
229	2077812
230	2081879
231	2087096
232	2087237
233	2089862
234	2095911
235	2096185
236	2097472
237	2097648
238	2099443
239	2101600
240	2112497
241	2113657
242	2113850
243	2114197
244	2124345
245	2124399
246	2133554
247	2143804
248	2144617
249	2157625
250	2161662
251	2161676
252	2161978
253	2163542
254	2188260
255	2194849
256	2209061
257	2209707
258	2224274
259	2231020
260	2231785
261	2249451
262	2256830
263	2257018
264	2259321
265	2259505
266	2272424
267	2274998
268	2281619
269	2300908
270	2305017
271	2329620
272	2331999
273	2337009
274	2337485
275	2352373
276	2354354
277	2356583
278	2367728
279	2367734
280	2370983
281	2387991
282	2390091
283	2408320
284	2413867
285	2420157
286	2438750
287	2439759
288	2445045
289	2449235
290	2450674
291	2451501
292	2466926
293	2467569
294	2468026
295	2468065
296	2469823
297	2482400
298	2483517
299	2493261
300	2511331
301	2520320
302	2532346
303	2534055
304	2534101
305	2534138
306	2559070
307	2563644
308	2584582
309	2585065
310	2590087
311	2591122
312	2606075
313	2631389
314	2632210
315	2632754
316	2645280
317	2646688
318	2647421
319	2659279
320	2684067
321	2684879
322	2685014
323	2694826
324	2695538
325	2708673
326	2713391
327	2713668
328	2713994
329	2720154
330	2737203
331	2739800
332	2746960
333	2748160
334	2752912
335	2753362
336	2768904
337	2782778
338	2786425
339	2788913
340	2800921
341	2816228
342	2822778
343	2832261
344	2857915
345	2860579
346	2861680
347	2862501
348	2862867
349	2863173
350	2865668
351	2866967
352	2879002
353	2880348
354	2881099
355	2883568
356	2898036
357	2898863
358	2907150
359	2911190
360	2911656
361	2912409
362	2932111
363	2934877
364	2936859
365	2946110
366	2950807
367	2967886
368	2969649
369	2972484
370	2985880
371	2986651
372	2988889
373	2998344
374	2999455
375	2999841
376	2999894
377	3014474
378	3018032
379	3018691
380	3045025
381	3045039
382	3045377
383	3047601
384	3048550
385	3050684
386	3052082
387	3063095
388	3063634
389	3064249
390	3069428
391	3070476
392	3089616
393	3090394
394	3112228
395	3124019
396	3129359
397	3131426
398	3149010
399	3162368
400	3172503
401	3172534
402	3173849
403	3173868
404	3173940
405	3177165
406	3185357
407	3185706
408	3205829
409	3206277
410	3227193
411	3227709
412	3228838
413	3238633
414	3261052
415	3272198
416	3275474
417	3275571
418	3281826
419	3288246
420	3288993
421	3294876
422	3320021
423	3323589
424	3336697
425	3358558
426	3359792
427	3360040
428	3363243
429	3375256
430	3380298
431	3381027
432	3407952
433	3423901
434	3424228
435	3433169
436	3441942
437	3442876
438	3444835
439	3452733
440	3464679
441	3466715
442	3467128
443	3470349
444	3470780
445	3471093
446	3483165
447	3483237
448	3484875
449	3505484
