k	smorfs
1	6410
2	7617
3	9333
4	13023
5	13994
6	36462
7	37795
8	38868
9	39863
10	41569
11	45961
12	47149
13	52170
14	53467
15	54430
16	57138
17	58781
18	59461
19	60219
20	61117
21	106255
22	107967
23	113046
24	114471
25	116333
26	117608
27	119359
28	120239
29	124542
30	125352
31	126308
32	126872
33	183661
34	185197
35	186118
36	187186
37	189833
38	192006
39	194909
40	212987
41	214067
42	215974
43	217610
44	219529
45	220599
46	222404
47	223301
48	241133
49	242619
50	243469
51	244542
52	246602
53	247590
54	248669
55	249561
56	250418
57	254170
58	255068
59	255934
60	257650
61	258741
62	260289
63	261356
64	262347
65	264299
66	269163
67	270322
68	271235
69	296129
70	296663
71	298315
72	300355
73	301862
74	303086
75	304069
76	304790
77	305728
78	306450
79	307842
80	348587
81	349266
82	350716
83	351585
84	352875
85	353867
86	354368
87	356174
88	356901
89	358843
90	359740
91	360185
92	370390
93	371957
94	376017
95	427436
96	429447
97	430596
98	431440
99	432895
100	433532
101	434238
102	435688
103	441131
104	441391
105	442182
106	443018
107	443842
108	445124
109	446752
110	448064
111	450187
112	452755
113	456333
114	458213
115	496966
116	498225
117	500411
118	501769
119	503112
120	504395
121	523767
122	526074
123	527344
124	528588
125	530976
126	531533
127	533804
128	535134
129	544119
130	545661
131	547100
132	547880
133	548781
134	550179
135	552367
136	554365
137	555142
138	556629
139	558879
140	581914
141	607403
142	608578
143	609484
144	615579
145	616743
146	617859
147	620599
148	637352
149	638696
150	659752
151	661273
152	661879
153	662560
154	663805
155	664439
156	665342
157	666076
158	666912
159	667670
160	668171
161	669103
162	672203
163	673410
164	674646
165	675482
166	676065
167	677765
168	678681
169	680646
170	682398
171	682998
172	684718
173	686142
174	686623
175	688367
176	688961
177	691089
178	691877
179	693378
180	694211
181	695104
182	729478
183	730287
184	732281
185	733247
186	769364
187	771112
188	773014
189	774816
190	775679
191	776618
192	777841
193	779113
194	779612
195	780395
196	797618
197	801199
198	802338
199	803152
200	805584
201	807292
202	808614
203	810383
204	811125
205	811694
206	821361
207	825912
208	826663
209	827991
210	829400
211	830246
212	830966
213	831966
214	840800
215	841486
216	857513
217	858354
218	858746
219	859762
220	866338
221	867698
222	870136
223	870982
224	871629
225	873746
226	874623
227	875710
228	883139
229	883944
230	917655
231	918880
232	920626
233	922152
234	923126
235	944185
236	945273
237	946081
238	1004818
239	1005368
240	1006300
241	1016537
242	1017318
243	1027528
244	1028579
245	1029554
246	1030579
247	1031370
248	1032741
249	1033353
250	1048678
251	1051333
252	1052288
253	1053455
254	1054235
255	1057694
256	1058789
257	1064239
258	1065532
259	1066512
260	1067770
261	1068758
262	1070545
263	1071332
264	1072317
265	1072877
266	1073800
267	1074406
268	1076188
269	1077668
270	1091410
271	1092082
272	1092731
273	1093418
274	1094091
275	1095473
276	1096023
277	1097020
278	1097588
279	1098892
280	1099801
281	1100481
282	1101347
283	1103153
284	1103582
285	1105019
286	1105942
287	1179967
288	1236573
289	1237630
290	1257450
291	1258166
292	1259254
293	1259886
294	1261439
295	1264079
296	1264614
297	1266004
298	1275581
299	1277274
300	1278079
301	1278542
302	1280126
303	1280586
304	1282079
305	1282437
306	1283318
307	1284663
308	1285595
309	1286772
310	1287496
311	1288149
312	1289179
313	1289823
314	1290983
315	1291716
316	1293185
317	1293942
318	1294451
319	1295834
320	1308311
321	1309333
322	1320713
323	1321343
324	1322102
325	1323173
326	1324305
327	1324835
328	1325575
329	1335338
330	1336689
331	1337584
332	1338143
333	1338951
334	1339313
335	1340433
336	1340979
337	1341892
338	1342494
339	1343698
340	1344204
341	1345758
342	1346205
343	1346954
344	1347955
345	1358489
346	1359071
347	1359607
348	1360705
349	1362320
350	1363283
351	1364014
352	1364631
353	1366038
354	1367234
355	1368509
356	1369210
357	1370109
358	1370775
359	1371754
360	1372688
361	1373277
362	1374088
363	1374648
364	1381157
365	1381800
366	1382635
367	1383177
368	1383967
369	1385554
370	1386381
371	1387423
372	1387936
373	1389150
374	1390030
375	1390647
376	1391619
377	1416984
378	1418537
379	1419045
380	1419601
381	1420504
382	1421361
383	1422057
384	1422469
385	1423657
386	1424164
387	1425353
388	1425879
389	1426788
390	1613698
391	1614057
392	1615004
393	1616225
394	1616681
395	1622175
396	1622769
397	1623447
398	1629530
399	1629888
400	1630711
401	1631898
402	1633219
403	1634074
404	1635272
405	1635823
406	1636350
407	1637205
408	1637805
409	1638404
410	1639140
411	1640215
412	1640726
413	1641488
414	1641976
415	1642637
416	1647823
417	1648346
418	1670966
419	1671470
420	1672309
421	1672908
422	1674453
423	1675042
424	1675447
425	1677480
426	1678148
427	1678542
428	1679203
429	1679728
430	1680167
431	1680776
432	1681438
433	1704013
434	1712961
435	1713427
436	1714270
437	1714843
438	1715393
439	1716017
440	1716683
441	1721394
442	1722051
443	1722488
444	1722959
445	1723452
446	1724409
447	1725119
448	1727728
449	1728448
450	1729193
451	1733475
452	1734358
453	1735406
454	1735941
455	1736742
456	1737119
457	1808693
458	1810838
459	1811592
460	1812762
461	1813192
462	1813633
463	1814116
464	1814518
465	1814959
466	1815297
467	1824011
468	1824358
469	1825242
470	1825680
471	1826279
472	1861412
473	1861782
474	1862400
475	1862793
476	1863632
477	1864551
478	1865102
479	1865558
480	1866512
481	1867193
482	1867626
483	1868172
484	1869111
485	1869815
486	1870646
487	1872167
488	1872541
