k	smorfs
1	10371
2	14671
3	34026
4	51320
5	54656
6	58136
7	65192
8	66390
9	68061
10	71756
11	74971
12	87071
13	90210
14	93063
15	100456
16	105935
17	119713
18	128356
19	130204
20	131226
21	132032
22	141150
23	141543
24	146087
25	147133
26	169385
27	169802
28	175349
29	176839
30	183966
31	186305
32	194012
33	201674
34	220611
35	241106
36	243911
37	249465
38	249688
39	251520
40	254253
41	257136
42	261761
43	267477
44	286200
45	293345
46	305624
47	309688
48	316282
49	327556
50	329416
51	330333
52	332196
53	337392
54	339333
55	342116
56	348747
57	351626
58	356442
59	357366
60	357483
61	372556
62	392069
63	397671
64	400549
65	409644
66	414395
67	417583
68	426209
69	428047
70	436811
71	495202
72	518412
73	524538
74	538104
75	540092
76	566283
77	568356
78	571151
79	576428
80	579859
81	585922
82	588811
83	599057
84	599333
85	606622
86	620689
87	626201
88	630036
89	637577
90	643153
91	644386
92	652248
93	655259
94	664772
95	674090
96	681324
97	689870
98	696216
99	702445
100	712268
101	735509
102	750477
103	751981
104	759472
105	764505
106	777056
107	795634
108	807668
109	824744
110	830960
111	832418
112	835603
113	836537
114	841399
115	842854
116	845737
117	849369
118	852435
119	858202
120	865692
121	865741
122	866751
123	867117
124	875196
125	892966
126	898092
127	904385
128	913575
129	946390
130	946469
131	953472
132	959750
133	967240
134	975739
135	976058
136	977448
137	979182
138	979218
139	994271
140	999267
141	999692
142	1007878
143	1010541
144	1018555
145	1020422
146	1040543
147	1084784
148	1092356
149	1093297
150	1105458
151	1117322
152	1117788
153	1118902
154	1121722
155	1136407
156	1138373
157	1151279
158	1154821
159	1166829
160	1168422
161	1169330
162	1177062
163	1178650
164	1182374
165	1187443
166	1191233
167	1197223
168	1203527
169	1207266
170	1212732
171	1231311
172	1233927
173	1235490
174	1237305
175	1237489
176	1241300
177	1244476
178	1252365
179	1256802
180	1259903
181	1265836
182	1272530
183	1280750
184	1286269
185	1286528
186	1288393
187	1291928
188	1294343
189	1294683
190	1306847
191	1307772
192	1311037
193	1314011
194	1319380
195	1328956
196	1330765
197	1341127
198	1352484
199	1406341
200	1412006
201	1415335
202	1419705
203	1426548
204	1434450
205	1437023
206	1440621
207	1447787
208	1459296
209	1474973
210	1509875
211	1524266
212	1524296
213	1527040
214	1533753
215	1543702
216	1544762
217	1547325
218	1556873
219	1568547
220	1572249
221	1578123
222	1586434
223	1589707
224	1590156
225	1594218
226	1604866
227	1605602
228	1606926
229	1607741
230	1612682
231	1617900
232	1620785
233	1642404
234	1644855
235	1653474
236	1659856
237	1674896
238	1675258
239	1693488
240	1701072
241	1703148
242	1714714
243	1715848
244	1717299
245	1718221
246	1721093
247	1731141
248	1734572
249	1734819
250	1741403
251	1748651
252	1765393
253	1768477
254	1768483
255	1783177
256	1800887
257	1801851
258	1805538
259	1808556
260	1813030
261	1820562
262	1822511
263	1830237
264	1833818
265	1877161
266	1879647
267	1882477
268	1884173
269	1886443
270	1887315
271	1889721
272	1896351
273	1901695
274	1905367
275	1920664
276	1923992
277	1931756
278	1932702
279	1938486
280	1940534
281	1963279
282	1968468
283	1975375
284	1987606
285	2000807
