k	smorfs
1	15819
2	57585
3	105019
4	125586
5	135858
6	137700
7	167657
8	194486
9	202949
10	246227
11	268703
12	272002
13	301254
14	336975
15	366790
16	371039
17	372921
18	404482
19	413770
20	443743
21	450508
22	452178
23	486063
24	490788
25	500507
26	524513
27	550221
28	553810
29	577081
30	631301
31	633816
32	636469
33	639046
34	642232
35	670258
36	734514
37	737190
38	751626
39	766131
40	790599
41	852866
42	897706
43	901366
44	912933
45	919329
46	957000
47	961137
48	1001600
49	1030915
50	1036177
51	1037369
52	1081411
53	1105531
54	1112172
55	1116929
56	1144351
57	1147105
58	1173228
59	1211922
60	1214131
61	1232915
62	1235148
63	1292522
64	1292568
65	1323782
66	1339461
67	1361978
68	1394409
69	1444389
70	1458248
71	1464859
72	1470137
73	1501996
74	1511391
75	1526352
76	1537287
77	1555436
78	1586469
79	1602994
80	1615314
81	1644860
82	1652229
83	1682551
84	1684077
85	1705602
86	1726149
87	1738064
88	1760019
89	1781157
90	1786713
91	1800645
92	1832518
93	1851165
94	1858046
95	1890012
96	1894346
97	1946241
98	1992103
99	2074676
100	2089192
101	2090344
102	2119340
103	2142875
104	2152208
105	2156328
106	2159844
107	2160320
108	2163920
109	2170263
110	2174613
111	2202698
112	2218468
113	2256925
114	2289642
115	2293895
116	2303092
117	2315977
118	2320201
119	2331424
120	2341136
121	2347648
122	2352436
123	2356001
124	2378451
125	2403243
126	2404710
127	2412648
128	2414970
129	2416870
130	2438798
131	2459027
132	2463786
133	2489647
134	2520967
135	2527572
136	2540712
137	2544933
138	2546482
139	2562796
140	2563093
141	2564905
142	2594991
143	2603959
144	2623056
145	2639886
146	2656872
147	2657115
148	2696448
149	2704854
150	2714758
151	2736894
152	2738099
153	2766574
154	2794889
155	2806067
156	2808385
157	2828321
158	2838699
159	2842009
160	2844819
161	2905198
162	2913185
163	2928833
164	2943579
165	2969037
166	2970434
167	3000074
168	3013359
169	3023331
170	3032596
171	3032626
172	3045274
173	3045856
174	3075077
175	3089118
176	3122062
177	3144627
178	3170826
179	3172208
180	3183727
181	3186058
182	3190462
183	3200615
184	3216067
185	3240284
186	3246111
187	3272773
188	3275856
189	3279707
190	3302914
191	3315076
192	3323760
193	3363932
194	3377203
195	3381629
196	3388198
197	3388729
198	3391896
199	3394635
200	3431287
201	3436656
202	3442533
203	3450076
204	3454076
205	3457892
206	3461258
207	3474009
208	3477279
209	3481955
210	3499804
211	3514530
212	3544322
213	3609895
214	3616940
215	3638649
216	3653281
217	3676541
218	3680305
219	3716719
220	3721230
221	3735321
222	3755526
223	3773478
224	3776473
225	3798224
226	3809658
227	3812673
228	3816710
229	3820168
230	3844123
231	3854681
232	3882853
233	3914016
234	3936542
235	3949309
236	3959255
237	3967197
238	4000299
239	4001803
240	4006378
241	4009768
242	4019058
243	4025194
244	4053811
245	4061625
246	4075619
247	4081789
248	4091143
249	4093545
250	4109942
251	4123132
252	4138448
253	4139509
254	4157288
255	4173953
256	4183655
257	4199237
258	4206047
259	4214685
260	4216593
261	4217951
262	4238858
263	4251913
264	4257528
265	4273054
266	4289715
267	4291032
268	4316645
269	4317984
270	4325512
271	4371319
272	4401840
273	4437003
274	4438985
275	4443148
276	4454273
277	4476945
278	4492075
279	4506053
280	4547170
281	4565451
282	4565901
283	4570637
284	4581395
285	4598576
286	4599685
287	4606726
288	4615160
289	4618702
290	4621093
291	4639335
292	4671727
293	4675588
294	4691510
295	4697648
296	4711589
297	4735544
298	4737078
299	4743443
300	4752051
301	4763264
302	4769519
303	4770563
304	4779529
305	4784784
306	4787452
307	4802412
308	4807246
309	4808845
310	4818450
311	4829430
312	4853798
313	4854616
314	4873125
315	4889729
316	4909982
317	4917281
318	4921289
319	4930891
320	4934248
321	4950760
322	4962506
323	4966305
324	4970278
325	4970442
326	5011677
327	5015110
328	5022442
329	5033742
330	5080188
331	5096059
332	5097086
333	5106970
334	5108156
335	5112478
336	5116713
337	5148609
338	5156044
339	5156962
340	5164061
341	5184136
342	5194056
343	5200913
344	5210579
345	5219334
346	5227370
347	5234700
348	5256784
349	5261980
350	5270186
351	5273881
352	5278643
353	5336618
354	5350957
355	5387742
356	5391480
357	5400067
358	5410719
359	5416465
360	5441061
361	5475512
362	5515291
363	5559228
364	5571315
365	5575300
366	5585576
367	5589058
368	5594221
369	5622923
370	5636488
371	5648382
372	5655929
373	5667646
374	5677784
375	5679454
376	5703613
377	5717737
378	5721206
379	5739798
380	5752367
381	5755887
382	5767672
383	5782055
384	5807928
385	5829110
386	5838865
387	5839643
388	5847389
389	5860893
390	5863538
391	5872164
392	5897455
393	5898500
394	5899081
395	5903174
396	5907442
397	5914042
398	5915381
399	5922093
400	5938213
401	5951555
402	5953326
403	5968894
404	5976383
405	5977789
406	5980222
407	6007711
408	6020824
409	6031032
410	6034792
411	6058998
412	6067995
413	6096940
414	6097925
415	6109797
416	6111610
417	6120179
418	6134834
419	6135219
420	6148307
421	6170554
422	6172859
423	6204014
424	6206658
425	6222709
426	6246139
427	6246589
428	6250320
429	6254892
430	6271733
431	6274219
432	6275417
433	6278262
434	6281788
435	6285968
436	6290826
437	6297780
438	6299723
439	6306482
440	6321996
441	6338716
442	6340103
443	6350004
444	6350067
445	6350645
446	6352721
447	6364384
448	6378068
449	6379503
450	6389643
451	6399480
452	6403999
453	6413390
454	6417065
455	6421104
456	6443719
457	6479149
458	6500047
459	6519660
460	6531442
461	6539316
462	6548931
463	6559650
464	6562014
465	6579778
466	6583592
467	6592534
468	6595096
469	6601804
470	6607687
471	6615499
472	6623565
473	6627330
474	6637021
475	6637071
476	6639987
477	6648953
478	6654271
479	6778543
480	6780732
481	6782551
482	6792330
483	6800348
484	6803885
485	6808782
486	6810328
487	6812328
488	6820347
489	6824127
490	6833932
491	6844197
492	6849236
493	6861405
494	6868829
495	6902365
496	6910083
497	6919273
498	6955818
499	6964941
500	6966743
501	6971779
502	6993939
503	6996321
504	7008140
505	7016225
506	7022029
507	7040123
508	7050963
509	7078085
510	7102823
511	7115919
512	7143775
513	7154708
514	7159536
515	7172423
516	7173725
517	7188987
518	7197665
519	7202053
520	7213413
521	7223105
522	7233241
523	7242201
524	7251861
525	7251903
526	7271866
527	7273790
528	7276365
529	7277161
530	7277840
531	7291780
532	7295089
533	7306359
534	7317738
535	7322568
536	7322947
537	7323667
538	7353352
539	7359413
540	7375262
541	7376325
542	7378496
543	7392168
544	7402037
545	7405307
546	7426739
547	7447183
548	7451004
549	7461093
550	7474928
551	7479802
552	7493749
553	7494982
554	7495490
555	7506151
556	7509081
557	7511874
558	7512832
559	7529483
560	7539846
561	7544065
562	7545738
563	7556196
564	7572546
565	7575849
566	7589698
567	7595368
568	7607615
569	7640462
570	7647576
571	7672793
572	7676050
573	7678193
574	7697040
575	7698730
576	7702599
577	7710872
578	7715434
579	7726405
580	7750612
581	7761841
582	7763895
583	7766775
584	7770823
585	7775888
586	7779837
587	7785332
588	7793883
589	7813738
590	7819592
591	7837389
592	7847503
593	7862013
594	7872157
595	7875004
596	7875214
597	7891041
598	7891880
599	7894925
600	7919308
601	7936594
602	7938294
603	7942124
604	7949884
605	7990012
606	8001133
607	8007521
608	8018824
609	8032856
610	8038361
611	8056363
612	8075574
613	8078490
614	8078761
615	8087119
616	8090180
617	8093507
618	8098667
619	8111715
620	8114075
621	8132639
622	8132971
623	8135987
624	8140013
625	8142037
626	8148780
627	8168853
628	8177008
629	8194637
630	8205806
631	8214195
632	8216103
633	8231570
634	8272573
635	8273249
636	8275825
637	8287418
638	8288027
639	8295101
640	8304139
641	8314672
642	8322895
643	8324593
644	8331879
645	8336939
646	8337313
647	8346040
648	8366168
649	8378029
650	8389339
651	8391212
652	8402518
653	8403140
654	8408872
655	8409807
656	8423497
657	8431933
658	8443331
659	8461459
660	8473739
661	8483258
662	8507256
663	8515752
664	8525295
665	8527158
666	8533302
667	8535527
668	8536236
669	8542730
670	8552806
671	8558466
672	8565962
673	8572241
674	8573406
675	8577549
676	8581057
677	8584086
678	8585283
679	8600297
680	8602085
681	8603626
682	8605362
683	8607731
684	8609296
685	8613271
686	8636650
687	8649079
688	8664545
689	8700447
690	8705230
691	8705552
692	8722728
693	8732969
694	8733494
695	8745538
696	8756071
697	8761224
698	8768197
699	8780687
700	8797312
701	8812459
702	8812853
703	8820319
704	8820625
705	8823705
706	8839148
707	8844789
708	8850524
709	8856540
710	8857130
711	8879551
712	8881278
713	8899894
714	8914449
715	8916938
716	8919891
717	8929412
718	8930580
719	8931369
720	8937110
721	8937571
722	8946725
723	8960552
724	8963479
725	8973855
726	8978675
727	8981818
728	8986197
729	8999480
730	9008814
731	9026892
732	9031747
733	9035951
734	9052026
735	9058978
736	9063160
737	9085580
738	9112928
739	9119094
740	9120913
741	9125148
742	9128350
743	9147805
744	9156915
745	9162549
746	9172044
747	9176869
748	9179595
749	9188350
750	9191488
751	9191842
752	9194550
753	9208817
754	9219840
755	9226247
756	9233902
757	9239567
758	9259221
759	9262774
760	9262887
761	9264533
762	9267742
763	9277287
764	9289690
765	9315170
766	9341710
767	9341784
768	9342927
769	9343839
770	9354624
771	9357580
772	9374075
773	9377729
774	9385081
775	9396055
776	9410509
777	9419676
778	9430942
779	9433220
780	9453905
781	9458718
782	9467886
783	9469518
784	9492190
785	9506042
786	9519131
787	9530855
788	9541831
789	9561906
790	9581188
791	9584024
792	9587807
793	9596772
794	9600756
795	9607981
796	9609444
797	9613333
798	9636926
799	9650491
800	9658503
801	9662291
802	9665757
803	9696812
804	9700410
805	9715031
806	9717633
807	9724257
808	9733247
809	9739234
810	9750212
811	9784639
812	9790088
813	9792038
814	9798656
815	9811093
816	9832314
817	9835920
818	9850061
819	9883694
820	9901868
821	9919098
822	9932662
823	9938475
824	9952508
825	9955072
826	9972427
827	9975804
828	9979904
829	9988516
830	9996827
831	10002789
832	10012689
833	10020839
834	10022723
835	10027621
836	10037562
837	10037914
838	10042314
839	10049714
840	10050846
841	10054209
842	10054582
843	10063939
844	10070326
845	10074363
846	10080403
847	10080690
848	10083867
849	10086642
850	10120598
851	10122260
852	10123072
853	10125108
854	10131704
855	10134535
856	10140304
857	10143154
858	10143685
859	10148665
860	10154984
861	10179018
862	10191825
863	10204264
864	10205510
865	10215143
866	10216216
867	10220840
868	10229372
869	10244054
870	10257490
871	10263854
872	10265965
873	10271615
874	10274191
875	10274976
876	10279750
877	10283485
878	10293850
879	10311415
880	10333611
881	10359586
882	10360959
883	10366733
884	10376023
885	10376564
886	10386048
887	10391634
888	10401754
889	10405623
890	10420485
891	10430435
892	10443171
893	10456745
894	10462658
895	10465898
896	10498865
897	10502078
898	10509617
899	10539071
900	10543811
901	10565712
902	10570432
903	10578324
904	10583559
905	10593474
906	10598505
907	10603426
908	10622522
909	10626397
910	10632600
911	10638779
912	10644052
913	10650780
914	10655844
915	10665264
916	10677052
917	10691147
918	10692067
919	10716453
920	10752225
921	10752735
922	10757401
923	10764402
924	10773810
925	10779157
926	10805458
927	10807551
928	10809222
929	10829431
930	10835400
931	10840226
932	10848323
933	10850972
934	10856094
935	10862320
936	10880202
937	10904850
938	10907455
939	10915456
940	10916783
941	10920370
942	10932322
943	10939223
944	10946622
945	10985297
946	11003150
947	11004673
948	11006330
949	11012970
950	11025290
951	11025897
952	11027728
953	11032173
954	11032454
955	11040781
956	11048463
957	11068917
958	11071558
959	11083623
960	11093826
961	11099553
962	11103202
963	11107024
964	11117190
965	11119176
966	11134199
967	11135812
968	11146423
969	11158882
970	11165731
971	11168768
972	11173872
973	11190247
974	11205733
975	11207657
976	11208132
977	11214265
978	11224400
979	11239746
980	11246973
981	11283286
982	11295209
983	11297434
984	11298200
985	11304590
986	11319889
987	11321875
988	11327103
989	11329182
990	11334777
991	11340638
992	11346498
993	11350982
994	11370032
995	11373865
996	11378627
997	11399841
998	11407196
999	11412777
1000	11415501
1001	11436865
1002	11445226
1003	11449306
1004	11451596
1005	11452013
1006	11455431
1007	11457459
1008	11462304
1009	11467714
1010	11470970
1011	11478349
1012	11492258
1013	11500949
1014	11506790
1015	11507123
1016	11517010
1017	11527140
1018	11538296
1019	11550736
1020	11558760
1021	11561676
1022	11574723
1023	11584853
1024	11613738
1025	11625338
1026	11632062
1027	11647848
1028	11653493
1029	11654369
1030	11660287
1031	11665002
1032	11670427
1033	11673789
1034	11685715
1035	11688491
1036	11690031
1037	11698065
1038	11705444
1039	11711387
1040	11725700
1041	11732157
1042	11743299
1043	11754797
1044	11767490
1045	11767721
1046	11784037
1047	11790384
1048	11792213
1049	11793193
1050	11808679
1051	11822137
1052	11831783
1053	11840844
1054	11847353
1055	11857920
1056	11865845
1057	11866274
1058	11894709
1059	11915854
1060	11917365
1061	11918752
1062	11923827
1063	11925422
1064	11932121
1065	11946753
1066	11954111
1067	11967355
1068	11967946
1069	11972850
1070	11973934
1071	11988161
1072	11993092
1073	12001004
1074	12010765
1075	12023038
1076	12045535
1077	12053788
1078	12060850
1079	12063239
1080	12063609
1081	12071921
1082	12077088
1083	12097078
1084	12100005
1085	12100495
1086	12112639
1087	12120540
1088	12121224
1089	12128446
1090	12145637
