k	smorfs
1	20215
2	28866
3	53487
4	106813
5	138715
6	165937
7	165981
8	178297
9	179308
10	198459
11	227704
12	272089
13	273249
14	275634
15	279217
16	305119
17	307602
18	312918
19	312934
20	337813
21	360830
22	408570
23	415205
24	438573
25	451891
26	477601
27	495554
28	522890
29	540764
30	578558
31	610611
32	622323
33	631519
34	668675
35	681036
36	712832
37	716602
38	735716
39	742175
40	751329
41	761914
42	768116
43	769795
44	792256
45	800872
46	815718
47	832537
48	838217
49	839692
50	854067
51	876472
52	882195
53	884985
54	890590
55	895380
56	898023
57	903573
58	925983
59	958939
60	987426
61	1016630
62	1020537
63	1043003
64	1060498
65	1071400
66	1077493
67	1108254
68	1114664
69	1139151
70	1154824
71	1156365
72	1187364
73	1204305
74	1215636
75	1231319
76	1233684
77	1255019
78	1267099
79	1276076
80	1289413
81	1304460
82	1317273
83	1328445
84	1337250
85	1340519
86	1363418
87	1372774
88	1382555
89	1400141
90	1421634
91	1430482
92	1443959
93	1450664
94	1451628
95	1466282
96	1492314
97	1505394
98	1535583
99	1557576
100	1569899
101	1582164
102	1603377
103	1604464
104	1620316
105	1628909
106	1645757
107	1656813
108	1664556
109	1669749
110	1674158
111	1696192
112	1698465
113	1701293
114	1702986
115	1726943
116	1733527
117	1736571
118	1751919
119	1755135
120	1766459
121	1767806
122	1770891
123	1795586
124	1800928
125	1812419
126	1842615
127	1850072
128	1851966
129	1863391
130	1874465
131	1893922
132	1897130
133	1905664
134	1922034
135	1931340
136	1939494
137	1958746
138	1971410
139	1987261
140	1998778
141	1999136
142	2010033
143	2016134
144	2036381
145	2039326
146	2040217
147	2057519
148	2060179
149	2068483
150	2079599
151	2082878
152	2092868
153	2100697
154	2101189
155	2115262
156	2136258
157	2164425
158	2172707
159	2194277
160	2197882
161	2219277
162	2238636
163	2246434
164	2261835
165	2278521
166	2287083
167	2297379
168	2312429
169	2314336
170	2333818
171	2352808
172	2353366
173	2369181
174	2369600
175	2371379
176	2384051
177	2394196
178	2394852
179	2394868
180	2417913
181	2424423
182	2431624
183	2434066
184	2440964
185	2446303
186	2467220
187	2471478
188	2497440
189	2516534
190	2536518
191	2543543
192	2550354
193	2562833
194	2564120
195	2573861
196	2576996
197	2587627
198	2588780
199	2594202
200	2609830
201	2637385
202	2651794
203	2674259
204	2680590
205	2698094
206	2714381
207	2724592
208	2728930
209	2743366
210	2762881
211	2765393
212	2772774
213	2781008
