k	smorfs
1	4942
2	10412
3	11711
4	21533
5	22073
6	28065
7	29946
8	34923
9	36351
10	54731
11	61200
12	71624
13	75742
14	94807
15	98540
16	103696
17	107623
18	107879
19	110808
20	115302
21	118161
22	123852
23	138200
24	143045
25	156775
26	158377
27	159258
28	166656
29	168790
30	169235
31	172612
32	173576
33	178939
34	183466
35	184457
36	184729
37	186639
38	193057
39	193774
40	194312
41	197970
42	201359
43	203055
44	203091
45	203201
46	203307
47	205401
48	206248
49	206462
50	207583
51	212023
52	216271
53	219328
54	219911
55	224407
56	230662
57	234253
58	234472
59	236073
60	237530
61	250425
62	251422
63	252416
64	256821
65	256884
66	258965
67	262026
68	262880
69	267348
70	269297
71	273018
72	280630
73	281443
74	283303
75	284645
76	291648
77	292192
78	298138
79	299807
80	301075
81	308177
82	309340
83	312395
84	314665
85	315585
86	316956
87	318766
88	328474
89	334373
90	336839
91	337997
92	340611
93	341352
94	341605
95	346532
96	349411
97	349847
98	351921
99	355191
100	355297
101	356348
102	357176
103	357434
104	358434
105	363428
106	368235
107	369879
108	371229
109	371695
110	372604
111	373192
112	374473
113	389548
114	437444
115	446838
116	447407
117	449257
118	452113
119	456686
120	464946
121	472752
122	483325
123	483962
124	489632
125	490715
126	492091
127	494161
128	495701
129	498037
130	498297
131	499168
132	507280
133	513068
134	516174
135	519213
136	520811
137	521170
138	522688
139	526156
140	526184
141	526240
142	528950
143	530052
144	531004
145	535162
146	538660
147	540105
148	542993
149	544424
150	544481
151	544564
152	545518
153	546404
154	551118
155	556291
156	561724
157	563226
158	568615
159	573555
160	574223
161	575436
162	581459
163	586607
164	587451
165	592974
166	593304
167	594383
168	597317
169	598032
170	601042
171	601242
172	602330
173	603743
174	605751
175	608710
176	609260
177	610487
178	612442
179	613948
180	614596
181	617145
182	617373
183	634710
184	638190
185	638378
186	639415
187	639831
188	644396
189	648047
190	648732
191	651258
192	651660
193	652086
194	652154
195	654971
196	657634
197	659443
198	660450
199	660919
200	662800
201	664467
202	664474
203	666201
204	668652
205	674578
206	676164
207	676625
208	684776
209	684818
210	685134
211	685621
212	687816
213	688993
214	694664
215	694938
216	696457
217	696745
218	705095
219	707259
220	714362
221	714464
222	715226
223	715539
224	717031
225	717203
226	721491
227	724151
228	728266
229	728951
230	730746
231	730770
232	733288
233	737095
234	737375
235	737754
236	740361
237	740393
238	742567
239	744419
240	746546
241	746986
242	748963
243	750743
244	754690
245	755320
246	755526
247	757442
248	757984
249	758358
250	759816
251	760014
252	760168
253	762329
254	763512
255	771259
256	772172
257	772700
258	773209
259	773278
260	775101
261	778583
262	778595
263	786192
264	806669
265	809428
266	809854
267	810927
268	813348
269	816584
270	816997
271	818683
272	819253
273	824772
274	828147
275	835890
276	839308
277	840091
278	845279
279	847006
280	851338
281	852681
282	852846
283	853082
284	860164
285	862273
286	868335
287	873767
288	876332
289	877810
290	881099
291	881352
292	881371
293	888797
294	893915
295	894758
296	895803
297	900634
298	902837
299	905243
300	906045
301	908015
302	910671
303	912200
304	913048
305	914976
306	915662
307	916978
308	917399
309	918198
310	919184
311	921036
312	924447
313	927259
314	929848
315	931101
316	938334
317	950469
318	952492
319	955843
320	968734
321	970697
322	971661
323	976637
324	979038
325	991833
326	993061
327	993784
328	994859
329	996918
330	996956
331	998738
332	999977
333	1001943
334	1002473
335	1003660
336	1010176
337	1012670
338	1014143
339	1018427
340	1020001
341	1020406
342	1023779
343	1027227
344	1028798
345	1029266
346	1036275
347	1037319
348	1038611
349	1041112
350	1042263
351	1047126
352	1047472
353	1047694
354	1048021
355	1048219
356	1051799
357	1052850
358	1055259
359	1057837
360	1058711
361	1060578
362	1062527
363	1065157
364	1082983
365	1087410
366	1095125
367	1102197
368	1103400
369	1108730
370	1111465
371	1112030
372	1112186
373	1112249
374	1112266
375	1116423
376	1117711
377	1125002
378	1125015
379	1135870
380	1137524
381	1137979
382	1140383
383	1145827
384	1146875
385	1150916
386	1151949
387	1152164
388	1152366
389	1153598
390	1199743
391	1199789
392	1200349
393	1220010
394	1220140
395	1220212
396	1220797
397	1221254
398	1221550
399	1222597
400	1227084
401	1233909
402	1237961
403	1240104
404	1241733
405	1241871
406	1242449
407	1242462
408	1243268
409	1243337
410	1248436
411	1249333
412	1250283
413	1251687
414	1252625
415	1253043
416	1253324
417	1256336
418	1256400
419	1257316
420	1258178
421	1258510
422	1260764
423	1263037
424	1263142
425	1264936
426	1265745
427	1265914
428	1266771
429	1267159
430	1268044
431	1271268
432	1275201
433	1278342
434	1279249
435	1290633
436	1290878
437	1293203
438	1296491
439	1297773
440	1305567
441	1307154
442	1307387
443	1310641
444	1310777
445	1311922
446	1312464
447	1315189
448	1317144
449	1319518
450	1320778
451	1320883
452	1325965
453	1326087
454	1326784
455	1330500
456	1330691
457	1331143
458	1331165
459	1332487
460	1333117
461	1333209
462	1335270
463	1338644
464	1338872
465	1339143
466	1342243
467	1343833
468	1344461
469	1345299
470	1345513
471	1346186
472	1346296
473	1347259
474	1347375
475	1347392
476	1348649
477	1349148
478	1350249
479	1352318
480	1352823
481	1354170
482	1356444
483	1356882
484	1357641
485	1359887
486	1360040
487	1360879
488	1362766
489	1377847
490	1378092
491	1380023
492	1380124
493	1385784
494	1389988
495	1400512
496	1401162
497	1402791
498	1402935
499	1406755
500	1406771
501	1407312
502	1410476
503	1410503
504	1410560
505	1410709
506	1419204
507	1421111
508	1423792
509	1424206
510	1424456
511	1425300
512	1425979
513	1428907
514	1428954
515	1429803
516	1433586
517	1434002
518	1434144
519	1435888
520	1437548
521	1437906
522	1438649
523	1438709
524	1439162
525	1439472
526	1440902
527	1441012
528	1442136
529	1443988
530	1444302
531	1444791
532	1446293
533	1468587
534	1469109
535	1471486
536	1485456
537	1485822
538	1486953
539	1489996
540	1490390
541	1490762
542	1490960
543	1492375
544	1493946
545	1494169
546	1494437
547	1495235
548	1496094
549	1497608
550	1499992
551	1500525
552	1500935
553	1503745
554	1510152
555	1511094
556	1511114
557	1515429
558	1516714
559	1517172
560	1518420
561	1520658
562	1521225
563	1522659
564	1528048
565	1531501
566	1532456
567	1532872
568	1532999
569	1534431
570	1550911
571	1551496
572	1553384
573	1562375
574	1562416
575	1563745
576	1564588
577	1567054
578	1572525
579	1576162
580	1582398
581	1582863
582	1583434
583	1586429
584	1587151
585	1587233
586	1587579
587	1588372
588	1588788
589	1588945
590	1592623
591	1594902
592	1596376
593	1596381
594	1598407
595	1599378
596	1601736
597	1602202
598	1603786
599	1604751
600	1608688
601	1618995
602	1620303
603	1620372
604	1620619
605	1621087
606	1622737
607	1624637
608	1631689
609	1632090
610	1636107
611	1637195
612	1639262
613	1639459
614	1639489
615	1639505
616	1640623
617	1641084
618	1643170
619	1666803
620	1670971
621	1671716
622	1673583
623	1674309
624	1676012
625	1676178
626	1676610
627	1680025
628	1680938
629	1680952
630	1680993
631	1685178
632	1686192
633	1686676
634	1689112
635	1691191
636	1691504
637	1707739
638	1708367
639	1708754
640	1710860
641	1712599
642	1713873
643	1714605
644	1714862
645	1715528
646	1715553
647	1717209
648	1717319
649	1717409
650	1719191
651	1719283
652	1747886
653	1753435
654	1754809
655	1758520
656	1758639
657	1764976
658	1770482
659	1771093
660	1772126
661	1775717
662	1778095
663	1779077
664	1785612
665	1788254
666	1791604
667	1791869
668	1800751
669	1804541
670	1805233
671	1806414
672	1810094
673	1811229
674	1812223
675	1812770
676	1812900
677	1813599
678	1813665
679	1816069
680	1818314
681	1819963
682	1820499
683	1832235
684	1832262
685	1838250
686	1839169
687	1839502
688	1846613
689	1846780
690	1847139
691	1847538
692	1847651
693	1848420
694	1850001
695	1851716
696	1890939
697	1901010
698	1901505
699	1903087
700	1905009
701	1905855
702	1906044
703	1906120
704	1916556
705	1917082
706	1921787
707	1923122
708	1925081
709	1925325
710	1926680
711	1932593
712	1932953
713	1942736
714	1943602
715	1944877
716	1945419
717	1945857
718	1946968
719	1949712
720	1951828
721	1952838
722	1954086
723	1955597
724	1956130
725	1956637
726	1957604
727	1960728
728	1961621
729	1962147
730	1962171
731	1962764
732	1964594
733	1972274
734	1976142
735	1986332
736	1992971
737	1994691
738	1995966
739	1997674
740	1999397
741	1999762
742	2000474
743	2001358
744	2007975
745	2010353
746	2010546
747	2010895
748	2011710
749	2013130
750	2013513
751	2014991
752	2016817
753	2016838
754	2017741
755	2018089
756	2019805
757	2020697
758	2022098
759	2028285
760	2029285
761	2029769
762	2030826
763	2039759
764	2040350
765	2040800
766	2042531
767	2042605
768	2043150
769	2044628
770	2063026
771	2063083
772	2063094
773	2064967
774	2085809
775	2095498
776	2095542
777	2095744
778	2096054
779	2097724
780	2098794
781	2099171
782	2101392
783	2101451
784	2102941
785	2103554
786	2107054
787	2107974
788	2108209
789	2131082
790	2131145
791	2131184
792	2132064
793	2132388
794	2136262
795	2140729
796	2150329
797	2150334
798	2151054
799	2155786
800	2156650
801	2157744
802	2158165
803	2158938
804	2160014
805	2160671
806	2161685
807	2162263
808	2171974
809	2172166
810	2172814
811	2175672
812	2178685
813	2178904
814	2179253
815	2181200
816	2183627
817	2184422
818	2185035
819	2185750
820	2186092
821	2186829
822	2186873
823	2187258
824	2187381
825	2190348
826	2190609
827	2192187
828	2192757
829	2192963
830	2195978
831	2197134
832	2198214
833	2198687
834	2200127
835	2201741
836	2203681
837	2204203
838	2206462
839	2207670
840	2208577
841	2212884
842	2214239
843	2215265
844	2215406
845	2215519
846	2217165
847	2217197
848	2218986
849	2219011
850	2220204
851	2220576
852	2221750
853	2222533
854	2222615
855	2223023
856	2223440
857	2223538
858	2224432
859	2225296
860	2225408
861	2225427
862	2227301
863	2227695
864	2228134
865	2228666
866	2236359
867	2236817
868	2236970
869	2238443
870	2238696
871	2240410
872	2243595
873	2243878
874	2244160
875	2244855
876	2245000
877	2245873
878	2277160
879	2281035
880	2282409
881	2282478
882	2285476
883	2287487
884	2287798
885	2288179
886	2289623
887	2298340
888	2304441
889	2305778
890	2307061
891	2307857
892	2307926
893	2308973
894	2311195
895	2311228
896	2311298
897	2315596
898	2317051
899	2317957
900	2318997
901	2319304
902	2320399
903	2320722
904	2323140
905	2323885
906	2345205
907	2346690
908	2350236
909	2351212
910	2351273
911	2358259
912	2358927
913	2366837
914	2367592
915	2369095
916	2369895
917	2371176
918	2372928
919	2373030
920	2379788
921	2396064
922	2396698
923	2399486
924	2399989
925	2400929
926	2401670
927	2402226
928	2403830
929	2404388
930	2405405
931	2405477
932	2408014
933	2409251
934	2409393
935	2410311
936	2410939
937	2412811
938	2412925
939	2413430
940	2413795
941	2414404
942	2415491
943	2415689
944	2416515
945	2416949
946	2419188
947	2420577
948	2424156
949	2426204
950	2427721
951	2428078
952	2428104
953	2437052
954	2438008
955	2439411
956	2439543
957	2454027
958	2454285
959	2454572
960	2454785
961	2454817
962	2455628
963	2456069
964	2458600
965	2458915
966	2468581
967	2472362
968	2473297
969	2474988
970	2476333
971	2477544
972	2477950
973	2479270
974	2479838
975	2481826
976	2484686
977	2486766
978	2492490
979	2492910
980	2497285
981	2507479
982	2513355
983	2515767
984	2517163
985	2517673
986	2518425
987	2518615
988	2519903
989	2519971
990	2519991
991	2525015
992	2526179
993	2526559
994	2526666
995	2533986
996	2534208
997	2535628
998	2537393
999	2538489
1000	2539931
1001	2541451
1002	2554827
1003	2555018
1004	2555146
1005	2555938
1006	2556081
1007	2556268
1008	2556721
1009	2557108
1010	2560044
1011	2560607
1012	2589166
1013	2591653
1014	2592252
1015	2595165
1016	2595358
1017	2597045
1018	2597055
1019	2598734
1020	2600957
1021	2603979
1022	2604821
1023	2605419
1024	2606740
1025	2607168
1026	2612918
1027	2613058
1028	2616041
1029	2616954
1030	2618963
1031	2619946
1032	2620087
1033	2620234
1034	2621708
1035	2622045
1036	2623072
1037	2623760
1038	2625473
1039	2626942
1040	2627953
1041	2628625
1042	2630085
1043	2631136
1044	2632102
1045	2633211
1046	2634062
1047	2637140
1048	2637583
1049	2637702
1050	2638140
1051	2638391
1052	2639244
1053	2639805
1054	2640464
1055	2641218
1056	2642613
1057	2644069
1058	2644271
1059	2644874
1060	2646853
1061	2647836
1062	2648855
1063	2649060
1064	2649417
1065	2651103
1066	2653920
1067	2654552
1068	2654866
1069	2654964
1070	2655079
1071	2660092
1072	2663686
1073	2664101
1074	2664671
1075	2667340
1076	2667683
1077	2668644
1078	2668815
1079	2668989
1080	2676829
1081	2677457
1082	2684917
1083	2685188
1084	2685847
1085	2686739
1086	2686852
1087	2692364
1088	2698054
1089	2705598
1090	2708449
1091	2709834
1092	2712145
1093	2713406
1094	2719031
1095	2721457
1096	2721804
1097	2722198
1098	2722267
1099	2722941
1100	2726416
1101	2727052
1102	2732977
1103	2733335
1104	2747862
1105	2748863
1106	2749011
1107	2749315
1108	2750418
1109	2757305
1110	2758238
1111	2762977
1112	2767576
1113	2774432
1114	2775207
1115	2775263
1116	2775272
1117	2775870
1118	2776250
1119	2778658
1120	2780632
1121	2782252
1122	2782416
1123	2782769
1124	2783501
1125	2785214
1126	2785225
1127	2786164
1128	2786549
1129	2786644
1130	2788652
1131	2789631
1132	2791130
1133	2791761
1134	2795504
1135	2796612
1136	2805942
1137	2809493
1138	2810635
1139	2811460
1140	2813041
1141	2813080
1142	2813091
1143	2814490
1144	2815233
1145	2817279
1146	2823064
1147	2823190
1148	2823198
1149	2823331
1150	2825166
1151	2826226
1152	2826279
1153	2826365
1154	2826843
1155	2827025
1156	2828391
1157	2829568
1158	2831442
1159	2832958
1160	2833015
1161	2833721
1162	2835412
1163	2837074
1164	2837216
1165	2837898
1166	2838705
1167	2848053
1168	2849947
1169	2851664
1170	2851715
1171	2851837
1172	2852578
1173	2853521
1174	2853555
1175	2854164
1176	2854175
1177	2854895
1178	2855485
1179	2856075
1180	2858692
1181	2860318
1182	2864178
1183	2866051
1184	2869814
1185	2870405
1186	2876113
1187	2876502
1188	2877003
1189	2877550
1190	2877586
1191	2881110
1192	2881382
1193	2881907
1194	2882170
1195	2882920
1196	2883089
1197	2900452
1198	2900615
1199	2906461
1200	2906573
1201	2910994
1202	2912493
1203	2920399
1204	2921214
1205	2922138
1206	2922596
1207	2927110
1208	2931967
1209	2932105
1210	2932279
1211	2932961
1212	2933017
1213	2972122
1214	2973598
1215	2973800
1216	2980554
1217	2981198
1218	2995905
1219	2995910
1220	2996998
1221	2999265
1222	2999386
1223	3000403
1224	3001300
1225	3002010
1226	3002284
1227	3002517
1228	3003690
1229	3004181
1230	3004231
1231	3005212
1232	3006451
1233	3006742
1234	3007663
1235	3012127
1236	3012923
1237	3013322
1238	3014243
1239	3017920
1240	3019031
1241	3021128
1242	3021248
1243	3021838
1244	3021933
1245	3026357
1246	3026686
1247	3026753
1248	3031025
1249	3031227
1250	3032003
1251	3032778
1252	3034487
1253	3035317
1254	3039037
1255	3039393
1256	3039402
1257	3040032
1258	3047239
1259	3055653
1260	3056261
1261	3056873
1262	3057907
1263	3059297
1264	3059850
1265	3060063
1266	3061624
1267	3061976
1268	3078055
1269	3082053
1270	3082104
1271	3083254
1272	3084382
1273	3085065
1274	3085585
1275	3087709
1276	3088245
1277	3089629
1278	3095082
1279	3095378
1280	3096550
1281	3097511
1282	3097825
1283	3098102
1284	3105201
1285	3105562
1286	3105636
1287	3105671
1288	3105973
1289	3106414
1290	3106765
1291	3107117
1292	3108013
1293	3108071
1294	3108157
1295	3108212
1296	3109330
1297	3109348
1298	3110549
1299	3110601
1300	3114347
1301	3114373
1302	3116593
1303	3117706
1304	3118605
1305	3119851
1306	3120168
1307	3120282
1308	3123886
1309	3124539
1310	3124943
1311	3126136
1312	3129058
1313	3131757
1314	3256192
1315	3257061
1316	3257552
1317	3258308
1318	3258358
1319	3267429
1320	3268855
1321	3268926
1322	3268931
1323	3269315
1324	3269614
1325	3272104
1326	3284738
1327	3287779
1328	3291548
1329	3297868
1330	3300548
1331	3302684
1332	3306401
1333	3306817
1334	3310092
1335	3310161
1336	3312433
1337	3312659
1338	3312685
1339	3312694
1340	3314651
1341	3316597
1342	3316891
1343	3318409
1344	3318538
1345	3318938
1346	3319542
1347	3321405
1348	3322254
1349	3323122
1350	3323308
1351	3328450
1352	3328467
1353	3328715
1354	3328780
1355	3329737
1356	3330161
1357	3331980
1358	3332376
1359	3333978
1360	3334389
1361	3334825
1362	3335474
1363	3335534
1364	3335790
1365	3336889
1366	3338805
1367	3339554
1368	3339569
1369	3340374
1370	3340479
1371	3341639
1372	3344841
1373	3345325
1374	3345561
1375	3346069
1376	3354473
1377	3354656
1378	3354740
1379	3395140
1380	3396812
1381	3416314
1382	3418604
1383	3419211
1384	3419868
1385	3420078
1386	3421386
1387	3426498
1388	3427758
1389	3428752
1390	3430136
1391	3433515
1392	3433861
1393	3434792
1394	3434868
1395	3435469
1396	3437912
1397	3438463
1398	3440004
1399	3441044
1400	3441272
1401	3443290
1402	3443454
1403	3444312
1404	3445006
1405	3445726
1406	3446692
1407	3448038
1408	3449500
1409	3457832
1410	3458192
1411	3460344
1412	3460947
1413	3461231
1414	3462153
1415	3463224
1416	3465504
1417	3466245
1418	3469786
1419	3470104
1420	3470788
1421	3471542
1422	3471599
1423	3472384
1424	3473520
1425	3473678
1426	3474167
1427	3475008
1428	3475523
1429	3479763
1430	3480003
1431	3484230
1432	3488520
1433	3488523
1434	3488939
1435	3489155
1436	3489242
1437	3490271
1438	3490286
1439	3491344
1440	3491491
1441	3506613
1442	3506675
1443	3507069
1444	3510159
1445	3510239
1446	3514309
1447	3514568
1448	3515823
1449	3516758
1450	3517968
1451	3519616
1452	3520551
1453	3521413
1454	3522221
1455	3523665
1456	3524440
1457	3525269
1458	3564250
1459	3564617
1460	3566967
1461	3567536
1462	3567600
1463	3568008
1464	3569915
1465	3570010
1466	3570897
1467	3571295
1468	3572883
1469	3573165
1470	3573174
1471	3574474
1472	3574866
1473	3581883
1474	3582501
1475	3583884
1476	3585700
1477	3586623
1478	3587623
1479	3588117
1480	3588795
1481	3591237
1482	3592781
1483	3593659
1484	3596797
1485	3600247
1486	3601119
1487	3601310
1488	3601657
1489	3601657
1490	3602997
1491	3603627
1492	3604176
1493	3604570
1494	3604654
1495	3604780
1496	3607278
1497	3609365
1498	3610518
1499	3611912
1500	3613719
1501	3613844
1502	3614954
1503	3615920
1504	3616220
1505	3624515
1506	3626851
1507	3630123
1508	3630193
1509	3631151
1510	3631713
1511	3631727
1512	3633644
1513	3634149
1514	3635316
1515	3638142
1516	3638822
1517	3639080
1518	3639646
1519	3642244
1520	3642393
1521	3643927
1522	3645847
1523	3645923
1524	3646083
1525	3646500
1526	3646601
1527	3649431
1528	3650984
1529	3652794
1530	3660129
1531	3661011
1532	3661330
1533	3662327
1534	3663052
1535	3666456
1536	3667926
1537	3668086
1538	3668987
1539	3674234
1540	3674697
1541	3675263
1542	3675317
1543	3675973
1544	3676518
1545	3676539
1546	3678792
1547	3679125
1548	3679448
1549	3679796
1550	3682076
1551	3683402
1552	3683642
1553	3683703
1554	3687442
1555	3693440
1556	3694126
1557	3694872
1558	3696821
1559	3697832
1560	3698363
1561	3698451
1562	3699427
1563	3700436
1564	3703332
1565	3704872
1566	3705339
1567	3705666
1568	3712646
1569	3713098
1570	3713659
1571	3714327
1572	3721461
1573	3721700
1574	3722220
1575	3722246
1576	3734893
1577	3735323
1578	3735945
1579	3736342
1580	3736964
1581	3739430
1582	3742394
1583	3743302
1584	3743969
1585	3746622
1586	3746932
1587	3748459
1588	3749720
1589	3750057
1590	3753374
1591	3757946
1592	3758593
1593	3759395
1594	3767341
1595	3767352
1596	3767797
1597	3770197
1598	3770379
1599	3770498
1600	3771830
1601	3773192
1602	3774524
1603	3775562
1604	3775819
1605	3776921
1606	3777450
1607	3778588
1608	3779532
1609	3784051
1610	3784992
1611	3785526
1612	3786189
1613	3786925
1614	3790166
1615	3790216
1616	3790353
1617	3790713
1618	3791058
1619	3795447
1620	3795497
1621	3799118
1622	3799777
1623	3818160
1624	3818457
1625	3818491
1626	3821541
1627	3826945
1628	3827201
1629	3827687
1630	3828909
1631	3830797
1632	3832519
1633	3832954
1634	3833575
1635	3834169
1636	3834816
1637	3834972
1638	3836140
1639	3838650
1640	3838956
1641	3839564
1642	3841232
1643	3842354
1644	3843521
1645	3843997
1646	3844603
1647	3845220
1648	3845417
1649	3845896
1650	3847339
1651	3848608
1652	3849518
1653	3849583
1654	3854655
1655	3855331
1656	3857303
1657	3857348
1658	3859501
1659	3859777
1660	3860069
1661	3861345
1662	3861727
1663	3866093
1664	3866332
1665	3867463
1666	3867763
1667	3867932
1668	3867987
1669	3868345
1670	3868768
1671	3871072
1672	3876585
1673	3876740
1674	3877446
1675	3879880
1676	3879882
1677	3879933
1678	3880753
1679	3881162
1680	3881979
1681	3883140
1682	3883758
1683	3884617
1684	3885200
1685	3888450
1686	3888956
1687	3888976
1688	3889577
1689	3890375
1690	3890777
1691	3891540
1692	3892221
1693	3893708
1694	3894611
1695	3894779
1696	3895263
1697	3896378
1698	3897056
1699	3898732
1700	3898817
1701	3899018
1702	3907665
1703	3911248
1704	3913616
1705	3913664
1706	3914325
1707	3914361
1708	3914741
1709	3914824
1710	3916581
1711	3916736
1712	3924016
1713	3926606
1714	3926812
1715	3928574
1716	3928835
1717	3929685
1718	3933673
1719	3934641
1720	3959264
1721	3959651
1722	3960374
1723	3961558
1724	3962290
1725	3963037
1726	3963467
1727	3964249
1728	3970335
1729	4046701
1730	4047634
1731	4055604
1732	4055774
1733	4055951
1734	4056900
1735	4057432
1736	4058248
1737	4058667
1738	4059572
1739	4060569
1740	4060894
1741	4063094
1742	4063441
1743	4064398
1744	4064798
1745	4064887
1746	4065963
1747	4066227
1748	4066714
1749	4066825
1750	4067329
1751	4069574
1752	4070696
1753	4071576
1754	4072673
1755	4078355
1756	4078461
1757	4080129
1758	4080165
1759	4081383
1760	4081578
1761	4081735
1762	4083617
1763	4084074
1764	4084448
1765	4086283
1766	4086545
1767	4086858
1768	4087111
1769	4087265
1770	4088767
1771	4089032
1772	4090329
1773	4091377
1774	4094745
1775	4096087
1776	4097405
1777	4097706
1778	4097995
1779	4098325
1780	4103076
1781	4103903
1782	4107333
1783	4109792
1784	4109864
1785	4109893
1786	4110149
1787	4110781
1788	4111597
1789	4112537
1790	4116161
1791	4116683
1792	4117354
1793	4117474
1794	4117787
1795	4118683
1796	4119118
1797	4119510
1798	4120659
1799	4122648
1800	4123365
1801	4123992
1802	4124314
1803	4124602
1804	4125289
1805	4125760
1806	4126218
1807	4159192
1808	4159527
1809	4159713
1810	4160717
1811	4163358
1812	4165571
1813	4168684
1814	4173834
1815	4174136
1816	4175511
1817	4175708
1818	4175789
1819	4175794
1820	4175955
1821	4176492
1822	4178273
1823	4180380
1824	4180448
1825	4180581
1826	4190357
1827	4191089
1828	4192373
1829	4194762
