k	smorfs
1	64009
2	96823
3	169407
4	177635
5	190311
6	260712
7	678571
8	714357
9	847368
10	1000097
11	1153651
12	1285314
13	1303742
14	1388906
15	1402032
16	1610319
17	1619178
18	1849268
19	2045890
20	2466389
21	2539849
22	2871532
23	3012777
24	3095228
25	3218775
26	3331207
27	3348631
28	3478908
29	3487077
30	3846779
31	4203815
32	4281398
33	4330413
34	4384018
35	4450917
36	4522850
37	4648811
38	4865605
39	4961670
40	5278702
41	5426365
42	5432780
43	5440921
44	5443963
45	5594084
46	5644027
47	5688652
48	5792857
49	5910875
50	5911397
51	5990167
52	6065093
53	6120147
54	6136802
55	6181843
56	6187847
57	6225846
58	6249105
59	6250123
60	6349067
61	6422331
62	6528146
63	6694828
64	6729971
65	6953083
66	7039235
67	7041442
68	7076335
69	7100544
70	7229357
71	7338676
72	7529385
73	7531767
74	7564306
75	7725979
76	7759790
77	7842505
78	8149833
79	8307610
80	8393234
81	8442207
82	8526386
83	8534817
84	8641766
85	8692246
86	8748336
87	8934724
88	9082944
89	9220203
90	9292914
91	9569597
92	9816306
93	9823108
94	9964049
95	10019253
96	10020091
97	10028149
98	10147410
99	10160908
100	10216224
101	10262844
102	10355264
103	10370786
104	10429981
105	10484965
106	10622018
107	10634414
108	10662899
109	10703216
110	10703319
111	10752640
112	10929868
113	10985799
114	11092740
115	11106044
116	11142154
117	11171892
118	11205934
119	11395253
120	11598651
121	11716405
122	11780327
123	11787538
124	11823891
125	11856219
126	11896645
127	11988432
128	12049154
129	12049721
130	12104808
131	12267974
132	12404724
133	12480477
134	12649630
135	12697528
136	12760924
137	12858690
138	13008010
139	13070434
140	13204112
141	13262155
142	13288988
143	13372593
144	13373510
145	13466772
146	13604415
147	13664184
148	13824184
149	13929839
150	13984571
151	14128968
152	14157181
153	14169584
154	14235012
155	14243425
156	14332028
157	14358961
158	14402298
159	14421140
160	14464082
161	14464633
162	14558567
163	14699472
164	14798015
165	14856490
166	14982068
167	14982651
168	15055281
169	15111190
170	15149150
171	15158948
172	15208355
173	15347815
174	15360431
175	15376503
176	15380469
177	15434439
178	15467280
179	15512143
180	15628935
181	15720558
182	15774848
183	16334216
184	16356801
185	16358939
186	16385632
187	16482061
188	16482080
189	16488531
190	16497457
191	16503316
192	16503321
193	16668889
194	16775792
195	16887760
196	16889423
197	16890364
198	17014769
199	17229545
200	17230079
201	17369542
202	17373818
203	17464515
204	17542151
205	17623777
206	17712164
207	17758635
208	17819929
209	17928384
210	17957895
211	18043470
212	18053852
213	18261197
214	18282610
215	18324785
216	18448890
217	18505445
218	18512539
219	18543502
220	18604497
221	18750574
222	18830243
223	18853576
224	18867188
225	18867191
226	18959167
227	18970532
228	18994494
229	19001268
230	19126739
231	19165904
232	19191347
233	19322968
234	19449163
235	19480275
236	19513952
237	19573523
238	19586190
239	19610655
240	19707725
241	19861914
242	19971446
243	20126327
244	20132068
245	20286726
246	20323747
247	20400876
248	20443865
249	20500548
250	20701892
251	20742040
252	20742582
253	20760193
254	20843681
255	20894517
256	21222238
257	21267845
258	21362698
259	21362707
260	21436194
261	21445273
262	21477575
263	21494628
264	21538301
265	21721310
266	21728640
267	21784057
268	21797172
269	21826430
270	21826978
271	22012552
272	22058245
273	22221268
274	22297532
275	22317451
276	22372298
277	22475087
278	22629684
279	22634975
280	22702355
281	22960984
282	22961174
283	23009857
284	23013242
285	23099480
286	23142534
287	23287942
288	23323374
289	23324207
290	23326352
291	23329374
292	23341963
293	23380968
294	23447079
295	23529351
296	23543988
297	23595708
298	23768221
299	23976882
300	24070099
301	24089974
302	24323610
303	24467526
304	24520421
305	24629762
306	24764361
307	24782573
308	24936152
309	25105626
310	25143859
311	25197859
312	25370111
313	25407550
314	25442495
315	25575010
316	25597879
317	25685923
318	25812038
319	26014462
320	26015234
321	26032317
322	26252100
323	26303854
324	26391806
325	26434916
326	26435351
327	26518235
328	26688937
329	26863278
330	27008037
331	27106898
332	27191288
333	27207939
334	27277043
335	27324782
336	27370023
337	27402542
338	27442315
339	27574063
340	27597140
341	27626873
342	27712083
343	27746376
344	27845776
345	27918787
346	28000480
347	28090478
348	28100249
349	28194211
350	28300555
351	28410712
352	28461023
353	28461061
354	28586047
355	28698991
356	28758613
357	28814120
358	28945131
359	29121891
360	29205515
361	29224869
362	29238104
363	29284424
364	29365791
365	29392812
366	29513788
367	29576171
368	29655312
369	29796987
370	30046823
371	30100608
372	30166525
373	30214122
374	30228874
375	30295493
376	30318718
377	30349175
378	30355950
379	30502203
380	30618311
381	30683172
382	30802013
383	30848668
384	30936032
385	30961704
386	31045758
387	31086850
388	31150818
389	31198757
390	31218612
391	31250079
392	31338747
393	31381535
394	31382536
395	31406044
396	31484199
397	31544659
398	31578940
399	31630562
400	31733781
401	31791110
402	31910784
403	31936234
404	31968159
405	31979298
406	31992804
407	32132875
408	32191473
409	32251581
410	32296248
411	32336107
412	32352025
413	32374281
414	32436371
415	32537140
416	32603842
417	32635645
418	32672669
419	32985783
420	33096540
421	33135411
422	33184996
423	33218681
424	33247437
425	33248030
426	33296360
427	33418771
428	33422185
429	33433770
430	33509564
431	33510211
432	33600167
433	33634001
434	33733430
435	33765161
436	33812135
437	33903601
438	33975067
439	34014120
440	34020149
441	34070086
442	34087980
443	34088773
444	34116825
445	34260931
446	34423538
447	34641922
448	34696031
449	34726348
450	34739240
451	34810395
452	34944791
453	35082008
454	35205489
455	35228419
456	35258155
457	35390285
458	35483908
459	35518011
460	35652637
461	35711996
462	35714469
463	35800289
464	36012696
465	36069720
466	36138469
467	36203751
468	36257952
469	36363251
470	36582674
471	36614695
472	36649385
473	36762232
474	36774033
475	36818009
476	36920111
477	37015819
478	37032081
479	37056769
480	37098121
481	37132933
482	37226651
483	37282377
484	37368157
485	37381642
486	37557731
487	37562067
488	37603495
489	37690836
490	37727846
491	37805008
492	37847345
493	37949329
494	37952499
495	37953487
496	37969591
497	37999253
498	38176482
499	38180129
500	38180463
501	38200444
502	38206943
503	38241061
504	38350182
505	38373443
506	38378268
507	38451015
508	38504156
509	38613721
510	38699903
511	38729250
512	38752945
513	38862984
514	38974279
515	39020934
516	39085581
517	39155450
518	39258231
519	39451548
520	39575794
521	39616992
522	39618616
523	39619013
524	39701231
525	39721750
526	39734798
527	39745816
528	39748572
529	39832284
530	39880585
531	39887858
532	39924443
533	39986738
534	40012273
535	40395854
536	40470064
537	40498358
538	40542715
539	40550244
540	40664541
541	40726307
542	40769299
543	40769319
544	40814408
545	40842129
546	41054159
547	41214727
548	41281928
549	41286906
550	41349529
551	41486701
552	41505399
553	41506166
554	41643553
555	41688464
556	41690497
557	41792323
558	41814756
559	41879924
560	41883742
561	41928706
562	41945347
563	41956549
564	42041211
565	42044660
566	42096950
567	42129106
568	42303412
569	42459420
570	42932179
571	42933038
572	42968519
573	43132353
574	43181814
575	43254256
576	43329512
577	43423419
578	43486908
579	43489205
580	43542037
581	43971795
582	43996021
583	44039139
584	44102291
585	44209117
586	44275318
587	44367690
588	44374014
589	44477871
590	44522988
591	44544050
592	44555380
593	44555394
594	44586107
595	44588248
596	44608659
597	44715531
598	44818257
599	44950040
600	44970016
601	45084197
602	45239623
603	45240010
604	45340394
605	45368490
606	45368520
607	45371215
608	45373509
609	45520701
610	45637460
611	45721388
612	46068364
613	46123627
614	46124907
615	46195833
616	46250501
617	46291485
618	46332140
619	46367060
620	46437456
621	46476787
622	46484449
623	46544333
624	46549075
625	46555950
626	46632891
627	46670883
628	46769491
629	46906347
630	46983688
631	46993628
632	47097736
633	47155428
634	47296304
635	47305915
636	47348562
637	47362040
638	47492984
639	47573548
640	47646303
641	47696017
642	47696453
643	47730353
644	47742480
645	47797510
646	47894073
647	47960562
648	47992751
649	48108564
650	48158297
651	48178892
652	48263179
653	48296556
654	48394945
655	48434761
656	48446210
657	48572639
658	48584514
659	48649646
660	48751524
661	48787127
662	48837180
663	48884689
664	48887623
665	48932168
666	49053071
667	49159067
668	49357532
669	49397917
670	49459748
671	49491678
672	49589151
673	49595797
674	49615548
675	49637068
676	49644908
677	49755214
678	49889473
679	49910411
680	49937890
681	49974704
682	50062432
683	50185522
684	50186270
685	50191818
686	50203302
687	50205509
688	50242927
689	50306874
690	50309458
691	50416761
692	50538635
693	50628502
694	50706337
695	50774345
696	50925175
697	50974129
698	51032650
