k	smorfs
1	97838
2	147345
3	259133
4	395224
5	430350
6	480606
7	568159
8	941349
9	1038069
10	1106612
11	1164244
12	1192010
13	1221171
14	1258938
15	1369368
16	1499463
17	1543776
18	1623686
19	1765372
20	1982831
21	2052196
22	2112653
23	2171328
24	2237260
25	2275612
26	2349274
27	2425409
28	2487656
29	2518321
30	2715655
31	2747467
32	2781146
33	2838191
34	2901565
35	2951944
36	2998494
37	3019263
38	3072794
39	3163807
40	3220605
41	3347351
42	3400485
43	3434268
44	3503212
45	3552266
46	3585748
47	3640521
48	3732841
49	3823876
50	3838273
51	3898647
52	3974225
53	4009816
54	4070624
55	4321063
56	4355070
57	4382200
58	4433415
59	4513950
60	4583166
61	4643406
62	4914213
63	4951772
64	5017508
65	5057869
66	5163710
67	5198297
68	5221665
69	5264985
70	5523580
71	5589531
72	5653930
73	5662316
74	5711960
75	5730654
76	5835907
77	5918258
78	5983438
79	6042881
80	6265370
81	6299213
82	6364234
83	6435316
84	6643138
85	6710989
86	6756555
87	6790382
88	6833195
89	6889026
90	6923328
91	6994033
92	7045299
93	7106446
94	7177512
95	7302887
96	7323877
97	7370533
98	7436493
99	7499095
100	7556991
101	7589259
102	7634631
103	7636517
104	7694548
105	7745101
106	7883606
107	7915909
108	7956642
109	8047812
110	8086058
111	8110377
112	8148636
113	8372226
114	8407357
115	8467230
116	8534255
117	8561580
118	8728241
119	8760423
120	8808383
121	8876818
122	8921017
123	8955997
124	8980039
125	9042264
126	9103049
127	9153840
128	9201049
129	9213519
130	9299439
131	9372669
132	9390933
133	9420482
134	9433972
135	9485217
136	9527809
137	9577580
138	9605155
139	9649361
140	9715116
141	9744899
142	9783387
143	9905504
144	10006510
145	10055731
146	10208516
147	10301653
148	10361960
149	10399239
150	10429839
151	10456981
152	10484069
153	10522862
154	10568012
155	10631450
156	10868764
157	11037914
158	11069813
159	11131574
160	11170481
161	11309963
162	11479069
163	11494802
164	11578494
165	11616183
166	11672766
167	11718844
168	11783212
169	11801892
170	11861648
171	11904363
172	11937254
173	11997567
174	12041183
175	12121298
176	12151901
177	12202056
178	12234721
179	12322124
180	12372957
181	12388235
182	12406830
183	12443618
184	12479658
185	12696439
186	12718972
187	12751125
188	12927030
189	13037454
190	13062158
191	13164243
192	13189504
193	13317061
194	13352252
195	13406950
196	13423230
197	13540240
198	13564690
199	13601499
200	13780912
201	13795803
202	13806105
203	13836188
204	13864492
205	13905277
206	13943685
207	13972354
208	14012091
209	14086463
210	14115632
211	14268415
212	14308629
213	14330092
214	14365426
215	14406798
216	14618560
217	14649905
218	14672969
219	14704915
220	14731411
221	14766594
222	14804720
223	14894532
224	14908819
225	14946856
226	14973624
227	15021512
228	15137011
229	15181393
230	15207863
231	15249879
232	15331134
233	15395721
234	15418763
235	15456249
236	15525435
237	15526715
238	15551543
239	15599878
240	15725904
241	15761781
242	15848112
243	15901371
244	15953509
245	15992885
246	16005966
247	16010086
248	16065117
249	16100232
250	16123020
251	16161188
252	16209548
253	16246720
254	16295817
255	16318353
256	16379022
257	16422858
258	16642519
259	16685277
260	16725040
261	16756444
262	16789608
263	16821541
264	16821650
265	16857867
266	16882184
267	16908228
268	16937251
269	16966532
270	17000949
271	17045196
272	17081047
273	17137207
274	17164069
275	17190009
276	17227743
277	17261230
278	17280037
279	17309871
280	17324017
281	17378902
282	17396816
283	17431941
284	17466343
285	17489523
286	17654917
287	17678860
288	17692868
289	17729626
290	17789238
291	17800766
292	17837741
293	17935070
294	17948507
295	17984661
296	18017239
297	18052284
298	18092358
299	18140629
300	18172914
301	18216477
302	18248366
303	18289305
304	18329035
305	18342317
306	18365501
307	18425044
308	18454738
309	18455255
310	18486549
311	18601162
312	18616153
313	18646557
314	18681288
315	18705150
316	18738092
317	18760445
318	18891009
319	18907910
320	18958316
321	18976948
322	19003930
323	19056034
324	19068270
325	19095820
326	19116518
327	19144777
328	19239138
329	19272785
330	19295620
331	19355010
332	19390681
333	19403934
334	19421864
335	19428542
336	19449275
337	19487138
338	19510886
339	19526561
340	19539214
341	19563018
342	19589661
343	19655632
344	19670974
345	19711408
346	19758162
347	19800859
348	19955088
349	19963642
350	19998892
351	20014797
352	20035435
353	20053406
354	20103601
355	20129807
356	20171854
357	20192734
358	20405366
359	20435530
360	20460666
361	20520494
362	20566156
363	20641323
364	20691836
365	20812623
366	20890498
367	20931789
368	20969849
369	21000165
370	21025784
371	21064841
372	21090700
373	21107750
374	21270536
375	21280164
376	21317607
377	21362828
378	21385936
379	21432333
380	21466576
381	21513908
382	21545220
383	21570498
384	21601576
385	21621832
386	21633723
387	21665021
388	21699290
