k	smorfs
1	104587
2	288620
3	289426
4	474952
5	485763
6	491418
7	544458
8	741071
9	742281
10	1292935
11	1314424
12	1343404
13	1359718
14	1370879
15	1395488
16	1787620
17	1807669
18	1823689
19	1859831
20	1862415
21	1879239
22	1895771
23	2015780
24	2133245
25	2297707
26	2317680
27	2332937
28	2490507
29	3210951
30	3327537
31	3354024
32	3354146
33	3354645
34	3360432
35	3485095
36	3656829
37	3704014
38	3724787
39	3733732
40	3769555
41	3775553
42	3957346
43	4009329
44	4013508
45	4059693
46	4103077
47	4225074
48	4251952
49	4255206
50	4718092
51	4731559
52	4800204
53	4805438
54	4805894
55	4857158
56	4858533
57	5095983
58	5246013
59	5543092
60	5553462
61	5554174
62	5557733
63	5563992
64	5584086
65	5588510
66	5616590
67	6457014
68	6749112
69	6837643
70	6872931
71	6873499
72	6882519
73	7094652
74	7253905
75	7259366
76	7259508
77	7262718
78	7263838
79	7264093
80	7406327
81	7406437
82	7551446
83	7573936
84	7578424
85	7588334
86	7588979
87	7593769
88	7610677
89	7845236
90	7920028
91	7955502
92	8698151
93	8706414
94	8728244
95	9242809
96	9305721
97	9359327
98	9359408
99	9812417
100	9988051
101	9988402
102	9988503
103	10000501
104	10003281
105	10133741
106	10165823
107	10171144
108	10172065
109	10280034
110	10402553
111	10530271
112	11189530
113	11193022
114	11194270
115	11206827
116	11299102
117	11299174
118	11299435
119	11305610
120	11576540
121	12110649
122	12118279
123	12803266
124	12808449
125	12812277
126	12813405
127	12834318
128	12944761
129	12968543
130	12993342
131	13027418
132	13677802
133	14365835
134	14451363
135	14466103
136	14478064
137	15087629
138	15122096
139	15156477
140	15165931
141	15186199
142	15207255
143	15234136
144	15236826
145	15911720
146	15945556
147	16515124
148	16515395
149	16517388
150	16525740
151	16556401
152	17229518
153	17255088
154	17279533
155	17281369
156	17281571
157	17299485
158	17320638
159	17320965
160	17321974
161	18087426
162	18106833
163	18109952
164	18635200
165	18667040
166	18787647
167	18853634
168	18853723
169	18855150
170	18860315
171	18886882
172	18887351
173	18919219
174	18944701
175	18945857
176	19008406
177	19552436
178	20037615
179	20071234
180	20071441
181	20073586
182	20078308
183	20079766
184	20084559
185	20143439
186	20157788
187	20227665
188	20380272
189	20509318
190	20511201
191	20522674
192	20524913
193	20562858
194	20563055
195	20681688
196	20839679
197	20842990
198	20861513
199	21072103
200	21170078
201	21263122
202	21398095
203	21452253
204	21519087
205	21703646
206	21735125
207	21749502
208	22215628
209	22275887
210	22318816
211	22320905
212	22345793
213	22381326
214	22381449
215	22384765
216	22389523
217	22558544
218	22569989
219	22727803
220	22727916
221	23287696
222	23820286
223	23842428
224	24339295
225	24459111
226	24469152
227	24472355
228	24482855
229	24483593
230	24624319
231	24755336
232	24755756
233	24813850
234	24841206
235	24841268
236	24871862
237	24871987
238	25002582
239	25089099
240	25122086
241	25122226
242	25287981
243	25290695
244	25786489
245	25806587
246	25837096
247	25951214
248	25971164
249	25997661
250	26095344
251	26117194
252	26119239
253	26121634
254	26275531
255	26671766
256	26695395
257	26920468
258	26920560
259	26970834
260	27136690
261	27143846
262	27204798
263	27206921
264	27272726
265	27273195
266	27290472
267	27290636
268	27308840
269	27354842
270	27355048
271	27456997
272	27653859
273	27684148
274	27769351
275	27769967
276	27819009
277	27832156
278	27832246
279	27835063
280	27835848
281	27836346
282	28300558
283	28390055
284	28417616
285	28430272
286	28843444
287	28872929
288	28880049
289	28902424
290	28919445
291	28967407
292	28984407
293	28985068
294	28996035
295	29007656
296	29012451
297	29140698
298	29575860
299	29980709
300	30134363
301	30135391
302	30552262
303	30556263
304	30839137
305	30847880
306	31186296
307	31194777
308	31719878
309	31721903
310	31722638
311	31722691
312	31722749
313	32180438
314	32753233
315	32753279
316	32782021
317	32889633
318	33420712
319	33421530
320	33421784
321	33421823
322	33425824
323	33490484
324	33500476
325	33504448
326	33508624
327	33904903
328	33913689
329	34114857
330	34132992
331	34133046
332	34241801
333	34283093
334	34309436
335	34321866
336	34341385
337	34341991
338	34485177
339	34485385
340	34505459
341	34505813
342	34530907
343	34546850
344	34692661
345	34700079
346	34749633
347	34749727
348	34849349
349	34849421
350	34999223
351	35001140
352	35023014
353	35043231
354	35054048
355	35388900
356	35420663
357	35447276
358	35447347
359	35449992
360	35468479
361	35840197
362	35840334
363	35845790
364	35919264
365	35929259
366	35929362
367	35929513
368	35932560
369	36038051
370	36038501
371	36050647
372	36052498
373	36281991
374	36283425
375	36301856
376	36405254
377	36416259
378	36456271
379	36475256
380	36491530
381	36493235
382	37029399
383	37380322
384	37417734
385	37562209
386	37562268
387	37626858
388	38006097
389	38124053
390	38254171
391	38351021
392	38356804
393	38360676
394	38395665
395	38438155
396	38440113
397	38476818
398	38483994
399	38485062
400	38487847
401	38510374
402	38517879
403	38549225
404	38549266
405	38552165
406	38585095
407	38587972
408	38597351
409	38600836
410	38903540
411	38903989
412	38904237
413	38930608
414	38937492
415	39458007
416	39888902
417	39897347
418	39913588
419	39975714
420	39980635
421	40026250
422	40027295
423	40034711
424	40138523
425	40548991
426	40555498
427	40970420
428	41419552
429	41425320
430	42215199
431	42331686
432	42362508
433	42436630
434	42437043
435	42542760
436	42866197
437	43419710
438	43423949
439	43424412
440	43425788
441	43612294
442	43642423
443	43755494
444	44178616
445	44178663
446	44198894
447	44317740
448	44321969
449	44545439
450	44558885
451	44569939
452	44980672
453	44988898
454	44990011
455	44997960
456	45005224
457	45011291
458	45027024
459	45028192
460	45058785
461	45278546
462	45288472
463	45290587
464	45591236
465	45601902
466	45617703
467	45629029
468	45630313
469	45640589
470	46128725
471	46129955
472	46570131
473	46570265
474	46781213
475	46831001
476	46832983
477	47070324
478	47077869
479	47178355
480	47306475
481	47322480
482	47374774
483	47375577
484	47414278
485	47414307
486	47423605
487	47436813
488	47514382
489	47534190
490	47558568
491	47575836
492	47576669
493	47609433
494	47617445
495	47634748
496	47634867
497	47834638
498	47834664
499	47851568
500	47868508
501	47868570
502	47870344
503	47874890
504	47875002
505	47877036
506	47902241
507	47951501
508	47958949
509	48354231
510	48493062
511	48510134
512	48541201
513	48544112
514	48646112
515	48649064
516	48667254
517	48686255
518	48687877
519	48695513
520	48698802
521	48712166
522	48878639
523	48903187
524	49010075
525	49010378
526	49017486
527	49055579
528	49451676
529	49496359
530	49503525
531	49513902
532	49522657
533	49541434
534	49583548
535	49583595
536	49619109
537	49707515
538	49710535
539	49808042
540	49824197
541	49863919
542	49911511
543	49978371
544	49985119
545	50106751
546	50106784
547	50120960
548	50126390
549	50254326
550	50255735
551	50269452
