k	smorfs
1	221028
2	231462
3	250557
4	683090
5	729584
6	736502
7	1272971
8	1306361
9	1867270
10	1874833
11	1896992
12	1915561
13	2287066
14	2299031
15	2341720
16	2393871
17	2529331
18	2611092
19	3108949
20	3108984
21	3625609
22	3665355
23	3666472
24	4067039
25	4084587
26	4157617
27	4182108
28	4949966
29	4971503
30	5301625
31	5316803
32	5344005
33	5353244
34	5360028
35	5450300
36	5481092
37	5718808
38	5741496
39	5765543
40	5789135
41	6462001
42	6660814
43	6663750
44	6682371
45	6686574
46	6708484
47	6742581
48	7002287
49	7002443
50	7078758
51	7082600
52	7181006
53	7224617
54	7224992
55	7237062
56	7249303
57	7252074
58	7365170
59	7390315
60	8195376
61	8552139
62	8554622
63	8719379
64	8752560
65	8757218
66	8832715
67	8842047
68	9221571
69	9222015
70	9227360
71	9376230
72	9385965
73	9387463
74	9988856
75	10053999
76	10102734
77	10439896
78	10440052
79	10448208
80	10502082
81	10568081
82	10573753
83	10595199
84	10638584
85	10644785
86	10666612
87	10696484
88	11191683
89	11472068
90	11475498
91	11482300
92	11607464
93	11628959
94	11631091
95	11648310
96	11665578
97	11703358
98	11740178
99	11793313
100	11797224
101	11800298
102	11834255
103	11900466
104	12018611
105	12029659
106	12332872
107	12341362
108	13014245
109	13015667
110	13051878
111	13176136
112	13180468
113	13191956
114	13839477
115	13946357
116	14325135
117	14329066
118	14356566
119	14375526
120	14393477
121	14693270
122	14701028
123	14737184
124	14759107
125	14792642
126	14869113
127	15009970
128	15535758
129	15743973
130	15850778
131	15878412
132	15904058
133	15959732
134	16236039
135	16272552
136	16343404
137	16627688
138	16677512
139	16700277
140	16842983
141	16965163
142	17156142
143	17185481
144	17211383
145	17376692
146	17376765
147	18177549
148	18198850
149	18235462
150	18243206
151	18298735
152	18310457
153	18648028
154	18650409
155	18675933
156	18683156
157	18705153
158	18834982
159	18847981
160	19034112
161	19047873
162	19065017
163	19152445
164	19195758
165	19223809
166	19228903
167	19421748
168	19497644
169	19513983
170	19714273
171	19714331
172	19738678
173	19768058
174	19909615
175	19916528
176	19922207
177	19923079
178	19950987
179	19954940
180	19963767
181	19999208
182	20020263
183	20030101
184	20552247
185	20554410
186	20554541
187	21255171
188	21292073
189	21724810
190	21794003
191	22158733
192	22158874
193	22254662
194	22873894
195	23027818
196	23055505
197	23133656
198	23212421
199	23290225
200	23741040
201	24047136
202	24063936
203	24096871
204	24167954
205	24726994
206	25262967
207	25658995
208	26034915
209	26040665
210	26043088
211	26055906
212	26090252
213	26254685
214	26527809
215	26749418
216	26758930
217	26761091
218	26763086
219	26763122
220	27171647
221	27178059
222	27335478
223	27350382
224	27374855
225	27395919
226	27460412
227	28415195
228	28483260
229	28616696
230	28620746
231	28887107
232	28913018
233	29016405
234	29058331
235	29079430
236	29196990
237	29219581
238	29239537
239	29263944
240	29273499
241	29280189
242	29283669
243	29388562
244	29423204
245	29448087
246	29464749
247	29467137
248	29841767
249	30049760
250	30095580
251	30202482
252	30266912
253	30285645
254	30435226
255	30443858
256	30463507
257	30490398
258	30511852
259	30685626
260	30708114
261	30791934
262	30906807
263	30938274
264	31373279
265	31443748
266	31465855
267	31664511
268	32113014
269	32192902
270	32210431
271	32226325
272	32470349
273	32477974
274	32530792
275	32706463
276	32907316
277	32955931
278	32961867
279	32964661
280	33040827
281	33125467
282	33159311
283	33331721
284	33380633
285	33410853
286	33412142
287	33450118
288	33651072
289	33655574
290	33807534
291	33838444
292	33848291
293	33865218
294	33942658
295	33959656
296	33981834
297	33989762
298	34025466
299	34029897
300	34116080
301	34145940
302	34211474
303	34621073
304	34872851
305	34887349
306	34902138
307	34989904
308	34995795
309	35081481
310	35108823
311	35117892
312	35230035
313	35259981
314	35271238
315	35312297
316	35325434
317	35360277
318	35361478
319	35402935
320	35629836
321	35676718
322	35788295
323	35884999
324	36653532
325	36653906
326	36656544
327	36954143
328	37154822
329	37324020
330	37924612
331	38057178
332	38482204
333	38529056
334	38636433
335	38698670
336	38728070
337	38784634
338	38824440
339	38834300
340	38839233
341	38840059
342	39110186
343	39110213
344	39113346
345	39129547
346	39154096
347	39155115
348	39158590
349	39266745
350	39404026
351	39487468
352	39490318
353	40179964
354	40248234
355	40729100
356	40729114
357	41194116
358	41201380
359	41214423
360	41306843
361	41368715
362	41501594
363	41744687
364	42112592
365	42258979
366	42310412
367	42314557
368	42352476
369	42384459
370	42422766
371	42435305
372	42517521
373	42519140
374	42741140
375	42750528
376	42758452
377	42771895
378	42883206
379	42899476
380	42913512
381	42948182
382	42948399
383	43346552
384	43347551
385	43859904
386	43916511
387	44070532
388	44084927
389	44112806
390	44180457
391	44180975
392	44201578
393	44922708
394	44969044
395	45117346
396	45130554
397	45195192
398	45207582
399	45261918
400	45280926
401	45417973
402	45772362
403	45774033
404	45775512
405	45785853
406	45797990
407	45872069
408	45889504
409	45898088
410	45999721
411	46000238
412	46011429
413	46054428
414	46157804
415	46228398
416	46238369
417	46261140
418	46411447
419	46415486
420	46427956
421	46440532
422	46463918
423	46534804
424	46535955
425	46602588
426	46640015
427	46651551
428	46792107
429	46832610
430	47057514
431	47088535
432	47119577
433	47159015
434	47179494
435	47183949
436	47244385
437	47284297
438	47284378
439	47294345
440	47372455
441	47372474
442	47588752
443	47633560
444	47635598
445	47933030
446	47989235
447	48096139
448	48097331
449	48182272
450	48215606
451	48422361
452	48474346
453	48484684
454	48487504
455	48487664
456	48502361
457	48507439
458	48870294
459	48878375
460	48881374
461	48901313
462	48919431
463	48926614
464	48932668
465	48935972
466	48940911
467	48980403
468	49241005
469	49276601
470	49321486
471	49329231
472	49372780
473	49373338
474	49425976
475	49441521
476	49500900
477	49658131
478	49681216
479	49685521
480	50045174
481	50062874
482	50063862
483	50099967
484	50137091
485	50434810
486	50443561
487	50471093
488	50477911
489	50480450
490	50556969
491	50558500
492	50613546
493	50619527
494	50625609
495	50627884
496	50651218
497	50657874
498	50762929
499	50765587
500	50776100
501	51036284
502	51039707
503	51311090
504	51417364
505	51445433
506	51590853
