k	smorfs
1	7328
2	471459
3	471609
4	471752
5	502160
6	589982
7	623038
8	726538
9	729409
10	729551
11	729828
12	843189
13	843402
14	843547
15	979783
16	979817
17	1204598
18	1222805
19	1261433
20	1443493
21	1497873
22	1499392
23	1499583
24	1500292
25	1602282
26	1617377
27	1644697
28	1644741
29	1644811
30	1966676
31	1980325
32	1984732
33	1995602
34	2044995
35	2045038
36	2046244
37	2046836
38	2458916
39	2476032
40	2476107
41	2497494
42	2497530
43	2497562
44	2511151
45	2676373
46	2961595
47	2961642
48	2964828
49	2966402
50	2966477
51	3072982
52	3104062
53	3129356
54	3241231
55	3241849
56	3276088
57	3276198
58	3310464
59	3364267
60	3412229
61	3412328
62	3412465
63	3438161
64	3446658
65	3446795
66	3517549
67	3727449
68	3739598
69	3739651
70	3971498
71	3971546
72	3978723
73	3983915
74	3984223
75	4041200
76	4041294
77	4083155
78	4083288
79	4187690
80	4257856
81	4257940
82	4285336
83	4299310
84	4299461
85	4299650
86	4299724
87	4886357
88	4886395
89	4887123
90	4936765
91	4936810
92	4940100
93	4940127
94	4946971
95	4964751
96	4966323
97	4998358
98	5033524
99	5033639
100	5061694
101	5085456
102	5103542
103	5218685
104	5600098
105	5683846
106	5683884
107	5717238
108	5878832
109	5906170
110	5914053
111	5914129
112	5914329
113	5914764
114	5924223
115	5951801
116	5951847
117	5952170
118	5975224
119	5977394
120	5977443
121	5977513
122	6030597
123	6030650
124	6040127
125	6096983
126	6097004
127	6098393
128	6127837
129	6127906
130	6127978
131	6128110
132	6131647
133	6164298
134	6164398
135	6183595
136	6187132
137	6187180
138	6187227
139	6274119
140	6313474
141	6433776
142	6448485
143	6451956
144	6478590
145	6904818
146	6904834
147	6904899
148	6963390
149	7087225
150	7144675
151	7198675
152	7198779
153	7198884
154	7461683
155	7479395
156	7479410
157	7479572
158	7479612
159	7507283
160	7507320
161	7587902
162	7622391
163	7635038
164	7635122
165	7635701
166	7723290
167	7723414
168	8115594
169	8267279
170	8291650
171	8293309
172	8322843
173	8331542
174	8337991
175	8359183
176	8359253
177	8359611
178	8425028
179	8425069
180	8425086
181	8425653
182	8433145
183	8487658
184	8530686
185	8545255
186	8684584
187	8751776
188	8762607
189	8762640
190	8770703
191	8842826
192	8842859
193	8897465
194	8897618
195	8897762
196	8897817
197	8897835
198	8921650
199	8955455
200	8955505
201	8957442
202	8998306
203	9029096
204	9037634
205	9042011
206	9042051
207	9051752
208	9115781
209	9115840
210	9145331
211	9158201
212	9158898
213	9169603
214	9222904
215	9244569
216	9244876
217	9245105
218	9531015
219	9531068
220	9531355
221	9551638
222	9551704
223	9580511
224	9596862
225	9597956
226	9597992
227	9724354
228	9724402
229	9725826
230	9725867
231	9749128
232	10174723
233	10179668
234	10213584
235	10364573
236	10379691
237	10476739
238	10476778
239	10476829
240	10476865
241	10476949
242	10477055
243	10667311
244	10668535
245	10668603
246	10677957
247	10746309
248	10851933
249	10853123
250	10862449
251	10862462
252	10862502
253	10867836
254	10994433
255	10994497
256	10994582
257	10994613
258	11030218
259	11302859
260	11346516
261	11485392
262	11506716
263	11506760
264	11528231
265	11528669
266	11529053
267	11529067
268	11553727
269	11615306
270	11615402
271	11643945
272	11735243
273	11745869
274	11746423
275	11747378
276	11747453
277	11751557
278	11751634
279	11761057
280	11910732
281	12022054
282	12147018
283	12170640
284	12181912
285	12181940
286	12182026
287	12201705
288	12201776
289	12201815
290	12202012
291	12202067
292	12230865
293	12231156
294	12262331
295	12542587
296	12547020
297	12556964
298	12706644
299	12833808
300	13210346
301	13211573
302	13235084
303	13258565
304	13272986
305	13305058
306	13306462
307	13306513
308	13306587
309	13315510
310	13315523
311	13315545
312	13326249
313	13327510
314	13327617
315	13492491
316	13501675
317	13501680
318	13501712
319	13574027
320	13625840
321	13651408
322	13663233
323	13712769
324	13729455
325	13729628
