k	smorfs
1	1095
2	7936
3	13703
4	34941
5	38670
6	46953
7	57603
8	93125
9	107905
10	120757
11	124041
12	127473
13	128298
14	156777
15	169397
16	276366
17	287429
18	295454
19	313059
20	315952
21	326930
22	328738
23	340184
24	347586
25	350947
26	360060
27	430059
28	435116
29	440811
30	447103
31	451590
32	537833
33	541601
34	544222
35	657441
36	663793
37	726783
38	729907
39	738683
40	749613
41	752064
42	752295
43	755804
44	757033
45	758006
46	765534
47	769398
48	772209
49	782102
50	791534
51	834769
52	843148
53	1085652
54	1094588
55	1122132
56	1139127
57	1214954
58	1215299
59	1215944
60	1218177
61	1218490
62	1221578
63	1229365
64	1237083
65	1240090
66	1252627
67	1257162
68	1333548
69	1337270
70	1347659
71	1419557
72	1426138
73	1445868
74	1446502
75	1454740
76	1462799
77	1494222
78	1500327
79	1507773
80	1657049
81	1674228
82	1676032
83	1686873
84	1698241
85	1700718
86	1701752
87	1772954
88	1781333
89	1795584
90	1797054
91	1826163
92	1829237
93	1834109
94	1839584
95	1845156
96	1848638
97	1849910
98	1860572
99	1868143
100	1874724
101	1877101
102	1963063
103	1974213
104	1976846
105	1978867
106	1983240
107	1986077
108	2047002
109	2047526
110	2066124
111	2071112
112	2237786
113	2249182
114	2282916
115	2283386
116	2293608
117	2369295
118	2381919
119	2383752
120	2404429
121	2415050
122	2417025
123	2422908
124	2429712
125	2455147
126	2669937
127	2806388
128	2998811
129	3005742
130	3042177
131	3042608
132	3044869
133	3045508
134	3054984
135	3055491
136	3064246
137	3067203
138	3085729
139	3086185
140	3088244
141	3103302
142	3109949
143	3110015
144	3114447
145	3121521
146	3127542
147	3129569
148	3179673
149	3179675
150	3306047
151	3307653
152	3318395
153	3322525
154	3432173
155	3432376
156	3433773
157	3436129
158	3448052
159	3460036
160	3461850
161	3469611
162	3558159
163	3578685
164	3608498
165	3643481
166	3652086
167	3655359
168	3655370
169	3660900
170	3661593
171	3676831
172	3707846
173	3708194
174	4068412
175	4075149
176	4077085
177	4120846
178	4123923
179	4129855
180	4139508
181	4151061
182	4151813
183	4157529
184	4158383
185	4221559
186	4227823
187	4308275
188	4314614
189	4314649
190	4317283
191	4384046
192	4546650
193	4691868
194	4802370
195	4817283
196	4817547
197	4819562
198	4834689
199	4837478
200	4853615
201	4855385
202	4928856
203	4931513
204	4974126
205	4991611
206	5057550
207	5060299
208	5066609
209	5068568
210	5074496
211	5080662
212	5090548
213	5090863
214	5091334
215	5091474
216	5098750
217	5098958
218	5100680
219	5143172
220	5152843
221	5154389
222	5163073
223	5163926
224	5178064
225	5186053
226	5210603
227	5222226
228	5224692
229	5242164
230	5244118
231	5246780
232	5247792
233	5248137
234	5294649
235	5401179
236	5402984
237	5405313
238	5595769
239	5669388
240	5689301
241	5689470
242	5800476
243	5805492
244	5807056
245	5938515
246	5943042
247	6087807
248	6088402
249	6098175
250	6104218
251	6115742
252	6158902
253	6162360
254	6172427
255	6255326
256	6267388
257	6288422
258	6349249
259	6349663
260	6373393
261	6386207
262	6389378
263	6396162
264	6495104
265	6639913
266	6642172
267	6649701
268	6653943
269	6685937
270	6759779
271	6761311
272	6773930
273	6783736
274	6791540
275	6800845
276	6885950
277	6911454
278	7097457
279	7119108
280	7127419
281	7129262
282	7146920
283	7150198
284	7203315
285	7292483
286	7324328
287	7326853
288	7379969
289	7381206
290	7385716
291	7389084
292	7428192
293	7437140
294	7449853
295	7458594
296	7460339
297	7460400
298	7463200
299	7477152
300	7490408
301	7559384
302	7571295
303	7575357
304	7578475
305	7579666
306	7584747
307	7589834
308	7599336
309	7600099
310	7674977
311	7688055
312	7689150
313	7734808
314	7747479
315	7750954
316	7775878
317	7834318
318	7841351
319	7843945
320	7847390
321	7847878
322	7848183
323	7888306
324	7936179
325	7939353
326	7941556
327	7946119
328	7952626
329	7955282
330	7962693
331	7967296
332	7976087
333	8035087
334	8039536
335	8039885
336	8042649
337	8044125
338	8053219
339	8055327
340	8055992
341	8058242
342	8058380
343	8058491
344	8062168
345	8065171
346	8071862
347	8072864
348	8240413
349	8241045
350	8284223
351	8292257
352	8297261
353	8299065
354	8299365
355	8310927
356	8318777
357	8319122
358	8329084
359	8329922
360	8330880
361	8337447
362	8337568
363	8367688
364	8378606
365	8382731
366	8396536
367	8407455
368	8409886
369	8417327
370	8436127
371	8454776
372	8460055
373	8463811
374	8483881
375	8487781
376	8487829
377	8488434
378	8490999
379	8492116
380	8524812
381	8528796
382	8534659
383	8680356
384	8683815
385	8691349
386	8725920
387	8734758
388	8738785
389	8741262
390	8741267
391	8749390
392	8751609
393	8752771
394	8757228
395	8793050
396	8802667
397	8817884
398	8827352
399	8829567
400	8835741
401	8989349
402	8991137
403	9051959
404	9056349
405	9453208
406	9453348
407	9455027
408	9668203
409	9690221
410	9698650
411	9707276
412	9717180
413	9721551
414	9727127
415	9733109
416	9753660
417	9758549
418	9770801
419	9807521
420	9807814
421	9808670
422	9816762
423	9820283
424	9820341
425	9868673
426	9876667
427	9944824
428	9989346
429	9989422
430	9993444
431	10106012
432	10109888
433	10113034
434	10114231
435	10121928
436	10214994
437	10215536
438	10224263
439	10227174
440	10230163
441	10243054
442	10245294
443	10246453
444	10251954
445	10252797
446	10303888
447	10305587
448	10312930
449	10314975
450	10317417
451	10317417
452	10317905
453	10331222
454	10335489
455	10337529
456	10457068
457	10608282
458	10619907
459	10621098
460	10629165
461	10633221
462	10638261
463	10640137
464	10644526
465	10644886
466	10646529
467	10646594
468	10647002
469	10653325
470	10657515
471	10662363
472	10673782
473	10679088
474	10686315
475	10700291
476	10775986
477	10775993
478	10784920
479	10789771
480	10793853
481	10795071
482	10798125
483	10801577
484	10816137
485	10820972
486	10821008
487	10825725
488	10826029
489	10826590
490	10834862
491	10835974
492	10988326
493	10995963
494	11007469
495	11015525
496	11021748
497	11026818
498	11031377
499	11037449
500	11041895
501	11138382
502	11141214
503	11157983
504	11163319
505	11164975
506	11174121
507	11176139
508	11176356
509	11577917
510	11581340
511	11582744
512	11617789
513	11620206
514	11624057
515	11640570
516	11645004
517	11646197
518	11653486
519	11663994
520	11740449
521	11741229
522	11742020
523	11748543
524	11812458
525	11815947
526	11826257
527	11826597
528	11827997
529	11835026
530	11842024
531	11846578
532	11851861
533	11902318
534	11937228
535	11941082
536	11944889
537	11946955
538	11969288
539	11975074
540	11977330
541	11980857
542	11981203
543	12011870
544	12012091
545	12022378
546	12022488
547	12022929
548	12024046
549	12025907
550	12034895
551	12037018
552	12041929
553	12053529
554	12062239
555	12066418
556	12089425
557	12126461
558	12138533
559	12153049
560	12196804
561	12202563
562	12289856
563	12296038
564	12296270
565	12412673
566	12417332
567	12423672
568	12427998
569	12511241
570	12515221
571	12515766
572	12525658
573	12527820
574	12531271
575	12532961
576	12534424
577	12534427
578	12534809
579	12538789
580	12553186
581	12557257
582	12557412
583	12560648
584	12572311
585	12592404
586	12595477
587	12604563
588	12609978
589	12620899
590	12631735
591	12638216
592	12640608
593	12753421
594	12757988
595	12807072
596	12812385
597	12860197
598	12864561
599	12865879
600	12903872
601	12905956
602	12906664
603	12907028
604	12910276
605	12937863
606	13034221
607	13111143
608	13113847
609	13128235
610	13131613
611	13133817
612	13183309
613	13188816
614	13205879
615	13206327
616	13326462
617	13326543
618	13328233
619	13328747
620	13335936
621	13338677
622	13338732
623	13341228
624	13344353
625	13355784
626	13365740
627	13373333
628	13408042
629	13409951
630	13419153
631	13423909
632	13425506
633	13433641
634	13435203
635	13435429
636	13439017
637	13486341
638	13542581
639	13543583
640	13544806
641	13545020
642	13548252
643	13559054
644	13599017
645	13606732
646	13611273
647	13626461
648	13626665
649	13628112
650	13629317
651	13633260
652	13639202
653	13708042
654	13708960
655	13716382
656	13732867
657	13733329
658	13738561
659	13747705
660	13921758
661	13957124
662	14056451
663	14098072
664	14098133
665	14113624
666	14141073
667	14141152
668	14141445
669	14144458
670	14148825
671	14157766
672	14160965
673	14162140
674	14228965
675	14234360
676	14239963
677	14245491
678	14247166
679	14254054
680	14288361
681	14330798
682	14331293
683	14340537
684	14343895
685	14345167
686	14346016
687	14349866
688	14350897
689	14352729
690	14359701
691	14362291
692	14363255
693	14369037
694	14379084
695	14381941
696	14383105
697	14383656
698	14387814
699	14388406
700	14391180
701	14391593
702	14394723
703	14395502
704	14409152
705	14414348
706	14542325
707	14542776
708	14544583
709	14553231
710	14573098
711	14576872
712	14600749
713	14603872
714	14605627
715	14618444
716	14620148
717	14621592
718	14623103
719	14626862
720	14632000
721	14633250
722	14658851
723	14664495
724	14664899
725	14747958
726	14750882
727	14752480
728	14792586
729	14809121
730	14909270
731	14909853
732	14910300
733	14915135
734	14916436
735	14923717
736	14924243
737	14933658
738	14955592
739	14956778
740	14959281
741	14959885
742	14969160
743	14975384
744	14977095
745	14983191
746	14983649
747	14990165
748	14991950
749	14998485
750	15000338
751	15003881
752	15008854
753	15013695
754	15022005
755	15171008
756	15176458
757	15181319
758	15183550
759	15186183
760	15207792
761	15210834
762	15213757
763	15227722
764	15343668
765	15353539
766	15355638
767	15359730
768	15367374
769	15368544
770	15368608
771	15375421
772	15379063
773	15381859
774	15393789
775	15420898
776	15420981
777	15483890
778	15487171
779	15487557
780	15490789
781	15506082
782	15506420
783	15507697
784	15507850
785	15507850
786	15512668
787	15521740
788	15522137
789	15529951
790	15531050
791	15547671
792	15553320
793	15590261
794	15590427
795	15593332
796	15598958
797	15611683
798	15667277
799	15671354
800	15673102
801	15679260
802	15693624
803	15694096
804	15722663
805	15724823
806	15759650
807	15836935
808	15837343
809	15844671
810	15848784
811	15852800
812	15863996
813	15864913
814	15866817
815	15870285
816	15877459
817	15931363
818	15932474
819	15939485
820	16028615
821	16030746
822	16166228
823	16175836
824	16175875
825	16179249
826	16183652
827	16326481
828	16369453
829	16464974
830	16466844
831	16468488
832	16469339
833	16475410
834	16479489
835	16517568
836	16517586
837	16524775
838	16526592
839	16594356
840	16596294
841	16614842
842	16618699
843	16695011
844	16695072
845	16703305
846	16705059
847	16733641
848	16750502
849	16751768
850	16754381
851	16758244
852	16762554
853	16765716
854	17138602
855	17142055
856	17159943
857	17160224
858	17166146
859	17500790
860	17501640
861	17504081
862	17504334
863	17509782
864	17511769
865	17515691
866	17516318
867	17522893
868	17523085
869	17527852
870	17580019
871	17580302
872	17626331
873	17634941
874	17636165
875	17636870
876	17638291
877	17639010
878	17643493
879	17645509
880	17647754
881	17653617
882	17661070
883	17773495
884	17773792
885	17776861
886	17814519
887	17815373
888	17882839
889	17916264
890	17917345
891	17957959
892	17965121
893	18002660
894	18005138
895	18005202
896	18006011
897	18020583
898	18021014
899	18021237
900	18021271
901	18022661
902	18026527
903	18027902
904	18035175
905	18035322
906	18132722
907	18163523
908	18187508
909	18226190
910	18226906
911	18234566
912	18251233
913	18263243
914	18286235
915	18287509
916	18298766
917	18303401
918	18312876
919	18318056
920	18337986
921	18339956
922	18340975
923	18343376
924	18345767
925	18481816
926	18487748
927	18505002
928	18508975
929	18675840
930	18676016
931	18683533
