k	smorfs
1	157628
2	217749
3	221949
4	297617
5	300784
6	344568
7	414898
8	496502
9	555941
10	648937
11	691245
12	753785
13	806011
14	806123
15	874921
16	895031
17	983502
18	1253627
19	1266464
20	1453733
21	1597524
22	1786637
23	1991237
24	2057810
25	2167105
26	2175048
27	2460386
28	2469797
29	2583571
30	2627647
31	2627755
32	2683526
33	2754085
34	2961545
35	2961609
36	2975077
37	3121907
38	3188837
39	3233893
40	3307625
41	3353347
42	3370400
43	3506729
44	3506804
45	3534726
46	3613018
47	3685519
48	3763835
49	3889827
50	3948389
51	4056328
52	4145615
53	4249560
54	4286591
55	4326802
56	4390719
57	4490813
58	4490910
59	4687482
60	4687484
61	4688383
62	4696596
63	4706956
64	4788220
65	4789041
66	4836343
67	4911546
68	4952764
69	4977601
70	4995962
71	5050676
72	5050745
73	5091208
74	5093601
75	5168279
76	5172405
77	5172509
78	5201092
79	5214186
80	5487607
81	5657594
82	5657703
83	5665676
84	5739973
85	5943699
86	5969771
87	6069833
88	6115313
89	6149081
90	6161388
91	6184874
92	6205343
93	6216965
94	6231398
95	6287192
96	6398489
97	6459227
98	6640932
99	6732553
100	6861662
101	6861737
102	7027499
103	7066387
104	7189412
105	7288763
106	7288764
107	7302290
108	7384458
109	7409463
110	7409500
111	7409574
112	7428921
113	7451006
114	7616159
115	7687614
116	7707987
117	7770987
118	7841857
119	7900393
120	7935190
121	8103644
122	8137442
123	8326389
124	8402305
125	8402311
126	8460431
127	8613596
128	8629544
129	8824530
130	8863845
131	8868368
132	8868404
133	8875733
134	8938324
135	8939378
136	9520108
137	9748027
138	9795272
139	9879682
140	9948190
141	10066345
142	10171409
143	10341905
144	10344435
145	10390432
146	10399379
147	10462726
148	10603365
149	10616996
150	10650383
151	10695898
152	10704932
153	10806853
154	11042603
155	11048025
156	11166734
157	11343537
158	11390591
159	11487606
160	11489052
161	11571907
162	11678261
163	11678781
164	11682553
165	11737334
166	11774480
167	11781145
168	11785656
169	11905822
170	11963346
171	12014186
172	12315125
173	12315209
174	12520199
175	12545073
176	12586086
177	12612378
178	12612449
179	12637569
180	12644445
181	12644558
182	12644988
183	12709234
184	12774206
185	12826446
186	13075087
187	13091292
188	13299156
189	13542857
190	13604296
191	13625424
192	13631665
193	13663279
194	13703911
195	13723120
196	13882289
197	13978049
198	14130234
199	14927850
200	15042802
201	15102700
202	15227643
203	15233456
204	15258456
205	15358779
206	15529271
207	15529340
208	15529346
209	15543848
210	15562009
211	15639323
212	15741662
213	15749231
214	15749389
215	15749496
216	15847889
217	15898926
218	15899031
219	15945945
220	15957263
221	16033867
222	16073885
223	16186532
224	16352510
225	16576452
226	16667548
227	16672516
228	16683374
229	16691320
230	16808649
231	16808706
232	16858403
233	16955995
234	17008548
235	17008974
236	17050148
237	17096911
238	17113015
239	17113018
240	17167629
241	17199775
242	17265106
243	17265652
244	17306121
245	17308597
246	17325953
247	17357905
248	17464148
249	17501049
250	17509605
251	17542747
252	17589974
253	17637611
254	17660364
255	17837662
256	17837670
257	18240544
258	18313561
259	18555335
260	18656930
261	18670407
262	18692133
263	18745239
264	18760126
265	18808870
266	18971440
267	19016907
268	19154606
269	19185328
270	19454054
271	19505523
272	19505535
273	19506226
274	19526257
275	19683079
276	19687270
277	19687322
278	19752940
279	20154890
280	20195505
281	20257885
282	20257892
283	20274899
284	20274950
285	20306723
286	20332489
287	20363379
288	20417621
289	20449267
290	20586001
291	20651376
292	20735570
293	20769906
294	20892745
295	20910410
296	20910506
297	20943931
298	21125085
299	21135914
300	21237661
301	21273724
302	21323993
303	21329313
304	21389213
305	21420484
306	21476181
307	21481879
308	21712233
309	21712355
310	21746102
311	21773470
312	21975363
313	22001407
314	22552013
315	22715137
316	22724672
317	22750467
318	22924598
319	22968984
320	23102621
321	23235184
322	23465525
323	23469621
324	23648944
325	23660458
326	23661025
327	23663154
328	23666729
329	23745760
330	23749901
331	23828280
332	23895339
333	23947111
334	23957462
335	23957948
336	24085059
337	24089863
338	24167858
339	24254413
340	24269449
341	24361081
342	24418727
343	24461070
344	24472790
345	24513260
346	24546700
347	24579988
348	24580025
349	24580148
350	24667414
351	24819911
352	24855616
353	24880935
354	24886419
355	24965927
356	25211769
357	25218938
358	25246596
359	25258656
360	25288851
361	25447977
362	25447988
363	25470792
364	25665880
365	25845871
366	25891159
367	25915651
368	25925420
369	26182624
370	26182724
371	26182875
372	26331759
373	26354289
374	26544676
375	26571153
376	26686325
377	26812457
378	26849590
379	26855641
380	26983822
381	27020475
382	27028851
383	27063151
384	27105549
385	27115843
386	27200898
387	27352228
388	27374173
389	27377040
390	27413226
391	27435682
392	27436371
393	27454405
394	27544271
395	27678117
396	27678173
397	27692792
398	27890543
399	27903759
400	27932484
401	28040304
402	28057526
403	28118217
404	28150376
405	28179519
406	28181730
407	28181761
408	28211937
409	28425716
410	28433884
411	28434094
412	28453875
413	28486658
414	28499109
415	28561942
416	28572693
417	28585710
418	28601090
419	28706198
420	28823622
421	28848873
422	28866946
423	28870791
424	28880310
425	29213216
426	29315640
427	29385683
428	29451852
429	29472110
430	29525501
431	29733981
432	29738559
433	29744559
434	29793198
435	29793972
436	29899621
437	29956295
438	30057430
439	30223196
440	30223267
441	30223927
442	30252954
443	30277989
444	30312372
445	30524355
446	30532600
447	30536905
448	30615511
449	30646588
450	30694354
451	30733175
452	30765768
453	30822923
454	30831286
455	30852725
456	30876223
457	30905130
458	30930859
459	31021740
460	31106861
461	31160281
462	31185762
463	31205042
464	31229222
465	31230398
466	31280673
467	31350920
468	31436356
469	31744824
470	31865787
471	31980535
472	32058190
473	32085723
474	32088339
475	32151310
476	32151950
477	32353474
478	32353478
479	32379514
480	32604668
481	32609391
482	32612005
483	32645776
484	32684145
485	32739722
486	32746744
487	32746763
488	32828048
489	32963061
490	32979154
491	33060963
492	33086658
493	33092180
494	33092255
495	33135813
496	33168305
497	33551423
498	33551467
499	33628934
500	33628942
501	33630262
502	33636684
503	33673003
504	33673060
505	33729471
506	33773355
507	33794928
508	34013986
509	34177166
510	34194718
511	34231481
512	34239819
513	34283868
514	34478399
515	34543152
516	34589139
517	34634349
518	34910252
519	34967658
520	35001935
521	35002025
522	35038336
523	35106217
524	35111351
525	35112931
526	35313932
527	35314563
528	35358825
529	35596658
530	35777416
531	36133668
532	36184322
533	36203468
534	36206371
535	36327636
536	36353971
537	36395582
538	36425612
539	36426277
540	36440503
541	36440730
542	36512390
543	36533386
544	36563115
545	36592094
546	36595750
547	36670346
548	36761627
549	36762216
550	36780157
551	36780178
552	36881540
553	37014868
554	37224952
555	37297394
556	37302803
557	37325362
558	37362649
559	37390170
560	37390174
561	37401460
562	37455910
563	37522249
564	37584954
565	37669166
566	37675090
567	37676583
568	37732298
569	37788011
570	37791850
571	37798086
572	37850679
573	37893833
574	37893858
575	37899723
576	37903411
577	37908720
578	37933299
579	37957848
580	38011677
581	38018542
582	38081185
583	38124586
584	38154581
585	38258150
586	38329822
587	38358708
588	38395543
589	38501568
590	38533145
591	38573289
592	38590883
593	38610531
594	38641984
595	38642099
596	38687746
597	38718102
598	38764519
599	38788292
600	38825587
601	38825622
602	38902535
603	39017042
604	39139920
605	39154449
606	39228171
607	39253821
608	39281269
609	39281789
610	39316980
611	39427570
612	39520636
613	39797448
614	39831890
615	39844341
616	39888152
617	39897230
618	39944799
619	40046636
620	40046956
621	40068296
622	40215833
623	40361379
624	40397523
625	40448136
626	40542387
627	40579846
628	40592761
629	40782808
630	41218993
631	41246858
632	41290439
633	41402542
634	41516861
635	41599783
636	41629409
637	41629441
638	41630084
639	41748448
640	42043987
641	42064289
642	42113154
643	42188090
644	42188094
645	42209527
646	42242846
647	42361413
648	42698008
649	42732418
650	42768715
651	42798779
652	42810694
653	42852105
654	42899557
655	42942986
656	43091501
657	43101450
658	43193921
659	43207544
660	43220655
661	43401679
662	43527901
663	43558010
664	43594512
665	43689083
666	43695983
667	43907847
668	43916372
669	43992452
670	44004831
671	44014102
672	44022463
673	44039803
674	44075076
675	44138874
676	44141049
677	44194058
678	44566740
679	44654620
680	44683981
681	44701755
682	44767958
683	44878801
684	44939611
685	45215526
686	45251604
687	45251650
688	45316465
689	45334740
690	45353682
691	45357424
692	45411952
693	45534858
694	45566513
695	45694865
696	45715018
697	45719534
698	45859329
699	45873152
700	45914978
701	45957258
702	45959482
703	46040813
704	46073239
705	46128367
706	46148370
707	46336191
708	46393272
709	46495653
710	46500324
711	46545796
712	46676952
713	46790945
714	46892077
715	47055739
716	47088547
717	47218518
718	47219334
719	47219350
720	47277706
721	47327382
722	47328957
723	47335990
724	47338749
725	47374294
726	47392899
727	47437666
728	47461287
729	47479356
730	47494217
731	47664843
732	47693178
733	47773432
734	47823611
735	47906759
736	47960076
737	47960083
738	47960484
739	48007933
740	48076548
741	48171055
742	48171216
743	48302429
744	48302522
745	48358695
746	48469846
747	48534664
748	48534973
749	48538407
750	48596754
751	48597087
752	48612848
753	48835084
754	49055760
755	49078600
756	49078648
757	49120539
758	49174075
759	49260983
760	49337258
761	49375078
762	49454677
763	49479407
764	49575368
765	49673627
766	49927019
767	49928582
