k	smorfs
1	39667
2	42973
3	88581
4	371396
5	410168
6	507287
7	599491
8	622133
9	718888
10	726033
11	792605
12	826754
13	853931
14	913665
15	982508
16	1002063
17	1239516
18	1345438
19	1370885
20	1398639
21	1406870
22	1465302
23	1556336
24	1655130
25	1668181
26	1738780
27	1782207
28	1895205
29	1910259
30	1925387
31	1944376
32	1977618
33	2042014
34	2058531
35	2127837
36	2166762
37	2189158
38	2458325
39	2503785
40	2536240
41	2538032
42	2634401
43	2658512
44	2703606
45	2759414
46	2780421
47	2850808
48	2871988
49	2914668
50	2989310
51	3061549
52	3121063
53	3332612
54	3564410
55	3613505
56	3632706
57	3667115
58	3755825
59	3772876
60	3779912
61	3789086
62	3912436
63	4015589
64	4040669
65	4127524
66	4433047
67	4498511
68	4568866
69	4726267
70	4844968
71	4896200
72	4924535
73	4949059
74	5002504
75	5024460
76	5075276
77	5135683
78	5153731
79	5356544
80	5358184
81	5393028
82	5414753
83	5434462
84	5529619
85	5556405
86	5557535
87	5609898
88	5634839
89	5657796
90	5680285
91	5700362
92	5754122
93	5825726
94	5866304
95	5924319
96	5949475
97	5996310
98	6030147
99	6455273
100	6537520
101	6768193
102	6797931
103	6819360
104	7003998
105	7097092
106	7123166
107	7179719
108	7192280
109	7235379
110	7238396
111	7281598
112	7282133
113	7534067
114	7560224
115	7574037
116	7629289
117	8131980
118	8213907
119	8258302
120	8319715
121	8332130
122	8398832
123	8467444
124	8516823
125	8664761
126	8682625
127	8721271
128	8797330
129	8938186
130	9006849
131	9064969
132	9100365
133	9160376
134	9236650
135	9316431
136	9320050
137	9343827
138	9389145
139	9423711
140	9440513
141	9620386
142	9679267
143	9741175
144	9754166
145	9776815
146	9822267
147	9847156
148	9877246
149	9940010
150	9941664
151	10019802
152	10064596
153	10116185
154	10131818
155	10156545
156	10168383
157	10218362
158	10274931
159	10310070
160	10341326
161	10404865
162	10460693
163	10488614
164	10563805
165	10579523
166	10656748
167	10897126
168	10982062
169	11028130
170	11069856
171	11110134
172	11164145
173	11209365
174	11239660
175	11326839
176	11483411
177	11536482
178	11565895
179	11574908
180	11617687
181	11646970
182	11692448
183	11696114
184	11735271
185	11762495
186	11830928
187	11863085
188	11887103
189	11911810
190	11957685
191	12127175
192	12164840
193	12186096
194	12231865
195	12297806
196	12341715
197	12405319
198	12457694
199	12491310
200	12523709
201	12531569
202	12572224
203	12709775
204	12763457
205	12765569
206	12782123
207	12826732
208	13024000
209	13067078
210	13091091
211	13245731
212	13282831
213	13510822
214	13529524
215	13558851
216	13628113
217	13821702
218	13857286
219	13997885
220	14016628
221	14073455
222	14151563
223	14153799
224	14218721
225	14286171
226	14324227
227	14389326
228	14434447
229	14493737
230	14524835
231	14541333
232	14562254
233	14592904
234	14622462
235	14663732
236	14687602
237	14736105
238	14778204
239	14801992
240	14812003
241	14860847
242	15013765
243	15145185
244	15176375
245	15201851
246	15332432
247	15487528
248	15520614
249	15605541
250	15709235
251	15763379
252	15834912
253	15840495
254	15876610
255	16013482
256	16060208
257	16104887
258	16153790
259	16268841
260	16283768
261	16335553
262	16477406
263	16558277
264	16645906
265	16675434
266	16735449
267	16922307
268	16922576
269	17093176
270	17094680
271	17145973
272	17238287
273	17284392
274	17302253
275	17314398
276	17331415
277	17429215
278	17468201
279	17516359
280	17517605
281	17518619
282	17539052
283	17600212
284	17680260
285	17692665
286	17822672
287	17841126
288	17896165
289	17963885
290	18020351
291	18036515
292	18089855
293	18107668
294	18121722
295	18129867
296	18196872
297	18208825
298	18209916
299	18229432
300	18246168
301	18346205
302	18414224
303	18446775
304	18458601
305	18488169
306	18564059
307	18623385
308	18660540
309	18719702
310	18785062
311	18899313
312	18929856
313	18971097
314	19021588
315	19065972
316	19079549
317	19091209
318	19111400
319	19125689
320	19141220
321	19198591
322	19209263
323	19243877
324	19247486
325	19255717
326	19262106
327	19279941
328	19291274
329	19382656
330	19532840
331	19559971
332	19782958
333	19837909
334	19938738
335	19983526
336	19988989
337	20030761
338	20235141
339	20251270
340	20285395
341	20485133
342	20496639
343	20543264
344	20559170
345	20583688
346	20611154
347	20640040
348	20720160
349	20799279
350	20844376
351	20911014
352	20925874
353	21091145
354	21141799
355	21184781
356	21204052
357	21230122
358	21287531
359	21322472
360	21340726
361	21581508
362	21635071
363	21636525
364	21700472
365	21728031
366	21748822
367	21776812
368	21805703
369	21888916
370	21976862
371	22010702
372	22147399
373	22226855
374	22288590
375	22492446
376	22508410
377	22547804
378	22566083
379	22612410
380	22652958
381	22680402
382	22703252
383	22738416
384	22772563
385	22812369
386	22849839
387	22864443
388	22880082
389	22892348
390	22906085
391	22961723
392	23136404
393	23139009
394	23139431
395	23288537
396	23332305
397	23351083
398	23608147
399	23653571
400	23682899
401	23693188
402	23765417
403	23815737
404	23921390
405	23947910
406	23993770
407	24060091
408	24087540
409	24168153
410	24188371
411	24245576
412	24430409
413	24454840
414	24481880
415	24786004
416	24788301
417	24794296
418	24817346
419	24841609
420	24855738
421	24888443
422	24904554
423	24991158
424	25119685
425	25294130
426	25310681
427	25343917
428	25385427
429	25419902
430	25422612
431	25438578
432	25453288
433	25465131
434	25481015
435	25518365
436	25560767
437	25588028
438	25610316
439	25643716
440	25667587
441	25796430
442	25827479
443	25850913
444	25916768
445	25945283
446	25948359
447	25990410
448	26025850
449	26139838
450	26181182
451	26248320
452	26250265
453	26277026
454	26325102
455	26353939
456	26368719
457	26369517
458	26408274
459	26434567
460	26464848
461	26570251
462	26631382
463	26652130
464	26671223
465	26685043
466	26705199
467	26728786
468	26764425
469	26767849
470	26781873
471	26816232
