k	smorfs
1	385
2	21310
3	22591
4	26218
5	28491
6	31008
7	34272
8	37821
9	44076
10	45422
11	152191
12	152492
13	154635
14	157241
15	184345
16	187330
17	188313
18	189819
19	193647
20	215412
21	216513
22	228631
23	233635
24	235139
25	236376
26	263246
27	264985
28	267233
29	268240
30	342203
31	349656
32	350689
33	356365
34	360427
35	361453
36	362986
37	363883
38	364775
39	365478
40	376866
41	377802
42	378631
43	380019
44	426632
45	426693
46	427449
47	429160
48	456012
49	456155
50	461769
51	481459
52	483065
53	483900
54	544151
55	589293
56	591338
57	593495
58	636680
59	637706
60	639187
61	640022
62	640859
63	644950
64	666384
65	674991
66	675653
67	677253
68	679108
69	680151
70	695226
71	697062
72	698067
73	698684
74	714623
75	716097
76	723127
77	725299
78	726464
79	738205
80	748902
81	753292
82	755094
83	755719
84	770215
85	799651
86	800356
87	800990
88	842501
89	844374
90	846878
91	866528
92	868049
93	868784
94	899149
95	901459
96	985349
97	986294
98	1002709
99	1003619
100	1006515
101	1011373
102	1013320
103	1014375
104	1022727
105	1028183
106	1030219
107	1039435
108	1052645
109	1053235
110	1053954
111	1067863
112	1068317
113	1071481
114	1072494
115	1074990
116	1077174
117	1078032
118	1079522
119	1080248
120	1081356
121	1125477
122	1129722
123	1131643
124	1169356
125	1170357
126	1171442
127	1194027
128	1201887
129	1202525
130	1207786
131	1209522
132	1210814
133	1211485
134	1212463
135	1213724
136	1219069
137	1219928
138	1245202
139	1250969
140	1251271
141	1254250
142	1255282
143	1262194
144	1262838
145	1263770
146	1264387
147	1309671
148	1310206
149	1351864
150	1361975
151	1362132
152	1362994
153	1374431
154	1376786
155	1380176
156	1381472
157	1408132
158	1408994
159	1410006
160	1424848
161	1426095
162	1429661
163	1434458
164	1436342
165	1438228
166	1479734
167	1480873
168	1485595
169	1489795
170	1491225
171	1492145
172	1493153
173	1520733
174	1534031
175	1534978
176	1538509
177	1539542
178	1539806
179	1541061
180	1543889
181	1562550
182	1567953
183	1569382
184	1570442
185	1571732
186	1652628
187	1654385
188	1655447
189	1656168
190	1656293
191	1669880
192	1670891
193	1683917
194	1685525
195	1686928
196	1687364
197	1704777
198	1707147
199	1708775
200	1709281
201	1710508
202	1712811
203	1713471
204	1716165
205	1739042
206	1758533
207	1759219
208	1760569
209	1761313
210	1782655
211	1784816
212	1806224
213	2042109
214	2049710
215	2050361
216	2054151
217	2054975
218	2066509
219	2067293
220	2069345
221	2090673
222	2302598
223	2302803
224	2453513
225	2454106
226	2477053
227	2477921
228	2479165
229	2480535
230	2481111
231	2482325
232	2485052
233	2499910
234	2501360
235	2508687
236	2523936
237	2524922
238	2525402
239	2531897
240	2533796
241	2560610
242	2560625
243	2587352
244	2588491
245	2622827
246	2644195
247	2645009
248	2689736
249	2691118
250	2691679
251	2693758
252	2718449
253	2719119
254	2742070
255	2766900
256	2767506
257	2768235
258	2769085
259	2819670
260	2821055
261	2821587
262	2841610
263	2843040
264	2843584
265	2844310
266	2845652
267	2846584
268	2847275
269	2847732
270	2852366
271	2871742
272	2874367
273	2875078
274	2922613
275	2925177
276	2926219
277	2926316
278	2927442
279	2945925
280	2947293
281	2948202
282	2950832
283	2951361
284	2951850
285	2952570
286	2953429
287	2957509
288	3002998
289	3003767
290	3004719
291	3036777
292	3037908
293	3038511
294	3039164
295	3052216
296	3065045
297	3078026
298	3079105
299	3079935
300	3081124
301	3082120
302	3083059
303	3084211
304	3118279
305	3119713
306	3120280
307	3122018
308	3134755
309	3136396
310	3136925
311	3137474
312	3139821
313	3140301
314	3141164
315	3165041
316	3166111
317	3167174
318	3167246
319	3168195
320	3200264
321	3201905
322	3219526
323	3220268
324	3222363
325	3222408
326	3227177
327	3244925
328	3245844
329	3245924
330	3246613
331	3465723
332	3466246
333	3476136
334	3566001
335	3566973
336	3569587
337	3570096
338	3602740
339	3619927
340	3620591
341	3625016
342	3628114
343	3629243
344	3629864
345	3630449
346	3638650
347	3639714
348	3641783
349	3642343
350	3642982
351	3670248
352	3674457
353	3676564
354	3677105
355	3677581
356	3678530
357	3678607
358	3679435
359	3681432
360	3682100
361	3682803
362	3683592
363	3684136
364	3684173
365	3754612
366	3755251
367	3755757
368	3758648
369	3769394
370	3769506
371	3770300
372	3777875
373	3779299
374	3779924
375	3791650
376	3792292
377	3793054
378	3794524
379	3795505
380	3797739
381	3798465
382	3799045
383	3799204
384	3800788
385	3801352
386	3802275
387	3802372
388	3802557
389	3803928
390	3804539
391	3821313
392	3822652
393	3823368
394	3824474
395	3825297
396	3832780
397	3833453
398	3834372
399	3835322
400	3836715
401	3837746
402	3838564
403	3839727
404	3860718
405	3892494
406	3892590
407	3893066
408	3894734
409	3909204
410	3909749
411	3917100
412	3917941
413	3918748
414	3919523
415	3921109
416	3928173
417	3942567
418	3943774
419	4040849
420	4041784
421	4042235
422	4069475
423	4070006
424	4071230
425	4149634
426	4150915
427	4151354
428	4152387
429	4154403
430	4172399
431	4173036
432	4174149
433	4175897
434	4176656
435	4177728
436	4179334
437	4180124
438	4181033
439	4181516
440	4182154
441	4183101
442	4184216
443	4184862
444	4185894
445	4186503
446	4200344
447	4277141
448	4277882
449	4279255
450	4279726
451	4280168
452	4319674
453	4363202
454	4364257
455	4365467
456	4370050
457	4370543
458	4371660
459	4372690
460	4373741
461	4374691
462	4398040
463	4402385
464	4403682
465	4501433
466	4502334
467	4511439
468	4512021
469	4512958
470	4513498
471	4513981
472	4514875
473	4533888
474	4549974
475	4578355
476	4579614
477	4580522
478	4583020
479	4583849
480	4584670
481	4585329
482	4586635
483	4658772
484	4659575
485	4659678
486	4660200
487	4705564
488	4706375
489	4724759
490	4855786
491	4855906
492	4858254
493	4885434
494	4885919
495	4886834
496	4887862
497	4888711
498	4889246
499	4890928
500	4891694
501	4900530
502	4901092
503	4902197
504	4907664
505	4914013
506	4915166
507	4916323
508	4917146
509	4933774
510	4934623
511	4935393
512	4937809
513	4973372
514	4974280
515	4975278
516	5038198
517	5038733
518	5039173
519	5059572
520	5066387
521	5066664
522	5068153
523	5070440
524	5070580
525	5179347
526	5179939
527	5180310
528	5192474
529	5226062
530	5226676
531	5227971
532	5228554
533	5229320
534	5229940
535	5232403
536	5232928
537	5233302
538	5235235
539	5236583
540	5237463
541	5238043
542	5238944
543	5239764
544	5239858
545	5252529
546	5252780
547	5253518
548	5254610
549	5259376
550	5259926
551	5260598
552	5269358
553	5270319
554	5270859
555	5271275
556	5272622
557	5273321
558	5278046
559	5278547
560	5279013
561	5279562
562	5320744
563	5321697
564	5322163
565	5336453
566	5337322
567	5341817
568	5374531
569	5375638
570	5375944
571	5390765
572	5396344
573	5396885
574	5404604
575	5405351
576	5441520
577	5445483
578	5450863
579	5451226
580	5453992
581	5481916
582	5482900
583	5491632
584	5494940
585	5497894
586	5498466
587	5507093
588	5509306
589	5509589
590	5510041
591	5510577
592	5590550
593	5591476
594	5591903
595	5595938
596	5596665
597	5597399
598	5637118
599	5659325
600	5659927
601	5661120
602	5669491
603	5669536
604	5670137
605	5671079
606	5674817
607	5675608
608	5681027
609	5681602
610	5682974
611	5708839
612	5729886
613	5730653
614	5731015
615	5731145
616	5732260
617	5754150
618	5755284
619	5755645
620	5756061
621	5756972
622	5758515
623	5759261
624	5760005
625	5760584
626	5769643
627	5773660
628	5805083
629	5809273
630	5818401
631	5822274
632	5826439
633	5848761
634	5849213
635	5850106
636	5850930
637	5868419
638	5868792
639	5869354
640	5870162
641	5870714
642	5873246
643	5880594
644	5882139
645	5883164
646	5884127
647	5884621
648	5885243
649	5889748
650	5903665
651	5904373
652	5906669
653	5934063
654	5934630
655	5935603
656	5936798
657	5962451
658	5962899
659	5975867
660	5997678
661	6003934
662	6004539
663	6005240
664	6005774
665	6017757
666	6036648
667	6059919
668	6060398
669	6060838
670	6063517
671	6063887
672	6064501
673	6093365
674	6103037
675	6104038
676	6105002
677	6105802
678	6106970
679	6114790
680	6121279
681	6125030
682	6125728
683	6147783
684	6148288
685	6168601
686	6169367
687	6170139
688	6170666
689	6171695
690	6172384
691	6173091
692	6173512
693	6187190
694	6187836
695	6188936
696	6189335
697	6190061
698	6191467
699	6192198
700	6193394
701	6449302
702	6450900
703	6451443
704	6488628
705	6489375
706	6497066
707	6497672
708	6497962
709	6498243
710	6498617
711	6518663
712	6538262
713	6539212
714	6539768
715	6542238
716	6714940
717	6715287
718	6717372
719	6723374
720	6735277
721	6740017
722	6744616
723	6744722
724	6745461
725	6745560
726	6764999
727	6778970
728	6779984
729	6781561
730	6803258
731	6817530
732	6827648
733	6841015
734	6844718
735	6845852
736	6854679
737	6855110
738	6855219
739	6867341
740	6868032
741	6880249
742	6881355
743	6882015
744	6997108
745	6997665
746	6997728
747	6998294
748	6998769
749	6999942
750	7000279
751	7001079
752	7001643
753	7002216
754	7080852
755	7131649
756	7143439
757	7143523
758	7144447
759	7145337
760	7145873
761	7146595
762	7146693
763	7147406
764	7148299
765	7149753
766	7151122
767	7151773
768	7198230
769	7217867
770	7218627
771	7219263
772	7219988
773	7223560
774	7226720
775	7312237
776	7312947
777	7313572
778	7319515
779	7321981
780	7322562
781	7323173
782	7323557
783	7323975
784	7331226
785	7331514
786	7333035
787	7333580
788	7353928
789	7354295
790	7372062
791	7372969
792	7373546
793	7373939
794	7377258
795	7377873
796	7482368
797	7490380
798	7491686
799	7492279
800	7492970
801	7503716
802	7504163
803	7504909
804	7505554
805	7513263
806	7514212
807	7547679
808	7548242
809	7580567
810	7581426
811	7582481
812	7582721
813	7583177
814	7584017
815	7632426
816	7633144
817	7633710
818	7634435
819	7634453
820	7634961
821	7642831
822	7643386
823	7712355
824	7729029
825	7729426
826	7743220
827	7751047
828	7751596
829	7752257
830	7752792
831	7753209
832	7787926
833	7788268
834	7788823
835	7789511
836	7802902
837	7804235
838	7804713
839	7804725
840	7805209
841	7810732
842	7811391
843	7816883
844	7817816
845	7818463
846	7818970
847	7819983
848	7821042
849	7822041
850	7832804
851	7833171
852	7852238
853	7853257
854	7853791
855	7861004
856	7861661
857	7862123
858	7862310
859	7863796
860	7864277
861	7864700
862	7865527
863	7870255
864	7883856
865	7884329
866	7885027
867	8167711
868	8168488
869	8170204
870	8171012
871	8171365
872	8171880
873	8188374
874	8188655
875	8190440
876	8191286
877	8191696
878	8192125
879	8204161
880	8205042
881	8207370
882	8208037
883	8216479
884	8225408
885	8234825
886	8235469
887	8242756
888	8243545
889	8256947
890	8257708
891	8272649
892	8278155
893	8289820
894	8290163
895	8290265
896	8291233
897	8291915
898	8308723
899	8309728
900	8318632
901	8320982
902	8321702
903	8322481
904	8323304
905	8323879
906	8324282
907	8333080
908	8333471
909	8334783
910	8340973
911	8341369
912	8353960
913	8355841
914	8357585
915	8358079
916	8359224
917	8359671
918	8369846
919	8375189
920	8375927
921	8388629
922	8393764
923	8394260
924	8394555
925	8395110
926	8395586
927	8397048
928	8397557
929	8397946
930	8399803
931	8400223
932	8400858
933	8401538
934	8402453
935	8413956
936	8415474
937	8471374
938	8471698
939	8472191
940	8475396
941	8475545
942	8480708
943	8481558
944	8499169
945	8505599
946	8507781
947	8508605
948	8509068
949	8509600
950	8540519
951	8541152
952	8541817
953	8542304
954	8543170
955	8543812
956	8544351
957	8545156
958	8547909
959	8588869
960	8595738
961	8596326
962	8596772
963	8602283
964	8602430
965	8604284
966	8623492
967	8623961
968	8624835
969	8639447
970	8640132
971	8648102
972	8654340
973	8661418
974	8662586
975	8662658
976	8663154
977	8663817
978	8664290
979	8664736
980	8669610
981	8670946
982	8676340
983	8676416
984	8679298
985	8680551
986	8693285
987	8693584
988	8694029
989	8695207
990	8695714
991	8696304
992	8724248
993	8724884
994	8725368
995	8735233
996	8739878
997	8740361
998	8750619
999	8751489
1000	8751979
1001	8756876
1002	8768087
1003	8774764
1004	8775111
1005	8782067
1006	8786680
1007	8797291
1008	8797729
1009	8798567
1010	8798954
1011	8799523
1012	8800206
1013	8800499
1014	8801513
1015	8803559
1016	8804013
1017	8804593
1018	8805072
1019	8805863
1020	8806160
1021	8806901
1022	8807565
1023	8815385
1024	8815946
1025	8816397
1026	8816730
1027	8817203
1028	8818184
1029	8818991
1030	8827256
1031	8869194
1032	8869463
1033	8869516
1034	8870636
1035	8875212
1036	8875660
1037	8876513
1038	8877004
1039	8879406
1040	8880678
1041	8881602
1042	8881656
1043	8894593
1044	8894967
1045	8917703
1046	8918371
1047	8919134
1048	8919202
1049	8919710
1050	8920128
1051	8920843
1052	8921596
1053	8931268
1054	8932156
1055	8938570
1056	8939324
1057	8945022
1058	8948436
1059	8949554
1060	8949568
1061	8950092
1062	8950940
1063	8951576
1064	8956384
1065	8992932
1066	8993596
1067	8997328
1068	8998103
1069	8999784
1070	9000428
1071	9000946
1072	9018142
1073	9023444
1074	9023785
1075	9024219
1076	9024234
1077	9030434
1078	9031043
1079	9080457
1080	9086280
1081	9086704
1082	9088331
1083	9088792
1084	9089175
1085	9089433
1086	9090451
1087	9123729
1088	9125702
1089	9125977
1090	9125981
1091	9127287
1092	9143697
1093	9143699
1094	9144259
1095	9144852
1096	9146073
1097	9146130
1098	9146750
1099	9147129
1100	9148884
1101	9149340
1102	9149961
1103	9159464
1104	9159620
1105	9160147
1106	9168186
1107	9168729
1108	9169559
1109	9170375
1110	9171222
1111	9171727
1112	9188109
1113	9188662
1114	9189315
1115	9189352
1116	9189637
1117	9192938
1118	9196150
1119	9197080
1120	9212440
1121	9213980
1122	9214504
1123	9215308
1124	9215790
1125	9266339
1126	9267097
1127	9267881
1128	9268561
1129	9268876
1130	9269402
1131	9269753
1132	9270500
1133	9271251
1134	9283078
1135	9372756
1136	9373148
1137	9373642
1138	9373671
1139	9375738
1140	9381677
1141	9395839
1142	9396382
1143	9396882
1144	9413350
1145	9413841
1146	9414331
1147	9414911
1148	9415223
1149	9415977
1150	9416254
1151	9427076
1152	9427516
1153	9427545
1154	9427816
1155	9449398
1156	9449832
1157	9450062
1158	9450094
1159	9450533
1160	9464950
1161	9465346
1162	9471377
1163	9471962
1164	9472670
1165	9473558
1166	9483192
1167	9484232
1168	9495478
1169	9504761
1170	9505089
1171	9505628
1172	9506149
1173	9510326
1174	9511513
1175	9511876
1176	9525385
1177	9526285
1178	9533067
1179	9544494
1180	9554636
1181	9555327
1182	9556014
1183	9556748
1184	9557509
1185	9558186
1186	9558604
1187	9558802
1188	9560216
1189	9561747
1190	9636293
1191	9639442
1192	9639850
1193	9640609
1194	9641050
1195	9644542
1196	9662324
1197	9671744
1198	9684623
1199	9685092
1200	9687604
1201	9687953
1202	9724690
1203	9736612
1204	9742938
1205	9761474
1206	9761767
1207	9762056
1208	9762139
1209	9767773
1210	9821827
1211	9822584
1212	9828213
1213	9828643
1214	9828764
1215	9829096
1216	9829473
1217	9830113
1218	9830750
1219	9831351
1220	9831675
1221	9832391
1222	9835214
1223	9835511
1224	9838545
1225	9838927
1226	9839372
1227	9839797
1228	9840315
1229	9840817
1230	9852168
1231	9855146
1232	9880019
1233	9883622
1234	9884598
1235	9885113
1236	9901689
1237	9902012
1238	9902796
1239	9903222
1240	9905393
1241	9905870
1242	9906500
1243	9916323
1244	9917416
1245	9917471
1246	9918169
1247	9918594
1248	9923243
1249	9923565
1250	9924000
1251	9929292
1252	9929645
1253	9979367
1254	9979907
1255	9985341
1256	9986179
1257	9986544
1258	9994424
1259	10025203
1260	10025566
1261	10026290
1262	10026670
1263	10027087
1264	10027431
1265	10028128
1266	10028494
1267	10037606
1268	10038223
1269	10038611
1270	10038917
1271	10041529
1272	10058875
1273	10064765
1274	10065306
1275	10100132
1276	10100882
1277	10109240
1278	10112277
1279	10121214
1280	10135648
1281	10136006
1282	10363905
1283	10364471
1284	10381420
1285	10382225
1286	10388384
1287	10388753
1288	10389095
1289	10408216
1290	10408659
1291	10409066
1292	10439701
1293	10439949
1294	10440499
1295	10440545
1296	10446009
1297	10447503
1298	10448651
1299	10459186
1300	10459555
1301	10460395
1302	10467027
1303	10467747
1304	10473963
1305	10474462
1306	10484656
1307	10485161
1308	10493932
1309	10499752
1310	10524110
1311	10526482
1312	10529896
1313	10535740
1314	10536146
1315	10536496
1316	10543213
1317	10543614
1318	10559153
1319	10559814
1320	10574118
1321	10589082
1322	10589621
1323	10596026
1324	10596688
1325	10597217
1326	10597690
1327	10598162
1328	10602234
1329	10618804
1330	10619217
1331	10622392
1332	10622918
1333	10623347
1334	10643425
1335	10643765
1336	10644240
1337	10644820
1338	10647704
1339	10648009
1340	10648559
1341	10649110
1342	10649792
1343	10652666
