k	smorfs
1	24290
2	90542
3	142393
4	172691
5	211151
6	215020
7	218903
8	224290
9	455478
10	561462
11	612392
12	640060
13	718953
14	788202
15	793581
16	914712
17	932656
18	937497
19	1009259
20	1047042
21	1066011
22	1068684
23	1090926
24	1428608
25	1600423
26	1615629
27	1619467
28	1634133
29	1662516
30	1668552
31	1678094
32	1717373
33	1782617
34	1785259
35	1834523
36	2038809
37	2051369
38	2130078
39	2276193
40	2285204
41	2291164
42	2292560
43	2293206
44	2296531
45	2353685
46	2579441
47	2682309
48	2690148
49	2695017
50	2758046
51	2795416
52	2857717
53	2980071
54	3272518
55	3275831
56	3354109
57	3364436
58	3388861
59	3420138
60	3484768
61	3599500
62	3611113
63	3612179
64	3643924
65	3702681
66	3704032
67	3709721
68	3716890
69	3892855
70	3941669
71	3947518
72	4054623
73	4063519
74	4096915
75	4125069
76	4138279
77	4164981
78	4165356
79	4335856
80	4341063
81	4342279
82	4355758
83	4373442
84	4382478
85	4399518
86	4411662
87	4412869
88	4413615
89	4416822
90	4532222
91	4534499
92	5014052
93	5158709
94	5217232
95	5542714
96	5550114
97	5552126
98	5568626
99	5742071
100	5742340
101	5745751
102	6004604
103	6012747
104	6067978
105	6119341
106	6144542
107	6144730
108	6145611
109	6180621
110	6460420
111	6477331
112	6508863
113	6541176
114	6594894
115	6595507
116	6695210
117	6711272
118	6716450
119	6727549
120	6776543
121	6786285
122	6860468
123	6862869
124	6868832
125	6881917
126	6886906
127	6888160
128	6938085
129	7115511
130	7141350
131	7182062
132	7259958
133	7380967
134	7382824
135	7385400
136	7466731
137	7478156
138	7479095
139	7490245
140	7502629
141	7558019
142	7576263
143	7805478
144	7845166
145	7847299
146	7936368
147	7955898
148	8005986
149	8047257
150	8296040
151	8301999
152	8388087
153	8395958
154	8416512
155	8436769
156	8444572
157	8574024
158	8629735
159	8720194
160	8730364
161	8731547
162	8735673
163	8740454
164	8750966
165	8773288
166	8889300
167	8944827
168	8980054
169	8981706
170	8987246
171	9083374
172	9084307
173	9111270
174	9115782
175	9401272
176	9491980
177	9500218
178	9502941
179	9727136
180	9732686
181	9734983
182	9767226
183	9773816
184	9941221
185	10196460
186	10240006
187	10251404
188	10443478
189	10619974
190	10621065
191	10628628
192	10674715
193	10800559
194	10824449
195	10824894
196	10835872
197	10850911
198	10860219
199	10914024
200	11235885
201	11278140
202	11280980
203	11281675
204	11287616
205	11303140
206	11306806
207	11328785
208	11364471
209	11540838
210	11542824
211	11619168
212	11640312
213	11786246
214	11875378
215	11916057
216	11925908
217	11945655
218	11947811
219	11984387
220	11985111
221	11996379
222	11997906
223	11998642
224	12008613
225	12035958
226	12036271
227	12058447
228	12066362
229	12135840
230	12206151
231	12319282
232	12403016
233	12518777
234	12524052
235	12527217
236	12530740
237	12602546
238	12606524
239	12713056
240	12738905
241	13347406
242	13354038
243	13360933
244	13473942
245	13503297
246	13541545
247	13559041
248	13570963
249	13571791
250	13610651
251	13613219
252	13637389
253	13666292
254	13666930
255	13667320
256	13740751
257	13756675
258	13763626
259	13782608
260	13877464
261	13892046
262	13986738
263	13989340
264	14010027
265	14014329
266	14092888
267	14100927
268	14113811
269	14204495
270	14341587
271	14404350
272	14406110
273	14406419
274	14425150
275	14532306
276	14541180
277	14655498
278	14663406
279	14689020
280	14796414
281	14796556
282	14799465
283	14877763
284	14877879
285	14880429
286	14886519
287	14892758
288	14896631
289	14909644
290	14945282
291	14952234
292	14960150
293	14961267
294	15028173
295	15031847
296	15054739
297	15055019
298	15056685
299	15064680
300	15139351
301	15141172
302	15157410
303	15186089
304	15332297
305	15341970
306	15379791
307	15407226
308	15411584
309	15428455
310	15450200
311	15573626
312	15576177
313	15658298
314	15720533
315	15750053
316	15799073
317	15820599
318	15898882
319	15901071
320	15908351
321	15912261
322	16193803
323	16194262
324	16504120
325	16529616
326	16535152
327	16585011
328	16593031
329	16633128
330	16683162
331	16737699
332	16742822
333	16745430
334	16762482
335	16779737
336	16802539
337	16805850
338	16813159
339	16842080
340	16867985
341	16870319
342	16882588
343	16883150
344	16888950
345	16922101
346	17025528
347	17043038
348	17334958
349	17500984
350	17573918
351	17574163
352	17582352
353	17602403
354	17648379
