k	smorfs
1	19576
2	19737
3	26517
4	26534
5	27780
6	34642
7	45731
8	86598
9	87471
10	89334
11	91578
12	91796
13	96757
14	100327
15	110233
16	119431
17	140400
18	141737
19	143863
20	147717
21	153554
22	154771
23	154888
24	158621
25	170632
26	170886
27	174057
28	176401
29	181035
30	217843
31	219162
32	241504
33	261289
34	265400
35	267674
36	285897
37	286828
38	288316
39	288744
40	294132
41	331531
42	334344
43	337352
44	357819
45	358876
46	363759
47	374143
48	375874
49	409890
50	410661
51	410813
52	429314
53	477682
54	479178
55	479239
56	496732
57	527590
58	533201
59	557345
60	588649
61	608444
62	613864
63	615691
64	629068
65	639781
66	649441
67	649808
68	651769
69	651883
70	660472
71	661624
72	663453
73	665663
74	668226
75	698925
76	705047
77	711949
78	716231
79	722423
80	723878
81	740346
82	740427
83	742545
84	757947
85	759161
86	760929
87	761662
88	799173
89	819322
90	819745
91	824410
92	836453
93	837054
94	873136
95	877116
96	879248
97	882077
98	885809
99	886047
100	891650
101	904475
102	911441
103	922969
104	923003
105	932422
106	947871
107	949961
108	968127
109	968663
110	1005372
111	1005768
112	1009686
113	1010050
114	1012471
115	1015419
116	1042868
117	1048669
118	1049557
119	1050180
120	1050856
121	1061541
122	1078247
123	1106654
124	1109282
125	1115329
126	1124850
127	1150055
128	1156202
129	1159342
130	1161422
131	1162746
132	1168934
133	1183598
134	1198220
135	1200118
136	1200184
137	1204810
138	1214684
139	1224869
140	1226372
141	1227986
142	1229037
143	1243610
144	1269652
145	1281092
146	1281373
147	1291818
148	1291907
149	1298660
150	1332324
151	1338637
152	1340454
153	1344004
154	1345458
155	1369687
156	1389325
157	1419469
158	1422308
159	1423894
160	1433911
161	1442075
162	1461810
163	1484306
164	1509379
165	1511849
166	1520819
167	1530187
168	1556260
169	1557176
170	1557324
171	1558380
172	1563563
173	1563631
174	1563653
175	1565672
176	1598147
177	1601118
178	1604425
179	1605293
180	1605693
181	1612499
182	1628959
183	1630319
184	1630807
185	1633560
186	1633589
187	1649466
188	1651256
189	1671661
190	1685452
191	1695147
192	1702261
193	1716343
194	1721529
195	1721636
196	1727677
197	1728393
198	1731455
199	1745455
200	1747586
201	1754098
202	1767922
203	1769396
204	1776158
205	1789081
206	1792812
207	1795251
208	1808802
209	1810660
210	1810691
211	1812298
212	1816808
213	1829979
214	1831074
215	1831376
216	1832029
217	1853220
218	1854401
219	1857363
220	1864127
221	1866812
222	1867022
223	1867870
224	1890052
225	1898764
226	1912944
227	1912994
228	1930554
229	1935091
230	1936564
231	1955905
232	1964031
233	1964125
234	1982808
235	2007856
236	2008274
237	2016822
238	2020259
239	2020700
240	2020942
241	2053242
242	2073169
243	2091641
244	2093910
245	2094918
246	2095377
247	2100531
248	2106794
249	2112331
250	2113934
251	2115869
252	2122469
253	2150573
254	2178935
255	2179598
256	2180400
257	2183387
258	2186566
259	2194626
260	2194659
261	2194765
262	2201985
263	2225379
264	2229315
265	2238527
266	2250980
267	2254907
268	2278429
269	2278914
270	2286471
271	2292749
272	2292858
273	2293251
274	2295264
275	2307789
276	2318099
277	2341770
278	2343339
279	2344197
280	2368719
281	2370364
282	2370501
283	2373528
284	2378698
285	2397731
286	2405178
287	2405341
288	2405532
289	2406394
290	2407182
291	2407365
292	2417928
293	2423867
294	2424729
295	2428660
296	2466021
297	2471626
298	2474807
299	2479747
300	2479941
301	2480235
302	2502121
303	2524440
304	2524669
305	2528305
306	2528354
307	2539235
308	2539629
309	2540299
310	2560630
311	2585205
312	2598376
313	2598718
314	2609900
315	2612554
316	2613895
317	2613970
318	2614233
319	2622996
320	2623235
321	2643963
322	2646673
323	2647274
324	2648279
325	2654361
326	2654708
327	2660809
328	2660917
329	2662134
330	2664345
331	2665230
332	2671982
333	2673594
334	2708000
335	2710467
336	2714407
337	2720382
338	2722288
339	2732130
340	2767846
341	2768494
342	2777608
343	2790851
344	2806596
345	2810307
346	2813906
347	2813950
348	2814196
349	2816010
350	2818754
351	2820454
352	2820511
353	2824169
354	2827455
355	2828170
356	2835102
357	2853546
358	2854934
359	2855059
360	2861061
361	2863510
362	2871516
363	2874496
364	2875028
365	2883539
366	2884962
367	2889805
368	2890816
369	2892143
370	2893258
371	2895573
372	2900999
373	2905654
374	2908100
375	2908348
376	2911214
377	2922225
378	2923385
379	2942118
380	2943562
381	2967653
382	2969472
383	2981605
384	2999254
385	3009919
386	3013825
387	3013956
388	3014808
389	3014834
390	3016169
391	3025444
392	3036445
393	3053411
394	3060899
395	3061663
396	3065050
397	3070053
398	3073933
399	3093412
400	3095148
401	3095521
402	3096882
403	3099110
404	3105666
405	3118580
406	3123170
407	3127633
408	3149993
409	3151880
410	3178210
411	3188121
412	3203135
413	3209319
414	3225151
415	3238553
416	3240915
417	3242327
418	3243836
419	3267889
420	3284246
421	3292562
422	3304364
423	3305147
424	3305289
425	3305762
426	3305998
427	3329774
428	3330829
429	3332462
430	3333500
431	3335174
432	3340457
433	3341140
434	3342700
435	3350062
436	3350073
437	3358494
438	3366928
439	3367651
440	3409342
441	3410149
442	3415023
443	3418186
444	3428356
445	3428833
446	3432067
447	3432564
448	3435256
449	3435568
450	3436709
451	3441849
452	3441896
453	3441953
454	3460654
455	3462889
456	3464335
457	3464764
458	3497826
459	3514633
460	3516924
461	3522373
462	3535418
463	3543710
464	3544811
465	3547988
466	3553674
467	3572295
468	3581001
469	3603360
470	3611763
471	3627508
472	3631262
473	3642153
474	3653125
475	3671363
476	3701966
477	3703146
478	3703793
479	3719882
480	3721787
481	3724478
482	3725405
483	3731424
484	3739947
485	3742467
486	3743100
487	3744284
488	3744657
489	3771644
490	3772645
491	3779224
492	3783165
493	3805825
494	3810525
495	3813835
496	3815589
497	3820442
498	3821017
499	3823468
500	3837783
501	3840751
502	3848195
503	3852209
504	3856115
505	3872046
506	3872344
507	3872988
508	3873697
509	3874936
510	3880469
511	3880934
512	3884334
513	3895986
514	3902356
515	3902764
516	3904560
517	3925286
518	3933658
519	3953863
520	3955108
521	3956916
522	3961002
523	3962771
524	3967634
525	3967768
526	3971359
527	3973345
528	3973690
529	3975563
530	3976013
531	3979046
532	3981536
533	3997607
534	4008633
535	4012299
536	4021477
537	4025918
538	4027219
539	4028170
540	4033399
541	4033477
542	4033595
543	4034564
544	4036414
545	4046771
546	4060462
547	4062208
548	4079762
549	4093275
550	4106948
551	4108208
552	4109736
553	4121313
554	4126112
555	4127593
556	4127634
557	4140376
558	4142146
559	4144968
560	4147526
561	4158011
562	4163693
563	4182345
564	4195329
565	4196889
566	4197641
567	4198236
568	4208717
569	4216770
570	4220706
571	4220850
572	4220905
573	4222521
574	4225411
575	4229960
576	4232564
577	4236199
578	4237738
579	4253297
580	4282811
581	4289181
582	4303525
583	4303669
584	4317326
585	4317602
586	4321555
587	4325507
588	4333148
589	4339701
590	4339997
591	4345327
592	4345582
593	4357078
594	4357456
595	4367999
596	4368073
597	4368974
598	4377119
599	4379905
600	4384089
601	4387534
602	4402701
603	4405952
604	4406081
605	4408784
606	4410253
607	4410638
608	4410857
609	4416319
610	4416984
611	4420176
612	4429838
613	4448899
614	4471947
615	4485620
616	4487833
617	4493247
618	4497488
619	4497527
620	4509111
621	4510430
622	4535936
623	4536329
624	4557206
625	4578761
626	4580630
627	4581041
628	4585585
629	4585771
630	4586058
631	4586095
632	4587309
633	4587972
634	4590531
635	4591451
636	4598329
637	4598789
638	4605174
639	4606752
640	4619950
641	4628943
642	4632506
643	4633282
644	4639701
645	4656537
646	4657158
647	4667401
648	4668756
649	4688173
650	4688273
651	4694078
652	4694694
653	4701850
654	4701881
655	4702251
656	4705010
657	4706533
658	4708174
659	4716783
660	4720655
661	4722650
662	4725405
663	4726121
664	4738141
665	4740061
666	4742520
667	4744245
668	4744248
669	4747993
670	4760597
671	4765132
672	4768867
673	4772838
674	4773428
675	4775718
676	4786143
677	4786739
678	4793012
679	4793918
680	4795598
681	4800385
682	4800741
683	4801749
684	4817631
685	4819271
686	4841262
687	4844501
688	4844613
689	4845458
690	4849933
691	4851495
692	4856579
693	4857855
694	4858197
695	4873468
696	4878956
697	4878967
698	4880550
699	4880689
700	4890992
701	4892118
702	4893728
703	4895611
704	4914990
705	4915691
706	4915895
707	4922494
708	4928258
709	4929053
710	4930089
711	4930677
712	4934877
713	4937965
714	4939298
715	4940258
716	4940683
717	4940920
718	4941670
719	4944622
720	4944827
721	4945494
722	4952881
723	4954970
724	4955845
725	4968679
726	4971277
727	4981883
728	4982133
729	5002429
730	5003448
731	5004936
732	5007947
733	5017474
734	5018969
735	5019142
736	5020027
737	5021608
738	5023940
739	5025623
740	5040253
741	5050586
742	5050625
743	5052959
744	5054471
745	5069035
746	5069519
747	5069916
748	5070342
749	5082610
750	5086477
751	5101325
752	5109408
753	5110326
754	5111419
755	5123048
756	5124641
757	5126857
758	5126926
759	5137539
760	5138643
761	5148638
762	5157061
763	5178189
764	5178759
765	5190957
766	5195679
767	5197917
768	5198736
769	5208165
770	5209038
771	5209308
772	5209879
773	5215955
774	5218004
775	5220131
776	5233025
777	5238379
778	5239487
779	5241728
780	5248774
781	5257124
782	5257140
783	5272117
784	5275475
785	5276512
786	5280261
787	5282398
788	5283647
789	5292343
790	5292374
791	5297625
792	5309392
793	5318649
794	5318838
795	5320779
796	5321228
797	5322045
798	5323296
799	5323441
800	5323978
801	5324208
802	5326662
803	5350525
804	5355685
805	5357741
806	5374682
807	5386446
808	5388292
809	5402160
810	5402989
811	5411984
812	5412276
813	5413991
814	5416854
815	5417495
816	5417995
817	5428608
818	5433508
819	5435350
820	5453221
821	5459241
822	5462220
823	5462268
824	5469629
825	5471029
826	5485202
827	5487990
828	5497477
829	5497535
830	5500149
831	5502582
832	5502654
833	5502669
834	5510619
835	5513847
836	5516031
837	5529606
838	5537345
839	5537664
840	5537929
841	5542929
842	5544015
843	5545513
844	5546000
845	5546117
846	5547307
847	5555750
848	5568091
849	5577165
850	5579122
851	5582683
852	5584778
853	5594805
854	5597099
855	5611855
856	5612117
857	5614369
858	5632892
859	5640074
860	5647967
861	5662083
862	5670385
863	5676479
864	5677615
865	5678004
866	5679017
867	5690428
868	5697647
869	5698397
870	5700289
871	5700637
872	5700663
873	5702108
874	5702939
875	5703331
876	5705371
877	5705718
878	5713349
879	5715239
880	5716784
881	5718394
882	5721970
883	5727709
884	5728891
885	5733252
886	5738080
887	5740443
888	5743262
889	5743276
890	5744165
891	5745088
892	5747182
893	5753759
894	5754106
895	5755324
896	5768574
897	5799556
898	5799655
899	5803407
900	5823740
901	5824175
902	5824322
903	5829013
904	5830229
905	5833300
906	5834094
907	5834332
908	5857309
909	5866444
910	5870319
911	5874206
912	5877857
913	5878421
914	5889837
915	5900573
916	5902282
917	5904101
918	5919838
919	5920168
920	5920446
921	5929143
922	5931136
923	5933443
924	5935562
925	5952873
926	5953014
927	5969293
928	5972091
929	5973190
930	5974303
931	5975033
932	5976115
933	6006800
934	6007357
935	6009685
936	6012079
937	6014135
938	6015280
939	6020564
940	6021973
941	6022504
942	6024194
943	6026076
944	6038433
945	6067273
946	6067383
947	6068423
948	6068699
949	6069766
950	6086055
951	6090199
952	6090368
953	6090833
954	6099914
955	6101246
956	6101886
957	6114298
958	6116898
959	6117633
960	6131177
961	6141060
962	6142250
963	6144019
964	6144954
965	6159795
966	6161236
967	6164853
968	6165920
969	6166381
970	6181795
971	6201564
972	6202306
973	6204878
974	6205924
975	6206579
976	6209062
977	6222676
978	6224088
979	6224356
980	6226434
981	6234489
982	6237916
983	6240882
984	6266322
985	6267002
986	6276259
987	6277442
988	6283531
989	6284935
990	6291118
991	6296605
992	6298234
993	6301310
994	6303164
995	6305558
996	6307554
997	6308636
998	6311442
999	6314545
1000	6346926
1001	6347369
1002	6347591
1003	6347633
1004	6360521
1005	6368325
1006	6369727
1007	6370029
1008	6377013
1009	6377462
1010	6378812
1011	6378946
1012	6378965
1013	6392354
1014	6398953
1015	6406774
1016	6427813
1017	6429208
1018	6457266
1019	6459622
1020	6459641
1021	6476378
1022	6479778
1023	6483395
1024	6490662
1025	6492899
1026	6492919
1027	6492970
1028	6494003
1029	6495036
1030	6497527
1031	6499698
1032	6500899
1033	6504246
1034	6506042
1035	6510141
1036	6517375
1037	6518483
1038	6521984
1039	6532696
1040	6537079
1041	6540992
1042	6546409
1043	6571058
1044	6578002
1045	6591351
1046	6612043
1047	6612938
1048	6613813
1049	6615914
1050	6617032
1051	6618262
1052	6618295
1053	6624578
1054	6624678
1055	6639143
1056	6641440
1057	6656271
1058	6658610
1059	6659202
1060	6659481
1061	6659629
1062	6663184
1063	6668788
1064	6672187
1065	6672954
1066	6691375
1067	6693171
1068	6704898
1069	6705781
1070	6712256
1071	6713812
1072	6735580
1073	6735690
1074	6747474
1075	6747746
1076	6748332
1077	6750781
1078	6772228
1079	6772855
1080	6779717
1081	6780890
1082	6780952
1083	6789283
1084	6793588
1085	6805606
1086	6824284
1087	6829004
1088	6829648
1089	6830004
1090	6830419
1091	6830475
1092	6831491
1093	6846455
1094	6846852
1095	6854105
1096	6864707
1097	6876456
1098	6886599
1099	6887009
1100	6893864
1101	6909364
1102	6922884
1103	6929819
1104	6930303
1105	6930523
1106	6931253
1107	6948969
1108	6950831
1109	6950985
1110	6960930
1111	6962362
1112	6966314
1113	6966613
1114	6967670
1115	6969147
1116	6985816
1117	6994122
1118	6994867
1119	6995432
1120	6995705
1121	6995815
1122	6999033
1123	7039911
1124	7040744
1125	7040790
1126	7041402
1127	7043006
1128	7045848
1129	7048032
1130	7048374
1131	7048410
1132	7068863
1133	7070260
1134	7073297
1135	7073599
1136	7076379
1137	7091474
1138	7097553
1139	7098212
1140	7099044
1141	7106889
1142	7107559
1143	7123770
1144	7125479
1145	7126693
1146	7131364
1147	7132228
1148	7146056
1149	7146226
1150	7149219
1151	7150423
1152	7150530
1153	7153116
1154	7154817
1155	7162137
1156	7162929
1157	7165847
1158	7178390
1159	7192227
1160	7192297
1161	7193044
1162	7194919
1163	7203947
1164	7214792
1165	7214937
1166	7219637
1167	7220685
1168	7221970
1169	7222704
1170	7227310
1171	7227533
1172	7228131
1173	7228168
1174	7228213
1175	7234267
1176	7234889
1177	7234901
1178	7235564
1179	7248873
1180	7262690
1181	7270964
1182	7278147
1183	7283538
1184	7284079
1185	7288647
1186	7288651
1187	7288967
1188	7290246
1189	7293100
1190	7294883
1191	7296435
1192	7308919
1193	7313927
1194	7318446
1195	7327932
1196	7328251
1197	7329816
1198	7331257
1199	7336444
1200	7337685
1201	7337851
1202	7338086
1203	7338282
1204	7338445
1205	7340124
1206	7357854
1207	7357906
1208	7359871
1209	7372983
1210	7374009
1211	7390170
1212	7390541
1213	7391287
1214	7393849
1215	7394349
1216	7409864
1217	7409962
1218	7417488
1219	7428825
1220	7430058
1221	7430217
1222	7430271
1223	7438746
1224	7440671
1225	7440671
1226	7441081
1227	7441504
1228	7448018
1229	7450371
1230	7456701
1231	7461870
1232	7462780
1233	7462846
1234	7465921
1235	7471894
1236	7472400
1237	7473905
1238	7488075
1239	7491162
1240	7498143
1241	7498416
1242	7513522
1243	7513808
1244	7514979
1245	7515024
1246	7517537
1247	7520411
1248	7525231
1249	7525282
1250	7527324
1251	7530512
1252	7530863
1253	7532097
1254	7532260
1255	7533480
1256	7550174
1257	7556247
1258	7562683
1259	7576043
1260	7583250
1261	7585345
1262	7591447
1263	7592113
1264	7596278
1265	7603316
1266	7604355
1267	7605545
1268	7607535
1269	7620375
1270	7623598
1271	7631984
1272	7633351
1273	7641452
1274	7646675
1275	7657266
1276	7661931
1277	7663744
1278	7663764
1279	7663935
1280	7663999
1281	7664880
1282	7664897
1283	7682046
1284	7688154
1285	7693109
1286	7693714
1287	7712743
1288	7720804
1289	7724447
1290	7732336
1291	7732686
1292	7737639
1293	7741591
1294	7746869
1295	7770512
1296	7773089
1297	7774226
1298	7791440
1299	7803516
1300	7808552
1301	7808597
1302	7809073
1303	7809122
1304	7809123
1305	7826631
1306	7828402
1307	7837385
1308	7837610
1309	7838285
1310	7839141
1311	7840131
1312	7845581
1313	7849274
1314	7858413
1315	7858724
1316	7859264
1317	7859751
1318	7860874
1319	7862128
1320	7866391
1321	7873523
1322	7884815
1323	7885714
1324	7899770
1325	7900230
1326	7900231
1327	7904082
1328	7915469
1329	7915710
1330	7915838
1331	7922146
1332	7932136
1333	7933603
1334	7933844
1335	7934055
1336	7935533
1337	7938021
1338	7945525
1339	7954428
1340	7955920
1341	7963291
1342	7969333
1343	7978837
1344	7979141
1345	7987189
1346	7987201
1347	7992691
1348	7992882
1349	8000345
1350	8001310
1351	8009441
1352	8010835
1353	8014167
1354	8015544
1355	8035129
1356	8035415
1357	8048822
1358	8054745
1359	8056322
1360	8057441
1361	8065699
1362	8070087
1363	8071764
1364	8072057
1365	8072479
1366	8083855
1367	8094646
1368	8095129
1369	8103138
1370	8106779
1371	8116863
1372	8119358
1373	8130398
1374	8130808
1375	8139626
1376	8150953
1377	8152321
1378	8159317
1379	8171910
1380	8185558
1381	8185943
1382	8188236
1383	8189630
1384	8197758
1385	8200854
1386	8202338
1387	8216107
1388	8221064
1389	8223650
1390	8225206
1391	8226417
1392	8226966
1393	8228337
1394	8246585
1395	8249754
1396	8259530
1397	8262106
1398	8262510
1399	8273348
1400	8273913
1401	8274210
1402	8274991
1403	8282082
1404	8287202
1405	8287996
1406	8291098
1407	8293975
1408	8294524
1409	8307630
1410	8317868
1411	8318278
1412	8319656
1413	8320046
1414	8320891
1415	8326104
1416	8326248
1417	8326546
1418	8327761
1419	8334062
1420	8334100
1421	8334232
1422	8336272
1423	8338435
1424	8339458
1425	8340180
1426	8343863
1427	8344219
1428	8346322
1429	8347259
1430	8348814
1431	8349426
1432	8365828
1433	8371509
1434	8374580
1435	8375570
1436	8390770
1437	8392679
1438	8397610
1439	8406592
1440	8421179
1441	8429849
1442	8431511
1443	8435981
1444	8436937
1445	8438314
1446	8451731
1447	8458222
1448	8458383
1449	8460069
1450	8460749
1451	8460889
1452	8461136
1453	8461792
1454	8462016
1455	8462281
1456	8465742
1457	8467024
1458	8468414
1459	8468956
1460	8484126
1461	8488524
1462	8489096
1463	8495585
1464	8495610
1465	8500852
1466	8501301
1467	8514642
1468	8521527
1469	8522917
1470	8523425
1471	8523970
1472	8526569
1473	8530542
1474	8530741
1475	8531609
1476	8532751
1477	8533314
1478	8534511
1479	8540846
1480	8542450
1481	8542604
1482	8544879
1483	8545094
1484	8548306
1485	8554875
1486	8555361
1487	8567059
1488	8568811
1489	8569256
1490	8577680
1491	8579777
1492	8594260
1493	8597979
1494	8599986
1495	8607662
1496	8608872
1497	8614603
1498	8628912
1499	8630004
1500	8630516
1501	8639270
1502	8651550
1503	8657289
1504	8662174
1505	8663214
1506	8664766
1507	8669319
1508	8670404
1509	8671176
1510	8676253
1511	8683160
1512	8687018
1513	8687749
1514	8690247
1515	8691094
1516	8691131
1517	8695215
1518	8695850
1519	8695961
1520	8696093
1521	8696601
1522	8702941
1523	8713450
1524	8718063
1525	8718069
1526	8719108
1527	8721341
1528	8721357
1529	8722633
1530	8722810
1531	8728829
1532	8729632
1533	8731334
1534	8733930
1535	8737006
1536	8746246
1537	8747572
1538	8751322
1539	8751822
1540	8765097
1541	8765604
1542	8768104
1543	8768350
1544	8774780
1545	8790516
1546	8791027
1547	8791461
1548	8792221
1549	8805663
1550	8805915
1551	8806596
1552	8809733
1553	8810876
1554	8819445
1555	8829640
1556	8829856
1557	8830346
1558	8845839
1559	8850635
1560	8855293
1561	8868167
1562	8873185
1563	8874743
1564	8875017
1565	8876616
1566	8879324
1567	8891793
1568	8892690
1569	8893740
1570	8897943
1571	8898360
1572	8899158
1573	8903348
1574	8909860
