k	smorfs
1	72035
2	72652
3	110466
4	1018189
5	1039577
6	1107197
7	1219677
8	1906888
9	1907668
10	2057378
11	2187551
12	2271213
13	2324107
14	2343596
15	2612010
16	3100671
17	3241230
18	3338047
19	4286948
20	4331013
21	4373289
22	4374984
23	4392392
24	4964327
25	4992021
26	4993047
27	5118523
28	5755471
29	5932456
30	5947231
31	5955805
32	5960160
33	6398688
34	6596563
35	6690289
36	6699019
37	6702749
38	7031818
39	7034161
40	7036601
41	7095757
42	7106507
43	7284303
44	7285958
45	7287812
46	7369606
47	7409145
48	7571712
49	7624038
50	8055206
51	8109624
52	8121094
53	8430948
54	8431182
55	8431380
56	8689993
57	8730825
58	8776541
59	8780655
60	8784810
61	8803036
62	8885089
63	8892215
64	9322856
65	9347578
66	9364851
67	9379729
68	9726497
69	9733826
70	9923270
71	9925978
72	9937969
73	9937986
74	9942223
75	10399153
76	10405445
77	11221563
78	11228405
79	11230083
80	11298202
81	11321147
82	11322922
83	11340066
84	11368960
85	11492883
86	11564738
87	12012946
88	12436668
89	12455590
90	12458796
91	12459563
92	12933705
93	12935322
94	12935355
95	13130128
96	13341511
97	13364751
98	13364754
99	13369875
100	13370152
101	13372518
102	13383260
103	13402033
104	13419730
105	13451832
106	13456763
107	13536263
108	13559139
109	13611200
110	13644891
111	13666947
112	13908578
113	15289400
114	16051232
115	16469848
116	16862080
117	17007212
118	17044119
119	17079260
120	17132456
121	17152208
122	17158573
123	17192308
124	17211931
125	17219993
126	17250135
127	18015270
128	18152082
129	18185568
130	18186605
131	18297457
132	18320794
133	18413305
134	18435834
135	18644037
136	18676906
137	18735384
138	19156732
139	19223316
140	19448919
141	19797325
142	19816136
143	19824825
144	20185396
145	20230147
146	20234095
147	20282032
148	20286066
149	20303138
150	20736537
151	20768861
152	20786798
153	21182942
154	21429881
155	21447141
156	21468836
157	21473279
158	21476145
159	21861421
160	21864210
161	22152374
162	22155964
163	22183068
164	22202179
165	22203335
166	22821885
167	22829155
168	22847622
169	23719241
170	23745961
171	23789772
172	23877494
173	24017275
174	24036651
175	24060972
176	24068828
177	24109130
178	24696582
179	25088487
180	25133945
181	25163723
182	25219814
183	25220773
184	25231110
185	25263628
186	25303941
187	25404643
188	25446088
189	25544572
190	25564096
191	25722183
192	25736679
193	25958428
194	26143690
195	26151851
196	26175877
197	26183494
198	26540514
199	26584054
200	26597081
201	26599568
202	27011854
203	27017065
204	27020690
205	27021257
206	27559633
207	27680419
208	27773051
209	27793055
210	28157078
211	29071699
212	29072035
213	29086733
214	29089273
215	29161743
216	29454598
217	29455997
218	29500491
219	29509763
220	29692949
221	29700281
222	29701625
223	29703162
224	29784962
225	29849990
226	29853724
227	29998719
228	30023745
229	30027062
230	30052562
231	30074542
232	30141447
233	30157122
234	30183494
235	30611305
236	30677592
237	30734930
238	31275622
239	31772643
240	31853667
241	31868129
242	31907974
243	31951129
244	31969938
245	31973026
246	31985326
247	32389735
248	32403544
249	32406589
250	32422729
251	32707754
252	33160942
253	33175220
254	33462115
255	33467031
256	33986836
257	33987038
258	34058197
259	34074021
260	34081667
261	34283070
262	34288016
263	34303184
264	34304575
265	34312348
266	34449930
267	34471273
268	34475612
269	34492835
270	34493495
271	34642167
272	34664964
273	34685887
274	34795644
275	34825440
276	34849528
277	34860545
278	34896347
279	34908809
280	34924676
281	34939709
282	34943602
283	34945596
284	34969797
285	35305111
286	35336706
287	35346327
288	35722856
289	35749411
290	35773512
291	36116172
292	36391320
293	36395094
294	36397627
295	36436537
296	36728244
297	36782208
298	36785398
299	36794293
300	36810091
301	36810695
302	36907779
303	37021657
304	37084986
305	37086570
306	38281732
307	38375694
308	38478410
309	38492414
310	38521779
311	38542462
312	39246107
313	39262823
314	39319300
315	39849443
316	39966809
317	39994313
318	40045836
319	40046100
320	40047199
321	40085905
322	40089298
323	40095268
324	40114350
325	40150510
326	40158997
327	40225751
328	40269545
329	40313300
330	40423737
331	40431150
332	40453504
333	40465868
334	40991658
335	41116308
336	41236278
337	41275441
338	41284322
339	41296042
340	41345690
341	41349533
342	41478348
343	41787995
344	41806244
345	41811063
346	41913341
347	41922063
348	41931868
349	42184479
350	42184487
351	42184498
352	42265473
353	42326798
354	42353966
355	42359746
356	42408483
357	42787227
358	43007897
359	43031773
360	43053844
361	43072218
362	43097541
363	43103045
364	43104122
365	43113362
366	43344759
367	43364609
368	43368665
369	43370458
370	43374911
371	43374992
372	43442567
373	43444482
374	43450792
375	43452285
376	43463728
377	43467668
378	43807527
379	43851019
380	43965541
381	44061047
382	44062074
383	44228390
384	44271588
385	44339430
386	44412829
387	44412833
388	44413618
389	44557698
390	44869579
391	45445110
392	45464064
393	45468490
394	45652879
395	45834601
396	45834629
397	46353489
398	46420902
399	46469683
400	46510937
401	46514804
402	46536655
403	46538415
404	46655423
405	46671973
406	47175855
407	47770902
408	47774117
409	47857366
410	47893608
411	48095524
412	48105535
413	48423532
414	48553080
415	48593703
416	48611948
417	48736836
418	48746604
419	49317555
420	49320008
421	49491535
422	50111483
423	50128653
424	50169739
425	50173534
426	50493939
427	50782347
428	50838206
429	50868528
430	50879282
431	50879765
432	50922472
433	50929921
434	50931288
435	50946069
436	51083394
437	51252383
438	51261052
439	51287227
440	51370139
441	51395560
442	51445207
443	51555791
444	51596539
445	51598236
446	51619708
447	51631774
448	51632223
449	52112493
450	52160726
451	52184770
452	52211219
453	52371483
454	52408789
455	52478821
456	52550416
457	52564173
458	52932386
459	52952170
460	53033962
461	53082130
462	53436463
463	53436624
464	53503757
465	53507400
466	53536513
467	53788507
468	53828173
469	54040885
470	54043027
471	54099985
472	54207156
473	54212612
474	54589542
475	54628206
476	55264096
477	55273918
478	55376704
479	55850342
480	55912703
481	55962115
482	56262260
483	56295167
484	56295288
485	56310100
486	56326396
487	56327365
488	56685471
489	56717491
490	56765297
491	56785854
492	56814823
493	56832739
494	56856018
495	56892483
496	57531407
497	57611771
498	57732127
499	57733921
500	57775984
501	57804234
502	57825876
503	57863399
504	57958107
505	58204516
506	58243718
507	58300945
508	58347494
509	58405322
510	58437138
511	58461309
512	58761120
513	58774702
514	58778996
515	58781883
516	58898802
517	59084405
518	59456218
519	59457212
520	59457259
521	59459278
522	59520306
523	59567080
524	59581153
525	59662216
526	59669572
527	59702806
528	59804528
529	60244648
530	60432057
531	60453528
532	60521442
533	60606367
534	60619178
535	60619956
536	60642500
537	60658709
538	60722130
539	60778560
540	60785522
541	60809374
542	60847053
543	61222347
544	61528956
545	61604920
546	61917151
547	61949490
548	61950774
549	61951222
550	61951314
551	61960943
552	62291364
553	62298899
554	62317835
555	62322252
556	62331752
557	62334168
558	62335897
559	62378136
560	62640481
561	62746288
562	62756110
563	63028892
564	63114359
565	63344447
566	63369623
567	63409068
568	63435862
569	63460077
570	63473743
571	63512253
572	63778339
573	63833025
574	63846405
575	63850283
576	63888376
577	63910920
578	63949168
579	63949849
580	64117708
581	64136747
582	64146820
583	64159648
584	64161286
585	64312828
586	64322673
587	64338562
588	64341652
589	64358536
590	64372896
591	64810739
592	65207120
593	65608529
594	65782070
595	65995340
596	66738173
597	66823549
598	66978682
599	66996195
600	67005549
601	67005581
602	67019951
603	67022991
604	67159598
605	67162415
606	67480482
607	68278399
608	68278474
609	68395589
610	68404583
611	68420455
612	68424680
613	68434717
614	68476809
615	68534035
616	68560561
617	68635468
618	68640746
619	68643268
620	69153377
621	69176751
622	69314981
623	69335349
624	69680472
625	69721573
626	69728803
627	69829768
628	69864173
629	69865598
630	69986669
631	70083669
632	70099042
633	70156167
634	70443467
635	70463926
636	70468794
637	70471508
638	70497372
639	70615608
640	70632892
641	70642105
642	70646358
643	70695441
644	70695717
645	70775324
646	71862240
647	72049331
648	72062639
649	72070395
650	72203331
651	72250844
652	72321524
653	72346638
654	72346697
655	72415861
656	72416247
657	72453255
658	72457507
659	72458212
660	72471468
661	72479751
662	72480868
663	72492734
664	72584897
665	72588003
666	72742460
667	72958559
668	72969320
669	72969524
670	72974490
671	73110845
672	73134048
673	73134974
674	73137348
675	73179520
676	73195833
677	73212809
678	73213281
679	73222046
680	73240152
681	73249265
682	73333010
683	73438569
684	73438916
685	73439114
686	73456784
687	73490645
688	73792339
689	73938939
690	73939272
691	73987808
692	73990189
693	73991461
694	73991588
695	74011394
696	74115657
697	74151311
698	74481954
699	74689852
700	74964235
701	75038452
702	75153917
703	75193170
704	75219511
705	75233281
706	75442103
707	75473154
708	75473966
709	75547222
710	75852694
711	76142107
712	76157422
713	76264808
714	76265473
715	76301738
