accession	arc_trans_count	arc_trans_all	arc_not_trans_count	arc_not_trans_all	arc_trans_proportion	arc_not_trans_proportion	arc_trans_fold_change
COG4023	2105.0	11347.0	74.0	191500.0	0.1855115889662466	0.00038642297650130547	480.07390928427327
COG2443	1393.0	11347.0	0.0	191500.0	0.12276372609500308	0.0	inf
COG4095	1371.0	11347.0	0.0	191500.0	0.12082488763549837	0.0	inf
COG0636	749.0	11347.0	0.0	191500.0	0.06600863664404688	0.0	inf
COG4068	733.0	11347.0	0.0	191500.0	0.06459857230986164	0.0	inf
COG2212	653.0	11347.0	0.0	191500.0	0.0575482506389354	0.0	inf
COG1983	557.0	11347.0	0.0	191500.0	0.04908786463382392	0.0	inf
COG1563	449.0	11347.0	0.0	191500.0	0.0395699303780735	0.0	inf
COG2034	367.0	11347.0	0.0	191500.0	0.03234335066537411	0.0	inf
COG3326	303.0	11347.0	0.0	191500.0	0.026703093328633118	0.0	inf
COG1826	248.0	11347.0	40.0	191500.0	0.02185599717987133	0.00020887728459530026	104.635586498634
COG3205	205.0	11347.0	6.0	191500.0	0.01806644928174848	3.133159268929504e-05	576.6208395758057
COG4218	160.0	11347.0	0.0	191500.0	0.014100643341852471	0.0	inf
COG4062	147.0	11347.0	0.0	191500.0	0.012954966070326958	0.0	inf
COG0713	144.0	11347.0	0.0	191500.0	0.012690579007667225	0.0	inf
COG4064	133.0	11347.0	0.0	191500.0	0.011721159777914868	0.0	inf
COG2155	125.0	11347.0	0.0	191500.0	0.011016127610822244	0.0	inf
COG1930	125.0	11347.0	0.0	191500.0	0.011016127610822244	0.0	inf
COG4040	105.0	11347.0	0.0	191500.0	0.009253547193090685	0.0	inf
COG5625	93.0	11347.0	2.0	191500.0	0.00819599894245175	1.0443864229765014e-05	784.766898739755
COG5487	85.0	11347.0	0.0	191500.0	0.007490966775359126	0.0	inf
COG4038	81.0	11347.0	0.0	191500.0	0.007138450691812814	0.0	inf
COG4323	80.0	11347.0	0.0	191500.0	0.007050321670926236	0.0	inf
COG2383	74.0	11347.0	0.0	191500.0	0.006521547545606768	0.0	inf
COG1006	71.0	11347.0	0.0	191500.0	0.006257160482947034	0.0	inf
COG1581	54.0	11347.0	3648.0	191500.0	0.004758967127875209	0.019049608355091383	0.24981968338489655
COG1146	43.0	11347.0	6131.0	191500.0	0.003789547898122852	0.03201566579634465	0.11836542529612235
COG2076	39.0	11347.0	0.0	191500.0	0.00343703181457654	0.0	inf
COG4039	37.0	11347.0	0.0	191500.0	0.003260773772803384	0.0	inf
COG1849	33.0	11347.0	2571.0	191500.0	0.0029082576892570725	0.013425587467362924	0.21662051633322807
COG3462	31.0	11347.0	0.0	191500.0	0.0027319996474839165	0.0	inf
COG1320	29.0	11347.0	0.0	191500.0	0.0025557416057107605	0.0	inf
COG3847	23.0	11347.0	0.0	191500.0	0.002026967480391293	0.0	inf
COG3042	21.0	11347.0	1.0	191500.0	0.001850709438618137	5.221932114882507e-06	354.4108574953732
COG1942	21.0	11347.0	1363.0	191500.0	0.001850709438618137	0.007117493472584857	0.2600226393949914
COG4818	21.0	11347.0	0.0	191500.0	0.001850709438618137	0.0	inf
COG2053	20.0	11347.0	2510.0	191500.0	0.001762580417731559	0.013107049608355091	0.134475756970356
COG2026	20.0	11347.0	7730.0	191500.0	0.001762580417731559	0.040365535248041776	0.04366547865402245
COG1141	19.0	11347.0	3047.0	191500.0	0.0016744513968449811	0.015911227154046997	0.10523709960479616
COG2888	17.0	11347.0	703.0	191500.0	0.0014981933550718251	0.003671018276762402	0.4081138371212724
COG0695	16.0	11347.0	4115.0	191500.0	0.0014100643341852471	0.021488250652741514	0.06562024787277639
COG2260	15.0	11347.0	1065.0	191500.0	0.0013219353132986693	0.0055613577023498695	0.23770010563069968
COG4042	15.0	11347.0	0.0	191500.0	0.0013219353132986693	0.0	inf
COG3478	14.0	11347.0	117.0	191500.0	0.0012338062924120913	0.0006109660574412533	2.019435085443722
COG3350	14.0	11347.0	1426.0	191500.0	0.0012338062924120913	0.007446475195822454	0.16568997545365743
COG3432	13.0	11347.0	6594.0	191500.0	0.0011456772715255133	0.03443342036553525	0.033272247118158293
