accession	arc_trans_count	arc_trans_all	bac_trans_count	bac_trans_all	arc_trans_proportion	bac_trans_proportion	fold change	arc_p_fisher	arc_p_chi2
COG4023	2105.0	11347	128.0	455582	0.1855115889662466	0.00028095930041134197	660.2792244095356	0.0	0.0
COG2443	1393.0	11347	153.0	455582	0.12276372609500308	0.0003358341637729322	365.5486526915928	0.0	0.0
COG4095	1371.0	11347	10988.0	455582	0.12082488763549837	0.02411859994468614	5.009614484779361	0.0	0.0
COG0636	749.0	11347	26441.0	455582	0.06600863664404688	0.05803785048575229	1.1373377217037242	0.00044492968679497	0.00036934547926910946
COG4068	733.0	11347	55.0	455582	0.06459857230986164	0.00012072469939549851	535.0899412740253	0.0	0.0
COG2212	653.0	11347	12733.0	455582	0.0575482506389354	0.027948865407325135	2.0590549848886726	2.1848041465822045e-61	1.6652056542215323e-77
COG1983	557.0	11347	20272.0	455582	0.04908786463382392	0.044496929202646286	1.1031742080508469	0.02130678286152697	0.020509353059149697
COG1563	449.0	11347	2902.0	455582	0.0395699303780735	0.006369874139013394	6.212042736562192	1.2165050646124848e-187	0.0
COG2034	367.0	11347	14.0	455582	0.03234335066537411	3.072992348249053e-05	1052.503455916605	0.0	0.0
COG3326	303.0	11347	8424.0	455582	0.026703093328633118	0.018490633958321442	1.4441415793975942	1.7668528802572167e-09	2.216879700953722e-10
COG1826	248.0	11347	8126.0	455582	0.02185599717987133	0.01783652558705129	1.2253505915825917	0.0020516057520757035	0.001627111731881483
COG3205	205.0	11347	3131.0	455582	0.01806644928174848	0.00687252788740556	2.628792429472225	4.1652463430979625e-32	4.2711106403263985e-44
COG4218	160.0	11347	0.0	455582	0.014100643341852471	0.0	inf	1.673106293329976e-259	0.0
COG4062	147.0	11347	1.0	455582	0.012954966070326958	2.194994534463609e-06	5902.049352251696	2.7855563890119134e-236	0.0
COG0713	144.0	11347	8398.0	455582	0.012690579007667225	0.01843356410042539	0.688449555307341	2.322797875354346e-06	7.689461906206723e-06
COG4064	133.0	11347	1.0	455582	0.011721159777914868	2.194994534463609e-06	5339.949413942011	1.1921274076709645e-213	0.0
COG2155	125.0	11347	4899.0	455582	0.011016127610822244	0.010753278224337222	1.0244436516010653	0.7821621900085072	0.8243025983860501
