accession	arc_trans_count	arc_trans_all	bac_trans_count	bac_trans_all	arc_trans_proportion	bac_trans_proportion	fold change
COG4023	2105.0	11347	128.0	455582	0.1855115889662466	0.00028095930041134197	660.2792244095356
COG2443	1393.0	11347	153.0	455582	0.12276372609500308	0.0003358341637729322	365.5486526915928
COG4095	1371.0	11347	10988.0	455582	0.12082488763549837	0.02411859994468614	5.009614484779361
COG0636	749.0	11347	26441.0	455582	0.06600863664404688	0.05803785048575229	1.1373377217037242
COG4068	733.0	11347	55.0	455582	0.06459857230986164	0.00012072469939549851	535.0899412740253
COG2212	653.0	11347	12733.0	455582	0.0575482506389354	0.027948865407325135	2.0590549848886726
COG1983	557.0	11347	20272.0	455582	0.04908786463382392	0.044496929202646286	1.1031742080508469
COG1563	449.0	11347	2902.0	455582	0.0395699303780735	0.006369874139013394	6.212042736562192
COG2034	367.0	11347	14.0	455582	0.03234335066537411	3.072992348249053e-05	1052.503455916605
COG3326	303.0	11347	8424.0	455582	0.026703093328633118	0.018490633958321442	1.4441415793975942
COG1826	248.0	11347	8126.0	455582	0.02185599717987133	0.01783652558705129	1.2253505915825917
COG3205	205.0	11347	3131.0	455582	0.01806644928174848	0.00687252788740556	2.628792429472225
COG4218	160.0	11347	0.0	455582	0.014100643341852471	0.0	inf
COG4062	147.0	11347	1.0	455582	0.012954966070326958	2.194994534463609e-06	5902.049352251696
COG0713	144.0	11347	8398.0	455582	0.012690579007667225	0.01843356410042539	0.688449555307341
COG4064	133.0	11347	1.0	455582	0.011721159777914868	2.194994534463609e-06	5339.949413942011
COG2155	125.0	11347	4899.0	455582	0.011016127610822244	0.010753278224337222	1.0244436516010653
COG1930	125.0	11347	387.0	455582	0.011016127610822244	0.0008494628848374167	12.968344829957674
COG4040	105.0	11347	1.0	455582	0.009253547193090685	2.194994534463609e-06	4215.74953732264
COG5625	93.0	11347	2.0	455582	0.00819599894245175	4.389989068927218e-06	1866.9747951000265
COG5487	85.0	11347	14927.0	455582	0.007490966775359126	0.032764683415938294	0.2286293043110914
COG4038	81.0	11347	2.0	455582	0.007138450691812814	4.389989068927218e-06	1626.0748215387327
COG4323	80.0	11347	438.0	455582	0.007050321670926236	0.0009614076060950608	7.333332528502092
COG2383	74.0	11347	41.0	455582	0.006521547545606768	8.999477591300798e-05	72.46584570542981
COG1006	71.0	11347	731.0	455582	0.006257160482947034	0.0016045410046928983	3.8996575747496247
COG1581	54.0	11347	5.0	455582	0.004758967127875209	1.0974972672318046e-05	433.6199524103287
COG1146	43.0	11347	1743.0	455582	0.003789547898122852	0.0038258754735700706	0.9905047679418275
COG2076	39.0	11347	1468.0	455582	0.00343703181457654	0.0032222519765925783	1.0666551962863824
COG4039	37.0	11347	3.0	455582	0.003260773772803384	6.584983603390827e-06	495.1832789871038
COG1849	33.0	11347	3.0	455582	0.0029082576892570725	6.584983603390827e-06	441.64995152903856
COG3462	31.0	11347	164.0	455582	0.0027319996474839165	0.0003599791036520319	7.589328435365961
COG1320	29.0	11347	966.0	455582	0.0025557416057107605	0.0021203647202918466	1.2053311306551964
COG3847	23.0	11347	68744.0	455582	0.002026967480391293	0.15089270427716636	0.01343317087530004
COG3042	21.0	11347	658.0	455582	0.001850709438618137	0.001444306403677055	1.2813828380919878
