accession	arc_trans_count	arc_trans_all	arc_not_trans_count	arc_not_trans_all	arc_trans_proportion	arc_not_trans_proportion	arc_trans_fold_change	arc_p_fisher	arc_p_chi2
COG4023	2105.0	11347.0	74.0	191500.0	0.1855115889662466	0.00038642297650130547	480.07390928427327	0.0	0.0
COG2443	1393.0	11347.0	0.0	191500.0	0.12276372609500308	0.0	inf	0.0	0.0
COG4095	1371.0	11347.0	0.0	191500.0	0.12082488763549837	0.0	inf	0.0	0.0
COG0636	749.0	11347.0	0.0	191500.0	0.06600863664404688	0.0	inf	0.0	0.0
COG4068	733.0	11347.0	0.0	191500.0	0.06459857230986164	0.0	inf	0.0	0.0
COG2212	653.0	11347.0	0.0	191500.0	0.0575482506389354	0.0	inf	0.0	0.0
COG1983	557.0	11347.0	0.0	191500.0	0.04908786463382392	0.0	inf	0.0	0.0
COG1563	449.0	11347.0	0.0	191500.0	0.0395699303780735	0.0	inf	0.0	0.0
COG2034	367.0	11347.0	0.0	191500.0	0.03234335066537411	0.0	inf	0.0	0.0
COG3326	303.0	11347.0	0.0	191500.0	0.026703093328633118	0.0	inf	0.0	0.0
COG1826	248.0	11347.0	40.0	191500.0	0.02185599717987133	0.00020887728459530026	104.635586498634	3.738443545569176e-264	0.0
COG3205	205.0	11347.0	6.0	191500.0	0.01806644928174848	3.133159268929504e-05	576.6208395758057	2.6993907186365417e-247	0.0
COG4218	160.0	11347.0	0.0	191500.0	0.014100643341852471	0.0	inf	1.4862546264605048e-201	0.0
COG4062	147.0	11347.0	0.0	191500.0	0.012954966070326958	0.0	inf	3.343614595413254e-185	0.0
COG0713	144.0	11347.0	0.0	191500.0	0.012690579007667225	0.0	inf	1.9810872917102522e-181	0.0
COG4064	133.0	11347.0	0.0	191500.0	0.011721159777914868	0.0	inf	1.3405147098416533e-167	0.0
COG2155	125.0	11347.0	0.0	191500.0	0.011016127610822244	0.0	inf	1.523843581654339e-157	0.0
COG1930	125.0	11347.0	0.0	191500.0	0.011016127610822244	0.0	inf	1.523843581654339e-157	0.0
COG4040	105.0	11347.0	0.0	191500.0	0.009253547193090685	0.0	inf	2.0505978812128225e-132	0.0
COG5625	93.0	11347.0	2.0	191500.0	0.00819599894245175	1.0443864229765014e-05	784.766898739755	9.6161284839171e-114	0.0
COG5487	85.0	11347.0	0.0	191500.0	0.007490966775359126	0.0	inf	2.6682441566726807e-107	3.6697422726696e-310
COG4038	81.0	11347.0	0.0	191500.0	0.007138450691812814	0.0	inf	2.8012094470999282e-102	1.75985774107875e-295
COG4323	80.0	11347.0	0.0	191500.0	0.007050321670926236	0.0	inf	5.041207384125535e-101	8.235138994372842e-292
COG2383	74.0	11347.0	0.0	191500.0	0.006521547545606768	0.0	inf	1.7096378566689384e-93	8.64457228284007e-270
COG1006	71.0	11347.0	0.0	191500.0	0.006257160482947034	0.0	inf	9.944837884083068e-90	8.856472302153412e-259
COG1581	54.0	11347.0	3648.0	191500.0	0.004758967127875209	0.019049608355091383	0.24981968338489655	1.8944890936778623e-38	3.278731600864516e-28
COG1146	43.0	11347.0	6131.0	191500.0	0.003789547898122852	0.03201566579634465	0.11836542529612235	3.1062015424866333e-99	1.1953731829902664e-64
COG2076	39.0	11347.0	0.0	191500.0	0.00343703181457654	0.0	inf	1.3613807865937104e-49	2.5250681768688e-141
COG4039	37.0	11347.0	0.0	191500.0	0.003260773772803384	0.0	inf	4.37793588216976e-47	5.555681438270325e-134
COG1849	33.0	11347.0	2571.0	191500.0	0.0029082576892570725	0.013425587467362924	0.21662051633322807	1.749456214084516e-30	6.159296940152798e-22
COG3462	31.0	11347.0	0.0	191500.0	0.0027319996474839165	0.0	inf	1.4530103177417236e-39	5.949872549030106e-112
COG1320	29.0	11347.0	0.0	191500.0	0.0025557416057107605	0.0	inf	4.666363248615524e-37	1.3144858500970862e-104
COG3847	23.0	11347.0	0.0	191500.0	0.002026967480391293	0.0	inf	1.5425480068626567e-29	1.4309361278413783e-82
COG3042	21.0	11347.0	1.0	191500.0	0.001850709438618137	5.221932114882507e-06	354.4108574953732	1.0303928391146316e-25	1.744896745538448e-71
COG1942	21.0	11347.0	1363.0	191500.0	0.001850709438618137	0.007117493472584857	0.2600226393949914	1.6221404357270944e-14	5.2625559648356706e-11
COG4818	21.0	11347.0	0.0	191500.0	0.001850709438618137	0.0	inf	4.947308943298935e-27	3.184146216023116e-75
COG2053	20.0	11347.0	2510.0	191500.0	0.001762580417731559	0.013107049608355091	0.134475756970356	6.942842186616285e-39	5.883296931865912e-26
COG2026	20.0	11347.0	7730.0	191500.0	0.001762580417731559	0.040365535248041776	0.04366547865402245	6.604052260058938e-163	3.0057498412921406e-96
COG1141	19.0	11347.0	3047.0	191500.0	0.0016744513968449811	0.015911227154046997	0.10523709960479616	1.2368411079068182e-51	2.2605545024338515e-33
COG2888	17.0	11347.0	703.0	191500.0	0.0014981933550718251	0.003671018276762402	0.4081138371212724	4.2091586234067205e-05	0.00021543405542831756
COG0695	16.0	11347.0	4115.0	191500.0	0.0014100643341852471	0.021488250652741514	0.06562024787277639	9.031339063757137e-80	8.864972614750227e-49
COG2260	15.0	11347.0	1065.0	191500.0	0.0013219353132986693	0.0055613577023498695	0.23770010563069968	2.3578437396418785e-12	2.4752139108781416e-09
COG4042	15.0	11347.0	0.0	191500.0	0.0013219353132986693	0.0	inf	1.6288883563900355e-19	3.5696676170220223e-53
COG3478	14.0	11347.0	117.0	191500.0	0.0012338062924120913	0.0006109660574412533	2.019435085443722	0.019874033993356473	0.018907926029365092
COG3350	14.0	11347.0	1426.0	191500.0	0.0012338062924120913	0.007446475195822454	0.16568997545365743	1.9278943229802213e-20	2.929379264213936e-14
COG3432	13.0	11347.0	6594.0	191500.0	0.0011456772715255133	0.03443342036553525	0.033272247118158293	2.691854039517453e-144	1.104931732487806e-83
COG3377	13.0	11347.0	366.0	191500.0	0.0011456772715255133	0.0019112271540469973	0.5994458948009175	0.07238153903736097	0.08490348161928755
COG5510	12.0	11347.0	0.0	191500.0	0.0010575482506389353	0.0	inf	9.336067073189324e-16	3.828696369600836e-42
COG2261	11.0	11347.0	0.0	191500.0	0.0009694192297523574	0.0	inf	1.6705103218131728e-14	1.8234074601762444e-38
COG2314	10.0	11347.0	0.0	191500.0	0.0008812902088657794	0.0	inf	2.9888092277241474e-13	8.694618457256646e-35
COG1873	10.0	11347.0	4712.0	191500.0	0.0008812902088657794	0.02460574412532637	0.03581644206235076	6.7281209065068344e-102	2.1478487177794796e-59
COG1977	9.0	11347.0	5001.0	191500.0	0.0007931611879792016	0.026114882506527416	0.030371999099783463	1.694226646164805e-110	9.64217511098069e-64
COG4744	9.0	11347.0	0.0	191500.0	0.0007931611879792016	0.0	inf	5.347010814340836e-12	4.15071854386072e-31
COG1588	9.0	11347.0	3074.0	191500.0	0.0007931611879792016	0.016052219321148826	0.04941131018152801	3.374113587199987e-63	6.684869417425105e-38
COG1742	9.0	11347.0	0.0	191500.0	0.0007931611879792016	0.0	inf	5.347010814340836e-12	4.15071854386072e-31
COG1911	9.0	11347.0	1819.0	191500.0	0.0007931611879792016	0.009498694516971279	0.0835021261671342	1.3138471546656175e-33	2.4617611611516432e-21
COG1753	8.0	11347.0	2017.0	191500.0	0.0007050321670926236	0.010532637075718016	0.06693785820438146	2.687781965658978e-39	2.3642604658456632e-24
COG4035	7.0	11347.0	0.0	191500.0	0.0006169031462060457	0.0	inf	1.7109145328301724e-09	9.48117867971288e-24
COG2104	7.0	11347.0	2466.0	191500.0	0.0006169031462060457	0.012877284595300261	0.04790630677147516	3.1655283023739804e-51	1.0553439618419957e-30
COG1552	6.0	11347.0	949.0	191500.0	0.0005287741253194677	0.004955613577023499	0.10670204952442366	9.808783523196482e-17	3.5257785229418185e-11
COG3630	6.0	11347.0	0.0	191500.0	0.0005287741253194677	0.0	inf	3.0600794880964304e-08	4.52855213908862e-20
COG1644	6.0	11347.0	2917.0	191500.0	0.0005287741253194677	0.015232375979112272	0.03471383099029073	2.1171139257839725e-63	4.063568169890788e-37
COG5466	6.0	11347.0	1160.0	191500.0	0.0005287741253194677	0.006057441253263708	0.0872933146540328	1.7973465625727294e-21	6.130622250384776e-14
COG1278	6.0	11347.0	1873.0	191500.0	0.0005287741253194677	0.009780678851174935	0.05406313133939031	3.796661078122851e-38	2.6443178425357533e-23
COG1758	6.0	11347.0	1698.0	191500.0	0.0005287741253194677	0.008866840731070497	0.05963500883314373	4.5464297044420805e-34	5.321583467379471e-21
COG0298	6.0	11347.0	1600.0	191500.0	0.0005287741253194677	0.00835509138381201	0.06328765312417378	8.690311487746098e-32	1.0344223517765419e-19
COG3466	6.0	11347.0	1562.0	191500.0	0.0005287741253194677	0.008156657963446475	0.06482730153564537	8.356983482596362e-31	3.2666641537917978e-19
COG2770	6.0	11347.0	1.0	191500.0	0.0005287741253194677	5.221932114882507e-06	101.26024499867805	2.0394007697502102e-07	4.384439563346792e-17
COG4392	6.0	11347.0	1.0	191500.0	0.0005287741253194677	5.221932114882507e-06	101.26024499867805	2.0394007697502102e-07	4.384439563346792e-17
COG3830	6.0	11347.0	208.0	191500.0	0.0005287741253194677	0.0010861618798955613	0.486828100955183	0.074533237084904	0.10346994032251232
COG4541	5.0	11347.0	1.0	191500.0	0.0004406451044328897	5.221932114882507e-06	84.38353749889838	3.130610785873002e-06	1.3808755353313585e-13
COG1436	5.0	11347.0	818.0	191500.0	0.0004406451044328897	0.00427154046997389	0.10315835880060926	1.2259062439966967e-14	7.207378333196623e-10
COG3414	5.0	11347.0	18.0	191500.0	0.0004406451044328897	9.399477806788511e-05	4.687974305494355	0.007887084331036227	0.003546806399549558
COG4575	5.0	11347.0	0.0	191500.0	0.0004406451044328897	0.0	inf	5.472691267253341e-07	2.1551937322120924e-16
COG3585	5.0	11347.0	665.0	191500.0	0.0004406451044328897	0.003472584856396867	0.12689253759232838	3.294573655404647e-11	7.2429607820942e-08
COG2608	4.0	11347.0	1994.0	191500.0	0.0003525160835463118	0.010412532637075717	0.033854979939377486	8.631930653843891e-44	9.17044255253052e-26
COG2075	4.0	11347.0	1591.0	191500.0	0.0003525160835463118	0.008308093994778068	0.04243043997430465	5.45380999876122e-34	1.900882940309025e-20
COG2142	4.0	11347.0	0.0	191500.0	0.0003525160835463118	0.0	inf	9.786627124619684e-06	1.0151462864811157e-12
