accession	arc_not_trans_count	arc_not_trans_all
COG2026	7730	191500
COG3432	6594	191500
COG1146	6131	191500
COG1977	5001	191500
COG1873	4712	191500
COG1958	4455	191500
COG0695	4115	191500
COG2092	3998	191500
COG1581	3648	191500
COG2012	3575	191500
COG1724	3206	191500
COG1588	3074	191500
COG1141	3047	191500
COG1254	2941	191500
COG1998	2933	191500
COG1644	2917	191500
COG1383	2907	191500
COG2093	2891	191500
COG1761	2877	191500
COG2139	2845	191500
COG0425	2825	191500
COG0255	2772	191500
COG2412	2728	191500
COG2002	2726	191500
COG0089	2644	191500
COG1849	2571	191500
COG2053	2510	191500
COG1698	2470	191500
COG2104	2466	191500
COG1598	2444	191500
COG2051	2247	191500
COG1476	2112	191500
COG1753	2017	191500
COG2892	2000	191500
COG2608	1994	191500
COG1278	1873	191500
COG1911	1819	191500
COG3269	1805	191500
COG1828	1803	191500
COG1758	1698	191500
COG1669	1672	191500
COG2451	1649	191500
COG0298	1600	191500
COG2075	1591	191500
COG1996	1564	191500
COG3466	1562	191500
COG3360	1498	191500
COG3350	1426	191500
COG1918	1415	191500
COG1631	1394	191500
COG1942	1363	191500
COG0721	1361	191500
COG1400	1340	191500
COG2835	1286	191500
COG1144	1225	191500
COG2157	1208	191500
COG5466	1160	191500
COG2097	1122	191500
COG2442	1092	191500
COG0199	1085	191500
COG2260	1065	191500
COG4274	1027	191500
COG1531	1023	191500
COG1605	996	191500
COG1343	990	191500
COG5131	964	191500
COG1997	957	191500
COG1552	949	191500
COG1534	931	191500
COG2174	920	191500
COG0023	911	191500
COG2167	901	191500
COG5428	867	191500
COG1773	840	191500
COG1436	818	191500
COG2154	774	191500
COG1888	736	191500
COG4545	730	191500
COG3277	718	191500
COG2888	703	191500
COG0236	702	191500
COG3585	665	191500
COG2827	656	191500
COG2126	633	191500
COG0361	625	191500
COG1872	612	191500
COG1594	595	191500
COG3695	550	191500
COG4895	528	191500
COG1532	514	191500
COG0234	494	191500
COG2023	491	191500
COG3422	438	191500
COG0640	411	191500
COG1694	402	191500
COG3609	402	191500
COG1369	401	191500
COG0011	399	191500
COG1745	386	191500
COG1145	382	191500
COG2880	376	191500
COG2004	375	191500
COG2151	367	191500
COG3377	366	191500
COG3041	362	191500
COG1722	351	191500
COG4830	350	191500
COG4746	344	191500
COG1358	338	191500
COG0186	337	191500
COG3655	328	191500
COG0140	326	191500
COG1342	323	191500
COG4919	320	191500
COG4892	305	191500
COG2146	297	191500
COG0694	287	191500
COG4014	285	191500
COG3388	279	191500
COG2058	274	191500
COG0607	257	191500
COG3357	251	191500
COG0633	250	191500
COG0517	246	191500
COG1393	224	191500
COG4572	215	191500
COG0828	213	191500
COG3830	208	191500
COG5559	195	191500
COG4104	193	191500
COG1359	178	191500
COG2336	174	191500
COG4004	172	191500
COG1308	158	191500
COG1460	157	191500
COG4033	156	191500
COG5007	152	191500
COG2886	152	191500
COG2440	147	191500
COG3809	146	191500
COG3905	145	191500
COG0185	145	191500
COG0271	144	191500
COG1937	142	191500
COG2331	141	191500
COG1925	135	191500
COG3411	130	191500
COG2118	128	191500
COG0051	128	191500
COG0198	125	191500
COG3369	124	191500
COG3478	117	191500
COG0073	116	191500
COG2036	115	191500
COG4802	105	191500
COG4009	104	191500
COG0776	104	191500
COG4855	103	191500
COG1324	102	191500
COG4710	99	191500
COG2168	99	191500
COG0316	96	191500
COG3237	94	191500
COG0347	85	191500
COG4281	85	191500
COG4634	84	191500
COG3668	83	191500
COG5552	82	191500
COG0393	82	191500
COG2771	82	191500
COG2329	81	191500
COG0184	77	191500
COG2161	76	191500
COG0831	76	191500
COG1366	74	191500
COG4023	74	191500
COG4901	73	191500
COG2350	68	191500
COG2906	68	191500
COG1837	66	191500
COG4888	65	191500
COG3311	64	191500
COG1993	62	191500
COG2501	62	191500
COG4115	61	191500
COG5460	61	191500
COG4891	59	191500
COG2388	59	191500
COG1990	58	191500
COG3461	51	191500
COG4997	49	191500
COG4013	49	191500
COG5272	48	191500
COG4443	47	191500
COG1433	45	191500
COG2361	41	191500
COG1826	40	191500
COG0278	36	191500
COG3586	32	191500
COG5470	32	191500
COG1553	29	191500
COG3526	28	191500
COG0099	28	191500
COG2044	28	191500
COG0093	27	191500
COG2963	26	191500
COG2522	26	191500
COG2163	26	191500
COG2088	22	191500
COG3364	22	191500
COG2929	22	191500
COG2098	22	191500
COG4829	22	191500
COG4003	20	191500
COG2359	20	191500
COG2018	19	191500
COG3414	18	191500
COG0139	17	191500
COG1733	16	191500
COG4551	16	191500
COG1382	15	191500
COG4877	15	191500
COG0599	15	191500
COG3077	15	191500
COG1654	14	191500
COG2924	13	191500
COG2033	13	191500
COG3592	13	191500
COG2337	13	191500
COG3189	13	191500
COG2920	12	191500
COG3373	12	191500
COG1846	12	191500
COG1923	10	191500
COG0784	10	191500
COG3549	10	191500
COG1551	9	191500
COG3113	9	191500
COG4049	9	191500
COG3848	9	191500
COG5216	9	191500
COG3052	9	191500
COG5513	9	191500
COG3937	9	191500
COG4718	9	191500
COG4844	8	191500
COG5561	8	191500
COG2445	8	191500
COG1708	8	191500
COG4456	8	191500
COG2923	8	191500
COG2164	7	191500
COG5646	7	191500
COG3798	7	191500
COG3628	7	191500
COG2811	6	191500
COG3370	6	191500
COG0375	6	191500
COG5123	6	191500
COG3831	6	191500
COG0662	6	191500
COG3365	6	191500
COG2210	6	191500
COG3205	6	191500
COG4847	5	191500
COG3070	5	191500
COG0526	5	191500
COG4309	5	191500
COG0346	5	191500
COG3355	5	191500
COG0268	5	191500
COG3093	5	191500
COG3729	5	191500
COG2921	5	191500
COG0736	4	191500
COG5570	4	191500
COG3324	4	191500
COG0759	4	191500
COG1943	3	191500
COG0227	3	191500
COG4680	3	191500
COG5481	3	191500
COG1645	3	191500
COG5045	3	191500
COG4357	3	191500
COG2105	3	191500
COG4391	3	191500
COG1848	3	191500
COG1504	3	191500
COG0394	3	191500
COG4576	3	191500
COG5583	3	191500
COG1841	3	191500
COG2764	3	191500
COG3313	3	191500
COG3794	3	191500
COG1965	3	191500
COG5194	3	191500
COG1047	3	191500
COG3450	3	191500
