accession	arc_trans_count	arc_trans_all
COG4023	2105	11347
COG2443	1393	11347
COG4095	1371	11347
COG0636	749	11347
COG4068	733	11347
COG2212	653	11347
COG1983	557	11347
COG1563	449	11347
COG2034	367	11347
COG3326	303	11347
COG1826	248	11347
COG3205	205	11347
COG4218	160	11347
COG4062	147	11347
COG0713	144	11347
COG4064	133	11347
COG2155	125	11347
COG1930	125	11347
COG4040	105	11347
COG5625	93	11347
COG5487	85	11347
COG4038	81	11347
COG4323	80	11347
COG2383	74	11347
COG1006	71	11347
COG1581	54	11347
COG1146	43	11347
COG2076	39	11347
COG4039	37	11347
COG1849	33	11347
COG3462	31	11347
COG1320	29	11347
COG3847	23	11347
COG3042	21	11347
COG1942	21	11347
COG4818	21	11347
COG2053	20	11347
COG2026	20	11347
COG1141	19	11347
COG2888	17	11347
COG0695	16	11347
COG2260	15	11347
COG4042	15	11347
COG3478	14	11347
COG3350	14	11347
COG3432	13	11347
COG3377	13	11347
COG5510	12	11347
COG2261	11	11347
COG2314	10	11347
COG1873	10	11347
COG1977	9	11347
COG4744	9	11347
COG1588	9	11347
COG1742	9	11347
COG1911	9	11347
COG1753	8	11347
COG4035	7	11347
COG2104	7	11347
COG1552	6	11347
COG3630	6	11347
COG1644	6	11347
COG5466	6	11347
COG1278	6	11347
COG1758	6	11347
COG0298	6	11347
COG3466	6	11347
COG2770	6	11347
COG4392	6	11347
COG3830	6	11347
COG4541	5	11347
COG1436	5	11347
COG3414	5	11347
COG4575	5	11347
COG3585	5	11347
COG2608	4	11347
COG2075	4	11347
COG2142	4	11347
COG1254	3	11347
COG0239	3	11347
COG1918	3	11347
COG3668	3	11347
COG1773	3	11347
COG2835	3	11347
COG3197	3	11347
COG2827	3	11347
COG0401	3	11347
COG3152	3	11347
COG2012	3	11347
COG1476	2	11347
COG3360	2	11347
COG0393	2	11347
COG2412	2	11347
COG3369	2	11347
COG2929	2	11347
COG1687	2	11347
COG3357	2	11347
COG2863	2	11347
COG2139	2	11347
COG5131	2	11347
COG3815	2	11347
COG0640	2	11347
COG1358	2	11347
COG4327	2	11347
COG1872	2	11347
COG3296	2	11347
COG1144	1	11347
COG4888	1	11347
COG4545	1	11347
COG4919	1	11347
COG2126	1	11347
COG2174	1	11347
COG3422	1	11347
COG2167	1	11347
COG0599	1	11347
COG3339	1	11347
COG3277	1	11347
COG0607	1	11347
COG5272	1	11347
COG1532	1	11347
COG0828	1	11347
COG4855	1	11347
COG1997	1	11347
COG3162	1	11347
COG2892	1	11347
COG1669	1	11347
COG1958	1	11347
COG0316	1	11347
COG2092	1	11347
COG2880	1	11347
COG1534	1	11347
COG1965	1	11347
COG5606	1	11347
COG1343	1	11347
COG4272	1	11347
COG0762	1	11347
COG3269	1	11347
COG4828	1	11347
COG2456	1	11347
COG3293	1	11347
COG4980	1	11347
COG0425	1	11347
COG2337	1	11347
COG0185	1	11347
COG4537	1	11347
COG2919	1	11347
COG2002	1	11347
COG1598	1	11347
COG2442	1	11347
COG1369	1	11347
COG2036	1	11347
COG4009	1	11347
