accession	bac_not_trans_count	bac_not_trans_all
COG2771	197421	4292445
COG1476	166610	4292445
COG0236	156109	4292445
COG1278	106469	4292445
COG3655	101071	4292445
COG0776	84715	4292445
COG1977	69000	4292445
COG1146	63919	4292445
COG0255	63750	4292445
COG0695	62849	4292445
COG2608	61905	4292445
COG2104	60773	4292445
COG0268	60012	4292445
COG2026	56791	4292445
COG1841	55542	4292445
COG0234	53566	4292445
COG1918	51300	4292445
COG0211	51201	4292445
COG1598	51089	4292445
COG0184	50182	4292445
COG1724	49975	4292445
COG0254	47771	4292445
COG4118	47391	4292445
COG0186	47161	4292445
COG0721	45882	4292445
COG2442	45107	4292445
COG3237	44803	4292445
COG0291	43792	4292445
COG1141	42388	4292445
COG1722	41353	4292445
COG0361	41247	4292445
COG0089	41079	4292445
COG2827	40458	4292445
COG2929	39164	4292445
COG3668	38779	4292445
COG3311	38620	4292445
COG1254	37505	4292445
COG3360	35705	4292445
COG0425	35675	4292445
COG0271	35067	4292445
COG2161	34391	4292445
COG1837	33694	4292445
COG2835	33569	4292445
COG0228	31858	4292445
COG1925	31762	4292445
COG0227	31254	4292445
COG1828	31173	4292445
COG0333	30647	4292445
COG1937	29741	4292445
COG0185	29476	4292445
COG0267	28990	4292445
COG0238	28308	4292445
COG1773	28084	4292445
COG0828	27640	4292445
COG3549	27638	4292445
COG5007	26788	4292445
COG1669	25976	4292445
COG1359	25943	4292445
COG2963	24674	4292445
COG1758	24643	4292445
COG3041	24578	4292445
COG5470	23258	4292445
COG0199	22989	4292445
COG0298	22473	4292445
COG0230	22001	4292445
COG1942	21086	4292445
COG3609	21041	4292445
COG2336	20761	4292445
COG4115	20194	4292445
COG4456	19256	4292445
COG4576	18869	4292445
COG3585	18370	4292445
COG2350	18124	4292445
COG2154	17256	4292445
COG2501	17179	4292445
COG2002	17156	4292445
COG1923	17105	4292445
COG1551	17061	4292445
COG3077	16124	4292445
COG5552	15953	4292445
COG1343	14705	4292445
COG3093	14701	4292445
COG0694	14665	4292445
COG0640	13803	4292445
COG2388	13632	4292445
COG4274	13556	4292445
COG3905	13221	4292445
COG2740	13090	4292445
COG1550	13034	4292445
COG4481	12828	4292445
COG1872	12683	4292445
COG2331	12143	4292445
COG0360	12131	4292445
COG2900	12121	4292445
COG5570	12005	4292445
COG3024	11670	4292445
COG4453	11516	4292445
COG3350	11158	4292445
COG2906	11060	4292445
COG1605	10970	4292445
COG0257	10868	4292445
COG1534	10607	4292445
COG0607	9987	4292445
COG3830	9727	4292445
COG5481	9474	4292445
COG4877	9421	4292445
COG2052	9395	4292445
COG1582	9332	4292445
COG2921	9178	4292445
COG0140	9056	4292445
COG4423	8983	4292445
COG0759	8828	4292445
COG4545	8528	4292445
COG3750	8490	4292445
COG5428	8354	4292445
COG0851	8344	4292445
COG0718	8300	4292445
COG2088	7999	4292445
COG2938	7958	4292445
COG1873	7739	4292445
COG4680	7538	4292445
COG2841	7497	4292445
COG3695	7474	4292445
COG3113	7464	4292445
COG4472	7435	4292445
COG2975	7388	4292445
COG2329	7365	4292445
COG2257	7280	4292445
COG4391	7268	4292445
COG0633	7203	4292445
COG5304	7126	4292445
COG4104	6949	4292445
COG3636	6892	4292445
COG4842	6845	4292445
COG1366	6823	4292445
COG3422	6695	4292445
COG2924	6615	4292445
COG3251	6448	4292445
COG4496	6409	4292445
COG4311	6380	4292445
COG3514	6297	4292445
COG4691	6098	4292445
COG1188	5888	4292445
COG4895	5672	4292445
COG4710	5618	4292445
COG5466	5300	4292445
COG3027	5272	4292445
COG4281	5204	4292445
COG3530	5176	4292445
COG3411	5082	4292445
COG3657	5002	4292445
COG5568	4980	4292445
COG2151	4908	4292445
COG5457	4784	4292445
COG4443	4671	4292445
COG5509	4623	4292445
COG2747	4599	4292445
COG5302	4552	4292445
COG2886	4490	4292445
COG2359	4335	4292445
COG5606	4260	4292445
COG0011	4153	4292445
COG2960	4038	4292445
COG2146	3949	4292445
COG5639	3905	4292445
COG2127	3903	4292445
COG1544	3673	4292445
COG0198	3628	4292445
COG5460	3611	4292445
COG0316	3593	4292445
COG4466	3526	4292445
COG3089	3504	4292445
COG1532	3465	4292445
COG3908	3461	4292445
COG2914	3370	4292445
COG3798	3355	4292445
COG5425	3232	4292445
COG3369	3221	4292445
COG0278	3193	4292445
COG0261	3168	4292445
COG3809	3064	4292445
COG4572	2917	4292445
COG3592	2909	4292445
COG0073	2890	4292445
COG2879	2883	4292445
COG2732	2871	4292445
COG3414	2868	4292445
COG1393	2856	4292445
COG5450	2807	4292445
COG3813	2658	4292445
COG4256	2648	4292445
COG0347	2646	4292445
COG2168	2615	4292445
COG4224	2590	4292445
COG3052	2562	4292445
COG2944	2547	4292445
COG1862	2538	4292445
COG3492	2486	4292445
COG3460	2424	4292445
COG0517	2414	4292445
COG3313	2409	4292445
COG5272	2393	4292445
COG1677	2326	4292445
COG5131	2319	4292445
COG5475	2276	4292445
COG1144	2257	4292445
COG3831	2233	4292445
COG1145	2232	4292445
COG5004	2230	4292445
COG4829	2191	4292445
COG3123	2178	4292445
COG1694	2155	4292445
COG2440	2141	4292445
COG1644	2124	4292445
COG2337	2099	4292445
COG2901	2051	4292445
COG1264	2014	4292445
COG0792	1941	4292445
COG0051	1917	4292445
COG3526	1854	4292445
COG2868	1827	4292445
COG5583	1771	4292445
COG3478	1765	4292445
COG3860	1708	4292445
COG4892	1625	4292445
COG0393	1622	4292445
COG3870	1616	4292445
COG1342	1615	4292445
COG3062	1569	4292445
COG5559	1548	4292445
COG3553	1477	4292445
COG3906	1453	4292445
COG3584	1445	4292445
COG3461	1439	4292445
COG1440	1393	4292445
COG3423	1371	4292445
COG5515	1311	4292445
COG3254	1307	4292445
COG0203	1286	4292445
COG0093	1264	4292445
COG5453	1238	4292445
COG2965	1225	4292445
COG3978	1206	4292445
COG2880	1164	4292445
COG4321	1125	4292445
COG1958	1109	4292445
COG5508	1065	4292445
COG4568	1034	4292445
COG1436	1009	4292445
COG3847	997	4292445
COG0831	991	4292445
COG1388	980	4292445
COG2739	962	4292445
COG2351	913	4292445
COG1826	901	4292445
COG2824	876	4292445
COG3529	874	4292445
COG1358	866	4292445
COG5554	865	4292445
COG4338	845	4292445
COG4679	841	4292445
COG3100	830	4292445
COG3729	826	4292445
COG4479	801	4292445
COG4309	792	4292445
COG3309	777	4292445
COG1324	768	4292445
COG1911	767	4292445
COG3811	755	4292445
COG4483	751	4292445
COG3615	742	4292445
COG3357	730	4292445
COG2916	724	4292445
COG4476	704	4292445
COG3205	686	4292445
COG2920	677	4292445
COG2033	673	4292445
COG1888	670	4292445
COG3937	669	4292445
COG3433	657	4292445
COG4575	654	4292445
COG3139	652	4292445
COG4891	642	4292445
COG5420	641	4292445
COG1396	617	4292445
COG3130	615	4292445
COG1825	587	4292445
COG5503	569	4292445
COG0256	540	4292445
COG3848	539	4292445
COG0858	506	4292445
COG2361	499	4292445
COG4495	495	4292445
COG3586	480	4292445
COG0292	480	4292445
COG3432	478	4292445
COG1531	476	4292445
COG5626	475	4292445
COG4471	458	4292445
COG4844	458	4292445
COG3512	452	4292445
COG3189	444	4292445
COG2973	442	4292445
COG3474	441	4292445
COG1733	437	4292445
COG1416	435	4292445
COG3502	427	4292445
COG1654	427	4292445
COG4841	423	4292445
COG2036	418	4292445
COG1753	410	4292445
COG1447	407	4292445
COG0594	403	4292445
COG1996	394	4292445
COG3036	393	4292445
COG3377	383	4292445
COG0832	382	4292445
COG3082	376	4292445
COG0023	358	4292445
COG2863	349	4292445
COG2012	342	4292445
COG1815	342	4292445
COG4840	341	4292445
COG3141	341	4292445
COG3691	338	4292445
COG0799	325	4292445
COG4703	324	4292445
COG5489	318	4292445
COG5646	315	4292445
COG4654	309	4292445
COG5119	302	4292445
COG4838	297	4292445
COG4997	297	4292445
COG2092	295	4292445
COG0335	293	4292445
COG1965	288	4292445
COG1302	283	4292445
COG3074	283	4292445
COG4683	280	4292445
COG0784	272	4292445
COG0091	271	4292445
COG4634	268	4292445
COG3824	260	4292445
COG3795	258	4292445
COG1998	255	4292445
COG0789	253	4292445
COG0526	246	4292445
COG1553	242	4292445
COG4898	238	4292445
COG5507	233	4292445
COG2315	233	4292445
COG0139	233	4292445
COG5417	233	4292445
