domain,phylum,transmembrane,count
d__Archaea,p__Aenigmatarchaeota,N,67012
d__Archaea,p__Aenigmatarchaeota,Y,12207
d__Archaea,p__Altarchaeota,N,18965
d__Archaea,p__Altarchaeota,Y,3224
d__Archaea,p__Archaea phylum incertae sedis,N,50
d__Archaea,p__Archaea phylum incertae sedis,Y,20
d__Archaea,p__Asgardarchaeota,N,120853
d__Archaea,p__Asgardarchaeota,Y,17710
d__Archaea,p__Candidatus Diapherotrites,N,1
d__Archaea,p__Crenarchaeota,N,1839
d__Archaea,p__Crenarchaeota,Y,328
d__Archaea,p__EX4484-52,N,1223
d__Archaea,p__EX4484-52,Y,355
d__Archaea,p__Euryarchaeota,N,12794
d__Archaea,p__Euryarchaeota,Y,4545
d__Archaea,p__Hadarchaeota,N,7137
d__Archaea,p__Hadarchaeota,Y,1148
d__Archaea,p__Halobacteriota,N,721262
d__Archaea,p__Halobacteriota,Y,129067
d__Archaea,p__Huberarchaeota,N,603
d__Archaea,p__Huberarchaeota,Y,100
d__Archaea,p__Hydrothermarchaeota,N,3810
d__Archaea,p__Hydrothermarchaeota,Y,589
d__Archaea,p__Iainarchaeota,N,26689
d__Archaea,p__Iainarchaeota,Y,5911
d__Archaea,p__Methanobacteriota,N,131126
d__Archaea,p__Methanobacteriota,Y,30263
d__Archaea,p__Micrarchaeota,N,32739
d__Archaea,p__Micrarchaeota,Y,6369
d__Archaea,p__Nanoarchaeota,N,1005715
d__Archaea,p__Nanoarchaeota,Y,170378
d__Archaea,p__Nanohaloarchaeota,N,4786
d__Archaea,p__Nanohaloarchaeota,Y,1033
d__Archaea,p__PWEA01,N,3366
d__Archaea,p__PWEA01,Y,791
d__Archaea,p__QMZS01,N,2206
d__Archaea,p__QMZS01,Y,531
d__Archaea,p__Thaumarchaeota,N,411
d__Archaea,p__Thaumarchaeota,Y,93
d__Archaea,p__Thermoplasmatota,N,1290903
d__Archaea,p__Thermoplasmatota,Y,229658
d__Archaea,p__Thermoproteota,N,1527178
d__Archaea,p__Thermoproteota,Y,277561
d__Archaea,p__Undinarchaeota,N,2911
d__Archaea,p__Undinarchaeota,Y,679
d__Bacteria,p__4572-55,N,3660
d__Bacteria,p__4572-55,Y,658
d__Bacteria,p__AABM5-125-24,N,19873
d__Bacteria,p__AABM5-125-24,Y,2877
d__Bacteria,p__ARS69,N,2476
d__Bacteria,p__ARS69,Y,412
d__Bacteria,p__Abyssubacteria,N,5667
d__Bacteria,p__Abyssubacteria,Y,709
d__Bacteria,p__Acidobacteria,N,184
d__Bacteria,p__Acidobacteria,Y,80
d__Bacteria,p__Acidobacteriota,N,19432931
d__Bacteria,p__Acidobacteriota,Y,2808234
d__Bacteria,p__Actinobacteria,N,89005
d__Bacteria,p__Actinobacteria,Y,28654
d__Bacteria,p__Actinobacteriota,N,20991382
d__Bacteria,p__Actinobacteriota,Y,4078927
d__Bacteria,p__Aerophobota,N,11625
d__Bacteria,p__Aerophobota,Y,2003
d__Bacteria,p__Aquificae,N,179
d__Bacteria,p__Aquificae,Y,52
d__Bacteria,p__Aquificota,N,21272
d__Bacteria,p__Aquificota,Y,3847
d__Bacteria,p__Armatimonadetes,N,99
d__Bacteria,p__Armatimonadetes,Y,46
d__Bacteria,p__Armatimonadota,N,256330
d__Bacteria,p__Armatimonadota,Y,40253
