Domain,Phylum,Turn
d__Archaea,p__Aenigmatarchaeota,0.2085084820633803
d__Archaea,p__Altarchaeota,0.19890633209659558
d__Archaea,p__Archaea phylum incertae sedis,0.20463165350417986
d__Archaea,p__Asgardarchaeota,0.21254904281723597
d__Archaea,p__Candidatus Diapherotrites,0.32
d__Archaea,p__Crenarchaeota,0.1918099209041339
d__Archaea,p__EX4484-52,0.19891197256642407
d__Archaea,p__Euryarchaeota,0.2000105518089594
d__Archaea,p__Hadarchaeota,0.19935730186745648
d__Archaea,p__Halobacteriota,0.21035808870362085
d__Archaea,p__Huberarchaeota,0.18941143557991047
d__Archaea,p__Hydrothermarchaeota,0.20579613578408928
d__Archaea,p__Iainarchaeota,0.20094884461307544
d__Archaea,p__Methanobacteriota,0.2134054751369036
d__Archaea,p__Micrarchaeota,0.2047716812845257
d__Archaea,p__Nanoarchaeota,0.20617335837363576
d__Archaea,p__Nanohaloarchaeota,0.1987190185750911
d__Archaea,p__PWEA01,0.19447957142379693
d__Archaea,p__QMZS01,0.19191565148427914
d__Archaea,p__Thaumarchaeota,0.19066904165477386
d__Archaea,p__Thermoplasmatota,0.2262172600885455
d__Archaea,p__Thermoproteota,0.21673788461681825
d__Archaea,p__Undinarchaeota,0.2043861186264423
d__Bacteria,p__4572-55,0.21987671433255285
d__Bacteria,p__AABM5-125-24,0.21569673908218628
d__Bacteria,p__ARS69,0.24021130629092977
d__Bacteria,p__Abyssubacteria,0.21840841283928217
d__Bacteria,p__Acidobacteria,0.20230520276619032
d__Bacteria,p__Acidobacteriota,0.21905461643055746
d__Bacteria,p__Actinobacteria,0.22415420413021286
d__Bacteria,p__Actinobacteriota,0.2282067297314227
d__Bacteria,p__Aerophobota,0.20964521107445666
d__Bacteria,p__Aquificae,0.17621630945389655
d__Bacteria,p__Aquificota,0.1973105333785312
d__Bacteria,p__Armatimonadetes,0.2340206526163292
d__Bacteria,p__Armatimonadota,0.21906382418049564
d__Bacteria,p__Aureabacteria,0.22468764856729773
d__Bacteria,p__B130-G9,0.21720787810662562
d__Bacteria,p__B64-G9,0.2314467787155188
d__Bacteria,p__BMS3Abin14,0.22257977036767201
d__Bacteria,p__Bacteria phylum ,0.19862155236872583
d__Bacteria,p__Bacteria phylum incertae sedis,0.20944930613361587
d__Bacteria,p__Bacteroidetes,0.1992578619785726
d__Bacteria,p__Bacteroidota,0.20884419723805675
d__Bacteria,p__Balneolaeota,0.1905860630205259
d__Bacteria,p__Bdellovibrionota,0.21058608931346803
d__Bacteria,p__Bdellovibrionota_C,0.21473600494477565
d__Bacteria,p__Bdellovibrionota_D,0.2180689707565885
d__Bacteria,p__Bipolaricaulota,0.2127813559462387
d__Bacteria,p__CG03,0.21096542920147784
d__Bacteria,p__CG2-30-53-67,0.21377280657796982
d__Bacteria,p__CG2-30-70-394,0.2160787491717733
d__Bacteria,p__CSP1-3,0.22449891873930744
d__Bacteria,p__CSSED10-310,0.22773667798367891
d__Bacteria,p__Caldatribacteriota,0.20517782997421483
d__Bacteria,p__Caldiserica,0.21280579215549808
d__Bacteria,p__Caldisericota,0.21336140288128727
d__Bacteria,p__Calditrichaeota,0.2051724150982979
d__Bacteria,p__Calditrichota,0.21189267375817775
d__Bacteria,p__Calescibacterota,0.20477984192248333
d__Bacteria,p__Campylobacterota,0.20083569488482358
d__Bacteria,p__Candidatus Kryptonia,0.2318461758228481
d__Bacteria,p__Candidatus Latescibacteria,0.34632946961714084
d__Bacteria,p__Candidatus Microgenomates,0.1851851851851851
d__Bacteria,p__Chlamydiae,0.2136455686106679
d__Bacteria,p__Chlorobi,0.20182809747858405
d__Bacteria,p__Chloroflexi,0.2052363076332247
d__Bacteria,p__Chloroflexota,0.21759498648570247
d__Bacteria,p__Chrysiogenetes,0.2043742675244194
