k	smorfs
1	4155
2	5227
3	6188
4	7557
5	10317
6	11141
7	34322
8	36239
9	38375
10	39607
11	60555
12	62810
13	64396
14	66387
15	67569
16	97151
17	97649
18	103020
19	103856
20	112517
21	114459
22	165709
23	167486
24	203434
25	204349
26	206310
27	207873
28	212801
29	214336
30	215268
31	222200
32	222895
33	224149
34	225309
35	226351
36	227077
37	228806
38	229846
39	231720
40	233120
41	233708
42	234542
43	235499
44	236219
45	237158
46	281192
47	282614
48	283507
49	285740
50	287340
51	289052
52	289983
53	290569
54	292125
55	293726
56	367362
57	368760
58	370687
59	371632
60	373381
61	379356
62	381003
63	381773
64	382822
65	383903
66	385149
67	385985
68	388720
69	390332
70	394489
71	395422
72	396564
73	404149
74	405260
75	444534
76	445311
77	452915
78	457030
79	471971
80	473874
81	474957
82	477030
83	478317
84	480071
85	482177
86	482992
87	485537
88	486274
89	546272
90	547061
91	548851
92	550553
93	573623
94	574428
95	576050
96	577833
97	579106
98	580968
99	624158
100	625137
101	626438
102	627151
103	628067
104	630710
105	633140
106	634041
107	634946
108	636111
109	637055
110	638421
111	639207
112	640650
113	642523
114	643581
115	673260
116	681142
117	682381
118	683398
119	683745
120	684921
121	686196
122	687217
123	687903
124	688727
125	689617
126	691376
127	691919
128	693629
129	694313
130	695073
131	696328
132	697663
133	698270
134	698907
135	703189
136	704039
137	705694
138	709812
139	710453
140	711139
141	711910
142	712721
143	714341
144	714909
145	715665
146	717600
147	751306
148	752002
149	752587
150	756200
151	757434
152	759330
153	761488
154	763706
155	764484
156	765934
157	820156
158	821322
159	821713
160	822952
161	826403
162	827233
163	829431
164	830685
165	831329
166	831936
167	833642
168	834397
169	835517
170	836305
171	837455
172	838717
173	840341
174	842798
175	843603
176	844755
177	845996
178	858451
179	859284
180	860242
181	861675
182	863376
183	864224
184	865769
185	867429
186	868481
187	869447
188	870414
189	871583
190	872694
191	874211
192	874778
193	875486
194	876375
195	892312
196	942954
197	943751
198	947415
199	949010
200	949888
201	950726
202	952074
203	952765
204	955336
205	959562
206	960260
207	961040
208	963304
209	963916
210	965006
211	981153
212	982375
213	1008856
214	1009512
215	1011444
216	1012682
217	1027703
218	1028536
219	1030301
220	1031176
221	1032540
222	1033049
223	1035240
224	1036080
225	1037281
226	1038139
227	1039395
228	1040217
229	1040778
230	1041313
231	1042683
232	1051693
233	1052562
234	1053355
235	1054392
236	1054782
237	1062554
238	1063400
239	1064503
240	1065647
241	1066559
242	1067086
243	1067867
244	1071181
245	1073064
246	1074081
247	1075478
248	1077203
249	1088004
250	1088585
251	1104139
252	1105782
253	1106400
254	1107033
255	1108195
256	1124411
257	1126077
258	1126887
259	1127868
260	1128895
261	1129609
262	1131384
263	1132418
264	1132895
265	1134687
266	1142136
267	1143117
268	1143813
269	1144946
270	1146839
271	1147225
272	1174765
273	1175409
274	1176606
275	1177296
276	1178839
277	1179617
278	1180431
279	1180995
280	1192792
281	1193961
282	1213760
283	1214824
284	1215389
285	1216023
286	1217378
287	1218026
288	1219854
289	1222650
290	1223534
291	1224243
292	1225229
293	1225987
294	1226683
295	1227345
296	1228264
297	1228856
298	1230463
299	1233487
300	1234383
301	1235119
302	1236742
303	1237280
304	1237744
305	1268714
306	1269364
307	1272967
308	1273883
309	1275078
310	1276304
311	1277118
312	1278236
313	1279233
314	1279565
315	1280596
316	1282003
317	1282960
318	1295845
319	1297070
320	1298242
321	1299217
322	1300433
323	1300873
324	1301714
325	1321600
326	1322471
327	1323385
328	1323844
329	1324300
330	1328288
331	1328913
332	1329722
333	1330465
334	1331203
335	1331727
336	1332563
337	1333443
338	1334729
339	1335744
340	1336562
341	1351607
342	1352197
343	1352959
344	1353614
345	1355109
346	1422391
347	1443460
348	1443922
349	1452424
350	1453803
351	1454440
352	1454797
353	1455704
354	1456428
355	1457859
356	1458525
357	1460123
358	1461032
359	1461572
360	1462400
361	1464520
362	1466205
363	1468147
364	1470095
365	1471471
366	1472145
367	1473578
368	1474052
369	1474549
370	1475753
371	1476579
372	1505924
373	1506507
374	1508111
375	1533888
376	1535063
377	1536240
378	1537021
379	1537912
380	1539290
381	1540346
382	1541019
383	1541541
384	1541982
385	1542857
386	1544723
387	1545299
388	1546217
389	1546809
390	1550148
391	1550738
392	1551234
393	1551853
394	1552622
395	1553198
