k	smorfs
1	4829
2	21318
3	25107
4	29582
5	45990
6	52885
7	52974
8	55009
9	55845
10	58160
11	58617
12	81230
13	96900
14	111216
15	125193
16	139713
17	155637
18	168930
19	181038
20	185107
21	198496
22	204002
23	216066
24	226969
25	227700
26	234793
27	244477
28	265905
29	268574
30	272832
31	282654
32	292972
33	296769
34	307542
35	312973
36	313801
37	345234
38	355829
39	356142
40	357828
41	363923
42	371015
43	376768
44	382655
45	387868
46	389481
47	394626
48	403626
49	407143
50	419165
51	421033
52	425829
53	430769
54	434052
55	437995
56	438518
57	451293
58	456250
59	461934
60	464969
61	467343
62	467402
63	471339
64	482277
65	483424
66	505565
67	506207
68	514650
69	517579
70	519168
71	524236
72	536021
73	544050
74	552779
75	555262
76	561402
77	576743
78	579536
79	584677
80	603260
81	605063
82	608229
83	625326
84	634952
85	638266
86	654137
87	656935
88	672527
89	704436
90	713402
91	714095
92	725344
93	725378
94	737668
95	747644
96	750974
97	753489
98	757062
99	759333
100	760065
101	765256
102	777560
103	778825
104	786006
105	793407
106	804117
107	804984
108	814070
109	823898
110	830355
111	835366
112	838184
113	838624
114	844301
115	852947
116	853375
117	853805
118	856398
119	863965
120	868013
121	874802
122	877824
123	885632
124	892127
125	898732
126	898970
127	903561
128	916319
129	922121
130	925204
131	927802
132	937201
133	947395
134	953963
135	956369
136	965955
137	968279
138	976834
139	980832
140	984322
141	986809
142	997851
143	998916
144	1001125
145	1008051
146	1013761
147	1024179
148	1026115
149	1027458
150	1041545
151	1042444
152	1046236
153	1048347
154	1059905
155	1062567
156	1068193
157	1068627
158	1074333
159	1102106
160	1103740
161	1108040
162	1119149
163	1120406
164	1131292
165	1136305
166	1149970
167	1155011
168	1164999
169	1168404
170	1186431
171	1187476
172	1194733
173	1197200
174	1200444
175	1205792
176	1216206
177	1216829
178	1218066
179	1224301
180	1242355
181	1248666
182	1252579
183	1254772
184	1257954
185	1262778
186	1263140
187	1268240
188	1275522
189	1280622
190	1280706
191	1284278
192	1293220
193	1300706
194	1301341
195	1302235
196	1302242
197	1305610
198	1314256
199	1322687
200	1323389
201	1323666
202	1330538
203	1336377
204	1337767
205	1342178
206	1342356
207	1342465
208	1348364
209	1356516
210	1368958
211	1371994
212	1376136
213	1376349
214	1378929
215	1383267
216	1388122
217	1388345
218	1393817
219	1396498
220	1398325
221	1399606
222	1406203
223	1409075
224	1411180
225	1419717
226	1421126
227	1424761
228	1443138
229	1446414
230	1447159
231	1454354
232	1455571
233	1458141
234	1464701
235	1465040
236	1502191
237	1503124
238	1512401
239	1525697
240	1545800
241	1548224
242	1549289
243	1552800
244	1558670
245	1569135
246	1577789
247	1581978
248	1585028
249	1588508
250	1593756
251	1599917
252	1599962
253	1602108
254	1602189
255	1605685
256	1616839
257	1624494
258	1630181
259	1636116
260	1640922
261	1647988
262	1655441
263	1674264
264	1675261
265	1675389
