k	smorfs
1	3651
2	9090
3	21213
4	37921
5	40220
6	48420
7	53330
8	66571
9	77996
10	136760
11	153470
12	157295
13	158476
14	190377
15	193519
16	236888
17	257734
18	284672
19	306096
20	313949
21	364394
22	394400
23	401361
24	452800
25	493541
26	496043
27	496239
28	529059
29	532998
30	541452
31	559248
32	565169
33	625640
34	701481
35	721666
36	751144
37	782675
38	802713
39	804886
40	833185
41	853431
42	854674
43	856909
44	858570
45	890690
46	922622
47	937284
48	956279
49	973426
50	1004105
51	1014611
52	1036393
53	1040875
54	1062579
55	1103198
56	1118122
57	1122546
58	1137031
59	1183396
60	1185920
61	1212539
62	1214721
63	1232205
64	1235399
65	1266472
66	1304369
67	1316239
68	1340320
69	1345837
70	1352967
71	1361946
72	1369775
73	1406331
74	1421382
75	1450496
76	1453574
77	1465974
78	1472858
79	1482810
80	1504305
81	1524954
82	1539211
83	1554255
84	1560762
85	1588305
86	1601304
87	1615569
88	1638260
89	1639242
90	1640470
91	1643399
92	1649926
93	1650903
94	1658968
95	1683417
96	1703807
97	1704275
98	1725214
99	1729763
100	1736330
101	1751359
102	1751760
103	1765029
104	1769791
105	1789902
106	1790788
107	1790907
108	1812254
109	1828077
110	1841725
111	1860898
112	1862288
113	1873447
114	1974778
115	2007555
116	2012026
117	2021197
118	2023130
119	2056307
120	2064148
121	2082380
122	2113010
123	2117854
124	2120832
125	2140983
126	2172713
127	2179317
128	2182028
129	2206338
130	2218659
131	2227550
132	2228689
133	2251243
134	2254265
135	2306784
136	2310785
137	2313910
138	2322307
139	2334321
140	2335013
141	2355702
142	2358628
143	2362861
144	2380069
145	2401183
146	2409672
147	2412822
148	2428342
149	2483736
150	2511117
151	2514701
152	2522306
153	2529645
154	2544259
155	2564819
156	2590502
157	2600627
158	2608794
159	2630926
160	2641978
161	2645920
162	2671713
163	2679896
164	2702601
165	2711254
166	2768629
167	2777526
168	2791309
169	2800516
170	2816569
171	2820845
172	2842311
173	2845490
174	2866482
175	2880236
176	2881252
