k	smorfs
1	7425
2	42665
3	66579
4	102885
5	113358
6	128636
7	150948
8	171858
9	174562
10	192872
11	197657
12	230074
13	264950
14	297522
15	300341
16	324178
17	340502
18	380221
19	381099
20	384556
21	391254
22	416532
23	423233
24	444087
25	445036
26	452326
27	468008
28	490464
29	496706
30	498435
31	529917
32	546891
33	558431
34	563988
35	567174
36	598040
37	600975
38	635293
39	666220
40	671227
41	688690
42	692774
43	723729
44	753548
45	771846
46	786541
47	789202
48	810088
49	819900
50	839527
51	859159
52	868281
53	877173
54	902796
55	916674
56	934123
57	948676
58	954339
59	960968
60	995631
61	1015543
62	1036335
63	1040870
64	1056704
65	1069997
66	1086517
67	1090261
68	1107457
69	1111744
70	1114726
71	1115139
72	1116403
73	1126619
74	1133298
75	1146147
76	1169824
77	1180335
78	1192745
79	1202331
80	1203398
81	1222117
82	1231237
83	1240673
84	1241217
85	1257566
86	1271186
87	1282200
88	1296723
89	1320620
90	1322092
91	1349748
92	1364425
93	1382469
94	1394127
95	1426648
96	1449111
97	1462330
98	1467501
99	1474183
100	1498102
101	1509680
102	1528955
103	1536608
104	1539106
105	1543408
106	1555474
107	1581078
108	1608633
109	1609585
110	1615251
111	1626776
112	1641942
113	1661327
114	1672610
115	1684738
116	1718947
117	1737662
118	1759893
119	1761360
120	1764077
121	1778103
122	1792489
123	1804054
124	1843058
125	1848131
126	1856506
127	1862055
128	1872944
129	1887633
130	1895621
131	1905324
132	1908676
133	1929618
134	1933096
135	1950923
136	1971305
137	1987529
138	1990489
139	1998239
140	2006330
141	2017898
142	2030258
143	2032313
144	2057456
145	2075575
146	2082207
147	2097848
148	2103392
149	2107665
150	2114482
151	2116777
152	2123943
153	2128742
154	2147223
155	2173209
156	2176913
157	2183679
158	2188316
159	2199939
160	2202749
161	2205708
162	2213721
163	2230954
164	2239953
165	2252731
166	2271370
167	2275993
168	2298208
169	2310828
170	2330534
171	2340090
172	2345389
173	2348611
174	2359026
175	2376785
176	2388059
177	2398618
178	2410191
179	2415001
180	2416004
181	2447932
182	2453593
183	2456043
184	2469875
185	2492486
186	2492486
187	2492487
188	2493070
189	2498982
190	2512131
191	2523092
192	2526944
193	2541724
194	2562002
195	2584080
196	2588562
197	2611289
198	2612072
199	2616939
200	2650104
201	2664961
202	2679928
203	2689421
204	2694376
205	2703445
206	2707611
207	2719622
208	2722222
209	2733390
210	2735782
211	2753643
212	2765302
213	2790314
214	2801575
215	2806049
216	2830581
217	2843808
218	2854444
219	2856415
220	2877461
221	2891907
222	2905483
223	2933408
224	2946105
225	2968004
226	2970455
227	2986953
228	3004452
229	3017463
230	3026428
231	3026446
232	3031264
233	3044369
234	3059783
235	3068312
236	3081400
237	3087226
238	3095622
239	3124962
240	3144226
241	3146777
242	3157063
243	3166740
244	3181762
245	3188129
246	3200839
247	3216432
248	3224857
249	3227658
250	3239130
251	3249465
252	3251031
253	3258876
254	3267076
255	3276013
256	3297361
257	3317784
258	3333984
259	3342579
260	3354843
261	3362494
262	3369083
263	3383016
264	3409189
265	3411298
266	3412556
267	3429050
268	3444819
269	3455880
270	3479092
271	3484085
272	3490200
273	3507100
274	3524639
275	3526511
276	3540096
277	3559231
278	3575284
279	3589762
280	3606140
281	3609219
282	3615225
283	3627344
284	3633831
285	3633844
286	3646984
287	3667052
288	3679197
289	3684259
290	3707926
291	3710786
292	3726964
293	3734623
294	3739011
295	3746262
296	3750092
297	3763568
298	3787530
299	3797849
300	3806817
301	3821030
302	3821706
303	3839768
304	3845653
305	3847600
306	3850569
307	3854347
308	3858082
309	3874611
310	3892773
311	3903072
312	3912784
313	3915487
314	3915960
315	3929670
316	3934977
317	3937471
318	3952203
319	3960006
320	3971974
321	3988232
322	3999299
323	4009953
324	4011032
325	4014128
326	4029477
327	4039697
328	4045597
329	4054429
330	4068309
331	4073079
332	4084268
333	4089017
334	4096911
335	4098998
336	4102898
337	4110610
338	4112178
339	4133648
340	4146014
341	4150326
342	4155659
343	4160476
344	4164371
345	4169972
346	4180337
347	4187654
348	4190265
349	4206531
350	4214005
351	4226695
352	4242271
353	4262696
354	4268485
355	4284624
356	4292183
357	4305184
358	4312745
359	4321230
360	4332756
361	4347866
362	4364123
363	4372507
364	4377282
365	4384787
366	4406013
367	4410094
368	4422204
369	4428546
370	4433882
371	4448288
372	4460392
373	4465704
374	4472203
375	4479778
376	4481054
377	4486749
378	4494750
379	4504780
380	4507867
381	4518339
382	4522346
383	4530143
384	4543112
385	4544917
386	4551114
387	4572224
388	4580506
389	4584586
390	4597596
391	4602444
392	4603272
393	4615855
394	4628416
395	4633598
396	4638056
397	4638213
398	4645796
399	4658002
400	4661739
401	4673208
402	4684696
403	4687900
404	4693442
405	4700491
406	4717311
407	4722558
408	4733063
409	4733099
410	4734988
411	4735339
412	4744007
413	4749761
414	4750478
415	4752084
416	4770388
417	4773408
418	4781284
419	4794955
420	4809132
421	4817942
422	4825988
423	4835581
424	4842115
425	4849698
426	4869083
427	4876424
428	4880604
429	4883744
430	4894647
431	4898383
432	4921738
433	4933501
434	4945619
435	4955814
436	4962305
437	4963020
438	4969187
439	4972598
440	4975869
441	4983522
442	4987937
443	4993345
444	5002103
445	5002360
446	5003189
447	5016674
448	5016944
449	5018390
450	5030980
451	5031369
452	5032439
453	5038170
454	5038911
455	5045373
456	5052822
457	5053918
458	5059924
459	5077728
460	5078824
461	5091642
462	5092242
463	5112642
464	5115531
465	5131123
466	5131879
467	5139677
468	5158030
469	5166584
470	5168570
471	5174268
472	5182264
473	5186671
474	5192469
475	5194717
476	5206448
477	5216036
478	5231262
479	5235701
480	5247430
481	5253953
482	5259865
483	5267812
484	5271041
485	5278406
486	5279376
487	5288118
488	5295040
489	5297667
490	5307319
491	5313424
492	5316717
493	5331431
494	5345867
495	5357246
496	5373561
497	5390839
498	5391384
499	5409274
500	5414846
501	5415522
502	5417312
503	5429387
504	5432379
505	5443854
506	5445657
507	5448863
508	5466886
509	5475400
510	5489617
511	5502330
512	5509744
513	5520297
514	5525259
515	5541095
516	5547424
517	5550382
518	5564545
519	5571308
520	5571694
521	5585376
522	5593065
523	5595320
524	5603298
525	5608037
526	5614825
527	5627459
528	5635413
529	5636495
530	5647028
531	5651973
532	5658397
533	5672589
534	5684543
535	5699340
536	5704162
537	5711819
538	5712396
539	5722275
540	5742257
541	5750505
542	5752121
543	5762199
544	5765616
545	5780254
546	5783851
547	5786465
548	5795632
549	5803688
550	5805416
551	5805416
552	5812602
553	5815629
554	5828856
555	5840271
556	5840655
557	5851367
558	5853306
559	5861891
560	5869051
561	5880245
562	5889557
563	5899735
564	5917394
565	5924536
566	5938050
567	5938070
568	5940473
569	5956676
570	5962874
571	5975933
572	5986962
573	5996772
574	6004165
575	6016885
576	6029585
577	6040015
578	6046385
579	6049540
580	6054699
581	6056714
582	6056995
583	6058054
584	6071135
585	6074181
586	6080998
587	6085569
588	6095426
589	6111639
590	6124047
591	6133519
592	6141955
593	6148624
594	6153200
595	6153200
596	6163503
597	6163822
598	6167454
599	6177753
600	6183704
601	6186907
602	6192980
603	6195489
604	6203251
605	6203920
606	6209638
607	6216301
608	6216676
609	6220166
610	6229054
611	6242618
612	6246225
613	6255407
614	6255991
615	6260802
616	6263074
617	6266356
618	6277547
619	6282713
620	6300458
621	6313716
622	6316238
623	6329905
624	6332969
