k	smorfs
1	6441
2	7325
3	10101
4	13245
5	19424
6	31985
7	34153
8	52825
9	55612
10	59717
11	66760
12	69685
13	70201
14	72307
15	74921
16	77333
17	78162
18	87262
19	104037
20	135470
21	141750
22	145914
23	153137
24	160099
25	160631
26	161532
27	164912
28	173337
29	174338
30	174583
31	178060
32	179112
33	180929
34	182504
35	190048
36	192651
37	242638
38	259260
39	261165
40	268909
41	270239
42	274542
43	274707
44	279679
45	283784
46	283939
47	286588
48	289165
49	294782
50	294816
51	300895
52	304300
53	308841
54	324143
55	324456
56	326946
57	327040
58	327483
59	329319
60	333918
61	334206
62	336901
63	337321
64	340925
65	345271
66	346931
67	348718
68	354613
69	357073
70	357093
71	362567
72	369423
73	370098
74	371602
75	372681
76	374129
77	375294
78	376143
79	376643
80	376683
81	378458
82	383884
83	386903
84	389932
85	393829
86	394854
87	405260
88	405868
89	407317
90	409833
91	411725
92	413468
93	417387
94	418713
95	419064
96	431878
97	434828
98	440744
99	443566
100	443736
101	445018
102	446410
103	447540
104	450641
105	457957
106	459698
107	460535
108	462240
109	467094
110	471074
111	477780
112	478198
113	479468
114	489541
115	490350
116	493309
117	494770
118	494966
119	495881
120	498540
121	499625
122	499927
123	501863
124	504388
125	504530
126	510451
127	512872
128	515618
129	516742
130	517846
131	517961
132	520407
133	521411
134	522101
135	523314
136	524622
137	526363
138	535715
139	537210
140	541041
141	549248
142	551168
143	551471
144	552433
145	554319
146	554378
147	556311
148	558364
149	559303
150	562603
151	563148
152	566232
153	567149
154	569745
155	575599
156	583029
157	585055
158	592645
159	596906
160	598951
161	599908
162	601485
163	601829
164	614701
165	629912
166	633142
167	634831
168	639485
169	640342
170	640391
171	640787
172	642021
173	646851
174	649348
175	653538
176	660408
177	662073
178	662751
179	674950
180	676229
181	676943
182	677258
183	677573
184	678099
185	681127
186	692231
187	694662
188	694939
189	702329
190	702385
191	709890
192	710058
193	712679
194	712711
195	714321
196	716393
197	718627
198	735096
199	737982
200	745604
201	746837
202	747658
203	751418
204	752269
205	752334
206	754506
207	776391
208	776646
209	782615
210	783078
211	783709
212	791267
213	796251
214	797978
215	800397
216	800622
217	801133
218	801409
219	802021
220	803336
221	803348
222	813697
223	813743
224	815074
225	815239
226	816090
227	817694
228	820458
229	822825
230	823489
231	823586
232	824315
233	824380
234	827727
235	830052
236	835916
237	840557
238	845410
239	849864
240	856256
241	860080
242	861559
243	862534
244	863155
245	863831
246	864386
247	866891
248	868282
249	868367
250	871162
251	872026
252	872226
253	872303
254	877178
255	878790
256	879915
257	880060
258	882901
259	885635
260	887291
261	902156
262	903523
263	903597
264	904937
265	908254
266	908550
267	919275
268	922452
269	927927
270	929035
271	930863
272	931516
273	945729
274	947554
275	949408
276	951811
277	951952
278	953230
279	955259
280	955908
281	957814
282	958217
283	959838
284	959934
285	968418
286	973706
287	974512
288	974593
