k	smorfs
1	38619
2	189251
3	219382
4	335342
5	335343
6	532593
7	659993
8	722816
9	747442
10	787280
11	958710
12	1283852
13	1495014
14	1546095
15	1574399
16	1592323
17	1640477
18	1862373
19	1911166
20	1967392
21	2030598
22	2287888
23	2392935
24	2533986
25	2547103
26	2585733
27	2697418
28	2752435
29	2757034
30	2758285
31	2765486
32	2846082
33	2846626
34	2954752
35	3058703
36	3117140
37	3299319
38	3357180
39	3358525
40	3562625
41	3726483
42	3771459
43	3856687
44	3861421
45	3949914
46	3980470
47	4014125
48	4212404
49	4342501
50	4363910
51	4427611
52	4554112
53	4576389
54	4638388
55	4690441
56	4753950
57	4857102
58	4925842
59	5059777
60	5110218
61	5187748
62	5188754
63	5404483
64	5458046
65	5568754
66	5699356
67	5708726
68	5709049
69	5856944
70	5981947
71	6090760
72	6182633
73	6219932
74	6361560
75	6521532
76	6576564
77	6774543
78	6805122
79	6821739
80	6828714
81	7103096
82	7252069
83	7426540
84	7573469
85	7658534
86	8001313
87	8048233
88	8190679
89	8609080
90	8730827
91	8734847
92	8768122
93	8822018
94	8976665
95	9004080
96	9049908
97	9101039
98	9149385
99	9199316
100	9204965
101	9338987
102	9376314
103	9517968
104	9523790
105	9647666
106	9824358
107	9859110
108	9951176
109	10017748
110	10163873
111	10282776
112	10480422
113	10530089
114	10648310
115	10720589
116	10737266
117	10758014
118	10771582
119	10774645
120	10796244
121	10872033
122	10876980
123	10911085
124	10916709
125	10916711
126	10987804
127	10999430
128	11182979
129	11294974
130	11316389
131	11352612
132	11442529
133	11457234
134	11465384
135	11521466
136	11567398
137	12092319
138	12104182
139	12113417
140	12186565
141	12213652
142	12288810
143	12291767
144	12296723
145	12298029
146	12339423
147	12575821
148	12682539
149	12719035
150	12752034
151	12904695
152	12905692
153	12939197
154	12980120
155	13133661
156	13342696
157	13378202
158	13404164
159	13491371
160	13609611
161	13718030
162	13795281
163	13813890
164	13881651
165	13936681
166	14026750
167	14027755
168	14095973
169	14126974
170	14214027
171	14248733
172	14252935
173	14396600
174	14406370
175	14446128
176	14540580
177	14705496
178	14726446
179	14809412
180	14871397
181	14981050
182	15039122
183	15222324
184	15302337
185	15522488
186	15550480
187	15589273
188	15649084
189	15678355
190	15687542
191	15801910
192	15912282
193	15981308
194	16091166
195	16151480
196	16364467
197	16469030
198	16470104
199	16473968
200	16548724
201	16635608
202	16681399
203	16761943
204	16795753
205	16855031
206	16920235
207	17064295
208	17098107
209	17221603
210	17264270
211	17384067
212	17532262
213	17613636
214	17709614
215	17789780
216	17855733
217	17950594
218	17989356
219	18124125
220	18135864
221	18147103
222	18175720
223	18209398
224	18306034
225	18362897
226	18364565
227	18369168
228	18422599
229	18501639
230	18681285
231	18784694
