k	smorfs
1	86892
2	210187
3	285546
4	428273
5	627991
6	731433
7	1068418
8	1118022
9	1157295
10	1369998
11	1392023
12	1446633
13	1482502
14	1548958
15	1645557
16	1676591
17	1731855
18	1810100
19	1853773
20	1943424
21	2114468
22	2225138
23	2347555
24	2603017
25	2700150
26	2916503
27	2981434
28	3048851
29	3091262
30	3134558
31	3217869
32	3293606
33	3316267
34	3333369
35	3392961
36	3454589
37	3572010
38	3628644
39	3703064
40	3747559
41	3830355
42	3833402
43	4026717
44	4115811
45	4192013
46	4278223
47	4330981
48	4333266
49	4447692
50	4478954
51	4717718
52	4742709
53	4854136
54	4931205
55	5185571
56	5221813
57	5304325
58	5375902
59	5429814
60	5479518
61	5530598
62	5593321
63	5665675
64	5745192
65	5794668
66	5867115
67	5967301
68	6016793
69	6222374
70	6366885
71	6456883
72	6519684
73	6539599
74	6588521
75	6887541
76	6935491
77	7001596
78	7083240
79	7083414
80	7104784
81	7154412
82	7187732
83	7229461
84	7374311
85	7399730
86	7469926
87	7516583
88	7548435
89	7699754
90	7742271
91	7797250
92	7939399
93	7963937
94	8012370
95	8075622
96	8138188
97	8170101
98	8231503
99	8266686
100	8333358
101	8413742
102	8433883
103	8550208
104	8611007
105	8652915
106	8802175
107	8864254
108	8864391
109	8907051
110	9153600
111	9226940
112	9377020
113	9450193
114	9485193
115	9613792
116	9681834
117	9724159
118	9815361
119	9831674
120	9904153
121	9967534
122	10202235
123	10237754
124	10239202
125	10328567
126	10415409
127	10452243
128	10492364
129	10544867
130	10578863
131	10642000
132	10722001
133	10758722
134	10807424
135	10897014
136	10945350
137	10984235
138	11032528
139	11087969
140	11162444
141	11187051
142	11267174
143	11313649
144	11362074
145	11394790
146	11446072
147	11507851
148	11532269
149	11608108
150	11795633
151	11838957
152	11908721
153	11933448
154	11952762
155	11993761
156	12010286
157	12056140
158	12088192
159	12207059
160	12268343
161	12296631
162	12327855
163	12370490
164	12428626
165	12468281
166	12596519
167	12634284
168	12692008
169	12722643
170	12766985
171	12813542
172	12839769
173	12876574
174	12914594
175	12947530
176	13018999
177	13038998
178	13084422
179	13131354
180	13229988
181	13256341
182	13305958
183	13372424
184	13397865
185	13528539
186	13564818
187	13584288
188	13607409
189	13651736
190	13675382
191	13724226
192	13735782
193	13777283
194	13826806
195	13904313
196	13959777
197	14089944
198	14123776
199	14144896
200	14183874
201	14215953
202	14332800
203	14362676
204	14404724
205	14441698
206	14547329
207	14581741
208	14633876
209	14847761
210	14876570
211	14938253
212	14968856
213	14981399
214	15016445
215	15058796
216	15216369
217	15260253
218	15298238
219	15448900
220	15469502
221	15591571
222	15607701
223	15646992
224	15770457
225	15804468
226	15842002
227	15864895
228	15971171
229	15989265
230	16030177
231	16140740
232	16164256
233	16195418
234	16215664
235	16256389
236	16359007
237	16403850
238	16453055
239	16479931
240	16512316
241	16538618
242	16581322
243	16634911
244	16670765
245	16675633
246	16800495
247	16841792
248	16878827
249	17036189
250	17087959
251	17107772
252	17196039
253	17226537
254	17241037
255	17273798
256	17293430
257	17330959
258	17365009
259	17443859
260	17468962
261	17493317
262	17586666
263	17619023
264	17773942
265	17828745
266	17919991
267	17943754
268	18085143
269	18112902
270	18153758
271	18186363
272	18355584
273	18382921
274	18421877
275	18439749
276	18486944
277	18515948
278	18542700
279	18575286
280	18599927
281	18791617
282	18827422
283	18851830
284	18928164
285	18952214
286	18989532
287	19005794
288	19030989
289	19122917
290	19158792
291	19181822
292	19216808
293	19285976
294	19307542
295	19332251
296	19360393
297	19393432
298	19412225
299	19434976
300	19547516
301	19603900
302	19629714
303	19652107
304	19702316
305	19725027
306	19751331
307	19791747
308	19978497
309	19996171
310	20032077
311	20060274
312	20206076
313	20335926
314	20376506
315	20399170
316	20432925
317	20483433
318	20496335
319	20531314
320	20565106
321	20614622
322	20629090
323	20672664
324	20695040
325	20723988
326	20739987
327	20755088
328	20816437
329	20849815
330	20870980
331	20891932
332	20912981
333	21016198
334	21087569
335	21121028
336	21154821
337	21173292
338	21192876
339	21204202
340	21256474
341	21267608
342	21323382
343	21335479
344	21433523
345	21463765
346	21561003
347	21574986
348	21612101
349	21649197
350	21668858
351	21688721
352	21723209
353	21736098
354	21768387
355	21792637
356	21841903
357	21841909
358	21884455
359	21920642
360	22011677
361	22027675
362	22060437
363	22226792
364	22259393
365	22318985
366	22331027
367	22549838
368	22719975
369	22745782
370	22780689
371	22800117
372	22844180
373	23032718
374	23053871
375	23084430
376	23119538
377	23144382
378	23166106
379	23201732
380	23233349
381	23277859
382	23296468
383	23324526
384	23360773
385	23500206
386	23634219
387	23649126
388	23664738
389	23675342
390	23675497
391	23695570
392	23716641
393	23738549
394	23749963
395	23772166
396	23871946
397	23897472
398	23914469
399	23956170
400	24011316
401	24039830
402	24061977
403	24227129
404	24251163
405	24268909
406	24282184
407	24422122
408	24452071
409	24482534
410	24518355
411	24541153
412	24641084
413	24675329
414	24695611
415	24719670
416	24749436
417	24771494
418	24801121
419	24829508
420	24957355
421	24993578
422	25031051
423	25047550
424	25082990
425	25113505
426	25134564
427	25169376
428	25179546
429	25230099
430	25264968
431	25299237
432	25600068
433	25627645
434	25650941
435	25671900
436	25703734
437	25808748
438	25820512
439	25842954
440	25911925
441	26017545
442	26037097
443	26054791
444	26067927
445	26087436
446	26195390
447	26221512
448	26323591
449	26355247
450	26403763
451	26583242
452	26608182
453	26630625
454	26648430
455	26672032
456	26690335
457	26717757
458	26746212
459	26767232
460	26787190
461	26832921
462	26859966
463	26873226
464	26953949
465	26988473
466	27132549
467	27159953
468	27186359
469	27224856
470	27258088
471	27308222
472	27343079
473	27348153
474	27374766
475	27393789
476	27416628
477	27443185
478	27460006
479	27470048
480	27505998
481	27530633
482	27569693
483	27595599
484	27628104
485	27659837
486	27697076
487	27724100
488	27785798
489	27813752
490	27828058
491	27963107
492	27997181
493	28027470
494	28052130
495	28064050
496	28083885
497	28111896
498	28159221
499	28289970
500	28321250
501	28332245
502	28361223
503	28408259
504	28432154
505	28445679
506	28465121
507	28466162
508	28506446
509	28533902
510	28555159
511	28572620
512	28637607
513	28674275
514	28674289
515	28693706
516	28719248
517	28856531
518	28881608
519	28898096
520	28919072
521	28950228
522	29007066
523	29039569
524	29081649
525	29120089
526	29135672
527	29177339
528	29199231
529	29226346
530	29262068
531	29292991
532	29393995
533	29412350
534	29433033
535	29467011
536	29487781
537	29488738
538	29512349
539	29646767
540	29666534
541	29683861
542	29702911
543	29783309
544	29798772
545	29831288
546	29865130
547	29896305
548	29919793
549	29948877
550	30007949
551	30037669
552	30074176
553	30093653
554	30104496
555	30140022
556	30162609
557	30201134
558	30294260
559	30334850
560	30349732
561	30360136
562	30383753
563	30453600
564	30541658
565	30565362
566	30585050
567	30607067
568	30646408
569	30662941
570	30819047
571	30842690
572	30876926
573	30886442
574	30933099
575	30956267
576	30991327
577	31056509
578	31078887
579	31113991
580	31142579
581	31155211
582	31189877
583	31204596
584	31261327
585	31299083
586	31339153
587	31353734
588	31374198
589	31427974
590	31438669
591	31474029
592	31500405
593	31513590
594	31636079
595	31670785
596	31796795
597	31813740
598	31846599
599	31883445
600	31907243
601	31930861
602	32082511
603	32093055
604	32215969
605	32267657
606	32287263
607	32306399
608	32330740
609	32341930
610	32373863
611	32398036
612	32411624
613	32424972
614	32436181
615	32451017
616	32482481
617	32513022
618	32533667
619	32647251
620	32715534
621	32741055
622	32762722
623	32778338
624	32785586
625	32809929
626	32841206
627	32881885
628	32900616
629	32913191
630	32938623
631	32944407
632	32969511
633	33028721
634	33045562
635	33077263
636	33103804
637	33113928
638	33144003
639	33215563
640	33243451
641	33271074
642	33285847
643	33301917
644	33322946
645	33339745
646	33361193
647	33389068
648	33403634
649	33439604
650	33473610
651	33473836
652	33558722
653	33596455
654	33618832
655	33637284
656	33654224
657	33782918
658	33923781
659	33940507
660	33966001
661	33984071
662	34005740
663	34038841
664	34086455
665	34104242
666	34114145
667	34155862
668	34179064
669	34202777
670	34225164
671	34276805
672	34289278
673	34306732
674	34326388
675	34349125
676	34366558
677	34393068
678	34405925
679	34429808
680	34496610
681	34520326
682	34547940
683	34594297
684	34603061
685	34629953
686	34655716
687	34704219
688	34716321
689	34731579
690	34810066
691	34840636
692	34862333
693	34881025
694	34916498
695	34947019
696	34959784
697	34984853
698	35117869
699	35145885
700	35160657
701	35162092
702	35293126
703	35330481
704	35380436
705	35402745
706	35428398
707	35458983
708	35483165
709	35512104
710	35538961
711	35562462
712	35576344
713	35611858
714	35635481
715	35664873
716	35687549
717	35710403
718	35729639
719	35757096
720	35776586
721	35828240
722	35842774
723	35860523
724	35880129
725	35914845
726	35942542
727	35978374
728	36006176
729	36029107
730	36045263
731	36054736
732	36074245
733	36109321
734	36109321
735	36128901
736	36147954
737	36162955
738	36171257
739	36229491
740	36245927
741	36261283
742	36283388
743	36300157
744	36448449
745	36470709
746	36500661
747	36519351
748	36529552
749	36553109
750	36566087
751	36572933
752	36621338
753	36716413
754	36763251
755	36865204
756	36885073
757	36957109
758	36989837
759	37004878
760	37019608
761	37152897
762	37183370
763	37212290
764	37241071
765	37252131
766	37273521
767	37280905
768	37309273
769	37335208
770	37351638
771	37383327
772	37401652
773	37513166
774	37533446
775	37547019
776	37572513
777	37605898
778	37629980
779	37647158
780	37670943
781	37718808
782	37748572
783	37760147
784	37776429
785	37789210
786	37816159
787	37826344
788	37847178
789	37862670
790	37873393
791	37966051
792	37981620
793	38004355
794	38028362
795	38044775
796	38060130
797	38107695
798	38130270
799	38156402
800	38243525
801	38264554
802	38279822
803	38338894
804	38354425
805	38415582
806	38432850
807	38451558
808	38461923
809	38483920
810	38566674
811	38604167
812	38621374
813	38671087
814	38690435
815	38715993
816	38746115
817	38795857
818	38824298
819	38845896
820	38855900
821	38882359
822	38914931
823	38936918
824	38960535
825	38961341
826	38991273
827	39008963
828	39048523
829	39080275
830	39089630
831	39231048
832	39237316
833	39261577
834	39388389
835	39412836
836	39426526
837	39451602
838	39470584
839	39480798
840	39539040
841	39576685
842	39592882
843	39606826
844	39622160
845	39648969
846	39660038
847	39724549
848	39753638
849	39767605
850	39833194
851	39843466
852	39864123
853	39880910
854	39906873
855	39943456
856	40034802
857	40060016
858	40076014
859	40085081
860	40097071
861	40142292
862	40160438
863	40178866
864	40199659
865	40218750
866	40229392
867	40245383
868	40272115
869	40290646
870	40319501
871	40336000
872	40414472
873	40429466
874	40448960
875	40469548
876	40480755
877	40491560
878	40586450
879	40656374
880	40671018
881	40779019
882	40795476
883	40814463
884	40829608
885	40846959
886	40862952
887	40882621
888	40899140
889	40918044
890	40940445
891	40948494
892	40975198
893	41024211
894	41037052
895	41136364
896	41161788
897	41180712
898	41203598
899	41218191
900	41298997
901	41319524
902	41335693
903	41406290
904	41455897
905	41471955
906	41485825
907	41496849
908	41593287
909	41604660
910	41631329
911	41726941
912	41741146
913	41769281
914	41787211
915	41820533
916	41850222
917	41872254
918	41887135
919	41967108
920	41987310
921	41999170
922	42020235
923	42040117
924	42058276
925	42083948
926	42097408
927	42136949
928	42161208
929	42181550
930	42331612
931	42344062
932	42368842
933	42467595
934	42481191
935	42494943
936	42515749
937	42529933
938	42553848
939	42570108
940	42587697
941	42595853
942	42618885
943	42626469
944	42659419
945	42674148
946	42704002
947	42721671
948	42749634
949	42778900
950	42802558
951	42865595
952	42883904
953	42890689
954	42938093
955	42968755
956	43009411
957	43038528
958	43098504
959	43202795
960	43210116
961	43222142
962	43245747
963	43262910
964	43276727
965	43285437
966	43298916
967	43310697
968	43318627
969	43335765
970	43342581
971	43359329
972	43381638
973	43395878
974	43412520
975	43428991
976	43452015
977	43466831
978	43484322
979	43495430
980	43502430
981	43540432
982	43560296
983	43571980
984	43592183
985	43637780
986	43724564
987	43738607
988	43750731
989	43857975
990	43879887
991	43891518
992	43905701
993	43924157
994	43947377
995	43966553
996	43978829
997	44108284
998	44125175
999	44243322
1000	44252506
1001	44280459
1002	44292581
1003	44366764
1004	44382363
1005	44389999
1006	44397086
1007	44405910
1008	44406002
1009	44416476
1010	44433948
1011	44435243
1012	44453136
1013	44545112
1014	44553407
1015	44579696
1016	44599499
1017	44616833
1018	44636491
1019	44654385
1020	44663514
1021	44694219
1022	44705062
1023	44716573
1024	44730472
1025	44906637
1026	44970474
1027	44981262
1028	44993377
1029	45042718
1030	45074503
1031	45097896
1032	45106922
1033	45118130
1034	45129389
1035	45144628
1036	45160237
1037	45241274
1038	45250573
1039	45268598
1040	45294387
1041	45304914
1042	45333080
1043	45345418
1044	45354588
1045	45403856
1046	45429409
1047	45459135
1048	45521320
1049	45549126
1050	45563333
1051	45563358
1052	45581259
1053	45597829
1054	45614696
1055	45641341
1056	45668197
1057	45707486
1058	45733532
1059	45748819
1060	45771432
1061	45814725
1062	45886959
1063	45894604
1064	45916690
1065	45934183
1066	45948556
1067	45980306
1068	45990437
1069	46019786
1070	46029123
1071	46050034
1072	46070390
1073	46090301
1074	46097276
1075	46124907
