k	smorfs
1	127714
2	128087
3	141375
4	323992
5	540594
6	569871
7	1511063
8	1515034
9	1521950
10	1687741
11	1693582
12	2095467
13	2096101
14	2199538
15	2206816
16	2252660
17	2289868
18	2299494
19	2433599
20	2475575
21	3047596
22	3069022
23	3077561
24	3178732
25	3291634
26	3294975
27	4110603
28	4772140
29	4792837
30	4799083
31	4944426
32	4947933
33	4950267
34	5172140
35	5172291
36	5370404
37	5410566
38	5412202
39	5412491
40	5412590
41	5416255
42	5432928
43	5440770
44	5503878
45	6266859
46	6437724
47	6437802
48	6460403
49	7041467
50	7042878
51	7080389
52	7101516
53	7123940
54	7149135
55	7243142
56	7282238
57	7283040
58	7468871
59	8082901
60	8561468
61	8579927
62	8580245
63	8707524
64	8761377
65	8761673
66	8917212
67	8966169
68	8966379
69	8998121
70	9653021
71	9653726
72	9665410
73	9699117
74	9713556
75	9717605
76	9853598
77	9862837
78	9890511
79	10382137
80	10394751
81	10528736
82	10591556
83	10898388
84	10907790
85	10912506
86	10954718
87	10962219
88	11111970
89	11122394
90	11126715
91	11190750
92	11680632
93	11832137
94	11832648
95	11859490
96	11935045
97	12565928
98	12575117
99	12648933
100	12791428
101	12912938
102	12913060
103	12965653
104	13247798
105	13422772
106	13454285
107	13592945
108	13606910
109	13640617
110	13641807
111	13646542
112	13646644
113	13651925
114	13726093
115	13727050
116	13755128
117	13755387
118	14360603
119	14360692
120	14362960
121	14366851
122	14369147
123	14370960
124	14394196
125	14630073
126	15074137
127	15775421
128	15910066
129	15973121
130	15976471
131	15980931
132	15981135
133	16023395
134	16051695
135	16071317
136	16724893
137	16726053
138	16851497
139	16851944
140	17488454
141	17488670
142	17621873
143	17835920
144	17837147
145	17851311
146	17860941
147	17862488
148	17862578
149	17975822
150	17982144
151	17982194
152	18009807
153	18040124
154	18073481
155	18306099
156	18313861
157	18336387
158	18336570
159	18398226
160	18398384
161	18401376
162	18404894
163	18405603
164	18416285
165	18446934
166	18447065
167	18521239
168	18563528
169	18718255
170	18777658
171	18990031
172	19150673
173	19151285
174	19177923
175	19196640
176	19790373
177	19823398
178	20335612
179	20335660
180	20336534
181	20336777
182	20348111
183	20450237
184	20453048
185	20476733
186	20476899
187	20521049
188	20578217
189	20596511
190	20614983
191	20615076
192	20625600
193	20629741
194	20667802
195	20690725
196	20811604
197	20872254
198	20920726
199	20921558
200	20923542
201	20924631
202	20932799
203	21105455
204	21126598
205	21531049
206	21531104
207	21689879
208	21689929
209	21692746
210	21697601
211	21829827
212	21856962
213	21857946
214	21910731
215	22339868
216	22406454
217	22447518
218	22447614
219	22484115
220	22495401
221	22502600
222	22609806
223	22609900
224	22627133
225	22708768
226	22758087
227	22758146
228	22760595
229	23286582
230	23296246
231	23296380
232	23317867
233	23347989
234	23351493
235	23361959
236	23516946
237	23518637
238	23680963
239	23828732
240	23836057
241	23866517
242	23877927
243	23906214
244	24061398
245	24219191
246	24219322
247	24531948
248	24532060
249	24546953
250	24559515
251	25013281
252	25014435
253	25036871
254	25200628
255	25371471
256	25371902
257	25382673
258	25385072
259	25392434
260	25392704
261	25401628
262	25509095
263	25513701
264	25613451
265	26120199
266	26142682
267	26256838
268	26266105
269	26268811
270	26277037
271	26292838
272	26292889
273	26294026
274	26312213
275	26312352
276	26845920
277	27383876
278	27404424
279	27421753
280	27422183
281	28010586
282	28057811
283	28154863
284	28165240
285	28262333
286	28280387
287	28878826
288	29022051
289	29029445
290	29040810
291	29040944
292	29061753
293	29065894
294	29077699
295	29117523
296	29118484
297	29433131
298	29460179
299	29463860
300	29482947
301	29483005
302	29484170
303	29542438
304	30117621
305	30157723
306	30162000
307	30185270
308	30196579
309	30211097
310	30372044
311	30374614
312	30502628
313	30507858
314	30522052
315	30545707
316	30561211
317	30632484
318	30643150
319	30661278
320	30670409
321	30670513
322	30987887
323	31029108
324	31047500
325	31077600
326	31081170
327	31157333
328	31235127
329	31254432
330	31524634
331	31528282
332	31550809
333	31980818
334	31997140
335	31999997
336	32002715
337	32128314
338	32133109
339	32135629
340	32146313
341	32155857
342	32318087
343	32320145
344	32338011
345	32724439
346	32862135
347	32895250
348	32933844
349	32939265
350	32939293
351	32967283
352	32970055
353	33006389
354	33093538
355	33097503
356	33124978
357	33128101
358	33140025
359	33193657
360	33287048
361	33287113
362	33357591
363	33357627
364	33362655
365	33364367
366	33579422
367	33580981
368	33582966
369	33601052
370	33610842
371	34131813
372	34139759
373	34232355
374	34420880
375	34426721
376	34742117
377	34765240
378	34796450
379	34830989
380	34841298
381	34858058
382	34998735
383	35055652
384	35064226
385	35069576
386	35070114
387	35070785
388	35073687
389	35574978
390	35575113
391	35575170
392	35589658
393	35701229
394	35808477
395	36029556
396	36043084
397	36267422
398	36268699
399	36310891
400	36310912
401	36318065
402	36713392
403	36716041
404	36813992
405	36853234
406	36856768
407	36916251
408	36918762
409	36920739
410	36944516
411	37106497
412	37136749
413	37136799
414	37256960
415	37262039
416	37269706
417	37390658
418	37464739
419	37466693
420	37508111
421	37848185
422	38292862
423	38294429
424	38382736
425	38442904
426	38443862
427	38444003
428	38463959
429	38592780
430	38762659
431	38781246
432	38786373
433	38786413
434	38863079
435	39272860
436	39299775
437	39314613
438	39507322
439	39535738
440	39536109
441	39556866
442	40001289
443	40117443
444	40173664
445	40249612
446	40376518
447	40441979
448	40508680
449	40555934
450	40585183
451	40585225
452	40749445
453	40763371
454	40904269
455	40920281
456	40960449
457	41377134
458	41385168
459	41835083
460	41837886
461	41838027
462	42347994
463	42399980
464	42402697
465	42414830
466	42416047
467	42423539
468	42424223
469	42447276
470	42464788
471	42947696
472	43010415
473	43010788
474	43101709
475	43108702
476	43137994
477	43147134
478	43168038
479	43719362
480	43721355
481	43725147
482	43727032
483	43750599
484	43777266
485	43777341
486	43965160
487	43976139
488	43982420
489	44016414
490	44053060
491	44055083
492	44100600
493	44151155
494	44228141
495	44367119
496	44367829
497	44368448
498	44371264
499	44379392
500	44386362
501	44389453
502	44404264
503	44549956
504	44549981
505	44550427
506	44789379
507	44789991
508	44792698
509	44797122
510	45212742
511	45229115
512	45247672
513	45247690
514	45255909
515	45255973
516	45462820
517	45462842
518	45477540
519	45591929
520	45591984
521	45757789
522	45775162
523	45775218
524	45775570
525	45792884
526	45794121
527	45894044
528	45987577
529	45989235
530	46436993
531	46437561
532	46539070
533	46691073
534	46695090
535	46805020
536	46805069
537	46827954
538	46831411
539	46846855
540	46854062
541	46854700
542	46885900
543	46890183
544	47001698
545	47009827
546	47011338
547	47019937
548	47021883
549	47440112
550	47521407
551	47523438
552	47523522
553	48313640
554	48322540
555	48330064
556	48423030
557	48445494
558	48461200
559	48465028
560	48466640
561	48597423
562	48597450
563	48597493
564	48597509
565	48705557
566	48723382
567	49269022
568	49277398
569	49605068
570	49605592
571	49608079
572	49623130
573	49626024
574	49636640
575	49662809
576	49759109
577	49759128
578	49781170
579	49824851
580	49844397
581	49873428
582	49880074
583	49882395
584	49885550
585	49905089
586	50119730
587	50142387
588	50498650
589	50498681
590	51037992
591	51073120
592	51075071
593	51205034
594	51297891
595	51599291
596	52011102
597	52352716
598	52395381
599	52410830
600	52410849
601	52412482
602	52506193
603	52534798
604	52599406
605	52622153
606	52773545
607	52773810
608	52784277
609	52803867
610	52827261
611	52828414
612	52835868
613	52839204
614	52841578
615	52853580
616	52950840
617	52951056
618	52956642
619	52970679
620	53010937
621	53031601
622	53031632
623	53128103
624	53554187
625	53561130
626	53578362
627	53579132
628	53581387
629	53616296
630	53629386
631	53991989
632	54014102
633	54016353
634	54054419
635	54074898
636	54088842
637	54392893
638	54401310
639	54403163
640	54409032
641	54409081
642	54791359
643	54798944
644	54825480
645	54830224
646	54847750
647	54848528
648	54853175
649	54853192
650	54868322
651	55027472
652	55034570
653	55039373
654	55181346
655	55187697
656	55191394
657	55195211
658	55195286
659	55238057
660	55240308
661	55243205
662	55259964
663	55270741
664	55280608
665	55295825
666	55319086
667	55320310
668	55329395
669	55334465
670	55346150
671	55346227
672	55371765
673	55380945
674	55380979
675	55513720
676	55521199
677	55940307
678	55945234
679	56026620
680	56316663
681	56471942
682	56513553
683	56515798
684	56515841
685	56518759
686	56525899
687	56553021
688	56558869
689	56572917
690	56984123
691	57048683
692	57051811
693	57178842
694	57191018
695	57193671
696	57208262
697	57222615
698	57412193
699	57413400
700	57414517
701	57437707
702	57456070
703	57473812
704	57473883
705	57493194
706	57898597
707	57899109
708	58360172
709	58362311
710	58810106
711	58810122
712	58816865
713	58899650
714	58977454
715	58990056
716	59393115
717	59393865
718	59472124
719	59486159
720	59487605
721	59590723
722	59606530
723	59613208
724	59622138
725	59653909
726	59654768
727	59679876
728	59696938
729	59734301
730	59734514
731	59843026
732	59855625
733	59856030
734	59863338
735	59887754
736	59930779
737	60245792
738	60252701
739	60257883
740	60280102
741	60281931
742	60294381
743	60299110
744	60299486
745	60554138
746	60555315
747	60575653
748	60577701
749	60661285
750	61080682
751	61370700
752	61380313
753	61464708
754	61570206
755	61972686
756	62039474
757	62357302
758	62357818
759	62364709
760	62388415
761	62388718
762	62834219
763	62834283
764	62834942
765	62851447
766	62856067
767	62856185
768	62871821
769	62920161
770	62933579
771	63333787
772	63343787
773	63442470
774	63445900
775	63534959
776	63536762
777	63560079
778	63563012
779	63570657
780	63572045
781	63572603
782	63596050
783	63686677
784	63754116
785	63762422
786	64103736
787	64192985
788	64226225
789	64240907
790	64246883
791	64259732
792	64359794
793	64370345
794	64376649
795	64793083
796	64793638
797	64812880
798	64834151
799	64856050
800	64868847
801	64891209
802	64891317
803	64899424
804	64903648
805	64986424
806	65243710
807	65248817
808	65275577
809	65294040
810	65304552
811	65592533
812	65603748
813	65820768
814	65825953
815	66239669
816	66256251
817	66407317
818	66421074
819	66436453
820	66530655
821	66855508
822	66857777
823	67193922
824	67207632
825	67219570
826	67269498
827	67269535
828	67284163
829	67285563
830	67318968
831	67367001
832	67367275
833	67371817
834	67384844
835	67773529
836	67784021
837	67785202
838	67886752
839	67895726
840	67896486
841	67896510
842	67903029
843	67912646
844	67915141
845	67915155
846	67917545
847	67917584
848	67933243
849	67937217
850	68003694
851	68004114
852	68005629
853	68204535
854	68315678
855	68349591
856	68349852
857	68349868
858	68353629
859	68372451
860	68396730
861	68481481
862	68565902
863	68567086
864	68572828
865	68572945
866	68573108
867	68861587
868	68862272
869	68876425
870	68961378
871	68965363
872	69262646
873	69279876
874	69281551
875	69283636
876	69293506
877	69344519
878	69348659
879	69609041
880	69609372
881	69675408
882	69677132
883	69710344
884	69710366
885	69721671
886	69740132
887	69771306
888	69773869
889	69846227
890	69849407
891	69851834
892	69867834
893	69884395
894	69967706
895	69982913
896	69984470
897	69984552
898	69997978
899	70013922
900	70027232
901	70051399
902	70051665
903	70053330
904	70059520
905	70416981
906	70426503
907	70438296
908	70438309
909	70438348
910	70440470
911	70452443
912	70453523
913	70459023
914	70471914
915	70473010
916	70779615
917	70942528
918	70980979
919	71116413
920	71117190
921	71133310
922	71138451
923	71156424
924	71159231
925	71455810
926	71469971
927	71475454
928	71501415
929	71502109
930	71852632
931	71862854
932	71863379
933	71878587
934	72035728
935	72184872
936	72529590
937	72533219
938	72535183
939	72535553
940	72535654
941	72582599
942	72587829
943	72588943
944	72894894
945	72896225
946	72919965
947	72920658
948	72921394
949	72922281
950	72945189
951	72956705
952	72956727
953	72958616
954	72963919
955	72981719
956	72981761
957	72992632
958	72992653
959	73003417
960	73019875
961	73293396
962	73654423
963	73670099
964	73991508
965	73994251
966	73994289
967	73995274
968	73996204
969	74019143
970	74032420
971	74034845
972	74096995
973	74102854
974	74171844
975	74269416
976	74330099
977	74330131
978	74339680
979	74566341
980	74567336
981	74745097
982	74750215
983	74765549
984	74772763
985	74786367
986	74872611
987	74880816
988	74880968
989	74946714
990	74947207
991	74948597
992	75014331
993	75016804
994	75025240
995	75025795
996	75108787
997	75121443
998	75121737
999	75136608
1000	75136668
1001	75140774
1002	75142431
1003	75142739
1004	75145157
1005	75168140
1006	75181842
1007	75181924
1008	75183158
1009	75198940
1010	75204495
1011	75206350
1012	75220551
1013	75226428
1014	75232667
1015	75588408
1016	75606638
1017	75613601
1018	75615884
1019	75679317
1020	75680878
1021	75819568
1022	75841824
1023	75856046
1024	75895403
1025	76000886
1026	76001618
1027	76021086
1028	76022833
1029	76023122
1030	76023286
1031	76033278
1032	76066140
1033	76084525
1034	76092028
1035	76150291
1036	76165542
1037	76170283
1038	76170668
1039	76407057
1040	76420623
1041	76421733
1042	76490651
1043	76501314
1044	76504571
1045	76527429
1046	76584816
1047	76894582
1048	76954650
1049	77024518
1050	77025260
1051	77076578
1052	77120274
1053	77133229
1054	77461212
1055	77714231
1056	77746469
1057	77755942
1058	77770091
1059	77785318
1060	77786369
1061	77833225
1062	77835268
1063	77836215
1064	77881789
1065	77883632
1066	77891691
1067	77902663
1068	77903413
1069	77956976
1070	77961680
1071	77972030
1072	77977416
1073	77977722
1074	77991452
1075	77998611
1076	77999151
1077	78071989
1078	78107634
1079	78453364
1080	78582237
1081	78593649
1082	78595060
1083	78596336
1084	78596471
1085	78718324
1086	78766702
1087	78776883
1088	78850441
1089	78850465
1090	78855523
1091	78867129
1092	78870227
1093	78948416
1094	79199913
1095	79201996
1096	79215879
1097	79533232
1098	79539251
1099	79556984
1100	79558857
1101	79640260
1102	79640990
1103	79641886
1104	79642246
1105	79713164
1106	79713222
