k	smorfs
1	229882
2	247495
3	396420
4	423936
5	1027098
6	1036685
7	1789094
8	1816046
9	1844383
10	1846232
11	1851408
12	1906718
13	1970373
14	2499202
15	2502519
16	2502678
17	2582611
18	2667178
19	2772328
20	2921635
21	3467621
22	3506547
23	3512141
24	3572469
25	3765030
26	3969229
27	4332028
28	4400638
29	4400685
30	4412204
31	4414651
32	4461695
33	4462214
34	4567028
35	4573341
36	4581624
37	4683391
38	4691487
39	4783470
40	5312548
41	5476223
42	5793131
43	5817256
44	5856066
45	5858063
46	5978646
47	6032917
48	6052526
49	6101079
50	6148596
51	6148867
52	6227446
53	6257050
54	6394275
55	6683651
56	6695367
57	6716396
58	6780861
59	6803406
60	7122833
61	7765459
62	7766230
63	7859535
64	7888790
65	7927145
66	7977693
67	8477790
68	8479579
69	8501069
70	8510445
71	8553926
72	8555013
73	8564297
74	8849970
75	9138643
76	9427064
77	9896891
78	9930476
79	10077914
80	10081489
81	10099075
82	10102007
83	10119685
84	10253416
85	10292892
86	10293178
87	10298922
88	10305411
89	10324654
90	10789404
91	10937085
92	11012159
93	11170783
94	11179724
95	11358670
96	11358679
97	11406952
98	11411095
99	11416777
100	11416885
101	11457694
102	11462238
103	11473081
104	11488354
105	12022404
106	12024804
107	12085432
108	12102779
109	12121486
110	12145352
111	12150786
112	12239873
113	12262718
114	12339147
115	12347099
116	12353370
117	12381938
118	12395331
119	12395377
120	12399595
121	12452026
122	12452549
123	12472914
124	12887802
125	12900773
126	12947524
127	12986610
128	12987967
129	13196893
130	13327045
131	13347141
132	13664962
133	13723495
134	14154999
135	14158083
136	14195419
137	14579226
138	14582226
139	14658114
140	14686335
141	14751026
142	14912203
143	14916718
144	15046921
145	15088907
146	15264559
147	15267888
148	15268905
149	15294720
150	15317909
151	15525081
152	15546449
153	15823353
154	15841816
155	15963528
156	16008420
157	16011488
158	16397549
159	16537896
160	17152001
161	17152002
162	17173829
163	17407806
164	17569210
165	17589462
166	17671570
167	18103737
168	18133978
169	18167313
170	18182958
171	18611280
172	18754226
173	19185158
174	19297838
175	20007921
176	20247390
177	20263015
178	20592143
179	20623931
180	20642405
181	20663524
182	21513853
183	21530267
184	21698584
185	21701073
186	22098042
187	22131068
188	22171781
189	22177064
190	22177342
191	22256722
192	22269747
193	22292060
194	22297151
195	22312231
196	22312544
197	22312545
198	22335101
199	22349100
200	22415588
201	22420592
202	22687648
203	22688529
204	22738671
205	22830827
206	22834954
207	22837835
208	22840620
209	22885663
210	23000169
211	23274867
212	23280156
213	23288429
214	23298920
215	23356814
216	23926042
217	24264534
218	24284461
219	24324813
220	24332438
221	24341627
222	24360890
223	24364335
224	24365033
225	24414017
226	24416951
227	24462895
228	24467845
229	25050635
230	25150910
231	25345366
232	25349729
233	25404408
234	25711713
235	25711768
236	25733627
237	25739404
238	25742016
239	25776881
240	26026826
241	26052071
242	26061080
243	26063593
244	26070468
245	26107299
246	26124228
247	26298477
248	26300039
249	26332038
250	26377994
251	26382386
252	26399331
253	26616235
254	26638048
255	26639007
256	26639620
257	26697705
258	26740828
259	26872247
260	26928169
261	26935373
262	26951204
263	27445257
264	27575787
265	27580187
266	27591076
267	27632514
268	27637397
269	28314480
270	29098599
271	29143218
272	29148733
273	29455152
274	29465439
275	29468299
276	29472468
277	29628710
278	29647550
279	29690145
280	29709404
281	29754607
282	29761810
283	29803697
284	29805658
285	29938507
286	29951102
287	29979155
288	30000008
289	30001999
290	30015372
291	30104998
292	30184800
293	30801486
294	30803923
295	30875192
296	31070335
297	31107224
298	31159792
299	31229228
300	31917204
301	32034969
302	32084231
303	32090733
304	32126848
305	32187636
306	32213257
307	32214586
308	32214604
309	32397257
310	32405445
311	32503187
312	32666048
313	32667990
314	32715393
315	32716569
316	33087798
317	33088865
318	33094037
319	33103692
320	33113713
321	33120847
322	33185713
323	33187308
324	33210214
325	33211677
326	33246614
327	33247559
328	33254277
329	33361481
330	33481239
331	33728643
332	33734884
333	33788747
334	33791194
335	33812225
336	33825084
337	33844407
338	33850928
339	33868368
340	33892364
341	33945261
342	33991187
343	34003589
