k	smorfs
1	11663
2	27987
3	108622
4	140579
5	140708
6	212731
7	357845
8	769033
9	1060647
10	1133918
11	1134078
12	1140934
13	1151110
14	1161115
15	1243265
16	1243401
17	1278684
18	1316674
19	1331420
20	1331508
21	1341438
22	1341764
23	1361085
24	1361366
25	1362077
26	1362251
27	1390178
28	1457548
29	1457581
30	1493903
31	1532166
32	1794753
33	1878602
34	1879244
35	1879293
36	2180903
37	2197135
38	2197276
39	2201813
40	2202584
41	2283148
42	2484961
43	2492356
44	2539218
45	2539290
46	2570385
47	2570526
48	2571226
49	2764295
50	2764338
51	2764356
52	2805240
53	2805292
54	2885248
55	2885362
56	2904731
57	2954850
58	2956171
59	2976781
60	2976820
61	2979315
62	3431973
63	3471431
64	3482711
65	3482791
66	3518815
67	3567427
68	3588765
69	3589881
70	3593558
71	3606282
72	3685070
73	3685121
74	3685275
75	3685390
76	3760538
77	3760669
78	3763743
79	3763855
80	3763946
81	3774640
82	3813112
83	3813226
84	3814770
85	3814783
86	3842861
87	3871957
88	3892686
89	3892767
90	3894922
91	4167288
92	4167491
93	4257189
94	4326099
95	4326117
96	4326200
97	4576109
98	4587066
99	4599512
100	5128617
101	5300304
102	5322164
103	5482128
104	5598557
105	5598575
106	5599853
107	5644204
108	5727333
109	5730034
110	5734366
111	5734480
112	5734614
113	5734674
114	5734742
115	5745743
116	5798046
117	5822941
118	5822959
119	5823005
120	5823784
121	5823981
122	5847495
123	5875645
124	5875664
125	5905742
126	5961643
127	5974341
128	5974428
129	6227742
130	6227796
131	6450045
132	6531888
133	6668154
134	6756981
135	6767643
136	6875529
137	6887269
138	6887424
139	6900522
140	6928123
141	6928135
142	6928232
143	6928253
144	6928273
145	6928344
146	6929621
147	6929653
148	6939128
149	6969544
150	6969587
151	6969650
152	6969896
153	7017510
154	7017583
155	7118434
156	7121141
157	7122103
158	7153885
159	7153905
160	7184933
161	7374669
162	7384447
163	7657782
164	7657826
165	7658182
166	7658282
167	7735565
168	7786231
169	7786315
170	7786347
171	7789586
172	7789881
173	7796925
174	7796946
175	7797022
176	7822981
177	7850950
178	7851032
179	7851118
180	7851201
181	7856854
182	7857139
183	7940949
184	7945294
185	8035990
186	8036092
187	8102921
188	8117614
189	8231504
190	8232252
191	8262363
192	8266147
193	8267040
194	8267114
195	8411103
196	8411140
197	8411171
198	8423168
199	8423251
200	8428924
201	8453962
202	8457047
203	8468906
204	8469010
205	8472310
206	8634138
207	8844111
208	8885022
209	8885055
210	8885077
211	8961655
212	8961750
213	9013486
214	9013625
215	9013694
216	9013718
217	9086774
218	9595603
219	9839175
220	9845926
221	9872445
222	9872505
223	9895648
224	9950503
225	9964074
226	10001957
227	10002330
228	10010108
229	10010199
230	10010341
231	10057740
232	10115364
233	10468155
234	10488746
235	10614790
236	10762481
237	10765403
238	10765497
239	10786088
240	10816515
241	11141654
242	11261664
243	11305315
244	11305333
245	11338883
246	11368168
247	11368227
248	11914786
249	11916173
250	11916227
251	11931409
252	11931500
253	12366110
254	12371337
255	12382895
256	12383929
257	12384418
258	12452852
259	12642916
260	12642930
261	12666105
262	12696698
263	12731142
264	12731269
265	12749460
266	12803254
267	12853792
268	12853867
269	12856742
270	12871777
271	12872756
272	12882740
273	12964811
274	12990173
275	13017453
276	13019910
277	13071343
278	13289530
279	13289566
280	13314390
281	13366036
282	13374228
283	13374292
284	13374328
285	13374393
286	13421294
287	13422531
288	13453614
289	13453718
290	13458106
291	13491139
292	13734382
293	13901264
294	14254978
295	14346086
296	14353142
297	14353233
298	14353392
299	14372847
300	14611634
301	14618210
302	14620102
303	14621469
304	14622234
305	14635917
306	14636045
307	14679923
308	14682836
309	14713389
310	14724093
311	14736288
312	14736397
313	15043027
314	15043065
315	15048861
316	15071217
317	15083730
318	15117054
319	15117390
320	15117412
321	15117449
322	15117479
323	15117503
324	15291158
325	15299759
326	15299798
327	15299841
328	15300761
329	15300818
330	15378712
331	15451592
332	15451619
333	15478468
334	15481764
335	15482746
336	15529114
337	15668898
338	15676789
339	15676820
340	15703740
341	15714463
342	15714513
343	15736450
344	15736455
345	15745802
346	15746150
347	15780815
348	15948776
349	15995841
350	16032290
351	16051394
352	16051414
353	16073858
354	16073881
355	16086510
356	16122256
357	16124615
358	16124691
359	16224315
360	16241257
361	16242115
362	16242143
363	16242194
364	16242304
365	16242370
366	16258814
367	16343794
368	16350359
369	16378732
370	16395143
371	16419369
372	16419463
373	16452934
374	16453004
375	16514591
376	16522499
377	16612840
378	16612979
379	17017818
380	17017911
381	17067046
382	17067121
383	17067436
384	17092554
385	17124496
386	17227639
387	17279951
388	17302988
389	17345491
390	17348394
391	17348401
392	17352682
393	17354668
394	17423613
395	17482180
396	17519961
397	17561986
398	17562046
399	17575800
400	17576625
401	17576660
402	17603904
403	17809919
404	17839153
405	17839424
406	18063445
407	18115365
408	18115380
409	18115427
410	18115479
411	18129504
412	18131517
413	18238870
414	18259353
415	18333136
416	18333157
417	18382247
418	18470304
419	18495987
420	18525321
421	18525350
422	18526266
423	18526310
424	18539575
425	18539709
426	18540545
427	18541395
428	18545305
429	18594148
430	18630862
