k	smorfs
1	49956
2	54396
3	69381
4	122042
5	127764
6	131266
7	133831
8	140941
9	148214
10	195708
11	218523
12	594341
13	611729
14	618744
15	624949
16	639772
17	641041
18	643293
19	648621
20	665865
21	668813
22	671258
23	681097
24	757256
25	761785
26	782381
27	807935
28	815314
29	829562
30	832934
31	835870
32	837777
33	840420
34	1053059
35	1076384
36	1141868
37	1192079
38	1210387
39	1213167
40	1335586
41	1342356
42	1362582
43	1368575
44	1374136
45	1379929
46	1381897
47	1384274
48	1389176
49	1389263
50	1390177
51	1393742
52	1394629
53	1395330
54	1395881
55	1421855
56	1451858
57	1521705
58	1632666
59	1637745
60	1637983
61	1642922
62	1723492
63	1734004
64	1743109
65	1743239
66	1752839
67	1757484
68	1837010
69	1946537
70	1954808
71	1963490
72	2082121
73	2085402
74	2086842
75	2094714
76	2238236
77	2418514
78	2422116
79	2427508
80	2433316
81	2435091
82	2440698
83	2449643
84	2452624
85	2479346
86	2481360
87	2517643
88	2523857
89	2526348
90	2527101
91	2535974
92	2543431
93	2556117
94	2562815
95	2563464
96	2565217
97	2566520
98	2654929
99	2660551
100	2661029
101	2668137
102	2672836
103	2682585
104	2688669
105	2689120
106	2764798
107	2826532
108	2835093
109	2837477
110	2839019
111	2852054
112	2864981
113	2871880
114	2880518
115	2881460
116	2898750
117	2904372
118	2905825
119	2906651
120	2910618
121	2921465
122	2968253
123	2969451
124	2995208
125	2997527
126	3011275
127	3013110
128	3022118
129	3048773
130	3115749
131	3142954
132	3142979
133	3144497
134	3144690
135	3165485
136	3165653
137	3168457
138	3173504
139	3174893
140	3180838
141	3221099
142	3225192
143	3241360
144	3242422
145	3247894
146	3279220
147	3279475
148	3279555
149	3282950
150	3288629
151	3299224
152	3326512
153	3367064
154	3410402
155	3481870
156	3486002
157	3496114
158	3507527
159	3513134
160	3513150
161	3514353
162	3521690
163	3539556
164	3542761
165	3543896
166	3554002
167	3556900
168	3562305
169	3673615
170	3682710
171	3683053
172	3683342
173	3691435
174	3693466
175	3694150
176	3703601
177	3704216
178	3709911
179	3786957
180	3788264
181	3789931
182	3794879
183	3804560
184	3811960
185	3898354
186	3913806
187	3923493
188	3926425
189	3967636
190	3968288
191	3990963
192	4005538
193	4010260
194	4010399
195	4115464
196	4120677
197	4126003
198	4127309
199	4208603
200	4220997
201	4221934
202	4236969
203	4243741
204	4250624
205	4259085
206	4259316
207	4271479
208	4271865
209	4290735
210	4393972
211	4394378
212	4396987
213	4400485
214	4407835
215	4512224
216	4515281
217	4515439
218	4520568
219	4529238
220	4530019
221	4609136
222	4610870
223	4612364
224	4618955
225	4621131
226	4635075
227	4638008
228	4638847
229	4692653
230	4703224
231	4704684
232	4715980
233	4718619
234	4728490
235	4729444
236	4736533
237	4740202
238	4742134
239	4750120
240	4754865
241	4761971
242	4774576
243	4776472
244	4783764
245	4834079
246	4927265
247	4927350
248	4935038
249	4935550
250	4996151
251	5099271
252	5112401
253	5115271
254	5116258
255	5146770
256	5148623
257	5152751
258	5192598
259	5210772
260	5217872
261	5229119
262	5231785
263	5238140
264	5255450
265	5256078
266	5292917
267	5295413
268	5297925
269	5302373
270	5303508
271	5310295
272	5315058
273	5316322
274	5316354
275	5359024
276	5384259
277	5386332
278	5389355
279	5399991
280	5401011
281	5419972
282	5428246
283	5432078
284	5435057
285	5436826
286	5442495
287	5443209
288	5615152
289	5710444
290	5719787
291	5727454
292	5736143
293	5736661
294	5824034
295	5824579
296	5824761
297	5828354
298	5909072
299	5911539
300	5911539
301	5924421
302	5928744
303	5988586
304	5989617
305	5993596
306	6011276
307	6013677
308	6027793
309	6029816
310	6122697
311	6124857
312	6129855
313	6237566
314	6254172
315	6259118
316	6260394
317	6265825
318	6573712
319	6759800
320	6760048
321	6803532
322	6960204
323	6963009
324	6968318
325	6980771
326	7001717
327	7004561
328	7005573
329	7013965
330	7017242
331	7020470
332	7034823
333	7072218
334	7103721
335	7114007
336	7122706
337	7123302
338	7124743
339	7125457
340	7136900
341	7218417
342	7243277
343	7244645
344	7251315
345	7259421
346	7261120
347	7268257
348	7279000
349	7287691
350	7289187
351	7297998
352	7305691
353	7306067
354	7306468
355	7310393
356	7314537
357	7316329
358	7318536
359	7319776
360	7382531
361	7452663
362	7454766
363	7455711
364	7547959
365	7549164
366	7549463
367	7562476
368	7570188
369	7571426
370	7572689
371	7576843
372	7579230
373	7698565
374	7706485
375	7771718
376	7771724
377	7773491
378	7773571
379	7781981
380	7785504
381	7793328
382	7800965
383	7815100
384	7822783
385	7825627
386	7852314
387	7901093
388	7904534
389	7972487
390	7975436
391	7977728
392	7986093
393	7987499
394	7988010
395	7990564
396	7991602
397	7996065
398	7997585
399	8019453
400	8026645
401	8026780
402	8032765
403	8038437
404	8040486
405	8042466
406	8051409
407	8057194
408	8058844
409	8063205
410	8063891
411	8064290
412	8068273
413	8073999
414	8081078
415	8083536
416	8086823
417	8087856
418	8088943
419	8115225
420	8276212
421	8277118
422	8291082
423	8322420
424	8359941
425	8442413
426	8443131
427	8458745
428	8460209
429	8553104
430	8651437
431	8651833
432	8666484
433	8672742
434	8678869
435	8753805
436	8756131
437	8758823
438	8779172
439	8800541
440	8807392
441	8818758
442	8819568
443	8819850
444	8831845
445	8835723
446	8868127
447	8868307
448	8871185
449	8873031
450	8874356
451	8880427
452	8883464
453	8884456
454	8884494
455	8896398
456	8901528
457	8901783
458	8904765
459	8945227
460	8946603
461	8979065
462	8983032
463	8987746
464	8993514
465	9006822
466	9008794
467	9011702
468	9013083
469	9089234
470	9100869
471	9127743
472	9129644
473	9129983
474	9132554
475	9134409
476	9170923
477	9171858
478	9177294
479	9180804
480	9182572
481	9184942
482	9188285
483	9191612
484	9192973
485	9207991
486	9212560
487	9212810
488	9217153
489	9219054
490	9219905
491	9283359
492	9290089
493	9296644
494	9298980
495	9300368
496	9301495
497	9301760
498	9302170
499	9327487
500	9328470
501	9367826
502	9392700
503	9396094
504	9396912
505	9406055
506	9409673
507	9415174
508	9440188
509	9441205
510	9442268
