k	smorfs
1	9588
2	84083
3	89713
4	99920
5	104769
6	162963
7	165136
8	219631
9	258626
10	553974
11	701504
12	759483
13	779976
14	897052
15	1081750
16	1176397
17	1375386
18	1769239
19	1847498
20	1881992
21	1903170
22	1944583
23	1975231
24	1983465
25	1983559
26	2668707
27	2671771
28	2874191
29	3000856
30	3017345
31	3046045
32	3056375
33	3224526
34	3235675
35	3256508
36	3312050
37	3314657
38	3402713
39	3419955
40	3644852
41	3732217
42	3779537
43	3877584
44	3903336
45	3979695
46	4072009
47	4391965
48	4438914
49	4443897
50	4487617
51	4488239
52	4519211
53	4696866
54	4744997
55	4745262
56	4758829
57	4758830
58	4838796
59	4853841
60	4861207
61	4875020
62	4875766
63	5073197
64	5080827
65	5198490
66	5249248
67	5323705
68	5417807
69	5446294
70	5515021
71	5537683
72	5761766
73	5773367
74	5773657
75	5926631
76	6015269
77	6139759
78	6226659
79	6404179
80	6449749
81	6659577
82	6779160
83	6779161
84	6779279
85	6824192
86	6828530
87	6873221
88	6873454
89	7031318
90	7033208
91	7067088
92	7210682
93	7243165
94	7327282
95	7536197
96	7596808
97	7639696
98	7667507
99	7703975
100	7711294
101	7895016
102	7899717
103	7920934
104	8177421
105	8200079
106	8221870
107	8222236
108	8359252
109	8360737
110	8422260
111	8422400
112	8661730
113	8681973
114	8729972
115	8757643
116	8757672
117	8757704
118	8759853
119	8793081
120	8793218
121	8916870
122	8934213
123	8979446
124	8979762
125	9010355
126	9010576
127	9078172
128	9109204
129	9371209
130	9443606
131	9484501
132	9786590
133	9822285
134	9862286
135	9909820
136	9986366
137	10039838
138	10096479
139	10096563
140	10217458
141	10264479
142	10314113
143	10323154
144	10389044
145	10490184
146	10525373
147	10525613
148	10525666
149	10591822
150	10636695
151	10674611
152	10676358
153	10947844
154	11602121
155	11627914
156	11745847
157	11754069
158	11786570
159	11937901
160	12010385
161	12223139
162	12291334
163	12307871
164	12353239
165	12598217
166	12655517
167	12685398
168	12778376
169	12886348
170	12918298
171	13139447
172	13143247
173	13385712
174	13390657
175	13392828
176	13411420
177	13485876
178	13493396
179	13493984
180	13551432
181	13736625
182	13796997
183	13797353
184	13845686
185	13983705
186	14035621
187	14036613
188	14148231
189	14331927
190	14339448
191	14393024
192	14445903
193	14506990
194	14538413
195	14602656
196	14756123
197	14801329
198	14806146
199	14809109
200	14874420
201	14921409
202	14925834
203	14926517
204	14944210
205	15028412
206	15159867
207	15195882
208	15239923
209	15258316
210	15310751
211	15401534
212	15446089
213	15512764
214	15512774
215	15548981
216	15610333
217	15697062
218	15697775
219	15769754
220	15875099
221	15875496
222	15897472
223	15897740
224	15923331
225	15948477
226	16129920
227	16140962
228	16221148
229	16434369
230	16490956
231	16563111
232	16585422
233	16660180
234	16753924
235	16753931
236	16763314
237	16763326
238	16810867
239	16866743
240	16908071
241	16955893
242	16955897
243	16956197
244	16958259
245	16959180
246	16975934
247	17024374
248	17232494
249	17347930
250	17501862
251	17570457
252	17574604
253	17575236
254	17582046
255	17654390
256	17654475
257	17674048
258	17730220
259	17760228
260	17860904
261	17912550
262	17923849
263	18067055
264	18083148
265	18109014
266	18129756
267	18171309
268	18266122
269	18266599
270	18349352
271	18672382
272	18677257
273	18688993
274	18732711
275	18783320
276	18805688
277	18805922
278	18854454
279	18896494
280	18937204
281	18989893
282	19043020
283	19356774
284	19360485
285	19523797
286	19744003
287	19744053
288	19858684
289	19986995
290	20004765
291	20006348
292	20036213
293	20036262
294	20090124
295	20154954
296	20397058
297	20459628
298	20552558
299	20553158
300	20553236
301	20688299
302	20782107
303	20822989
304	21368934
305	21370688
306	21371326
307	21371843
308	21401545
309	21625966
310	21735882
311	21735891
312	21854970
313	21881930
314	22034955
315	22106224
316	22224673
317	22225107
318	22326320
319	22332122
320	22345468
321	22364231
322	22369710
323	22385621
324	22392005
325	22603138
326	22623904
327	22712333
328	22861989
329	22916623
330	22996921
331	23100041
332	23115742
333	23150851
334	23181729
335	23427383
336	23431716
337	23447990
338	23581061
339	23609945
340	23851517
341	23898186
342	23908787
343	23950981
344	23957634
345	24007042
346	24007896
347	24029573
348	24029653
349	24029725
350	24029767
351	24078924
352	24078969
353	24079015
354	24210719
355	24239525
356	24349505
357	24422753
358	24466200
359	24496446
360	24524045
361	24556937
362	24556951
363	24583062
364	24621847
365	24694463
366	24776841
367	24808855
368	24971015
369	24971885
370	24973663
371	25042501
372	25131603
373	25163547
374	25177485
375	25209705
376	25326062
377	25368515
378	25428259
379	25506722
380	25507497
381	25538612
382	25633007
383	25795638
384	25803602
385	25924444
386	25936996
387	26020961
388	26029715
389	26046222
390	26247016
391	26308160
392	26324562
393	26397780
394	26536981
395	26537031
396	26573798
397	26604667
398	26720282
399	26763047
400	26823651
401	26939920
402	27029853
403	27047049
404	27066973
405	27439627
406	27476835
407	27480648
408	27525969
409	27603889
410	27796525
411	27862171
412	28001541
413	28020162
414	28157265
415	28194662
416	28294447
417	28305696
418	28321446
419	28330480
420	28337634
421	28426538
422	28429506
423	28429826
424	28587161
425	28587432
426	28608889
427	28632533
428	28751368
429	28931722
430	28995016
431	29042035
