k	smorfs
1	12809
2	18778
3	78830
4	103725
5	118943
6	209289
7	265600
8	278026
9	312548
10	332472
11	369375
12	384455
13	416149
14	446022
15	449124
16	456369
17	488322
18	521480
19	555418
20	565615
21	580148
22	618005
23	665264
24	678427
25	681407
26	704902
27	722569
28	755956
29	783347
30	805836
31	808210
32	829848
33	835178
34	848750
35	852740
36	863945
37	866392
38	882979
39	935769
40	947838
41	958352
42	1019997
43	1033459
44	1045674
45	1077390
46	1091966
47	1112186
48	1112188
49	1133219
50	1145202
51	1149818
52	1197260
53	1212169
54	1233175
55	1259126
56	1284129
57	1339398
58	1341702
59	1354157
60	1390651
61	1416520
62	1418319
63	1434023
64	1434960
65	1447121
66	1449083
67	1471377
68	1480749
69	1483936
70	1504758
71	1515922
72	1539020
73	1547266
74	1554359
75	1564060
76	1587702
77	1622911
78	1629142
79	1641980
80	1661598
81	1683789
82	1689600
83	1729903
84	1734287
85	1735379
86	1758191
87	1772316
88	1782127
89	1800422
90	1814172
91	1836385
92	1838591
93	1858453
94	1882444
95	1900279
96	1904669
97	1930504
98	1939948
99	1947310
100	1952380
101	1960782
102	1962174
103	1982120
104	1986467
105	1990107
106	2000756
107	2042775
108	2072221
109	2085037
110	2127605
111	2129588
112	2150195
113	2159066
114	2160104
115	2188411
116	2207935
117	2238183
118	2260217
119	2311078
120	2316205
121	2326328
122	2348977
123	2363760
124	2376165
125	2381719
126	2405851
127	2420141
128	2420604
129	2423315
130	2445195
131	2483740
132	2493961
133	2500812
134	2503728
135	2515132
136	2544444
137	2572710
138	2586180
139	2597161
140	2597694
141	2599359
142	2617132
143	2618422
144	2618986
145	2659359
146	2664167
147	2665520
148	2667470
149	2671303
150	2675989
151	2689587
152	2708065
153	2722356
154	2756179
155	2787027
156	2797480
157	2819578
158	2840015
159	2845432
160	2860314
161	2862670
162	2904710
163	2914981
164	2935816
165	2962679
166	2979704
167	2987611
168	3001290
169	3006008
170	3014036
171	3032036
172	3042508
