k	smorfs
1	45717
2	94441
3	179736
4	182028
5	195796
6	205798
7	230182
8	241086
9	303244
10	361837
11	382952
12	431371
13	710560
14	822831
15	899364
16	1098564
17	1150802
18	1194547
19	1275490
20	1339034
21	1959860
22	1978351
23	2122304
24	2168712
25	2273305
26	2420941
27	2430160
28	2623724
29	2681664
30	2829104
31	2830960
32	3141384
33	3423745
34	3502385
35	3552530
36	3645586
37	3650729
38	3652295
39	3669468
40	3695511
41	4213527
42	4257337
43	4287005
44	4351732
45	4390989
46	4483174
47	4509931
48	4578366
49	4661568
50	4708523
51	4797119
52	4829122
53	4890311
54	4914642
55	4990473
56	5029239
57	5229481
58	5294904
59	5365270
60	5368760
61	5531662
62	5554817
63	5585666
64	5616697
65	5625307
66	5649128
67	5803000
68	5877822
69	5898574
70	6012022
71	6102401
72	6251609
73	6272517
74	6287442
75	6314330
76	6480868
77	6558320
78	6580634
79	6661480
80	6730670
81	6749221
82	6773053
83	6775462
84	6825059
85	6953974
86	7040322
87	7061632
88	7097563
89	7126637
90	7130736
91	7143443
92	7208933
93	7266485
94	7289343
95	7348894
96	7418038
97	7441325
98	7470379
99	7496684
100	7554711
101	7578973
102	7619004
103	7621703
104	7708171
105	7865495
106	7866593
107	7883496
108	7908772
109	7956422
110	7984635
111	8060064
112	8129369
113	8131931
114	8224963
115	8255027
116	8422152
117	8467589
118	8558114
119	8583557
120	8654530
121	8729493
122	8770651
123	8807528
124	8896392
125	8966472
126	8974982
127	9004022
128	9123906
129	9135692
130	9199938
131	9235765
132	9313481
133	9335267
134	9410486
135	9687860
136	9722607
137	9861030
138	9910349
139	10160970
140	10181344
141	10186704
142	10199411
143	10293361
144	10362135
145	10371797
146	10394648
147	10544383
148	10556951
149	10599531
150	10631574
151	10679066
152	10732273
153	10764214
154	10949920
155	10951370
156	11001183
157	11040384
158	11068678
159	11148890
160	11215639
161	11251743
162	11391392
163	11655540
164	11664812
165	11687796
166	11712446
167	11786341
168	11806576
169	11829179
170	11878790
171	11923498
172	11955693
173	12081011
174	12084476
175	12249384
176	12290860
177	12329487
178	12461165
179	12578136
180	12578366
181	12584980
182	12621203
183	12739227
