k	smorfs
1	97
2	4257
3	5780
4	31546
5	32780
6	34739
7	38826
8	39968
9	42340
10	69947
11	106313
12	115092
13	116615
14	120238
15	122285
16	123635
17	126184
18	209171
19	211466
20	228911
21	230560
22	252321
23	253558
24	262898
25	264311
26	265074
27	267998
28	288011
29	289371
30	523949
31	935819
32	937037
33	1013483
34	1015551
35	1018804
36	1018851
37	1020064
38	1022176
39	1023041
40	1024674
41	1055588
42	1083282
43	1084051
44	1085199
45	1085826
46	1087679
47	1090706
48	1092684
49	1093723
50	1094739
51	1103986
52	1105505
53	1107756
54	1108546
55	1109349
56	1109565
57	1126765
58	1168489
59	1169377
60	1172064
61	1173165
62	1174052
63	1206831
64	1206961
65	1207670
66	1209100
67	1214649
68	1327663
69	1412895
70	1415496
71	1416267
72	1417736
73	1420601
74	1421774
75	1439698
76	1441862
77	1445239
78	1446208
79	1448383
80	1451594
81	1453524
82	1454574
83	1461965
84	1464439
85	1464616
86	1465986
87	1475277
88	1477759
89	1485192
90	1485917
91	1486095
92	1488730
93	1507955
94	1515644
95	1516386
96	1518071
97	1528024
98	1528728
99	1529666
100	1531632
101	1534016
102	1540727
103	1541730
104	1542475
105	1543077
106	1545494
107	1547855
108	1550339
109	1550677
110	1550849
111	1552816
112	1553584
113	1558215
114	1559212
115	1562126
116	1563405
117	1565363
118	1567027
119	1629419
120	1630424
121	1631629
122	1632433
123	1634159
124	1674344
125	1675613
126	1676991
127	1690105
128	1690703
129	1702371
130	1707341
131	1769911
132	1786212
133	1787360
134	1788364
135	1823202
136	1824439
137	1865726
138	1871160
139	1872082
140	1874502
141	1875417
142	1901752
143	1947973
144	1989431
145	2017156
146	2018820
147	2057095
148	2131203
149	2132164
150	2214201
151	2344915
152	2390529
153	2391759
154	2392570
155	2396364
156	2398120
157	2398612
158	2490483
159	2529707
160	2543257
161	2544031
162	2549573
163	2551238
164	2598033
165	2598698
166	2639209
167	2648619
168	2649895
169	2651873
170	2661437
171	2662690
172	2689777
173	2717387
174	2721961
175	2723451
176	2752403
177	2774433
178	2775429
179	2819425
180	2820846
181	2867257
182	2909866
183	2920471
184	2943145
185	2972650
186	2973911
187	2998192
188	3002460
189	3005519
190	3008852
191	3010170
192	3032543
193	3033341
194	3039875
195	3040549
196	3041572
197	3106459
198	3107424
199	3107578
200	3126516
201	3137016
202	3148011
203	3156001
204	3157855
205	3159095
206	3164649
207	3194434
208	3197851
209	3217561
210	3218404
211	3220948
212	3222081
213	3225382
214	3226412
215	3228291
216	3269849
217	3272468
218	3273941
219	3275164
220	3276630
221	3284477
222	3307517
223	3308803
224	3309535
225	3312975
226	3313718
227	3314794
228	3318278
229	3464388
230	3466889
231	3495969
232	3496360
233	3497918
234	3502409
235	3503593
236	3504823
237	3505606
238	3507072
239	3509623
240	3537345
241	3537889
242	3549740
243	3551910
244	3557970
245	3558563
246	3559884
247	3563081
248	3563487
249	3604579
250	3622829
251	3623060
252	3624326
253	3624481
254	3626601
255	3631081
256	3631962
257	3633505
258	3634528
259	3635205
260	3636633
261	3638458
262	3639197
263	3640158
264	3642660
265	3643704
266	3644316
267	3644923
268	3648601
269	3650139
270	3650384
271	3651863
272	3653550
273	3654330
274	3656018
275	3684453
276	3701998
277	3703506
278	3704152
279	3754834
280	3767215
281	3767838
282	3768430
283	3769747
284	3770395
285	3771799
286	3788820
287	3789586
288	3791030
289	3809494
290	3810097
291	3884948
292	3886618
293	3887674
294	3903490
295	3904201
296	3909095
297	3909656
298	3910337
299	3950129
300	3953223
301	3958029
302	3960109
303	3994929
304	3995605
305	4092880
306	4093767
307	4095931
308	4096074
309	4096799
310	4100361
311	4102609
312	4103355
313	4104862
314	4106440
315	4133973
316	4149661
317	4150887
318	4152141
319	4159102
320	4162697
321	4163699
322	4165083
323	4165798
324	4166437
325	4195278
326	4196089
327	4196720
328	4205293
329	4241936
330	4242726
331	4257209
332	4272392
333	4273150
334	4281182
335	4565234
336	4572807
337	4573906
338	4574059
339	4582084
340	4583149
341	4584491
342	4601296
343	4602065
344	4620281
345	4621433
346	4622172
347	4623638
348	4631755
349	4632585
350	4664611
351	4665221
352	4666233
353	4667115
354	4668108
355	4669329
356	4670200
357	4671661
358	4703716
359	4704770
360	4705443
361	4706871
362	4707595
363	4709151
364	4727930
365	4728810
366	4732078
367	4733078
368	4734089
369	4735884
370	4736938
371	4738313
372	4739368
373	4740581
374	4741790
375	4758786
376	4766662
377	4767258
378	4768129
379	4784956
380	4797620
381	4804693
382	4817913
383	4819538
384	4820050
385	4880762
386	4885855
387	4886652
388	4887524
389	4920541
390	4925156
391	4926547
392	4927073
393	4933734
394	4934255
395	4936707
396	4963651
397	4985368
398	5005202
399	5005959
400	5006582
401	5008261
402	5015371
403	5026063
404	5026773
405	5029382
406	5029858
407	5072500
408	5159121
409	5161000
410	5162263
411	5162791
412	5169860
413	5170870
414	5172239
415	5176306
416	5177276
417	5178745
418	5190368
419	5209806
420	5237298
421	5246899
422	5247399
423	5247897
424	5264235
425	5264899
426	5265474
427	5266704
428	5267446
429	5279215
430	5309284
431	5309805
432	5310520
433	5311778
434	5324645
435	5325049
436	5325776
437	5326541
438	5336858
439	5339505
440	5339920
441	5372490
442	5373544
443	5374773
444	5376233
445	5377063
446	5379675
447	5380688
448	5381594
449	5382419
450	5383292
451	5386254
452	5386786
453	5406927
454	5407649
455	5410631
456	5410677
457	5461068
458	5463257
459	5465712
460	5465715
461	5484033
462	5495493
463	5496453
464	5496676
465	5509498
466	5510733
467	5524369
468	5525207
469	5531556
470	5532304
471	5533031
472	5533667
473	5574873
474	5592094
475	5592487
476	5604553
477	5606389
478	5606715
479	5607132
480	5613693
481	5614314
482	5624714
483	5625295
484	5625379
485	5634849
486	5635256
487	5637820
488	5638470
489	5653761
490	5654628
491	5655740
492	5663790
493	5664439
494	5665312
495	5665984
496	5667292
497	5670168
498	5670734
499	5671450
500	5671817
501	5671998
502	5673293
503	5700082
504	5701282
505	5702001
506	5726971
507	5740565
508	5741391
509	5742519
510	5744586
511	5747228
512	5747750
513	5766553
514	5780686
515	5781203
516	5784249
517	5785269
518	5806490
519	5816289
520	5817477
521	5867518
522	5869646
523	5870243
524	5870744
525	5872794
526	5873580
527	5874280
528	5875229
529	5875969
530	5879186
531	5897631
532	5898448
533	5921273
534	5921728
535	5923221
536	5937054
537	5937612
538	5938924
539	5939808
540	5939976
541	5948746
542	5973677
543	5987812
544	6018114
545	6042915
546	6043531
547	6044145
548	6045031
549	6045878
550	6046032
551	6046616
552	6047845
553	6049343
554	6054150
555	6055096
556	6055323
557	6056230
558	6057715
559	6067753
560	6067758
561	6069091
562	6089833
563	6090567
564	6097074
565	6098172
566	6099652
567	6100281
568	6114922
569	6125918
570	6127154
571	6127806
572	6128381
573	6128812
574	6128845
575	6129570
576	6130614
577	6131425
578	6132597
579	6133441
580	6134177
581	6134623
582	6135060
583	6135793
584	6145145
585	6162487
586	6203226
587	6203762
588	6207648
589	6301145
590	6301276
591	6302760
592	6303898
593	6308490
594	6310315
595	6311462
596	6312595
597	6313103
598	6315114
599	6315794
600	6317226
601	6319568
602	6322973
603	6324876
604	6325476
605	6335172
606	6335834
607	6335901
608	6337225
609	6341175
610	6348662
611	6367222
612	6367851
613	6394846
614	6413395
615	6414190
616	6416792
617	6428608
618	6429254
619	6481314
620	6482290
621	6482302
622	6482792
623	6483622
624	6485255
625	6486006
626	6486651
627	6491702
628	6492183
629	6492798
630	6493324
631	6493901
632	6508500
633	6509566
634	6510736
635	6511566
636	6511902
637	6536892
638	6537712
639	6548378
640	6567154
641	6567727
642	6568628
643	6569411
644	6570791
645	6571020
646	6572645
647	6573320
648	6574209
649	6574855
650	6576009
651	6580574
652	6590073
653	6590626
654	6591582
655	6672449
656	6673445
657	6674108
658	6674232
659	6684657
660	6685406
661	6685554
662	6686036
663	6687093
664	6687824
665	6688942
666	6689794
667	6717141
668	6721382
669	6721739
670	6722319
671	6797184
672	6798033
673	6798680
674	6799325
675	6799959
676	6800515
677	6801330
678	6801644
679	6814004
680	6814726
681	6815560
682	6837075
683	6837627
684	6838033
685	6838708
686	6852895
687	6853920
688	6854251
689	6866772
690	6880401
691	6881349
692	6908176
693	6933159
694	6934201
695	6939780
696	6939812
697	6960274
698	6960839
699	6961296
700	6961767
701	6962398
702	6963511
703	7093096
704	7113370
705	7114090
706	7116304
707	7126372
708	7126964
709	7127572
710	7127900
711	7128468
712	7129853
713	7130334
714	7131171
715	7131766
716	7132390
717	7137110
718	7137624
719	7138039
720	7139122
721	7143618
722	7144286
723	7192680
724	7193633
725	7222578
726	7242730
727	7303992
728	7304660
729	7304734
730	7318680
731	7322520
732	7324117
733	7332482
734	7333586
735	7333951
736	7337028
737	7337945
738	7354977
739	7355924
740	7384059
741	7385387
742	7386174
743	7386678
744	7387593
745	7393227
746	7393280
747	7400256
748	7408364
749	7417732
750	7418665
751	7418884
752	7422627
753	7456228
754	7456799
755	7457711
756	7633561
757	7638882
758	7639605
