k	smorfs
1	718451
2	719059
3	720774
4	737931
5	738633
6	1081339
7	1104246
8	1228524
9	1241605
10	1314642
11	1387881
12	1522114
13	1528124
14	1530608
15	1581281
16	1589073
17	2021246
18	2090944
19	2094564
20	2128150
21	2136563
22	2138465
23	2142242
24	2167687
25	2462874
26	2471026
27	2583599
28	2586117
29	2656356
30	2656982
31	2751565
32	2752040
33	2891977
34	3034564
35	3038907
36	3138603
37	3179169
38	3219108
39	3385329
40	3388721
41	3391648
42	3449238
43	3460180
44	3476676
45	3722333
46	3780194
47	3819036
48	4220151
49	4224379
50	4232306
51	4345996
52	4468200
53	4470628
54	4516167
55	4518974
56	4567974
57	4637989
58	4647025
59	4657623
60	4741214
61	4775131
62	4813599
63	5013761
64	5035033
65	5131645
66	5132443
67	5151820
68	5156049
69	5157312
70	5169921
71	5327905
72	5329315
73	5332838
74	5341655
75	5388496
76	5390797
77	5528537
78	5529804
79	5531509
80	5532754
81	5655819
82	5660773
83	5705115
84	5717897
85	5718888
86	5760506
87	5855928
88	6056046
89	6056469
90	6101214
91	6163074
92	6170640
93	6178618
94	6217045
95	6383898
96	6407723
97	6471288
98	6521269
99	6549620
100	6602125
101	6603562
102	6780089
103	6780905
104	6781412
105	6782214
106	6830163
107	7031406
108	7091578
109	7126801
110	7140148
111	7219402
112	7517100
113	7532904
114	7550664
115	7741013
116	7748492
117	7824328
118	7842787
119	7862982
120	7905672
121	8218774
122	8256962
123	8289719
124	8290447
125	8294043
126	8307857
127	8327426
128	8335697
129	8400091
130	8463114
131	8473106
132	8531409
133	8610848
134	8612391
135	8639021
136	8682170
137	8685998
138	8686619
139	8724341
140	8725085
141	8750487
142	8783813
143	8819034
144	8819334
145	8882697
146	8932669
147	8937578
148	8948756
149	9029148
150	9056418
151	9061996
152	9104927
153	9137887
154	9152783
155	9258962
156	9267781
157	9287392
158	9295759
159	9302692
160	9324223
161	9351331
162	9393261
163	9459112
164	9676935
165	9714739
166	9722295
167	9812584
168	9817346
169	9849519
170	10151154
171	10158222
172	10232583
173	10252391
174	10258977
175	10260215
176	10264433
177	10288813
178	10302132
179	10326084
180	10334675
181	10420297
182	10427160
183	10444227
184	10465243
185	10529318
186	10650270
187	10803010
188	10805201
189	10854748
190	10861434
191	10924253
192	10997800
193	11079274
194	11079336
195	11157375
196	11259158
197	11299678
198	11329907
199	11418150
200	11436989
201	11451640
202	11462224
203	11734431
204	11739941
205	11741441
206	11799914
207	11806444
208	11953321
209	12028194
210	12096477
211	12114218
212	12187362
213	12191391
214	12252108
215	12350118
216	12350619
217	12360878
218	12362209
219	12370951
220	12377257
221	12401574
222	12428110
223	12429620
224	12429784
225	12433604
226	12477936
227	12479112
228	12479813
229	12638887
230	12643799
231	13008732
232	13040785
233	13047468
234	13053240
235	13056291
236	13094135
237	13096261
238	13109183
239	13114356
240	13156648
241	13206724
242	13236614
243	13240035
244	13241533
245	13243380
246	13272651
247	13323353
248	13387747
249	13431519
250	13472849
251	13473825
252	13485162
253	13566322
254	13570230
255	13570635
256	13593289
257	13640975
258	13790473
259	13911137
260	13914345
261	14000029
262	14005533
263	14012142
264	14014950
265	14017658
266	14035209
267	14238330
268	14270253
269	14273621
270	14275726
271	14365569
272	14504476
273	14549286
274	14574787
275	14575274
276	14760313
277	14761479
278	14772508
279	14943533
280	14954331
281	14958169
282	14997032
283	14998687
284	15003788
285	15009796
286	15013589
287	15017257
288	15025130
289	15047778
290	15047792
291	15122612
292	15163287
293	15381621
294	15389403
295	15392616
296	15447687
297	15635088
298	15710532
299	15775781
300	15793142
301	15806068
302	15815135
303	15815729
304	15816812
305	15818655
306	15924745
307	15926470
308	16066097
309	16211576
310	16212244
311	16244937
312	16332886
313	16338598
314	16341607
315	16343129
316	16347586
317	16399829
318	16620678
319	16743519
320	16809530
321	16809763
322	16956034
323	16992108
324	17030119
325	17059925
326	17179228
327	17188639
328	17287299
329	17319096
330	17383792
331	17384128
332	17401462
333	17410819
334	17451169
335	17451995
336	17453430
337	17453557
338	17459659
339	17462624
340	17491359
341	17500466
342	17558514
343	17612973
344	17613126
345	17620927
346	17631924
347	17748909
348	17754156
349	17754907
350	17781116
351	17784900
352	17802913
353	18305548
354	18577172
355	18581386
356	18622585
357	18630625
358	18673701
359	18683232
360	18686850
361	18688980
362	18689441
363	18690206
364	18702593
365	18704912
366	18725315
367	18733261
368	18745450
369	18889078
370	18913600
371	18920695
372	18921468
373	18923667
374	18951347
375	18977851
376	18980955
377	18990577
378	18995723
379	19009443
380	19011189
381	19020641
382	19021342
383	19047301
384	19049988
385	19055010
386	19066148
387	19100241
388	19156601
389	19173441
390	19180252
391	19277866
392	19539226
393	19539875
394	19556192
395	19556362
396	19558607
397	19559872
398	19603407
399	19608438
400	19615427
401	19661853
402	19662813
403	19680170
404	19704828
405	19711318
406	19716408
407	19737747
408	19746348
409	19898008
410	19900928
411	19903313
412	19917069
413	19923495
414	19959799
415	20088684
416	20108630
417	20112968
418	20113052
419	20147036
420	20186912
421	20205322
422	20207556
423	20289581
424	20301917
425	20306776
426	20488271
427	20495647
428	20757358
429	20759929
430	20760813
431	20833793
432	20836582
433	20857531
434	20858187
435	21072267
436	21174235
437	21181366
438	21409616
439	21468360
440	21497667
441	21511477
442	21515998
443	21521211
444	21535756
445	21539748
446	21539948
447	21618313
448	21623099
449	21762760
450	21810314
451	21813578
452	21820973
453	21821614
454	21826627
455	21832579
456	21931547
457	22007312
458	22042079
459	22044639
460	22222122
461	22226052
462	22252465
463	22292508
464	22386923
465	22398804
466	22449353
467	22614400
468	22884323
469	22921338
470	22921642
471	23202335
472	23204835
473	23210677
474	23259404
475	23263898
476	23298209
477	23300102
478	23349500
479	23358543
480	23359098
481	23363616
482	23364436
483	23391237
484	23395698
485	23408134
486	23412176
487	23412364
488	23508022
489	23759609
490	24045189
491	24059434
492	24142826
493	24146450
494	24179496
495	24234778
496	24236296
497	24236383
498	24237056
499	24365810
500	24394556
501	24415497
502	24419759
503	24423007
504	24423351
505	24542007
506	24546629
507	24595353
508	24703143
509	24709991
510	24754703
511	24984113
512	24996424
513	24996747
514	25018571
515	25032355
516	25035035
517	25056735
518	25269468
519	25272745
520	25293540
521	25383627
522	25384163
523	25385155
524	25391416
525	25418694
526	25537580
527	25585535
528	25665282
529	25665995
530	25732923
531	25742584
532	25764406
533	25770179
534	25774721
535	25775354
536	25953762
537	25985287
538	25997229
539	26063874
540	26121352
541	26127156
542	26298251
543	26304092
544	26366009
545	26577961
546	26816813
547	26853303
548	26898798
549	26904023
550	26904165
551	26996213
552	27024757
553	27041322
554	27064214
555	27064734
556	27082776
557	27095258
558	27095977
559	27148433
560	27159775
561	27168173
562	27359271
563	27366805
564	27385750
565	27402341
566	27426627
567	27427311
568	27534887
569	27539043
570	27691886
571	27702591
572	27705833
573	27709163
574	27725239
575	27929401
576	27935905
577	27952904
578	28045069
579	28213458
580	28213886
581	28216110
582	28399499
583	28399912
584	28451154
585	28460679
586	28462979
587	28500259
588	28588411
589	28655501
590	28663850
591	28696004
592	28718919
593	28748773
594	28769643
595	28786041
596	28822274
597	28828400
598	28831943
599	28847204
600	28946894
601	28950217
602	29032797
603	29035066
604	29035358
605	29039536
606	29053400
607	29059190
608	29079074
609	29146947
610	29148037
611	29153139
612	29176418
613	29195020
614	29195532
615	29232032
616	29262252
617	29289583
618	29300778
619	29321057
620	29327355
621	29330796
622	29345457
623	29355098
624	29416381
625	29432876
626	29448847
627	29527104
628	29544634
629	29564309
630	29565665
631	29576457
632	29597486
633	29615352
634	29618373
635	29642746
636	29645909
637	29662159
638	29709471
639	29710188
640	29712684
641	29712810
642	29734880
643	29816877
644	29888803
645	29935886
646	29967337
647	29970056
648	30135490
649	30452864
650	30456318
651	30549142
652	30579028
653	30582680
654	30585279
655	30613106
656	30615651
657	30619372
658	30739950
659	30864185
660	30867719
661	30871791
662	30872925
663	30873074
664	30909227
665	30917318
666	30921823
667	31288381
668	31294868
669	31333881
670	31373730
671	31375081
672	31382067
673	31413324
674	31441221
675	31441930
676	31446258
677	31450348
678	31529334
679	31529599
680	31567469
681	31577287
682	31590516
683	31647320
684	31752727
685	31783502
686	31831894
687	31896641
688	31928478
689	31931830
690	31940858
691	31972828
692	32003712
693	32013869
694	32026396
695	32041080
696	32080804
697	32084229
698	32289859
699	32368736
700	32527607
701	32530966
702	32533805
703	32867900
704	32903951
705	32907435
706	32909325
707	32909408
708	32914557
709	32927187
710	32936494
711	32940178
712	32967782
713	32984504
714	32985638
715	33022082
716	33027609
717	33028461
718	33029049
719	33074798
720	33075455
721	33080471
722	33113946
723	33120871
724	33122925
725	33123805
726	33189791
727	33200716
728	33234813
729	33257034
730	33265608
731	33267315
732	33274403
733	33317618
734	33322189
735	33345163
736	33371857
737	33382931
738	33388737
739	33388949
740	33391936
741	33564984
742	33571054
743	33572935
744	33574964
745	33593458
746	33598364
747	33616966
748	33629548
749	33634118
750	33772460
751	33790041
752	33898471
753	33904663
754	33910678
755	33915826
756	33924844
757	34144054
758	34150292
759	34155689
760	34159129
761	34159928
762	34238950
763	34244268
764	34252096
765	34279241
766	34486244
767	34505657
768	34527345
769	34533560
770	34548160
771	34569209
772	34600460
773	34624925
774	34625180
775	34863889
776	34971182
777	34985971
778	35023544
779	35027947
780	35029665
781	35114921
782	35127553
783	35128209
784	35241840
785	35244773
786	35248121
787	35249036
788	35253074
789	35254893
790	35258241
791	35263386
792	35269329
793	35278615
794	35281360
795	35282937
796	35305558
797	35470288
798	35481347
799	35554316
800	35570885
801	35571033
802	35589676
803	35590816
804	35598736
805	35629233
806	35659719
807	35665113
808	35665199
809	35668204
810	35688225
811	35700656
812	35703960
813	35724188
814	35728130
815	35737440
816	35886074
817	35912654
818	35913946
819	35933916
820	35953596
821	35979158
822	36061775
823	36066383
824	36096730
825	36097379
826	36112087
827	36115006
828	36117824
829	36135655
830	36154030
831	36172131
832	36188482
833	36225111
834	36294102
835	36295557
836	36302650
837	36413649
838	36466178
839	36468607
840	36535749
841	36538972
842	36563117
843	36593317
844	36594268
845	36636772
846	36638573
847	36647892
848	36648746
849	36652305
850	36732687
851	36734213
852	36744721
853	36770349
854	36795350
855	36942457
856	36951819
857	36991715
858	37198244
859	37207407
860	37251792
861	37347703
862	37348360
863	37350827
864	37415123
865	37421497
866	37430271
867	37482787
868	37488138
869	37558721
870	37568740
871	37586077
872	37617147
873	37619232
874	37621784
875	37622419
876	37628420
877	37745774
878	37757042
879	37779504
880	37785527
881	37852900
882	37858483
883	37859591
884	37885651
885	37913695
886	37913732
887	38081075
888	38171697
889	38250384
890	38284362
891	38355400
892	38376379
893	38393171
894	38396117
895	38402844
896	38406494
897	38448213
898	38454804
899	38502745
900	38505167
901	38536598
902	38597872
903	38599585
904	38618506
905	38619091
906	38625196
907	38640532
908	38654271
909	38661410
910	38664172
911	38669258
912	38688367
913	38735549
914	38906754
915	39037272
916	39049006
917	39055393
918	39068388
919	39076722
920	39078380
921	39097955
922	39099628
923	39105616
924	39108689
925	39120597
926	39154640
927	39155812
928	39156070
929	39187847
930	39191334
931	39191421
932	39199983
933	39206339
934	39250145
935	39307071
936	39312518
937	39329136
938	39368466
939	39378635
940	39445368
941	39468281
942	39480324
943	39534344
944	39534460
945	39535000
946	39535482
947	39558853
948	39561783
949	39663688
950	39788877
951	39799607
952	39917935
953	39918654
954	39928100
955	39964152
956	39969194
957	40049997
958	40083654
959	40204275
960	40205631
961	40208645
962	40219409
963	40221158
964	40225801
965	40234427
966	40251927
967	40252394
968	40254200
969	40255347
970	40283706
971	40302233
972	40311001
973	40313906
974	40347175
975	40352261
976	40367860
977	40367991
978	40372771
979	40386444
980	40398465
981	40451737
982	40505879
983	40528404
984	40566121
985	40692945
986	40695842
987	40917387
988	40946360
989	40948241
990	41042549
991	41127851
992	41132048
993	41180552
994	41181523
995	41194154
996	41505012
997	41586607
998	41594262
999	41623536
1000	41650503
1001	41653192
1002	41657187
1003	41730134
1004	41734556
1005	41739499
1006	41760428
1007	41774845
1008	41810155
1009	41810555
1010	41810614
1011	41813542
1012	41835782
1013	41865439
1014	41918108
1015	41922071
1016	41923182
1017	42164645
1018	42183959
