k	smorfs
1	2175
2	2610
3	4973
4	27196
5	29379
6	34091
7	34658
8	74921
9	115510
10	121901
11	129988
12	132185
13	146663
14	147499
15	150179
16	150606
17	173838
18	185951
19	198765
20	229862
21	239186
22	244456
23	247292
24	249960
25	255183
26	257901
27	264259
28	266063
29	267863
30	270587
31	272695
32	274488
33	274498
34	274886
35	299271
36	299403
37	299745
38	331947
39	337842
40	339597
41	340119
42	351029
43	356616
44	362904
45	382865
46	385504
47	385620
48	393705
49	394813
50	396643
51	397033
52	399743
53	404607
54	425330
55	428065
56	428950
57	430713
58	439226
59	440943
60	442391
61	463483
62	468216
63	481953
64	490466
65	496582
66	496785
67	502280
68	504580
69	523564
70	524867
71	525874
72	532280
73	532301
74	532329
75	535808
76	573171
77	574939
78	580546
79	584924
80	584939
81	585026
82	585657
83	589432
84	590984
85	598284
86	611830
87	612301
88	644584
89	675168
90	675449
91	694381
92	695571
93	706805
94	711927
95	714209
96	714728
97	716370
98	728347
99	729479
100	754736
101	759727
102	764062
103	786839
104	792754
105	799200
106	809554
107	809695
108	829607
109	847989
110	850919
111	864164
112	875959
113	882297
114	883849
115	899926
116	910816
117	910918
118	911210
119	926557
120	927108
121	941000
122	955286
123	958022
124	958559
125	959067
126	978439
127	981137
128	996203
129	1010431
130	1027502
131	1033405
132	1038052
133	1038528
134	1052359
135	1056847
136	1058860
137	1065986
138	1070852
139	1090288
140	1104500
141	1106679
142	1118101
143	1118788
144	1119844
145	1122148
146	1128350
147	1131221
148	1132049
149	1148858
150	1151299
151	1171596
152	1181520
153	1185346
154	1192956
155	1195689
156	1196287
157	1196609
158	1228708
159	1229369
160	1244561
161	1245206
162	1254733
163	1262320
164	1262652
165	1264849
166	1271632
167	1274118
168	1274520
169	1275779
170	1283852
171	1284175
172	1288869
173	1296828
174	1299146
175	1325984
176	1334450
177	1335782
178	1341641
179	1342722
180	1346735
181	1348244
182	1350959
183	1354388
184	1355057
185	1356179
186	1377553
187	1509522
188	1514121
189	1514249
190	1517191
191	1527583
192	1555107
193	1574964
194	1583298
195	1616999
196	1622656
197	1648696
198	1648750
199	1664286
200	1664560
201	1665191
202	1665374
203	1682269
204	1685844
205	1685922
206	1695098
207	1700281
208	1712585
209	1716670
210	1717413
211	1719278
212	1728174
213	1728202
214	1752970
215	1753837
216	1766378
217	1770323
218	1784609
219	1786288
220	1790588
221	1792777
222	1794465
223	1798400
224	1801130
225	1803112
226	1804362
227	1806098
228	1806981
229	1838090
230	1842287
231	1842794
232	1845345
233	1847244
234	1871367
235	1871552
236	1873197
237	1873579
238	1875650
239	1902820
240	1903480
241	1904394
242	1915636
243	1918831
244	1926699
245	1941146
246	1941816
247	1944064
248	1955602
249	1959047
250	1960006
251	1977383
252	1978709
253	1997156
254	2004345
255	2019807
256	2039494
257	2046002
258	2071427
259	2077308
260	2078124
261	2080334
262	2080403
263	2082244
264	2082910
265	2083108
266	2085027
267	2087200
268	2088245
269	2103721
270	2120338
271	2135852
272	2137166
273	2137877
274	2138741
275	2158297
276	2161141
277	2162020
278	2164401
279	2164941
280	2188718
281	2194701
282	2202873
283	2204731
284	2206492
285	2211650
286	2213942
287	2214793
288	2225251
289	2231450
290	2231463
291	2231728
292	2249388
293	2256050
294	2260339
295	2264690
296	2268889
297	2289772
298	2314897
299	2315487
300	2316149
301	2320462
302	2321178
303	2330721
304	2331802
305	2332038
306	2333613
307	2347780
308	2347903
309	2349735
310	2381771
311	2381786
312	2402628
313	2405783
314	2431651
315	2450524
316	2451350
317	2457439
318	2472801
319	2483819
320	2495638
321	2496488
322	2496878
323	2497304
324	2498745
325	2510012
326	2522888
327	2531540
328	2553006
329	2571210
330	2583657
331	2583723
332	2586607
333	2586624
334	2594888
335	2598424
336	2615256
337	2627030
338	2640121
339	2665577
340	2681021
341	2687459
342	2698342
343	2699181
344	2699627
345	2701559
346	2705219
347	2705471
348	2708840
349	2710824
350	2736045
351	2737208
352	2750329
353	2755144
354	2755631
355	2757476
356	2770132
357	2777000
358	2777021
359	2778624
360	2796904
361	2817965
362	2827307
363	2834362
364	2834975
365	2853342
366	2866568
367	2867496
368	2873490
369	2873764
370	2884042
371	2885521
372	2886009
373	2888647
374	2889587
375	2889685
376	2910987
377	2913569
378	2915312
379	2915840
380	2917687
381	2918500
382	2919013
383	2923269
384	2941605
385	2941909
386	2942464
387	2958451
388	2960574
389	2962488
390	2964356
391	2964391
392	2986942
393	3005907
394	3006569
395	3013810
396	3017722
397	3017762
398	3061938
399	3062045
400	3066982
401	3071127
402	3076502
403	3079302
404	3080886
405	3089550
406	3104007
407	3106990
408	3107441
409	3139601
410	3156685
411	3157158
412	3164732
413	3167328
414	3180612
415	3181413
416	3181657
417	3181949
418	3208857
419	3211130
420	3212006
421	3213228
422	3217887
423	3218081
424	3222192
425	3226495
426	3244103
427	3261519
428	3263702
429	3265322
430	3269236
431	3271565
432	3271906
433	3289854
434	3297180
435	3303261
436	3303551
437	3315629
438	3333783
439	3347943
440	3373055
441	3395603
442	3398008
443	3398833
444	3414803
445	3420861
446	3421851
447	3439679
448	3439824
449	3450666
450	3452147
451	3459297
452	3460248
453	3462975
454	3490135
455	3503159
456	3506040
457	3519088
458	3519866
459	3522768
460	3526890
461	3532662
462	3533017
463	3533131
464	3569305
465	3569418
466	3585724
467	3596079
468	3607375
469	3638394
470	3643871
471	3648516
472	3659584
473	3660483
474	3673524
475	3673820
476	3674821
477	3675595
478	3680607
479	3681762
480	3692933
481	3695635
482	3704273
483	3704921
484	3706114
485	3707291
486	3722090
487	3726709
488	3729676
489	3731746
490	3733368
491	3740165
492	3751078
493	3751400
494	3752225
495	3758743
496	3760763
497	3763336
498	3767411
499	3777740
500	3779833
501	3780257
502	3797511
503	3799691
504	3799778
505	3802818
506	3802872
507	3806516
508	3820031
509	3822173
510	3832837
511	3838030
512	3845924
513	3875956
514	3893897
515	3894520
516	3908616
517	3919119
518	3923970
519	3925567
520	3926217
521	3928195
522	3933973
523	3934604
524	3958846
525	3959291
526	3961988
527	3984524
528	3988292
529	3989030
530	3991686
531	4001418
532	4011246
533	4026276
534	4026872
535	4040546
536	4043012
537	4048625
538	4054135
539	4056513
540	4065745
541	4070961
542	4072967
543	4074665
544	4075282
545	4075380
546	4075483
547	4090629
548	4094019
549	4094831
550	4095034
551	4096856
552	4102653
553	4110166
554	4114811
555	4116066
556	4120885
557	4120955
558	4133994
559	4140469
560	4145659
561	4145966
562	4147093
563	4158994
564	4159037
565	4177807
566	4184250
567	4186919
568	4198634
569	4199537
570	4214575
571	4215303
572	4215304
573	4217488
574	4219217
575	4228497
576	4231041
577	4233720
578	4240611
579	4242654
580	4246792
581	4255190
582	4257065
583	4258556
584	4280283
585	4287641
586	4288287
587	4308570
588	4309102
589	4312730
590	4317083
591	4317957
592	4318274
593	4319242
594	4327124
595	4328062
596	4331446
597	4331702
598	4331873
599	4352696
600	4352950
601	4356968
602	4367989
603	4373877
604	4374431
605	4409588
606	4410861
607	4427471
608	4429281
609	4432290
610	4435529
611	4436514
612	4437640
613	4439222
614	4439686
615	4467481
616	4476199
617	4477389
618	4493154
619	4533614
620	4544490
621	4569068
622	4579934
623	4593083
624	4613214
625	4615162
626	4625452
627	4627135
628	4639430
629	4652247
630	4668274
631	4668568
632	4675144
633	4681650
634	4685178
635	4686394
636	4687514
637	4693059
638	4693887
639	4693922
640	4694691
641	4694890
642	4695949
643	4707778
644	4707797
645	4713786
646	4717455
647	4718734
648	4723144
649	4723210
650	4812700
651	4813125
652	4813329
653	4814218
654	4828254
655	4828348
656	4828350
657	4845243
658	4870131
659	4873777
660	4873952
661	4888757
662	4892547
663	4900042
664	4903767
665	4915375
666	4918047
667	4919887
668	4928510
669	4929255
670	4929582
671	4930127
672	4931378
673	4932429
674	4935519
675	4954299
676	4957113
677	4959859
678	4961390
679	4965240
680	4965451
681	4983778
682	4984721
683	4985860
684	4986250
685	4987482
686	5006473
687	5007621
688	5010126
689	5017047
690	5017181
691	5027942
692	5032990
693	5034975
694	5042970
695	5051082
696	5054177
697	5060444
698	5070194
699	5070410
700	5073609
701	5078767
702	5096517
703	5101721
704	5101739
705	5103394
706	5110818
707	5111136
708	5135606
709	5143596
710	5144215
711	5144715
712	5145315
713	5145574
714	5146425
715	5150724
716	5166479
717	5168213
718	5171467
719	5172349
720	5172349
721	5182932
722	5184754
723	5189521
724	5190953
725	5197690
726	5198344
727	5198952
728	5214288
729	5216893
730	5217620
731	5217739
732	5218021
733	5219686
734	5220258
735	5227453
736	5229515
737	5229597
738	5239182
739	5244427
740	5244509
741	5246016
742	5246875
743	5247089
744	5256028
745	5256671
746	5259064
747	5269150
748	5269566
749	5291633
750	5310129
751	5311765
752	5319828
753	5320424
754	5320549
755	5320827
756	5320829
757	5323203
758	5323641
759	5341632
760	5343558
761	5344027
762	5353830
763	5360794
764	5366703
765	5367482
766	5367957
767	5376766
768	5377074
769	5377161
770	5391258
771	5391809
772	5394721
773	5401020
774	5414264
775	5419539
776	5421364
777	5429695
778	5452601
779	5466248
780	5466839
781	5468514
782	5468516
783	5468522
784	5469365
785	5471484
786	5476673
787	5486648
788	5493972
789	5498272
790	5498687
791	5513928
792	5515373
793	5531844
794	5534521
795	5538078
796	5542094
797	5551212
798	5551232
799	5555573
800	5556810
801	5557302
802	5567193
803	5584835
804	5584835
805	5599983
806	5600501
807	5603128
808	5621278
809	5624205
810	5630685
811	5630938
812	5641275
813	5644057
814	5645331
815	5645421
816	5647791
817	5649379
818	5674151
819	5685509
820	5687377
821	5691790
822	5692014
823	5705311
824	5706952
825	5709817
826	5709920
827	5710054
828	5722669
829	5741497
830	5766334
831	5785044
832	5790566
833	5791322
834	5793978
835	5794243
836	5806124
837	5810859
838	5810893
839	5811744
840	5812676
841	5828782
842	5838095
843	5838343
844	5844372
845	5846450
846	5864288
847	5864351
848	5866964
849	5868252
850	5873056
851	5873407
852	5883973
853	5884396
854	5884463
855	5888362
856	5888643
857	5888909
858	5890138
859	5890505
860	5891371
861	5893279
862	5907841
863	5915510
864	5929376
865	5937365
866	5937948
867	5937980
868	5940119
869	5940490
870	5940867
871	5959869
872	5966869
873	5967641
874	5970415
875	5975861
876	5975980
877	5979144
878	5983486
879	5987151
880	5988159
881	5988659
882	5993377
883	5997667
884	5997803
885	6010035
886	6011158
887	6012131
888	6020962
889	6022084
890	6022417
891	6022721
892	6023538
893	6029125
894	6029239
895	6030157
896	6031093
897	6048759
898	6053478
899	6059854
900	6061278
901	6061853
902	6068653
903	6071261
904	6084073
905	6084688
906	6084994
907	6085097
908	6099351
909	6100206
910	6118392
911	6118686
912	6125982
913	6127595
914	6138384
915	6139641
916	6151028
917	6161914
918	6169150
919	6170418
920	6171263
921	6172085
922	6172698
923	6176466
924	6179128
925	6180454
926	6187987
927	6198333
928	6199881
929	6204761
930	6206136
931	6207688
932	6215693
933	6215793
934	6215881
935	6216771
936	6218277
937	6218299
938	6235774
939	6241443
940	6243321
941	6250615
942	6252043
943	6264472
944	6267719
945	6272074
946	6277375
947	6279485
948	6279709
949	6283112
950	6285005
951	6286346
952	6289512
953	6290123
954	6299043
955	6301611
956	6308981
957	6311879
958	6315445
959	6326983
960	6337711
961	6348264
962	6362881
963	6376947
964	6392003
965	6396819
966	6403277
967	6403638
968	6403801
969	6404848
970	6417115
971	6421784
972	6421821
973	6422572
974	6442119
975	6442590
976	6443419
977	6444992
978	6448371
979	6453344
980	6455150
981	6455995
982	6472376
983	6473635
984	6484339
985	6488824
986	6489667
987	6492614
988	6492840
989	6506089
990	6506132
991	6506958
992	6507377
993	6509166
994	6509301
995	6528633
996	6529839
997	6535480
998	6538691
999	6538855
1000	6539354
1001	6545514
1002	6545710
1003	6552957
1004	6558239
1005	6558547
1006	6559349
1007	6565004
1008	6571080
1009	6578329
1010	6579492
1011	6584366
1012	6586587
1013	6591568
1014	6594522
1015	6615707
1016	6617181
1017	6617474
1018	6618715
1019	6619408
1020	6620412
1021	6622531
1022	6623186
1023	6623767
1024	6630368
1025	6630479
1026	6634591
1027	6634605
1028	6648755
1029	6652506
1030	6660624
1031	6662020
1032	6662318
1033	6662800
1034	6663865
1035	6665093
1036	6665647
1037	6667289
1038	6668823
1039	6670650
1040	6677138
1041	6686825
1042	6688615
1043	6694456
1044	6695533
1045	6705158
1046	6710719
1047	6714752
1048	6714890
1049	6715588
1050	6720155
1051	6730250
1052	6739523
1053	6765111
1054	6769128
1055	6770008
1056	6770721
1057	6790512
1058	6797470
1059	6798770
1060	6801370
1061	6812747
1062	6836249
1063	6837723
1064	6850836
1065	6860805
1066	6866725
1067	6866726
1068	6872146
1069	6874480
1070	6875574
1071	6875905
1072	6876391
1073	6879681
1074	6884669
1075	6893025
1076	6897448
1077	6898443
1078	6899193
1079	6899330
1080	6913217
1081	6921269
