k	smorfs
1	8900
2	95730
3	115234
4	161095
5	516302
6	693649
7	716280
8	724567
9	929393
10	953308
11	1032918
12	1655252
13	1704068
14	1755500
15	1790066
16	1833079
17	2381857
18	2384511
19	2535439
20	3199304
21	3203512
22	3220987
23	4010720
24	4014141
25	4024251
26	4437945
27	4591461
28	4592410
29	4645339
30	4686476
31	4717877
32	4719096
33	4735398
34	4861025
35	4869904
36	4871739
37	4904887
38	5327169
39	5478363
40	5534104
41	5547846
42	5548014
43	6257041
44	6276051
45	6304152
46	6613793
47	6621246
48	6622641
49	6779292
50	6995003
51	6997095
52	7010227
53	7010944
54	7011864
55	7173991
56	7201996
57	7220216
58	7258885
59	7283033
60	7558395
61	7562300
62	7585495
63	7600519
64	7600668
65	7635511
66	7831407
67	7903373
68	7954887
69	7959226
70	8002825
71	8051861
72	8263224
73	8272554
74	8902281
75	8909373
76	8915513
77	8923858
78	9690935
79	9712683
80	9712953
81	9913779
82	10047589
83	10064956
84	10175368
85	10196350
86	10227364
87	10227644
88	10240448
89	10316323
90	10341983
91	10365608
92	10394717
93	10416079
94	10426831
95	10498781
96	10521957
97	10531038
98	10537239
99	10541637
100	11108989
101	11192374
102	11269677
103	11330802
104	11784598
105	11790434
106	11800725
107	12295017
108	12318169
109	12321213
110	12330011
111	12344752
112	12346659
113	12417285
114	12482487
115	12484170
116	12544274
117	12710401
118	12712439
119	12797274
120	13010155
121	13032004
122	13072987
123	13341323
124	13400153
125	13422935
126	14653740
127	14654735
128	14762833
129	14766623
130	14871015
131	14871099
132	14884015
133	15275965
134	15291678
135	15330545
136	15353783
137	15429079
138	15433582
139	15466423
140	15603870
141	15620160
142	15631884
143	15686213
144	16247213
145	16868743
146	17160767
147	17877001
148	17877020
149	18636937
150	18641930
151	18733355
152	18748428
153	18754638
154	18771184
155	18771807
156	18775511
157	19669688
158	19769419
159	19809476
160	19830378
161	20291312
162	20321436
163	20563188
164	20793917
165	21306801
166	21309098
167	21734373
168	21782666
169	21807466
170	21807951
171	22091217
172	22115644
173	22144086
174	22523407
175	22556680
176	22569283
177	23004349
178	23244701
179	23247688
180	23359918
181	23378003
182	23440212
183	24003150
184	24004674
185	24026154
186	24657279
187	25052901
188	25318279
189	25319000
190	25869837
191	25951028
192	26346725
193	26356848
194	26830083
195	26991024
196	26991294
197	27014836
198	27355617
199	27731695
200	27872682
201	27873511
202	27880964
203	27919656
204	27926901
205	27926940
206	28389425
207	28520315
208	28564673
209	28579225
210	28622138
211	28628141
212	28691703
213	28733946
214	28740970
215	28783489
216	29218687
217	29303087
218	29327806
219	29408109
220	29418472
221	29480050
222	29674447
223	29704648
224	29732264
225	29736919
226	29739333
227	29869403
228	29870016
229	29874015
230	29896698
231	30188470
232	30327470
233	30333051
234	30617227
235	30617457
236	30808909
237	30809602
238	31354115
239	31377310
240	31477494
241	31601750
242	31695360
243	31751400
244	31752799
245	31792592
246	32119283
247	32122421
248	32126960
249	32129827
250	32137736
