k	smorfs
1	846
2	1754
3	4682
4	6158
5	8055
6	13013
7	13851
8	53749
9	64980
10	66238
11	67272
12	68860
13	71875
14	73591
15	75626
16	77433
17	78283
18	84072
19	86222
20	88682
21	90081
22	117257
23	133576
24	134281
25	136975
26	138132
27	139338
28	141173
29	142294
30	171800
31	172823
32	173820
33	181245
34	182171
35	183611
36	184678
37	185492
38	186466
39	196405
40	197830
41	200707
42	215719
43	218062
44	219117
45	220793
46	233569
47	234584
48	237306
49	238978
50	240941
51	241931
52	244130
53	245549
54	247774
55	248915
56	250958
57	270131
58	271972
59	272728
60	274044
61	275447
62	276545
63	277643
64	278557
65	279348
66	280957
67	281992
68	282708
69	284458
70	286313
71	287583
72	288439
73	290340
74	291412
75	292192
76	293509
77	296381
78	297945
79	299032
80	300432
81	301363
82	302774
83	304860
84	309586
85	310747
86	311962
87	313567
88	315293
89	316005
90	317468
91	317811
92	363196
93	363936
94	366077
95	372956
96	374394
97	377425
98	377868
99	379902
100	380641
101	382575
102	383578
103	384443
104	449678
105	450233
106	450995
107	451944
108	453198
109	454214
110	455016
111	457604
112	458473
113	459518
114	460398
115	462567
116	464856
117	465590
118	504191
119	506611
120	507978
121	509246
122	510307
123	510814
124	511563
125	512911
126	513863
127	514391
128	516267
129	516831
130	517455
131	519807
132	520681
133	522354
134	555930
135	556651
136	557781
137	558905
138	560029
139	561706
140	562580
141	563380
142	563995
143	565009
144	565675
145	566860
146	570660
147	571785
148	572974
149	574579
150	575744
151	577376
152	578816
153	580018
154	580636
155	582291
156	582967
157	584533
158	585142
159	586165
160	587904
161	588894
162	590249
163	591821
164	593835
165	594785
166	596310
167	614703
168	615313
169	616000
170	635627
171	636671
172	637594
173	639345
174	641186
175	643445
176	645944
177	692534
178	694047
179	731258
180	732848
181	733758
182	735237
183	735929
184	737211
185	737842
186	738949
187	739541
188	740568
189	741755
190	749716
191	750553
192	751387
193	752469
194	753237
195	753939
196	755678
197	756246
198	757348
199	757927
200	771883
201	775403
202	776820
203	777831
204	778634
205	780410
206	781175
207	781803
208	795401
209	806342
210	807160
211	810676
212	811878
213	812471
214	813546
215	814141
216	815260
217	836878
218	838310
219	839380
220	840041
221	841210
222	841977
223	898126
224	909103
225	910457
226	910880
227	911818
228	912836
229	916496
230	917071
231	917666
232	918352
233	919680
234	920859
235	921597
236	922624
237	935518
238	936724
239	937811
240	938393
241	939058
242	939684
243	941096
244	942759
245	943335
246	944483
247	946092
248	946853
249	947768
250	948449
251	949418
252	950901
253	951722
254	953568
255	954591
256	955388
257	956449
258	957631
259	958685
260	960297
261	961731
262	962300
263	962925
264	963577
265	964852
266	965926
267	967233
268	977555
269	978878
270	979747
271	980841
272	983034
273	984025
274	984716
275	985678
276	987160
277	987734
278	988465
279	1033614
280	1034329
281	1035285
282	1035761
283	1037252
284	1038238
285	1039014
286	1040042
287	1041518
288	1042198
289	1049684
290	1050858
291	1089430
292	1090158
293	1091463
294	1092160
295	1092737
296	1094071
297	1095036
298	1095969
299	1096630
300	1097155
301	1097950
302	1098734
303	1099456
304	1100222
305	1101324
306	1105641
307	1106593
308	1107216
309	1107822
310	1110671
311	1152594
312	1153630
313	1155150
314	1156440
315	1157668
316	1178378
317	1179600
318	1180142
319	1180587
320	1191732
321	1192741
322	1193856
323	1194612
324	1385353
325	1385958
326	1387085
327	1390636
328	1391650
329	1392097
330	1392708
331	1393271
332	1393898
333	1395004
334	1396099
335	1399427
336	1400481
337	1401407
338	1402225
339	1403133
340	1403805
341	1438925
342	1441840
343	1443789
344	1505750
345	1507161
346	1507668
347	1510331
348	1510791
349	1512586
350	1519294
351	1519789
352	1520512
353	1521155
354	1521869
355	1522454
356	1523573
357	1524378
358	1524918
359	1525450
360	1526418
361	1527182
362	1527961
363	1531908
364	1532739
365	1533990
366	1534919
367	1535725
368	1536783
369	1537378
370	1537934
371	1539014
372	1540013
373	1540478
374	1541553
375	1544134
376	1544563
377	1545101
378	1546042
379	1546617
380	1547438
381	1600102
382	1600757
383	1601387
384	1602064
385	1602891
386	1604879
387	1605600
388	1606065
389	1616163
390	1617303
391	1617663
392	1631782
393	1632259
394	1632939
395	1634136
396	1634735
397	1648268
398	1652835
399	1653387
400	1653758
401	1654159
402	1654765
403	1655136
404	1656396
405	1656687
406	1657655
407	1659734
408	1660624
409	1661442
410	1661951
411	1662493
412	1663066
413	1664201
414	1664838
415	1665291
416	1665823
417	1666637
418	1667006
419	1667499
420	1667911
421	1668501
422	1669280
423	1670180
424	1671013
425	1671964
426	1672920
427	1674885
428	1704694
429	1706585
430	1707054
431	1707827
432	1708284
433	1708886
434	1709658
435	1713214
436	1713566
437	1714657
438	1751432
439	1752015
440	1752408
441	1753053
442	1770279
443	1770844
444	1771405
445	1783451
446	1784012
447	1790198
448	1790610
449	1791074
450	1791481
451	1792371
452	1793552
453	1794004
454	1794592
455	1795753
456	1796603
457	1797597
458	1798036
459	1806370
460	1807047
461	1807684
462	1808817
463	1809336
464	1809939
465	1810824
466	1811245
467	1812440
468	1813258
469	1813938
470	1819308
471	1819983
472	1821096
473	1822667
474	1826184
475	1826886
476	1827462
477	1828241
478	1838557
479	1852667
480	1853066
481	1853368
482	1854074
483	1868256
484	1876209
485	1876890
486	1877521
487	1877919
488	1878790
489	1886668
490	1923844
491	1924284
492	1930439
493	1931340
494	1945304
495	1945915
496	1946433
497	1947359
498	1948002
499	1949011
500	1949454
501	1950996
502	1951507
503	1952066
504	1952394
505	1952881
506	1954370
507	1955091
508	1955763
509	1956333
510	1956979
511	1957636
512	1958464
513	1959277
514	1960723
515	1961237
516	1961779
517	1963083
518	1963494
519	1985044
520	1985825
521	1986547
522	1986921
523	1987407
524	1988203
525	1989137
526	2016493
527	2019661
528	2020150
529	2020663
530	2021193
531	2021672
532	2028263
533	2030512
534	2030968
535	2031495
536	2032359
537	2033646
538	2034363
539	2038274
540	2038965
541	2039774
542	2040439
543	2040989
544	2041517
545	2042292
546	2042580
547	2043398
548	2043901
549	2062311
550	2063596
551	2063992
552	2064385
553	2066061
554	2067075
555	2067465
556	2068414
557	2068978
558	2069461
559	2069949
560	2070367
561	2070877
562	2071288
563	2071770
564	2081766
565	2082095
566	2082547
567	2084120
568	2084969
569	2085625
570	2086640
571	2087242
572	2087603
573	2088280
574	2088774
575	2089457
576	2091347
577	2092743
578	2094165
579	2096633
580	2097091
581	2097916
582	2117414
583	2124898
584	2125463
585	2126177
586	2126816
587	2127270
588	2127766
589	2132788
590	2133348
591	2133730
592	2134363
593	2139460
594	2139628
595	2140015
596	2140824
597	2141404
598	2142044
599	2143384
600	2143935
601	2144782
602	2145170
603	2145695
604	2147820
605	2150738
606	2151719
607	2152875
608	2171822
609	2172286
610	2172565
611	2173006
612	2173719
613	2174451
614	2175049
615	2175309
616	2184663
617	2187879
618	2188793
619	2207421
620	2207880
621	2208547
622	2209057
623	2209825
624	2210495
625	2211121
626	2211877
627	2212901
628	2214363
629	2215107
630	2215956
631	2216417
632	2216750
633	2217258
634	2222038
635	2225325
636	2225877
637	2226510
638	2226979
639	2227401
640	2227797
641	2246786
642	2263264
643	2263595
644	2264027
645	2264365
646	2270245
647	2270852
648	2272171
649	2272679
650	2273335
651	2273841
652	2274805
653	2275929
654	2293469
655	2304536
656	2304980
657	2305536
658	2306397
659	2307326
660	2307800
661	2308150
662	2308512
663	2308809
664	2309374
665	2309716
666	2310725
667	2311370
668	2312133
669	2334972
670	2336386
671	2336681
672	2337017
673	2337328
674	2337973
675	2338772
676	2340040
677	2340862
678	2341292
679	2342137
680	2342834
681	2343562
682	2344388
683	2345162
684	2345817
685	2346421
686	2387619
687	2388206
688	2388692
689	2389336
690	2389829
691	2390069
692	2390911
693	2391198
694	2391603
695	2392021
696	2392815
697	2393528
698	2394086
699	2394699
700	2395210
701	2395816
702	2396095
703	2397663
704	2401266
705	2401935
706	2402768
707	2403701
708	2404158
709	2404682
710	2405093
711	2427567
712	2427961
713	2428410
714	2428727
715	2430536
716	2431090
717	2431349
718	2431783
719	2433200
720	2433743
721	2434463
722	2435042
723	2435454
724	2460557
725	2461126
726	2462947
727	2463449
728	2463823
729	2464297
730	2465553
731	2465914
732	2466352
733	2466858
734	2467344
735	2467865
736	2468411
737	2468778
738	2469239
739	2469851
740	2470350
741	2470703
742	2471626
743	2472262
744	2472767
745	2480135
746	2481062
747	2481970
748	2482331
749	2483062
750	2483395
751	2488312
752	2488840
753	2489339
754	2489658
755	2504148
756	2504607
757	2505034
758	2505585
759	2506352
760	2507246
761	2516836
762	2570404
763	2570846
764	2571510
765	2572308
766	2573222
767	2574015
768	2574910
769	2575365
770	2575743
771	2591360
772	2591770
773	2592433
774	2593101
775	2593392
776	2593922
777	2594367
778	2594812
779	2595317
780	2596059
781	2596515
782	2598524
783	2599163
784	2600018
785	2604596
786	2605097
787	2605405
788	2605875
789	2606352
790	2606821
791	2607192
792	2607715
793	2608143
794	2608506
795	2609093
796	2609789
797	2611310
798	2612124
799	2612599
800	2613364
801	2614441
802	2614735
803	2615101
804	2615437
805	2616093
806	2616447
807	2616915
808	2617754
809	2618054
810	2618538
811	2630178
812	2631429
813	2631774
814	2632207
815	2632627
816	2633262
817	2633936
818	2634472
819	2635096
820	2635525
821	2636125
822	2636680
823	2637116
824	2637451
825	2637885
826	2638843
827	2639417
828	2642012
829	2642395
830	2643299
831	2687655
832	2688336
833	2688927
834	2689401
835	2690016
836	2690818
837	2691220
838	2694257
839	2695167
840	2695586
841	2696017
842	2704540
843	2705018
844	2705464
845	2706175
846	2706677
847	2707285
848	2708052
849	2708557
850	2713149
851	2713461
852	2713756
853	2718312
854	2718813
855	2719215
856	2719792
857	2720219
858	2720596
859	2732931
860	2733297
861	2734159
862	2734619
863	2735040
864	2735318
865	2735633
866	2736056
867	2736282
868	2736899
869	2737387
870	2738090
871	2738687
872	2739132
873	2740013
874	2740784
875	2791567
876	2791862
877	2794772
878	2795455
879	2795896
880	2796380
881	2796873
882	2810108
883	2810720
884	2811043
