k	smorfs
1	4356
2	19446
3	21118
4	23096
5	23380
6	36341
7	45311
8	46460
9	46676
10	48718
11	61291
12	61634
13	65200
14	68481
15	72845
16	75026
17	75683
18	79078
19	83509
20	84094
21	95123
22	99856
23	103910
24	106555
25	119964
26	120408
27	132733
28	153148
29	165249
30	177885
31	237611
32	238819
33	248388
34	259523
35	263003
36	270697
37	274006
38	277909
39	295714
40	300051
41	306522
42	333631
43	340941
44	343817
45	354278
46	357588
47	359164
48	378883
49	390469
50	397764
51	399465
52	406776
53	410160
54	411631
55	415476
56	426099
57	481729
58	483002
59	494056
60	562747
61	563878
62	567109
63	570983
64	580908
65	586914
66	595747
67	596763
68	596928
69	603349
70	603625
71	606480
72	608906
73	613167
74	623457
75	626273
76	626617
77	634253
78	635153
79	642971
80	652430
81	653216
82	655684
83	662630
84	667469
85	667984
86	672133
87	682381
88	690994
89	698271
90	709976
91	715642
92	721887
93	730030
94	733921
95	734413
96	759968
97	763339
98	766096
99	775913
100	782769
101	784129
102	790036
103	791688
104	797193
105	797370
106	808664
107	810413
108	821509
109	822137
110	842847
111	865252
112	872847
113	885594
114	891560
115	901344
116	907492
117	910402
118	912148
119	912833
120	916934
121	920237
122	922094
123	922531
124	928591
125	931407
126	938137
127	941253
128	952727
129	957491
130	958141
131	958454
132	970624
133	984909
134	990929
135	994267
136	1006107
137	1006627
138	1011819
139	1015289
140	1018497
141	1028871
142	1031695
143	1035972
144	1044889
145	1044903
146	1050449
147	1063456
148	1068374
149	1071234
150	1074862
151	1087365
152	1098558
153	1099031
154	1099814
155	1104451
156	1107518
157	1117802
158	1122120
159	1127994
160	1139090
161	1143678
162	1152252
163	1153337
164	1156967
165	1158541
166	1167817
167	1176090
168	1178373
169	1183392
170	1188550
171	1201050
172	1204981
173	1209141
174	1220241
175	1220666
176	1220931
177	1221463
178	1239874
179	1241927
180	1244283
181	1255631
182	1263950
183	1266937
184	1279528
185	1279784
186	1281136
187	1297036
188	1307640
189	1317099
190	1317313
191	1319630
192	1322961
193	1326026
194	1330510
195	1340340
196	1347064
197	1347749
198	1369441
199	1373316
200	1384485
201	1387847
202	1393997
203	1400239
204	1402182
205	1419772
206	1432169
207	1433806
208	1443553
209	1451540
210	1455317
211	1461095
212	1461168
213	1470891
214	1481666
215	1493272
216	1501768
217	1505948
218	1509733
219	1517657
220	1519928
221	1521968
222	1528630
223	1533069
224	1533258
225	1535673
226	1536627
227	1544205
228	1551624
229	1554313
230	1559762
231	1561338
232	1561911
233	1564533
234	1572566
235	1579832
236	1584962
237	1586025
238	1590419
239	1590958
240	1591655
241	1593728
242	1606282
243	1606427
244	1610646
245	1615794
246	1615874
247	1618383
248	1622679
249	1625209
250	1641108
251	1655885
252	1678285
253	1684532
254	1686609
255	1694121
256	1700609
257	1705058
258	1709334
259	1711934
260	1721228
261	1722348
262	1728348
263	1728374
264	1740198
265	1743733
266	1752096
267	1752312
268	1752458
269	1758369
270	1763298
271	1768270
272	1774682
273	1788219
274	1791154
275	1810162
276	1820620
277	1822693
278	1829676
279	1837202
280	1852264
281	1853509
282	1855918
283	1863159
284	1866548
285	1867892
286	1870955
287	1879590
288	1887879
289	1906730
290	1909621
291	1918661
292	1927662
293	1932613
294	1938707
295	1940490
296	1942826
297	1947006
298	1951270
299	1957006
300	1961989
301	1969924
302	1971569
303	1978384
304	1984964
305	1992530
306	2000481
307	2003926
308	2008184
309	2012332
310	2022821
311	2024523
312	2031226
313	2068659
314	2080571
315	2082000
316	2089133
317	2091726
318	2099886
319	2103096
320	2109978
321	2112107
322	2117464
323	2119409
324	2121613
325	2171858
326	2175658
327	2177054
328	2179165
329	2180062
330	2182846
331	2185192
332	2195477
333	2199709
334	2201477
335	2202399
336	2204320
337	2213287
338	2214737
339	2218494
340	2219958
341	2226391
342	2237208
343	2241950
344	2241971
345	2247753
346	2248512
347	2255343
348	2264834
349	2267256
350	2272658
351	2275139
352	2281676
353	2283663
354	2288224
355	2288935
356	2289203
357	2293395
358	2293456
359	2294239
360	2295637
361	2296918
362	2297247
363	2298209
364	2299835
365	2303753
366	2309417
367	2321471
368	2326670
369	2328034
370	2331841
371	2337413
372	2342684
373	2343414
374	2346028
375	2353660
376	2354024
377	2354953
378	2355873
379	2365498
380	2370777
381	2375054
382	2376190
383	2390571
384	2393418
385	2395509
386	2396142
387	2397406
388	2397503
389	2398574
390	2405553
391	2414851
392	2422090
393	2423441
394	2433763
395	2442726
396	2450029
397	2452239
398	2455156
399	2460165
400	2460571
401	2463949
402	2465614
403	2467136
404	2484827
405	2484876
406	2496542
407	2505030
408	2506359
409	2512662
410	2519664
411	2520456
412	2524435
413	2544306
414	2550329
415	2553482
416	2555295
417	2562032
418	2568674
419	2570172
420	2573063
421	2574169
422	2574771
423	2593646
424	2598487
425	2602131
426	2604538
427	2613978
428	2621876
429	2630938
430	2634508
431	2667569
432	2670972
