k	smorfs
1	5717
2	36780
3	57478
4	74827
5	136636
6	177888
7	180851
8	218230
9	225740
10	239059
11	272603
12	337244
13	360852
14	362209
15	401931
16	405740
17	424028
18	428165
19	453289
20	502258
21	507421
22	519100
23	550672
24	552040
25	614964
26	652730
27	658325
28	659308
29	670131
30	703136
31	725933
32	733513
33	734324
34	752180
35	753919
36	755539
37	782786
38	785325
39	813316
40	844611
41	845056
42	852803
43	898598
44	922414
45	954318
46	962274
47	971901
48	984840
49	1035759
50	1078012
51	1106661
52	1130850
53	1170337
54	1212079
55	1225437
56	1228758
57	1235674
58	1252269
59	1260334
60	1308866
61	1312790
62	1314576
63	1329519
64	1355979
65	1357362
66	1369108
67	1375882
68	1390836
69	1420270
70	1432746
71	1435971
72	1451920
73	1456760
74	1465103
75	1476830
76	1488885
77	1492726
78	1520000
79	1550764
80	1567193
81	1583376
82	1587725
83	1617290
84	1637538
85	1650434
86	1673371
87	1694300
88	1719702
89	1745203
90	1765572
91	1768517
92	1770466
93	1785057
94	1806299
95	1832632
96	1861815
97	1862635
98	1902868
99	1930356
100	1944671
101	1949064
102	1983736
103	1992168
104	1994929
105	2000990
106	2008397
107	2039588
108	2048695
109	2060084
110	2073487
111	2078802
112	2106562
113	2109023
114	2122870
115	2130996
116	2138499
117	2142234
118	2158047
119	2168554
120	2196670
121	2211218
122	2213282
123	2222322
124	2229504
125	2253146
126	2254454
127	2258137
128	2283872
129	2289400
130	2320408
131	2366522
132	2388091
133	2408615
134	2413529
135	2429052
136	2438745
137	2446158
138	2450568
139	2462962
140	2490907
141	2491311
142	2493139
143	2511257
144	2512246
145	2532724
146	2545383
147	2545849
148	2573188
149	2575211
150	2578228
151	2586565
152	2588000
153	2604259
154	2605546
155	2609084
156	2622034
157	2633928
158	2662896
159	2663972
160	2697319
161	2700492
162	2713435
163	2726509
164	2729516
165	2748426
166	2762467
167	2769633
168	2776876
169	2801728
170	2818980
171	2851354
172	2887772
173	2890442
174	2900785
175	2931686
176	2950998
177	2951981
178	2961044
179	2971597
180	2992206
181	3000953
182	3004216
183	3088939
184	3093844
185	3203378
186	3288661
187	3311041
188	3313932
189	3334124
190	3350151
191	3365612
192	3387014
193	3391442
194	3395061
195	3396303
196	3412127
197	3418823
198	3419012
199	3426163
200	3581555
201	3595912
202	3627812
203	3651222
204	3653822
205	3682978
206	3701230
207	3739227
208	3753023
209	3779099
210	3794837
211	3811725
212	3815733
213	3829801
214	3846298
215	3882290
216	3903877
217	3906413
218	3910720
219	3929610
220	3949903
221	3951446
222	3967270
223	3972381
224	3974030
225	4009861
226	4010861
227	4015381
228	4018246
229	4018356
230	4035692
231	4061707
232	4078125
233	4081914
234	4088178
235	4092510
236	4101026
237	4113731
238	4117645
239	4131749
240	4140408
241	4144383
242	4155163
243	4198267
244	4227832
245	4237000
246	4242731
247	4260231
248	4288118
249	4294254
250	4321031
251	4339073
252	4344021
253	4355362
254	4360856
255	4380756
256	4383663
257	4400616
258	4406892
259	4413689
260	4444718
261	4465029
262	4476006
263	4483536
264	4485518
265	4492811
266	4493689
267	4495358
268	4497831
269	4507858
270	4516595
271	4530667
272	4547309
273	4550461
274	4552286
275	4565735
276	4569391
277	4572442
278	4573657
279	4587362
280	4603980
281	4604981
282	4624177
283	4631908
284	4644088
285	4678935
286	4695534
287	4712053
288	4733842
289	4734360
290	4760115
291	4776669
292	4801355
293	4813909
294	4824855
295	4839290
296	4853820
297	4856892
298	4870462
299	4873214
300	4891138
301	4920035
302	4922946
303	4927896
304	4945220
305	4947025
306	4975200
307	4976589
308	4986878
309	4987181
310	5008714
311	5010399
312	5039588
313	5043933
314	5052185
315	5061354
316	5068497
317	5073390
318	5075464
319	5084134
320	5102011
321	5114465
322	5119475
323	5122705
324	5128142
325	5134057
326	5146342
327	5146986
328	5166794
329	5175843
330	5176520
331	5178261
332	5178939
333	5193985
334	5210439
335	5237318
336	5249399
337	5256309
338	5257682
339	5261866
340	5266312
341	5269247
342	5292174
343	5295143
344	5311096
345	5314632
346	5319659
347	5321763
348	5325368
349	5329224
350	5333565
351	5346214
352	5352555
353	5356555
354	5362094
355	5384882
356	5401472
357	5411589
358	5412289
359	5415993
360	5419134
361	5424889
362	5428767
363	5441959
364	5454483
365	5458401
366	5468921
367	5478773
368	5482419
369	5487652
370	5499639
371	5507865
372	5510902
373	5521481
374	5521710
375	5536200
376	5539364
377	5573666
378	5583891
379	5604172
380	5628578
381	5657005
382	5668627
383	5682667
384	5707919
385	5715438
386	5728578
387	5742402
388	5753196
389	5766053
390	5780352
391	5795171
392	5813272
393	5821014
394	5858502
395	5879426
396	5892854
397	5893805
398	5909039
399	5921622
400	5928146
401	5928876
402	5943853
403	5953253
404	5964201
405	5970854
406	5971643
407	5980215
408	5998054
409	6014727
410	6025733
411	6026488
412	6028110
413	6045970
414	6069542
415	6084679
416	6103986
417	6111950
418	6113808
419	6117986
420	6119413
421	6129264
422	6131940
423	6139351
424	6140598
425	6151771
426	6165293
427	6206952
428	6223375
429	6229366
430	6238392
431	6255753
432	6257115
433	6267367
434	6278143
435	6308547
436	6323470
437	6330173
438	6331852
439	6344261
440	6352540
441	6366544
442	6375783
443	6399523
444	6407585
445	6411570
446	6444808
447	6453654
448	6464832
449	6479925
450	6485500
451	6497728
452	6501593
453	6511256
454	6522459
455	6525265
456	6538133
457	6553891
458	6554363
459	6562731
460	6565009
461	6590525
462	6602765
463	6626070
464	6637025
465	6639844
466	6651265
467	6664000
468	6668833
469	6670463
470	6674777
471	6680199
472	6694694
473	6709038
474	6713523
475	6738870
476	6740006
477	6757011
478	6771878
479	6780273
480	6795422
481	6795626
482	6802032
483	6804621
484	6808679
485	6838613
486	6839861
487	6856452
488	6858577
489	6877941
490	6886383
491	6892631
492	6897650
493	6921789
494	6939826
495	6940606
496	6945021
497	7002420
498	7007079
499	7011720
500	7030205
501	7049713
502	7074042
503	7076282
504	7079914
505	7086036
506	7101591
507	7106344
508	7111734
509	7116724
510	7128572
511	7138836
512	7140014
513	7149330
514	7151423
515	7157287
516	7167843
517	7170030
518	7173338
519	7176656
520	7186619
521	7207869
522	7221230
523	7242304
524	7252578
525	7275860
526	7307157
527	7337377
528	7339646
529	7344891
530	7348136
531	7348884
532	7356091
533	7359188
534	7363768
535	7371395
536	7373073
537	7374198
538	7377510
539	7390236
540	7395564
541	7398207
542	7411282
543	7414159
544	7427385
545	7434264
546	7441629
547	7445666
548	7456637
549	7468338
550	7499185
551	7507484
552	7509235
553	7510089
554	7511192
555	7511259
556	7523933
557	7531340
558	7532275
559	7558605
560	7587055
561	7587262
562	7594871
563	7595199
564	7627780
565	7640068
566	7641875
567	7642629
568	7645173
569	7661078
570	7661342
571	7677408
572	7692639
573	7700334
574	7702264
575	7724662
576	7725424
577	7734631
578	7737697
579	7748705
580	7749847
581	7749848
582	7761514
583	7782604
584	7790953
585	7810201
586	7827667
587	7860248
588	7862554
589	7865050
590	7882433
591	7883053
592	7920673
593	7922990
594	7943768
595	7947277
596	7949095
597	7962591
598	7973246
599	7980651
600	7987578
601	7989680
602	8007736
603	8010041
604	8023105
605	8025620
606	8027704
607	8030324
608	8038034
609	8041369
610	8046238
611	8056694
612	8058724
613	8060148
614	8076878
615	8078408
616	8085384
617	8092283
618	8104221
619	8119792
620	8141517
621	8147942
622	8148109
623	8157416
624	8191474
625	8213639
626	8272524
627	8274626
628	8279307
629	8322192
630	8334406
631	8345145
632	8374065
633	8376903
634	8378907
635	8415694
636	8426133
637	8440766
638	8442677
639	8444246
640	8446917
641	8449306
642	8450185
643	8466475
644	8468267
645	8478177
646	8493177
647	8494156
648	8502096
649	8508645
650	8509607
651	8510319
652	8512330
653	8524884
654	8534001
655	8542733
656	8552785
657	8587480
658	8588778
659	8589411
660	8599696
661	8616978
662	8625186
663	8626121
664	8628657
665	8647218
666	8660418
667	8669567
668	8672836
669	8677114
670	8682016
671	8696886
672	8713725
673	8730074
674	8737655
675	8739117
676	8742449
677	8745964
678	8755219
679	8757057
680	8760437
681	8764303
682	8764753
683	8794702
684	8795027
685	8795288
686	8800561
687	8815941
688	8817638
689	8823931
690	8846277
691	8849534
692	8864020
693	8865022
694	8865051
695	8867828
696	8868681
697	8902886
698	8906297
699	8911475
700	8915989
701	8926154
702	8933994
703	8935179
704	8944463
705	8946081
706	8956642
707	8957811
708	8961568
709	8974350
710	8994975
711	9018218
712	9019443
713	9019634
714	9027597
715	9030565
716	9042212
717	9050699
718	9054557
719	9058014
720	9058959
721	9074668
722	9075664
723	9094935
724	9101213
725	9101700
726	9116015
727	9119370
728	9125004
729	9141657
730	9149610
731	9150297
732	9153629
733	9173903
734	9179382
735	9186903
736	9197982
737	9199382
738	9199458
739	9221342
740	9230331
741	9232371
742	9255647
743	9256154
744	9259486
745	9265386
746	9269065
747	9282339
748	9294181
749	9305687
750	9309507
751	9330616
752	9332098
753	9352299
754	9354333
755	9355417
756	9356113
757	9375057
758	9382104
759	9383139
760	9383525
761	9408628
762	9409906
763	9429386
764	9430772
765	9432707
766	9465555
767	9466744
768	9470756
769	9475887
770	9481178
771	9485284
772	9490824
773	9493064
774	9496843
775	9496948
776	9502148
777	9511290
778	9512444
779	9529717
780	9535515
781	9548032
782	9559335
783	9568318
784	9578775
785	9580440
786	9595835
787	9599566
788	9603196
789	9614508
790	9618774
791	9622132
792	9640320
793	9640945
794	9653218
795	9668808
796	9700641
797	9706970
798	9718913
799	9736844
800	9740410
801	9758901
802	9767275
803	9767733
804	9770255
805	9771279
806	9778771
807	9781244
808	9789529
809	9793583
810	9793735
811	9806019
812	9835640
813	9847974
814	9856266
815	9860743
816	9879614
817	9881415
818	9891897
819	9896049
820	9914669
821	9919512
822	9931889
823	9950625
824	9960310
825	9963280
826	9963976
827	9980258
828	9982376
829	9985120
830	9985905
831	9992782
832	10023965
833	10025256
834	10041267
835	10050270
836	10053886
837	10068401
838	10077430
839	10087650
840	10099598
841	10104423
842	10121301
843	10138809
844	10165852
845	10189265
846	10196426
847	10202391
848	10206491
849	10227515
850	10227961
851	10238729
852	10246747
853	10264697
854	10264786
855	10265342
856	10272233
857	10280123
858	10291248
859	10294198
860	10300705
861	10301834
862	10307576
863	10319003
864	10320229
865	10322559
866	10346760
867	10347835
868	10358050
869	10364350
870	10382356
871	10393163
872	10396221
873	10414443
874	10420500
875	10424687
876	10427281
877	10430280
878	10438989
879	10442923
880	10443333
881	10454199
882	10456346
883	10480882
884	10483375
885	10491935
886	10498495
887	10502236
888	10502642
889	10514304
890	10518618
891	10519830
892	10524116
893	10525471
894	10528423
895	10534111
896	10538681
897	10545481
898	10549946
899	10556459
900	10562214
901	10565769
902	10567010
903	10572083
904	10575519
905	10576965
906	10577481
907	10588596
908	10623516
909	10641923
910	10645376
911	10650928
912	10655151
913	10664698
914	10674136
915	10683959
916	10693381
917	10695205
918	10698057
919	10713279
920	10714622
921	10718176
922	10733582
923	10736568
924	10746607
925	10755318
926	10764526
927	10776232
928	10799126
929	10823573
930	10835644
931	10840078
932	10840603
933	10845535
934	10876305
935	10886344
936	10901330
937	10927019
938	10934655
939	10939159
940	10942025
941	10970982
942	10983194
943	10989936
944	10990187
945	10991803
946	10997962
947	10999742
948	11002053
949	11002896
950	11028001
951	11033144
952	11065446
953	11074488
954	11076758
955	11076971
956	11081829
957	11089600
958	11105311
959	11106321
960	11108353
961	11109077
962	11116811
963	11117070
964	11119597
965	11136899
966	11139359
967	11150943
968	11169804
969	11171647
970	11181453
971	11196202
972	11210525
973	11211628
974	11219265
975	11236621
976	11242048
977	11256474
978	11260876
979	11262477
980	11263221
981	11265761
982	11266037
983	11287411
984	11309244
985	11310196
986	11311772
987	11322445
988	11329572
989	11334796
990	11337707
991	11341378
992	11341562
993	11356751
994	11359420
995	11361815
996	11364636
997	11368988
998	11374370
999	11382079
1000	11401955
1001	11406512
1002	11422454
1003	11435171
1004	11440904
1005	11449407
1006	11449504
1007	11453845
1008	11462096
1009	11470072
1010	11477550
1011	11480287
1012	11480597
1013	11492021
1014	11494496
1015	11499386
1016	11499544
1017	11509285
1018	11509951
1019	11513157
1020	11531049
1021	11531196
1022	11557842
1023	11567571
1024	11580094
1025	11596453
1026	11602817
1027	11641839
1028	11644014
1029	11646226
1030	11654207
1031	11667966
1032	11670242
1033	11676017
1034	11689352
1035	11691536
1036	11709596
1037	11717586
1038	11718906
1039	11728297
1040	11748004
1041	11754508
1042	11755730
1043	11760569
1044	11769673
1045	11779580
1046	11800058
1047	11800206
1048	11811799
1049	11828432
1050	11837271
1051	11852535
1052	11858220
1053	11859430
1054	11859943
1055	11860719
1056	11863769
1057	11874831
1058	11876135
1059	11879262
1060	11891393
1061	11892833
1062	11912691
1063	11919468
1064	11924179
1065	11937434
1066	11938555
1067	11973811
1068	11974515
1069	11976194
1070	11978300
1071	11979417
1072	11988085
1073	11990234
1074	11991313
1075	12000014
1076	12010851
1077	12024260
1078	12028493
1079	12029239
1080	12054066
1081	12055216
1082	12069634
1083	12074160
1084	12085411
1085	12090177
1086	12103730
1087	12105040
1088	12110298
1089	12113153
1090	12126263
1091	12127816
