k	smorfs
1	32985
2	53298
3	53388
4	90415
5	127992
6	148749
7	172070
8	206984
9	225714
10	243481
11	267654
12	287128
13	298063
14	322324
15	332776
16	375452
17	385463
18	391628
19	420884
20	445791
21	448495
22	454841
23	468894
24	471371
25	503806
26	509551
27	537509
28	543819
29	563753
30	570378
31	594028
32	612289
33	626107
34	646901
35	649130
36	649492
37	658853
38	666961
39	677788
40	694837
41	722405
42	737310
43	771715
44	778481
45	782001
46	802864
47	829674
48	847501
49	856836
50	857051
51	861096
52	870755
53	878459
54	894105
55	896021
56	922326
57	937678
58	956366
59	995398
60	1005599
61	1021641
62	1052467
63	1062604
64	1066277
65	1099767
66	1117228
67	1126421
68	1138775
69	1168366
70	1175302
71	1193895
72	1210043
73	1210839
74	1215939
75	1234130
76	1240506
77	1255318
78	1259530
79	1288490
80	1299671
81	1307542
82	1320316
83	1340193
84	1350761
85	1377053
86	1401651
87	1413261
88	1414448
89	1440804
90	1454380
91	1468425
92	1497576
93	1527375
94	1529504
95	1551301
96	1569175
97	1573144
98	1585070
99	1591732
100	1602652
101	1602652
102	1615124
103	1620400
104	1642756
105	1650497
106	1665277
107	1682360
108	1696675
109	1718040
110	1718658
111	1739792
112	1740452
113	1746269
114	1768140
115	1774570
116	1789852
117	1823861
118	1842971
119	1844255
120	1847787
121	1857700
122	1876849
123	1884036
124	1913128
125	1916022
126	1917812
127	1920290
128	1936586
129	1955829
130	1966527
131	1974686
132	1998479
133	2005247
134	2009955
135	2030206
136	2034956
137	2049078
138	2064809
139	2066538
140	2072177
141	2091616
142	2111143
143	2122320
144	2131645
145	2138640
146	2150240
147	2172469
148	2196462
149	2200655
150	2219055
151	2228759
152	2239502
153	2251643
154	2274777
155	2285355
156	2291008
157	2309465
158	2317990
159	2340442
160	2347954
161	2365415
162	2381476
163	2387483
164	2392648
165	2409780
166	2427963
167	2440033
168	2441157
169	2453509
170	2474912
171	2484989
172	2490257
173	2503026
174	2516146
175	2526011
176	2534474
177	2536058
178	2550406
179	2566960
180	2575349
181	2585611
182	2589685
183	2595069
184	2601908
185	2612416
186	2624613
187	2640444
188	2661566
189	2665877
190	2673536
191	2689548
192	2694216
193	2724221
194	2724610
195	2737399
196	2738603
197	2741675
198	2751716
199	2756083
200	2765688
201	2766559
202	2777937
203	2804170
204	2807156
205	2808804
206	2817702
207	2821551
208	2846804
209	2878105
210	2881027
211	2890074
212	2914726
213	2934274
214	2940448
215	2959982
216	2979486
217	2980051
218	2989755
219	2998739
220	3016920
221	3030463
222	3032540
223	3046183
224	3049302
225	3054092
226	3068864
227	3075546
228	3079683
229	3097652
230	3101026
231	3118572
232	3131610
233	3134642
234	3146597
235	3158911
236	3177124
237	3186718
238	3186842
239	3189280
240	3206800
241	3210812
242	3218118
243	3241210
244	3243553
245	3257221
246	3270428
247	3275698
248	3283423
249	3284789
250	3288702
251	3289829
252	3293433
253	3296221
254	3296222
255	3299344
256	3318854
257	3325789
258	3336383
259	3348830
260	3353394
261	3355433
262	3383262
263	3390329
264	3399766
265	3412025
266	3425567
267	3442464
268	3456881
269	3464577
270	3471611
271	3471629
272	3475001
273	3483758
274	3502345
275	3521728
276	3533930
277	3546790
278	3554155
279	3556055
280	3562365
281	3575147
282	3586276
283	3601555
