k	smorfs
1	3063
2	5618
3	5951
4	6356
5	6477
6	13692
7	15345
8	16650
9	37903
10	38668
11	52824
12	55703
13	58550
14	62931
15	66002
16	72400
17	75621
18	84931
19	85988
20	87528
21	94443
22	97182
23	99755
24	113425
25	116129
26	116229
27	116949
28	127472
29	133470
30	134138
31	135627
32	138380
33	148683
34	154104
35	155199
36	163470
37	170819
38	171538
39	172691
40	178084
41	192094
42	192697
43	199214
44	205532
45	214273
46	214351
47	215214
48	215854
49	220470
50	220987
51	221148
52	230061
53	230444
54	239631
55	240276
56	244150
57	266577
58	269424
59	271766
60	272603
61	280575
62	293188
63	293387
64	295949
65	296520
66	297577
67	302538
68	304342
69	305090
70	305195
71	308085
72	308201
73	310437
74	313646
75	317488
76	319599
77	321130
78	324158
79	324848
80	325759
81	327172
82	333544
83	336488
84	336733
85	339268
86	341231
87	342446
88	343308
89	345204
90	359018
91	359394
92	364210
93	364246
94	365730
95	367752
96	373343
97	375232
98	380888
99	394366
100	394785
101	398408
102	401790
103	402085
104	402948
105	403843
106	405846
107	408553
108	421952
109	424148
110	424171
111	424625
112	425940
113	426332
114	431163
115	431168
116	432610
117	437848
118	437940
119	437963
120	439569
121	439906
122	439965
123	444080
124	444175
125	447055
126	448277
127	449574
128	449680
129	454571
130	455350
131	455373
132	456086
133	458393
134	461499
135	463470
136	472301
137	474828
138	475550
139	480442
140	481517
141	482344
142	485422
143	485575
144	485686
145	489679
146	490985
147	491772
148	491954
149	494678
150	498045
151	512982
152	514248
153	526140
154	526255
155	526877
156	538037
157	553009
158	557187
159	558177
160	559189
161	559760
162	560534
163	565695
164	567340
165	570375
166	573251
167	575924
168	578958
169	580373
170	582946
171	586050
172	589791
173	591575
174	621087
175	623650
176	625824
177	627157
178	627642
179	630117
180	630539
181	634014
182	636944
183	638231
184	639632
185	641594
186	643410
187	643487
188	648013
189	651260
190	653869
191	656814
192	656822
193	657525
194	662887
195	664974
196	665240
197	817236
198	843055
199	843397
200	844534
201	847471
202	848998
203	851473
204	853961
205	856168
206	862672
207	866528
208	869414
209	871106
210	878062
211	879928
212	884280
213	885143
214	896815
215	897511
216	897720
217	898477
218	912631
219	914594
220	944996
221	949702
222	951109
223	964344
224	965368
225	970081
226	973406
227	976727
228	977891
229	978510
230	983487
231	986636
232	1000952
233	1001978
234	1006674
235	1007123
236	1012049
237	1016476
238	1032133
239	1032224
240	1033893
241	1038103
242	1040105
243	1040208
244	1041496
245	1043811
246	1047447
247	1049956
248	1051134
249	1057718
250	1065208
251	1066085
252	1068443
253	1077744
254	1080437
255	1080812
256	1081908
257	1083599
258	1085084
259	1087282
260	1087406
261	1089150
262	1091789
263	1094895
264	1095284
265	1096002
266	1096797
267	1101770
268	1102079
269	1102110
270	1104157
271	1107661
272	1108184
273	1110648
274	1112474
275	1120958
276	1124815
277	1137559
278	1141946
279	1142151
280	1142501
281	1146653
282	1148788
283	1166373
284	1166902
285	1167792
286	1170062
287	1171217
288	1173945
289	1182604
290	1183560
291	1184499
292	1186041
293	1186187
294	1188395
295	1192170
296	1195098
297	1196444
298	1196698
299	1197055
300	1197660
301	1197900
302	1198176
303	1201919
304	1204112
305	1206971
306	1207435
307	1231585
308	1232293
309	1234224
310	1236981
311	1238297
312	1238472
313	1241351
314	1241839
315	1243544
316	1244599
317	1246816
318	1249611
319	1259523
320	1261472
321	1261616
322	1263769
323	1264041
324	1264056
325	1264544
326	1265144
327	1266009
328	1267435
329	1269516
330	1274352
331	1275869
332	1276075
333	1282010
334	1282062
335	1283347
336	1283657
337	1286687
338	1287796
339	1287817
340	1289419
341	1289990
342	1291696
343	1293927
344	1295527
345	1295565
346	1298208
347	1299528
348	1299776
349	1301003
350	1301140
351	1304223
352	1306720
353	1307250
354	1309671
355	1311246
356	1311305
357	1311817
358	1335859
359	1341390
360	1341547
361	1390898
362	1392129
363	1394824
364	1395251
365	1398650
366	1400182
367	1401984
368	1406011
369	1406625
370	1409141
371	1413032
372	1414016
373	1418282
374	1419218
375	1419479
376	1422100
377	1422230
378	1429436
379	1429537
380	1429963
381	1430391
382	1430630
383	1431590
384	1433545
385	1434515
386	1435691
387	1435978
388	1436518
389	1438659
390	1447726
391	1448371
392	1450165
393	1451882
394	1452600
395	1454438
396	1454793
397	1456194
398	1458061
399	1458639
400	1459022
401	1462365
402	1464009
403	1464809
404	1465254
405	1466182
406	1466637
407	1468451
408	1472558
409	1473510
410	1474328
411	1478925
412	1479727
413	1480109
414	1496145
415	1496881
416	1503452
417	1507768
418	1513885
419	1515757
420	1517296
421	1518155
422	1522145
423	1523280
424	1525416
425	1525976
426	1528910
427	1547568
428	1549798
429	1550603
430	1562335
431	1565004
432	1569160
433	1571149
434	1577584
435	1578196
436	1578674
437	1598084
438	1600095
439	1600849
440	1601098
441	1601329
442	1602473
443	1605816
444	1607172
445	1611101
446	1614293
447	1616211
448	1616812
449	1617434
450	1619097
451	1619801
452	1620634
453	1622740
454	1622859
455	1624315
456	1624646
457	1626339
458	1627735
459	1631054
460	1631511
461	1631763
462	1638446
463	1639598
464	1643917
465	1645046
466	1645194
467	1646283
468	1648749
469	1649319
470	1649367
471	1656501
472	1661607
473	1662391
474	1662982
475	1663051
476	1665968
477	1666238
478	1666754
479	1668565
480	1670662
481	1672787
482	1673970
483	1676711
484	1678070
485	1678469
486	1678553
487	1680251
488	1682629
489	1683259
490	1683992
491	1684602
492	1685238
493	1687551
494	1688392
495	1689326
496	1689684
497	1689706
498	1699656
499	1699887
500	1701802
501	1703136
502	1703588
503	1703604
504	1704904
505	1710322
506	1710521
507	1711133
508	1712942
509	1713180
510	1714384
511	1716013
512	1716326
513	1716439
514	1726560
515	1727316
516	1727738
517	1728635
518	1729432
519	1730293
520	1730583
521	1733328
522	1733592
523	1735364
524	1736219
525	1746576
526	1752927
527	1754537
528	1755815
529	1756351
530	1756394
531	1756636
532	1757303
533	1764423
534	1764961
535	1768132
536	1768708
537	1770189
538	1775635
539	1776799
540	1777875
541	1780840
542	1781608
543	1782189
544	1782603
545	1785180
546	1785579
547	1787795
548	1789406
549	1791628
550	1793802
551	1799769
552	1800153
553	1803792
554	1803902
555	1804603
556	1805484
557	1807490
558	1816871
559	1818280
560	1818349
561	1819827
562	1822968
563	1826378
564	1826922
565	1827680
566	1828550
567	1828995
568	1830743
569	1831226
570	1831575
571	1831640
572	1837394
573	1837909
574	1856004
575	1856509
576	1895903
577	1897006
578	1903074
579	1903267
580	1908048
581	1909203
582	1909989
583	1913082
584	1913976
585	1915093
586	1916109
587	1917289
588	1918587
589	1919924
590	1928111
591	1929511
592	1930986
593	1931374
594	1932476
595	1933786
596	1934817
597	1935105
598	1935479
599	1942452
600	1942688
601	1942811
602	1943949
603	1951058
604	1951103
605	1956543
606	1957118
607	1960261
608	1970861
609	1974617
610	1979157
611	1979592
612	1984529
613	1986945
614	1987814
615	1988628
616	1990184
617	1990863
618	1991325
619	1991799
620	1993346
621	1995700
622	2024478
623	2024666
624	2025220
625	2027143
626	2029593
627	2030651
628	2031013
629	2031486
630	2033986
631	2034079
632	2034257
633	2034569
634	2035659
635	2036766
636	2037596
637	2042049
638	2042810
639	2043484
640	2053544
641	2055327
642	2055435
643	2057905
644	2060273
645	2067144
646	2073983
647	2074193
648	2074712
649	2075115
650	2075614
651	2075847
652	2076155
653	2076406
654	2078358
655	2078844
656	2079907
657	2080363
658	2080392
659	2081250
660	2082343
661	2085943
662	2087027
663	2087394
664	2087618
665	2094479
666	2094784
667	2095201
668	2095892
669	2111687
670	2111743
671	2112710
672	2113381
673	2116067
674	2118571
675	2118775
676	2125751
677	2128612
678	2129047
679	2130534
680	2132706
681	2133948
682	2133977
683	2134097
684	2135503
685	2142412
686	2143347
687	2145283
688	2146959
689	2147102
690	2152417
691	2153269
692	2157612
693	2157821
694	2169081
695	2172977
696	2173919
697	2174645
698	2176601
699	2177987
700	2182085
701	2185012
702	2222397
703	2222613
704	2224692
705	2225764
706	2225848
707	2231533
708	2242015
709	2242119
710	2242204
711	2243756
712	2244620
713	2245068
714	2247628
715	2248131
716	2249964
717	2254034
718	2256674
719	2257238
720	2259202
721	2259588
722	2259686
723	2259708
724	2259835
725	2260261
726	2262048
727	2263070
