k	smorfs
1	1902
2	158661
3	159832
4	267106
5	268005
6	414166
7	515110
8	690673
9	763106
10	884830
11	965285
12	1037458
13	1037502
14	1177679
15	1261591
16	1285553
17	1308055
18	1473231
19	1645751
20	1649161
21	1796118
22	1855183
23	1918229
24	1972266
25	1973246
26	2304907
27	2361141
28	2402519
29	2471085
30	2557890
31	2773339
32	2797285
33	2810262
34	2938696
35	2966634
36	3021059
37	3166212
38	3190549
39	3225919
40	3319560
41	3460957
42	3511932
43	3550678
44	3709785
45	3828175
46	3956451
47	4016000
48	4017268
49	4070705
50	4263630
51	4280194
52	4309878
53	4469711
54	4545545
55	4743700
56	4745010
57	4889543
58	4944809
59	5089317
60	5235934
61	5260421
62	5296410
63	5366135
64	5544084
65	5851090
66	5854541
67	5923632
68	5960005
69	6094793
70	6166592
71	6171214
72	6228170
73	6254140
74	6309365
75	6354491
76	6411080
77	6600658
78	6604746
79	6974347
80	7014401
81	7192598
82	7352051
83	7353035
84	7591166
85	7639622
86	7779585
87	7794195
88	7863327
89	7960248
90	8087640
91	8130936
92	8247824
93	8341468
94	8535775
95	8573502
96	8601159
97	8734112
98	8743106
99	8841461
100	8922591
101	9057870
102	9248100
103	9313541
104	9325166
105	9376646
106	9413913
107	9559168
108	9559178
109	9634599
110	9701144
111	9953310
112	10021871
113	10100193
114	10176695
115	10279789
116	10386124
117	10422361
118	10465808
119	10561738
120	10606770
121	10620977
122	10796561
123	10879214
124	10949998
125	11021576
126	11122516
127	11162408
128	11205299
129	11218626
130	11336850
131	11508959
132	11511535
133	11630838
134	11704947
135	11714967
136	11790279
137	11840190
138	11947398
139	12067210
140	12219619
141	12240093
142	12297329
143	12440762
144	12582687
145	12588422
146	12619503
147	12677250
148	12710100
149	12750372
150	12798845
151	12806699
152	12959996
153	12975260
154	12985874
155	13101667
156	13105504
157	13140910
158	13181498
159	13308196
160	13345984
161	13347390
162	13403165
163	13451951
164	13474998
165	13639213
166	13750601
167	13751057
168	13919687
169	14083388
170	14156211
171	14178979
172	14262404
173	14344193
174	14363379
175	14518796
176	14559899
177	14622022
178	14737016
179	14801053
180	14986852
181	14990969
182	15044637
183	15165735
184	15288808
185	15458968
186	15487420
187	15536888
188	15600595
189	15641182
190	15747859
191	15762320
192	15768348
193	15786056
194	15973965
195	16116476
196	16131064
197	16176364
198	16481542
199	16522762
200	16616106
201	16690521
202	16748993
203	16930986
204	16992027
205	17062511
206	17082984
207	17097718
208	17156408
209	17237130
210	17318531
211	17342243
212	17344661
213	17447336
214	17498607
215	17502762
216	17911991
217	17977719
218	18081665
219	18192725
220	18197866
221	18198966
222	18247744
223	18352066
224	18455682
225	18480069
226	18597112
227	18640901
228	18902934
229	18928061
230	18928781
231	18937765
232	18998677
233	19027999
234	19094141
235	19155560
236	19228130
237	19274824
238	19543761
239	19577121
240	19721127
241	19862384
242	20027566
243	20149028
244	20339206
245	20413971
246	20507852
247	20540595
248	20715233
249	20762579
250	20871537
251	21006931
252	21093360
253	21096257
254	21113552
255	21116266
256	21148013
257	21406789
258	21518919
259	21570443
260	21579834
261	21655567
262	21724207
263	21900496
264	22044999
265	22173871
266	22181347
267	22374511
268	22420483
269	22485507
270	22485538
271	22614093
272	22692166
273	22734165
274	22800425
275	22878235
276	22970174
277	22975069
278	23075379
279	23133544
280	23266966
281	23274999
282	23360962
283	23467604
284	23545185
285	23555023
286	23561861
287	23701341
288	23824801
289	23928459
290	24000212
291	24060717
292	24133123
293	24133497
294	24146336
295	24152711
296	24208518
297	24244184
298	24316811
299	24362002
300	24381369
301	24388393
302	24446903
303	24447399
304	24629472
305	24720361
306	24756541
307	24816817
308	25008917
309	25143299
310	25261499
311	25346453
312	25453713
313	25496374
314	25574153
315	25644949
316	25649776
317	25686147
318	25880905
319	26185116
320	26225339
321	26360387
322	26417376
323	26436308
324	26538062
325	26538344
326	26596238
327	26632666
328	26779327
329	26789341
330	26789705
331	26856268
332	26917156
