k	smorfs
1	104261
2	186459
3	247627
4	390901
5	449489
6	606844
7	650016
8	875029
9	1109947
10	1189668
11	1284103
12	1339250
13	1467724
14	1520537
15	1599511
16	1657389
17	1715600
18	1763762
19	1987585
20	2060755
21	2138700
22	2336523
23	2420446
24	2572650
25	2598909
26	2736859
27	2819130
28	2873139
29	2912429
30	2921145
31	2964821
32	3060188
33	3134394
34	3199270
35	3305827
36	3392136
37	3462880
38	3505563
39	3546102
40	3584215
41	3696454
42	3771112
43	3822938
44	3899057
45	3972330
46	4098663
47	4130533
48	4212842
49	4251434
50	4324859
51	4361399
52	4424373
53	4493734
54	4539120
55	4624846
56	4694142
57	4778567
58	5011900
59	5034440
60	5301284
61	5328156
62	5358590
63	5453566
64	5511944
65	5563819
66	5602179
67	5604631
68	5661157
69	5855092
70	5924709
71	5989847
72	6015843
73	6249688
74	6374625
75	6444780
76	6482748
77	6507454
78	6689103
79	6733649
80	6769708
81	6899461
82	6942191
83	7144103
84	7187565
85	7221684
86	7287629
87	7319969
88	7341550
89	7371498
90	7432042
91	7466847
92	7710704
93	7753275
94	7966088
95	8012121
96	8059388
97	8209238
98	8271735
99	8308578
100	8351499
101	8611922
102	8804227
103	8859127
104	8917135
105	8972628
106	9027469
107	9121807
108	9164361
109	9213916
110	9248886
111	9447492
112	9642001
113	9668224
114	9715605
115	9776729
116	9850458
117	9906649
118	9927179
119	9975169
120	10214102
121	10234056
122	10291741
123	10311354
124	10360421
125	10397044
126	10433069
127	10476354
128	10523042
129	10565598
130	10567858
131	10592392
132	10651698
133	10691559
134	10736850
135	10769364
136	10844545
137	10872388
138	10908969
139	10946043
140	10989154
141	11021213
142	11214878
143	11232254
144	11307678
145	11347042
146	11472382
147	11474608
148	11525028
149	11554937
150	11582696
151	11635123
152	11645904
153	11701664
154	11826738
155	11846973
156	11902025
157	11932857
158	11983869
159	12068922
160	12109422
161	12127004
162	12141509
163	12196158
164	12244611
165	12315922
166	12403593
167	12439997
168	12505375
169	12616598
170	12672124
171	12746951
172	12780916
173	12813597
174	12857189
175	12957718
176	13051322
177	13071064
178	13186650
179	13219378
180	13287633
181	13325036
182	13352171
183	13382499
184	13424882
185	13574516
186	13599782
187	13650472
188	13714870
189	13748462
190	13763458
191	13778263
192	13804344
193	13847048
194	13884216
195	13921154
196	13957648
197	14104427
198	14150390
199	14181702
200	14259257
201	14267351
202	14283144
203	14317647
204	14331509
205	14366744
206	14412915
207	14425491
208	14452259
209	14468349
210	14522392
211	14566389
212	14603187
213	14650926
214	14684842
215	14740679
216	14842221
217	14887150
218	14918061
219	14973180
220	15034075
221	15085608
222	15128036
223	15155634
224	15360402
225	15421699
226	15463962
227	15517098
228	15566485
229	15601495
230	15617777
231	15635262
232	15656864
233	15743100
234	15780700
235	15784458
236	15809331
237	15826740
238	16012970
239	16050811
240	16111323
241	16184324
242	16201389
243	16242360
244	16281601
245	16310014
246	16352213
247	16456610
248	16482573
249	16580611
250	16629309
251	16661660
252	16730022
253	16771748
254	16876035
255	16905443
256	16946286
257	16974372
258	17139879
259	17150604
260	17198271
261	17333261
262	17431417
263	17451750
264	17471663
265	17505854
266	17535523
267	17561593
268	17580922
269	17616133
270	17640291
271	17755139
272	17772722
273	17811736
274	17871857
275	17893797
276	17931247
277	17959839
278	17999810
279	18048167
280	18087491
281	18133553
282	18162470
283	18196168
284	18229444
285	18254516
286	18331022
287	18370973
288	18415577
289	18456139
290	18508352
291	18545030
292	18590546
293	18630698
294	18651579
295	18703595
296	18750255
297	18779805
298	18797818
299	18824040
300	18838294
301	18889946
302	18929767
303	18970129
304	18984056
305	19069296
306	19097133
307	19109199
308	19152563
309	19231297
310	19271590
311	19295234
312	19318873
313	19349535
314	19399674
315	19480590
316	19519381
317	19544935
318	19571025
319	19595157
320	19620384
321	19643155
322	19694272
323	19730741
324	19753115
325	19796285
326	20037576
327	20069690
328	20107781
329	20129684
330	20241133
331	20280478
332	20298522
333	20328629
334	20350467
335	20524994
336	20539954
337	20552700
338	20606534
339	20630577
340	20656677
341	20705436
342	20717779
343	20731051
344	20891992
345	20917024
346	20928226
347	20974013
348	20993870
349	21018212
350	21036291
351	21130946
352	21143777
353	21182676
354	21198716
355	21245808
356	21266248
357	21315410
358	21347645
359	21370384
360	21382843
361	21421275
362	21457383
363	21488809
364	21521036
365	21561564
366	21616266
367	21651666
368	21675627
369	21687484
370	21742332
371	21773225
372	21812988
373	21841659
374	21860003
375	21896952
376	21951794
377	22025667
378	22053086
379	22253635
380	22312157
381	22397182
382	22577937
383	22595031
384	22622094
385	22718988
386	22751655
387	22787427
388	22825725
389	22865813
390	22880107
391	22956013
392	22986380
393	23008025
394	23061057
395	23061073
396	23077902
397	23114394
398	23251105
399	23270541
400	23309701
401	23337768
402	23360978
403	23506521
404	23517867
405	23536670
406	23558388
407	23583059
408	23598470
409	23728913
410	23749816
411	23781901
412	23823989
413	23854907
414	23878029
415	23983158
416	23998409
417	24157408
418	24158858
419	24184004
420	24226806
421	24251431
422	24280966
423	24419278
424	24441988
425	24482730
426	24539794
427	24553419
428	24584851
429	24627835
430	24631555
431	24688673
432	24703407
433	24730949
434	24766710
435	24791886
436	24900052
437	24920561
438	24930279
439	24965587
440	24984336
441	25016277
442	25026929
443	25060765
444	25091049
445	25122118
446	25123752
447	25155241
448	25172765
449	25187146
450	25208057
451	25281050
452	25294986
453	25375625
454	25492281
455	25520284
456	25557116
457	25585031
458	25596659
459	25611777
460	25643210
461	25668169
462	25708107
463	25808068
464	25828022
465	25851885
466	25867858
467	25953143
