k	smorfs
1	138710
2	277598
3	484511
4	523556
5	773067
6	773512
7	773683
8	957463
9	974327
10	1858420
11	1907813
12	1998729
13	2063355
14	2063759
15	2069337
16	2169818
17	2218374
18	2414146
19	2426156
20	2429120
21	2459934
22	2506806
23	2513103
24	2516017
25	2516466
26	2565903
27	2610450
28	2649265
29	2649341
30	2650809
31	2802685
32	2808206
33	2964379
34	2966006
35	2985006
36	3128872
37	3170101
38	3841474
39	3990583
40	4149585
41	4187141
42	4324307
43	5129398
44	5232711
45	5260773
46	5450023
47	5518578
48	5570253
49	6249734
50	6418326
51	6446806
52	6449302
53	6494320
54	6532111
55	6549559
56	6555684
57	6576872
58	6668720
59	6796645
60	6839445
61	6872556
62	6992591
63	7010651
64	7037071
65	7039411
66	7042431
67	7047070
68	7047249
69	7086881
70	7141045
71	7260382
72	7260461
73	7264350
74	7276046
75	7281687
76	7301387
77	7306579
78	7549408
79	8266208
80	8289540
81	8292776
82	8292837
83	8296436
84	8501675
85	8679590
86	8699952
87	9255577
88	9306054
89	9373885
90	9421410
91	9421658
92	10123830
93	10130128
94	10144786
95	10154570
96	10166701
97	10175016
98	10176748
99	10322675
100	10340583
101	10502775
102	10502828
103	10515309
104	10667927
105	10696634
106	10696810
107	10842055
108	10842127
109	10884511
110	10889946
111	10911802
112	10917380
113	11246725
114	11249752
115	11805879
116	11836409
117	11878908
118	11953795
119	11966903
120	11967020
121	12101481
122	12773930
123	12911453
124	12961600
125	12969665
126	12969871
127	12969965
128	12970019
129	12970850
130	13133187
131	13170627
132	13797413
133	13830204
134	13925714
135	13958937
136	13959700
137	13996774
138	13999810
139	14230231
140	14250296
141	14253476
142	14256816
143	14275956
144	14302678
145	14302695
146	14367037
147	14462447
148	14485554
149	14496821
150	15028650
151	15032559
152	15146865
153	15729259
154	15736267
155	15948149
156	15948336
157	16355191
158	16685187
159	16818173
160	16821148
161	16972978
162	17017123
163	17017367
164	17043760
165	17163203
166	17240169
167	17675568
168	17680674
169	17697890
170	17874884
171	18581665
172	18586654
173	18611516
174	19091570
175	19092587
176	19104933
177	19422590
178	19423065
179	19481363
180	19488626
181	19532814
182	19643985
183	19644120
184	19673517
185	20228482
186	20243335
187	20266760
188	20289459
189	20312350
190	20817789
191	20844439
192	20844579
193	20844628
194	20844934
195	20946069
196	20981293
197	21016779
198	21373389
199	21457158
200	21570361
201	21597129
202	21715431
203	21767145
204	21784443
205	21908163
206	22017251
207	22019055
208	22026519
209	22028794
210	22035197
211	22035275
212	22038366
213	22358579
214	22370163
215	22792710
216	22793349
217	22805240
218	22830272
219	22871148
220	22972526
221	23007696
222	23026838
223	23622006
224	23632208
225	23633813
226	24129770
227	24153530
228	24191969
229	24201885
230	24305545
231	24305617
232	24463700
233	24463815
234	24463846
235	24604103
236	24713359
237	24787583
238	24941525
239	24966774
240	25113944
241	25121794
242	25233649
243	25234392
244	25234459
245	25256187
246	25279995
247	25281286
248	25854164
249	25874912
250	25991751
251	26013629
252	26015165
253	26490352
254	26490810
255	26547708
256	26547746
257	27151480
258	27153028
259	27218182
260	27248089
261	27258743
262	27277225
263	27316992
264	27317377
265	27338718
266	27344781
267	27364192
268	27374438
269	27443399
270	27444210
271	28044344
272	28053344
273	28192579
274	28193047
275	28216307
276	28217831
277	28236129
278	28237460
279	28372319
280	28398208
281	28406022
282	28508948
283	28555458
284	28998279
285	29438023
286	29455444
287	29459222
288	29562392
289	29579003
290	29609047
291	29682890
292	29683336
293	29704109
294	29705526
295	30098981
296	30120766
297	30175852
298	30296761
299	30336271
300	30465731
301	30485638
302	30488556
303	30981899
304	30982636
305	31013778
306	31117771
307	31117911
308	31119807
309	31128683
310	31130516
311	31299013
312	31367018
313	31383703
314	31384731
315	31410687
316	31410751
317	31466252
318	31466309
319	31559257
320	31566402
321	31593399
322	31609636
323	31612577
324	31777710
325	31781570
326	31783335
327	31842025
328	32387095
329	32390159
330	32405131
331	32409952
332	32655863
333	32879071
334	32897126
335	33006866
336	33011845
337	33024949
338	33035762
339	33035897
340	33103857
341	33167454
342	33182012
343	33183172
344	33193867
345	33219323
346	33591808
347	33592222
348	34071265
349	34090109
350	34093103
351	34099525
352	34101687
353	34328696
354	34618098
355	34621128
356	34621554
357	34621612
358	34637079
359	34639109
360	34994436
361	34996435
362	35000844
363	35018344
364	35096936
365	35100206
366	35594791
367	35679256
368	35681135
369	35767521
370	35770332
371	35770375
372	35781815
373	35797193
374	35812018
375	35861819
376	35886588
377	35914326
378	36503489
379	36518286
380	36523410
381	36562538
382	36620572
383	36718201
384	36735834
385	36736012
386	36747298
387	36747321
388	36871819
389	36925617
390	36927522
391	36946212
392	37005767
393	37113480
394	37133884
395	37196213
396	37313000
397	37437436
398	37440540
399	37450070
400	37461944
401	38088366
402	38521840
403	38521883
404	38524416
405	38546358
406	38746022
407	38746509
408	38749834
409	38749901
410	38751255
411	38751274
412	39035290
413	39036865
414	39480463
415	39530357
416	39548167
417	39552207
418	39555070
419	39729875
420	39761082
421	39776781
422	39822552
423	39828702
424	39903726
425	39905553
426	39918652
427	39920640
428	39925450
429	39976034
430	40016577
431	40027789
432	40116755
433	40142044
434	40172018
435	40198917
436	40203854
437	40228998
438	40321789
439	40324246
440	40342072
441	40448439
442	40449254
443	40461404
444	40517755
445	40528868
446	40542572
447	40542791
448	40636060
449	40674529
450	40675245
451	40805516
452	41188310
453	41190564
454	41191525
455	41198944
456	41199606
457	41204864
458	41254792
459	41257927
460	41279275
461	41294128
462	41307267
463	41307356
464	41452258
465	41458618
466	41465453
467	41465504
468	41843288
469	41850445
470	41850455
471	41863398
472	41883735
473	42071225
474	42172403
475	42681497
476	42691965
477	42706825
478	42724743
479	42734859
480	42840981
481	42842034
482	42851141
483	42852993
484	42859226
485	42881489
486	42894674
487	42908384
488	42909325
489	42926063
490	42926207
491	42928749
492	42973474
493	42977768
494	42990820
495	42994149
496	42996688
